<title>/IN --> IN/IN
83/CD --> 83/CD
Hans/NNP --> Hans/NNP
in/IN --> in/IN
Luck/NNP --> Luck/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Hans/NNP --> Hans/NNP
had/VBD --> have/VBD
served/VBN --> serve/VBN
his/PRP$ --> he/PRP$
master/NN --> master/NN
for/IN --> for/IN
seven/CD --> seven/CD
years/NNS --> year/NNS
,/, --> ,/,
so/RB --> so/RB
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Master/NNP --> Master/NNP
,/, --> ,/,
my/PRP$ --> my/PRP$
time/NN --> time/NN
is/VBZ --> be/VBZ
up/RB --> up/RB
;/: --> ;/:
now/RB --> now/RB
I/PRP --> I/PRP
should/MD --> should/MD
be/VB --> be/VB
glad/JJ --> glad/JJ
to/TO --> to/TO
go/VB --> go/VB
back/RB --> back/RB
home/NN --> home/NN
to/TO --> to/TO
my/PRP$ --> my/PRP$
mother/NN --> mother/NN
;/: --> ;/:
give/VB --> give/VB
me/PRP --> I/PRP
my/PRP$ --> my/PRP$
wages/NNS --> wages/NNS
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
master/NN --> master/NN
answered/VBN --> answer/VBN
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
have/VBP --> have/VBP
served/VBN --> serve/VBN
me/PRP --> I/PRP
faithfully/RB --> faithfully/RB
and/CC --> and/CC
honestly/RB --> honestly/RB
;/: --> ;/:
as/IN --> as/IN
the/DT --> the/DT
service/NN --> service/NN
was/VBD --> be/VBD
so/RB --> so/RB
shall/MD --> shall/MD
the/DT --> the/DT
reward/NN --> reward/NN
be/VB --> be/VB
;/: --> ;/:
''/'' --> ''/''
and/CC --> and/CC
he/PRP --> he/PRP
gave/VBD --> give/VBD
Hans/NNP --> Hans/NNP
a/DT --> a/DT
piece/NN --> piece/NN
of/IN --> of/IN
gold/NN --> gold/NN
as/IN --> as/IN
big/JJ --> big/JJ
as/IN --> as/IN
his/PRP$ --> he/PRP$
head/NN --> head/NN
./. --> ./.
Hans/NNP --> Hans/NNP
pulled/VBD --> pull/VBD
his/PRP$ --> he/PRP$
handkerchief/NN --> handkerchief/NN
out/IN --> out/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
pocket/NN --> pocket/NN
,/, --> ,/,
wrapped/VBD --> wrap/VBD
up/RP --> up/RP
the/DT --> the/DT
lump/NN --> lump/NN
in/IN --> in/IN
it/PRP --> it/PRP
,/, --> ,/,
put/VBD --> put/VBD
it/PRP --> it/PRP
on/IN --> on/IN
his/PRP$ --> he/PRP$
shoulder/NN --> shoulder/NN
,/, --> ,/,
and/CC --> and/CC
set/VBN --> set/VBN
out/RP --> out/RP
on/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
home/NN --> home/NN
./. --> ./.
As/IN --> as/IN
he/PRP --> he/PRP
went/VBD --> go/VBD
on/IN --> on/IN
,/, --> ,/,
always/RB --> always/RB
putting/VBG --> put/VBG
one/CD --> one/CD
foot/NN --> foot/NN
before/IN --> before/IN
the/DT --> the/DT
other/JJ --> other/JJ
,/, --> ,/,
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
horseman/NN --> horseman/NN
trotting/VBG --> trot/VBG
quickly/RB --> quickly/RB
and/CC --> and/CC
merrily/RB --> merrily/RB
by/IN --> by/IN
on/IN --> on/IN
a/DT --> a/DT
lively/JJ --> lively/JJ
horse/NN --> horse/NN
./. --> ./.
``/`` --> ``/``
Ah/UH --> ah/UH
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
Hans/NNP --> Hans/NNP
quite/RB --> quite/RB
loud/JJ --> loud/JJ
,/, --> ,/,
``/`` --> ``/``
what/WP --> what/WP
a/DT --> a/DT
fine/JJ --> fine/JJ
thing/NN --> thing/NN
it/PRP --> it/PRP
is/VBZ --> be/VBZ
to/TO --> to/TO
ride/VB --> ride/VB
!/. --> !/.
There/EX --> there/EX
you/PRP --> you/PRP
sit/VBP --> sit/VBP
as/RB --> as/RB
on/IN --> on/IN
a/DT --> a/DT
chair/NN --> chair/NN
;/: --> ;/:
you/PRP --> you/PRP
stumble/VBP --> stumble/VBP
over/IN --> over/IN
no/DT --> no/DT
stones/NNS --> stone/NNS
,/, --> ,/,
you/PRP --> you/PRP
save/VBP --> save/VBP
your/PRP$ --> you/PRP$
shoes/NNS --> shoe/NNS
,/, --> ,/,
and/CC --> and/CC
get/VB --> get/VB
on/IN --> on/IN
,/, --> ,/,
you/PRP --> you/PRP
do/VBP --> do/VBP
n't/RB --> not/RB
know/VB --> know/VB
how/WRB --> how/WRB
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
rider/NN --> rider/NN
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
heard/VBN --> hear/VBN
him/PRP --> he/PRP
,/, --> ,/,
stopped/VBD --> stop/VBD
and/CC --> and/CC
called/VBD --> call/VBD
out/RP --> out/RP
,/, --> ,/,
``/`` --> ``/``
Hollo/NNP --> Hollo/NNP
!/. --> !/.
Hans/NNP --> Hans/NNP
,/, --> ,/,
why/WRB --> why/WRB
do/VBP --> do/VBP
you/PRP --> you/PRP
go/VB --> go/VB
on/IN --> on/IN
foot/NN --> foot/NN
,/, --> ,/,
then/RB --> then/RB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
must/MD --> must/MD
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
for/IN --> for/IN
I/PRP --> I/PRP
have/VBP --> have/VBP
this/DT --> this/DT
lump/NN --> lump/NN
to/TO --> to/TO
carry/VB --> carry/VB
home/NN --> home/NN
;/: --> ;/:
it/PRP --> it/PRP
is/VBZ --> be/VBZ
true/JJ --> true/JJ
that/IN --> that/IN
it/PRP --> it/PRP
is/VBZ --> be/VBZ
gold/JJ --> gold/JJ
,/, --> ,/,
but/CC --> but/CC
I/PRP --> I/PRP
can/MD --> can/MD
not/RB --> not/RB
hold/VB --> hold/VB
my/PRP$ --> my/PRP$
head/NN --> head/NN
straight/RB --> straight/RB
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
hurts/VBZ --> hurt/VBZ
my/PRP$ --> my/PRP$
shoulder/NN --> shoulder/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
tell/VB --> tell/VB
you/PRP --> you/PRP
what/WP --> what/WP
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
rider/NN --> rider/NN
,/, --> ,/,
``/`` --> ``/``
we/PRP --> we/PRP
will/MD --> will/MD
exchange/VB --> exchange/VB
:/: --> :/:
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
you/PRP --> you/PRP
my/PRP$ --> my/PRP$
horse/NN --> horse/NN
,/, --> ,/,
and/CC --> and/CC
you/PRP --> you/PRP
can/MD --> can/MD
give/VB --> give/VB
me/PRP --> I/PRP
your/PRP$ --> you/PRP$
lump/NN --> lump/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
With/IN --> with/IN
all/DT --> all/DT
my/PRP$ --> my/PRP$
heart/NN --> heart/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Hans/NNP --> Hans/NNP
,/, --> ,/,
``/`` --> ``/``
but/CC --> but/CC
I/PRP --> I/PRP
can/MD --> can/MD
tell/VB --> tell/VB
you/PRP --> you/PRP
,/, --> ,/,
you/PRP --> you/PRP
will/MD --> will/MD
have/VB --> have/VB
to/TO --> to/TO
crawl/VB --> crawl/VB
along/RP --> along/RP
with/IN --> with/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
rider/NN --> rider/NN
got/VBD --> get/VBD
down/RB --> down/RB
,/, --> ,/,
took/VBD --> take/VBD
the/DT --> the/DT
gold/NN --> gold/NN
,/, --> ,/,
and/CC --> and/CC
