<title>/IN --> IN/IN
THE/DT --> the/DT
CHILD/NN --> child/NN
IN/IN --> in/IN
THE/DT --> the/DT
GRAVE/NNP --> GRAVE/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
mourning/VBG --> mourn/VBG
in/IN --> in/IN
the/DT --> the/DT
house/NN --> house/NN
,/, --> ,/,
sorrow/NN --> sorrow/NN
in/IN --> in/IN
every/DT --> every/DT
heart/NN --> heart/NN
./. --> ./.
The/DT --> the/DT
youngest/JJS --> youngest/JJS
child/NN --> child/NN
,/, --> ,/,
a/DT --> a/DT
boy/NN --> boy/NN
four/CD --> four/CD
years/NNS --> year/NNS
old/JJ --> old/JJ
,/, --> ,/,
the/DT --> the/DT
joy/NN --> joy/NN
and/CC --> and/CC
hope/NN --> hope/NN
of/IN --> of/IN
his/PRP$ --> he/PRP$
parents/NNS --> parent/NNS
,/, --> ,/,
had/VBD --> have/VBD
died/VBN --> die/VBN
./. --> ./.
There/EX --> there/EX
still/RB --> still/RB
remained/VBD --> remain/VBD
to/TO --> to/TO
them/PRP --> they/PRP
two/CD --> two/CD
daughters/NNS --> daughter/NNS
,/, --> ,/,
the/DT --> the/DT
elder/JJR --> elder/JJR
of/IN --> of/IN
whom/WP --> whom/WP
was/VBD --> be/VBD
about/IN --> about/IN
to/TO --> to/TO
be/VB --> be/VB
confirmed/VBN --> confirm/VBN
--/: --> --/:
good/JJ --> good/JJ
,/, --> ,/,
charming/JJ --> charming/JJ
girls/NNS --> girl/NNS
both/DT --> both/DT
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
child/NN --> child/NN
that/IN --> that/IN
one/CD --> one/CD
has/VBZ --> have/VBZ
lost/VBN --> lose/VBN
always/RB --> always/RB
seems/VBZ --> seem/VBZ
the/DT --> the/DT
dearest/JJS --> dearest/JJS
;/: --> ;/:
and/CC --> and/CC
here/RB --> here/RB
it/PRP --> it/PRP
was/VBD --> be/VBD
the/DT --> the/DT
youngest/JJS --> youngest/JJS
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
son/NN --> son/NN
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
a/DT --> a/DT
heavy/JJ --> heavy/JJ
trial/NN --> trial/NN
./. --> ./.
The/DT --> the/DT
sisters/NNS --> sister/NNS
mourned/VBD --> mourn/VBD
as/IN --> as/IN
young/JJ --> young/JJ
