<title>/IN --> IN/IN
104/CD --> 104/CD
Wise/NNP --> Wise/NNP
Folks/NNS --> folk/NNS
</title>/VBP --> VBP/VBP
<author>/NNP --> NNP/NNP
Brothers/NNP --> Brothers/NNP
Grimm/NNP --> Grimm/NNP
</author>/VBD --> VBD/VBD
ONE/CD --> one/CD
day/NN --> day/NN
a/DT --> a/DT
peasant/NN --> peasant/NN
took/VBD --> take/VBD
his/PRP$ --> he/PRP$
good/JJ --> good/JJ
hazel-stick/NN --> hazel-stick/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
corner/NN --> corner/NN
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
``/`` --> ``/``
Trina/NNP --> Trina/NNP
,/, --> ,/,
I/PRP --> I/PRP
am/VBP --> be/VBP
going/VBG --> go/VBG
across/IN --> across/IN
country/NN --> country/NN
,/, --> ,/,
and/CC --> and/CC
shall/MD --> shall/MD
not/RB --> not/RB
return/VB --> return/VB
for/IN --> for/IN
three/CD --> three/CD
days/NNS --> day/NNS
./. --> ./.
If/IN --> if/IN
during/IN --> during/IN
that/DT --> that/DT
time/NN --> time/NN
the/DT --> the/DT
cattle-dealer/NN --> cattle-dealer/NN
should/MD --> should/MD
happen/VB --> happen/VB
to/TO --> to/TO
call/VB --> call/VB
and/CC --> and/CC
want/VB --> want/VB
to/TO --> to/TO
buy/VB --> buy/VB
our/PRP$ --> we/PRP$
three/CD --> three/CD
cows/NNS --> cow/NNS
,/, --> ,/,
you/PRP --> you/PRP
may/MD --> may/MD
strike/VB --> strike/VB
a/DT --> a/DT
bargain/NN --> bargain/NN
at/IN --> at/IN
once/RB --> once/RB
,/, --> ,/,
but/CC --> but/CC
not/RB --> not/RB
unless/IN --> unless/IN
you/PRP --> you/PRP
can/MD --> can/MD
get/VB --> get/VB
two/CD --> two/CD
hundred/CD --> hundred/CD
thalers/NNS --> thaler/NNS
for/IN --> for/IN
them/PRP --> they/PRP
;/: --> ;/:
nothing/NN --> nothing/NN
less/JJR --> less/JJR
,/, --> ,/,
do/VBP --> do/VBP
you/PRP --> you/PRP
hear/VB --> hear/VB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
For/IN --> for/IN
heaven/NN --> heaven/NN
's/POS --> 's/POS
sake/NN --> sake/NN
just/RB --> just/RB
go/VB --> go/VB
in/IN --> in/IN
peace/NN --> peace/NN
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
woman/NN --> woman/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
manage/VB --> manage/VB
that/DT --> that/DT
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
You/PRP --> you/PRP
,/, --> ,/,
indeed/RB --> indeed/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
./. --> ./.
``/`` --> ``/``
You/PRP --> you/PRP
once/RB --> once/RB
fell/VBD --> fall/VBD
on/IN --> on/IN
your/PRP$ --> you/PRP$
head/NN --> head/NN
when/WRB --> when/WRB
you/PRP --> you/PRP
were/VBD --> be/VBD
a/DT --> a/DT
little/JJ --> little/JJ
child/NN --> child/NN
,/, --> ,/,
and/CC --> and/CC
that/DT --> that/DT
affects/VBZ --> affect/VBZ
you/PRP --> you/PRP
even/RB --> even/RB
now/RB --> now/RB
;/: --> ;/:
but/CC --> but/CC
let/VB --> let/VB
me/PRP --> I/PRP
tell/VB --> tell/VB
you/PRP --> you/PRP
this/DT --> this/DT
,/, --> ,/,
if/IN --> if/IN
you/PRP --> you/PRP
do/VBP --> do/VBP
anything/NN --> anything/NN
foolish/JJ --> foolish/JJ
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
make/VB --> make/VB
your/PRP$ --> you/PRP$
back/JJ --> back/JJ
black/JJ --> black/JJ
and/CC --> and/CC
blue/JJ --> blue/JJ
,/, --> ,/,
and/CC --> and/CC
not/RB --> not/RB
with/IN --> with/IN
paint/NN --> paint/NN
,/, --> ,/,
I/PRP --> I/PRP
assure/VBP --> assure/VBP
you/PRP --> you/PRP
,/, --> ,/,
but/CC --> but/CC
with/IN --> with/IN
the/DT --> the/DT
stick/NN --> stick/NN
which/WDT --> which/WDT
I/PRP --> I/PRP
have/VBP --> have/VBP
in/IN --> in/IN
my/PRP$ --> my/PRP$
hand/NN --> hand/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
coloring/NN --> coloring/NN
shall/MD --> shall/MD
last/VB --> last/VB
a/DT --> a/DT
whole/JJ --> whole/JJ
year/NN --> year/NN
,/, --> ,/,
you/PRP --> you/PRP
may/MD --> may/MD
rely/VB --> rely/VB
on/IN --> on/IN
that/DT --> that/DT
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
having/VBG --> have/VBG
said/VBD --> say/VBD
that/IN --> that/IN
,/, --> ,/,
the/DT --> the/DT
man/NN --> man/NN
went/VBD --> go/VBD
on/IN --> on/IN
his/PRP$ --> he/PRP$
way/NN --> way/NN
./. --> ./.
Next/JJ --> next/JJ
morning/NN --> morning/NN
the/DT --> the/DT
cattle-dealer/NN --> cattle-dealer/NN
came/VBD --> come/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
woman/NN --> woman/NN
had/VBD --> have/VBD
no/DT --> no/DT
need/NN --> need/NN
to/TO --> to/TO
say/VB --> say/VB
many/JJ --> many/JJ
words/NNS --> word/NNS
to/TO --> to/TO
him/PRP --> he/PRP
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
seen/VBN --> see/VBN
the/DT --> the/DT
cows/NNS --> cow/NNS
and/CC --> and/CC
heard/VBD --> hear/VBD
the/DT --> the/DT
price/NN --> price/NN
,/, --> ,/,
he/PRP --> he/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
quite/RB --> quite/RB
willing/JJ --> willing/JJ
to/TO --> to/TO
give/VB --> give/VB
that/DT --> that/DT
,/, --> ,/,
honestly/RB --> honestly/RB
speaking/NN --> speaking/NN
,/, --> ,/,
they/PRP --> they/PRP
are/VBP --> be/VBP
worth/JJ --> worth/JJ
it/PRP --> it/PRP
./. --> ./.
I/PRP --> I/PRP
will/MD --> will/MD
take/VB --> take/VB
the/DT --> the/DT
beasts/NNS --> beast/NNS
away/RB --> away/RB
with/IN --> with/IN
me/PRP --> I/PRP
at/IN --> at/IN
once/RB --> once/RB
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
unfastened/VBD --> unfasten/VBD
their/PRP$ --> they/PRP$
chains/NNS --> chain/NNS
and/CC --> and/CC
drove/VBD --> drive/VBD
them/PRP --> they/PRP
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
byre/NN --> byre/NN
,/, --> ,/,
but/CC --> but/CC
just/RB --> just/RB
as/IN --> as/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
going/VBG --> go/VBG
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
yard-door/JJ --> yard-door/JJ
,/, --> ,/,
the/DT --> the/DT
woman/NN --> woman/NN
clutched/VBD --> clutch/VBD
him/PRP --> he/PRP
by/IN --> by/IN
the/DT --> the/DT
sleeve/NN --> sleeve/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
must/MD --> must/MD
give/VB --> give/VB
me/PRP --> I/PRP
the/DT --> the/DT
two/CD --> two/CD
hundred/CD --> hundred/CD
thalers/NNS --> thaler/NNS
now/RB --> now/RB
,/, --> ,/,
or/CC --> or/CC
I/PRP --> I/PRP
can/MD --> can/MD
not/RB --> not/RB
let/VB --> let/VB
the/DT --> the/DT
cows/NNS --> cow/NNS
go/VBP --> go/VBP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
True/JJ --> true/JJ
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
``/`` --> ``/``
but/CC --> but/CC
I/PRP --> I/PRP
have/VBP --> have/VBP
forgotten/VBN --> forget/VBN
to/TO --> to/TO
buckle/VB --> buckle/VB
on/IN --> on/IN
my/PRP$ --> my/PRP$
money-belt/NN --> money-belt/NN
./. --> ./.
Have/NNP --> Have/NNP
no/DT --> no/DT
fear/NN --> fear/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
you/PRP --> you/PRP
shall/MD --> shall/MD
have/VB --> have/VB
security/NN --> security/NN
for/IN --> for/IN
my/PRP$ --> my/PRP$
paying/VBG --> pay/VBG
./. --> ./.
I/PRP --> I/PRP
will/MD --> will/MD
take/VB --> take/VB
two/CD --> two/CD
cows/NNS --> cow/NNS
with/IN --> with/IN
me/PRP --> I/PRP
and/CC --> and/CC
leave/VB --> leave/VB
one/CD --> one/CD
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
you/PRP --> you/PRP
will/MD --> will/MD
have/VB --> have/VB
a/DT --> a/DT
good/JJ --> good/JJ
pledge/NN --> pledge/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
woman/NN --> woman/NN
saw/VBD --> see/VBD
the/DT --> the/DT
force/NN --> force/NN
of/IN --> of/IN
this/DT --> this/DT
,/, --> ,/,
and/CC --> and/CC
let/VB --> let/VB
the/DT --> the/DT
man/NN --> man/NN
go/VB --> go/VB
away/RB --> away/RB
with/IN --> with/IN
the/DT --> the/DT
cows/NNS --> cow/NNS
,/, --> ,/,
and/CC --> and/CC
thought/VBD --> think/VBD
to/TO --> to/TO
herself/PRP --> herself/PRP
,/, --> ,/,
``/`` --> ``/``
How/WRB --> how/WRB
pleased/JJ --> pleased/JJ
Hans/NNP --> Hans/NNP
will/MD --> will/MD
be/VB --> be/VB
when/WRB --> when/WRB
he/PRP --> he/PRP
finds/VBZ --> find/VBZ
how/WRB --> how/WRB
cleverly/RB --> cleverly/RB
I/PRP --> I/PRP
have/VBP --> have/VBP
managed/VBN --> manage/VBN
it/PRP --> it/PRP
!/. --> !/.
''/'' --> ''/''
The/DT --> the/DT
peasant/NN --> peasant/NN
came/VBD --> come/VBD
home/NN --> home/NN
on/IN --> on/IN
the/DT --> the/DT
third/JJ --> third/JJ
day/NN --> day/NN
as/IN --> as/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
said/VBN --> say/VBN
he/PRP --> he/PRP
would/MD --> would/MD
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
once/RB --> once/RB
inquired/VBN --> inquire/VBN
if/IN --> if/IN
the/DT --> the/DT
cows/NNS --> cow/NNS
were/VBD --> be/VBD
sold/VBN --> sell/VBN
?/. --> ?/.
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
indeed/RB --> indeed/RB
,/, --> ,/,
dear/RB --> dear/RB
Hans/NNP --> Hans/NNP
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
woman/NN --> woman/NN
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
as/IN --> as/IN
you/PRP --> you/PRP
said/VBD --> say/VBD
,/, --> ,/,
for/IN --> for/IN
two/CD --> two/CD
hundred/CD --> hundred/CD
thalers/NNS --> thaler/NNS
./. --> ./.
They/PRP --> they/PRP
are/VBP --> be/VBP
scarcely/RB --> scarcely/RB
worth/JJ --> worth/JJ
so/RB --> so/RB
much/RB --> much/RB
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
man/NN --> man/NN
took/VBD --> take/VBD
them/PRP --> they/PRP
without/IN --> without/IN
making/VBG --> make/VBG
any/DT --> any/DT
objection/NN --> objection/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Where/WRB --> where/WRB
is/VBZ --> be/VBZ
the/DT --> the/DT
money/NN --> money/NN
?/. --> ?/.
''/'' --> ''/''
asked/VBD --> ask/VBD
the/DT --> the/DT
peasant/NN --> peasant/NN
./. --> ./.
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
not/RB --> not/RB
got/VB --> get/VB
the/DT --> the/DT
money/NN --> money/NN
,/, --> ,/,
''/'' --> ''/''
replied/VBD --> reply/VBD
the/DT --> the/DT
woman/NN --> woman/NN
