<title>/IN --> IN/IN
170/CD --> 170/CD
Sharing/VBG --> share/VBG
Joy/NNP --> Joy/NNP
and/CC --> and/CC
Sorrow/NNP --> Sorrow/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
tailor/NN --> tailor/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
a/DT --> a/DT
quarrelsome/JJ --> quarrelsome/JJ
fellow/NN --> fellow/NN
,/, --> ,/,
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
good/JJ --> good/JJ
,/, --> ,/,
industrious/JJ --> industrious/JJ
,/, --> ,/,
and/CC --> and/CC
pious/JJ --> pious/JJ
,/, --> ,/,
never/RB --> never/RB
could/MD --> could/MD
please/VB --> please/VB
him/PRP --> he/PRP
./. --> ./.
Whatever/WDT --> whatever/WDT
she/PRP --> she/PRP
did/VBD --> do/VBD
,/, --> ,/,
he/PRP --> he/PRP
was/VBD --> be/VBD
not/RB --> not/RB
satisfied/JJ --> satisfied/JJ
,/, --> ,/,
but/CC --> but/CC
grumbled/VBD --> grumble/VBD
and/CC --> and/CC
scolded/VBD --> scold/VBD
,/, --> ,/,
and/CC --> and/CC
knocked/VBD --> knock/VBD
her/PRP --> she/PRP
about/RB --> about/RB
and/CC --> and/CC
beat/VB --> beat/VB
her/PRP --> she/PRP
./. --> ./.
As/IN --> as/IN
the/DT --> the/DT
authorities/NNS --> authority/NNS
at/IN --> at/IN
last/JJ --> last/JJ
heard/VBN --> hear/VBN
of/IN --> of/IN
it/PRP --> it/PRP
,/, --> ,/,
they/PRP --> they/PRP
had/VBD --> have/VBD
him/PRP --> he/PRP
summoned/VBD --> summon/VBD
,/, --> ,/,
and/CC --> and/CC
put/VBD --> put/VBD
in/RP --> in/RP
prison/NN --> prison/NN
in/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
make/VB --> make/VB
him/PRP --> he/PRP
better/JJR --> better/JJR
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
kept/VBN --> keep/VBN
for/IN --> for/IN
a/DT --> a/DT
while/NN --> while/NN
on/IN --> on/IN
bread/NN --> bread/NN
and/CC --> and/CC
water/NN --> water/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
set/VBD --> set/VBD
free/JJ --> free/JJ
again/RB --> again/RB
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
forced/VBN --> force/VBN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
to/TO --> to/TO
promise/VB --> promise/VB
not/RB --> not/RB
to/TO --> to/TO
beat/VB --> beat/VB
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
any/DT --> any/DT
more/RBR --> more/RBR
,/, --> ,/,
but/CC --> but/CC
to/TO --> to/TO
live/VB --> live/VB
with/IN --> with/IN
her/PRP$ --> she/PRP$
in/IN --> in/IN
peace/NN --> peace/NN
,/, --> ,/,
and/CC --> and/CC
share/NN --> share/NN
joy/NN --> joy/NN
and/CC --> and/CC
sorrow/NN --> sorrow/NN
with/IN --> with/IN
her/PRP --> she/PRP
,/, --> ,/,
as/IN --> as/IN
married/JJ --> married/JJ
people/NNS --> people/NNS
ought/MD --> ought/MD
to/TO --> to/TO
do/VB --> do/VB
./. --> ./.
All/DT --> all/DT
went/VBD --> go/VBD
on/RB --> on/RB
well/RB --> well/RB
for/IN --> for/IN
a/DT --> a/DT
time/NN --> time/NN
,/, --> ,/,
but/CC --> but/CC
then/RB --> then/RB
he/PRP --> he/PRP
fell/VBD --> fall/VBD
into/IN --> into/IN
his/PRP$ --> he/PRP$
old/JJ --> old/JJ
ways/NNS --> way/NNS
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
surly/JJ --> surly/JJ
and/CC --> and/CC
quarrelsome/JJ --> quarrelsome/JJ
./. --> ./.
And/CC --> and/CC
because/IN --> because/IN
he/PRP --> he/PRP
dared/VBD --> dare/VBD
not/RB --> not/RB
beat/VB --> beat/VB
her/PRP --> she/PRP
,/, --> ,/,
he/PRP --> he/PRP
would/MD --> would/MD
seize/VB --> seize/VB
her/PRP$ --> she/PRP$
by/IN --> by/IN
the/DT --> the/DT
hair/NN --> hair/NN
and/CC --> and/CC
tear/VB --> tear/VB
it/PRP --> it/PRP
out/RP --> out/RP
./. --> ./.
The/DT --> the/DT
woman/NN --> woman/NN
escaped/VBD --> escape/VBD
from/IN --> from/IN
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
sprang/VBD --> spring/VBD
out/RP --> out/RP
into/IN --> into/IN
the/DT --> the/DT
yard/NN --> yard/NN
,/, --> ,/,
but/CC --> but/CC
he/PRP --> he/PRP
ran/VBD --> run/VBD
after/IN --> after/IN
her/PRP$ --> she/PRP$
with/IN --> with/IN
his/PRP$ --> he/PRP$
yard-measure/NN --> yard-measure/NN
and/CC --> and/CC
scissors/NNS --> scissors/NNS
,/, --> ,/,
and/CC --> and/CC
chased/VBD --> chase/VBD
her/PRP --> she/PRP
about/RB --> about/RB
,/, --> ,/,
and/CC --> and/CC
threw/VBD --> throw/VBD
the/DT --> the/DT
yard-measure/NN --> yard-measure/NN
and/CC --> and/CC
scissors/NNS --> scissors/NNS
at/IN --> at/IN
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
whatever/WDT --> whatever/WDT
else/RB --> else/RB
came/VBD --> come/VBD
his/PRP$ --> he/PRP$
way/NN --> way/NN
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
hit/VBD --> hit/VBD
her/PRP$ --> she/PRP$
he/PRP --> he/PRP
laughed/VBD --> laugh/VBD
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
missed/VBD --> miss/VBD
her/PRP --> she/PRP
,/, --> ,/,
he/PRP --> he/PRP
stormed/VBD --> storm/VBD
and/CC --> and/CC
swore/VBD --> swear/VBD
./. --> ./.
This/DT --> this/DT
went/VBD --> go/VBD
on/IN --> on/IN
so/RB --> so/RB
long/JJ --> long/JJ
that/IN --> that/IN
the/DT --> the/DT
neighbors/NNS --> neighbor/NNS
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
wife/NN --> wife/NN
's/POS --> 's/POS
assistance/NN --> assistance/NN
./. --> ./.
The/DT --> the/DT
tailor/NN --> tailor/NN
was/VBD --> be/VBD
again/RB --> again/RB
summoned/VBN --> summon/VBN
before/IN --> before/IN
the/DT --> the/DT
magistrates/NNS --> magistrate/NNS
,/, --> ,/,
and/CC --> and/CC
reminded/VBD --> remind/VBD
of/IN --> of/IN
his/PRP$ --> he/PRP$
promise/NN --> promise/NN
./. --> ./.
``/`` --> ``/``
Dear/JJ --> dear/JJ
gentlemen/NNS --> gentleman/NNS
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
kept/VBN --> keep/VBN
my/PRP$ --> my/PRP$
word/NN --> word/NN
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
not/RB --> not/RB
beaten/VBN --> beat/VBN
her/PRP --> she/PRP
,/, --> ,/,
but/CC --> but/CC
have/VBP --> have/VBP
shared/VBN --> share/VBN
joy/NN --> joy/NN
and/CC --> and/CC
sorrow/NN --> sorrow/NN
with/IN --> with/IN
her/PRP --> she/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
How/WRB --> how/WRB
can/MD --> can/MD
that/WDT --> that/WDT
be/VB --> be/VB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
judge/NN --> judge/NN
,/, --> ,/,
``/`` --> ``/``
when/WRB --> when/WRB
she/PRP --> she/PRP
continually/RB --> continually/RB
brings/VBZ --> bring/VBZ
such/JJ --> such/JJ
heavy/JJ --> heavy/JJ
complaints/NNS --> complaint/NNS
against/IN --> against/IN
you/PRP --> you/PRP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
not/RB --> not/RB
beaten/VBN --> beat/VBN
her/PRP --> she/PRP
,/, --> ,/,
but/CC --> but/CC
just/RB --> just/RB
because/IN --> because/IN
she/PRP --> she/PRP
looked/VBD --> look/VBD
so/RB --> so/RB
strange/JJ --> strange/JJ
I/PRP --> I/PRP
wanted/VBD --> want/VBD
to/TO --> to/TO
comb/VB --> comb/VB
her/PRP$ --> she/PRP$
hair/NN --> hair/NN
with/IN --> with/IN
my/PRP$ --> my/PRP$
hand/NN --> hand/NN
;/: --> ;/:
she/PRP --> she/PRP
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
got/VBD --> get/VBD
away/RB --> away/RB
from/IN --> from/IN
me/PRP --> I/PRP
,/, --> ,/,
and/CC --> and/CC
left/VBD --> leave/VBD
me/PRP --> I/PRP
quite/RB --> quite/RB
spitefully/RB --> spitefully/RB
./. --> ./.
Then/RB --> then/RB
I/PRP --> I/PRP
hurried/VBD --> hurry/VBD
after/IN --> after/IN
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
bring/VB --> bring/VB
her/PRP$ --> she/PRP$
back/NN --> back/NN
to/TO --> to/TO
her/PRP$ --> she/PRP$
duty/NN --> duty/NN
,/, --> ,/,
