<title>/IN --> IN/IN
THE/DT --> the/DT
TALE/NN --> tale/NN
OF/IN --> of/IN
PIGLING/NNP --> PIGLING/NNP
BLAND/NNP --> BLAND/NNP
</title>/VBD --> VBD/VBD
<author>/NNP --> NNP/NNP
Beatrix/NNP --> Beatrix/NNP
Potter/NNP --> Potter/NNP
</author>/VBD --> VBD/VBD
ONCE/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
there/EX --> there/EX
was/VBD --> be/VBD
an/DT --> a/DT
old/JJ --> old/JJ
pig/NN --> pig/NN
called/VBN --> call/VBN
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
./. --> ./.
She/PRP --> she/PRP
had/VBD --> have/VBD
eight/CD --> eight/CD
of/IN --> of/IN
a/DT --> a/DT
family/NN --> family/NN
:/: --> :/:
four/CD --> four/CD
little/JJ --> little/JJ
girl/NN --> girl/NN
pigs/NNS --> pig/NNS
,/, --> ,/,
called/VBN --> call/VBN
Cross-patch/NNP --> Cross-patch/NNP
,/, --> ,/,
Suck-suck/JJ --> suck-suck/JJ
,/, --> ,/,
Yock-yock/JJ --> yock-yock/JJ
and/CC --> and/CC
Spot/NN --> spot/NN
;/: --> ;/:
and/CC --> and/CC
four/CD --> four/CD
little/JJ --> little/JJ
boy/NN --> boy/NN
pigs/NNS --> pig/NNS
,/, --> ,/,
called/VBN --> call/VBN
Alexander/NNP --> Alexander/NNP
,/, --> ,/,
Pigling/NNP --> Pigling/NNP
Bland/NNP --> Bland/NNP
,/, --> ,/,
Chin/NNP --> Chin/NNP
-/: --> -/:
chin/NN --> chin/NN
and/CC --> and/CC
Stumpy/NNP --> Stumpy/NNP
./. --> ./.
Stumpy/NNP --> Stumpy/NNP
had/VBD --> have/VBD
had/VBN --> have/VBN
an/DT --> a/DT
accident/NN --> accident/NN
to/TO --> to/TO
his/PRP$ --> he/PRP$
tail/NN --> tail/NN
./. --> ./.
The/DT --> the/DT
eight/CD --> eight/CD
little/JJ --> little/JJ
pigs/NNS --> pig/NNS
had/VBD --> have/VBD
very/RB --> very/RB
fine/JJ --> fine/JJ
appetites/NNS --> appetite/NNS
./. --> ./.
``/`` --> ``/``
Yus/NNP --> Yus/NNP
,/, --> ,/,
yus/NN --> yus/NN
,/, --> ,/,
yus/NN --> yus/NN
!/. --> !/.
they/PRP --> they/PRP
eat/VBP --> eat/VBP
and/CC --> and/CC
indeed/RB --> indeed/RB
they/PRP --> they/PRP
DO/VBP --> do/VBP
eat/VB --> eat/VB
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
,/, --> ,/,
looking/VBG --> look/VBG
at/IN --> at/IN
her/PRP$ --> she/PRP$
family/NN --> family/NN
with/IN --> with/IN
pride/NN --> pride/NN
./. --> ./.
Suddenly/RB --> suddenly/RB
there/EX --> there/EX
were/VBD --> be/VBD
fearful/JJ --> fearful/JJ
squeals/NNS --> squeal/NNS
;/: --> ;/:
Alexander/NNP --> Alexander/NNP
had/VBD --> have/VBD
squeezed/VBN --> squeeze/VBN
inside/IN --> inside/IN
the/DT --> the/DT
hoops/NNS --> hoop/NNS
of/IN --> of/IN
the/DT --> the/DT
pig/NN --> pig/NN
trough/NN --> trough/NN
and/CC --> and/CC
stuck/VBD --> stick/VBD
./. --> ./.
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
and/CC --> and/CC
I/PRP --> I/PRP
dragged/VBD --> drag/VBD
him/PRP --> he/PRP
out/RP --> out/RP
by/IN --> by/IN
the/DT --> the/DT
hind/NN --> hind/NN
legs/NNS --> leg/NNS
./. --> ./.
Chin-chin/NN --> chin-chin/NN
was/VBD --> be/VBD
already/RB --> already/RB
in/IN --> in/IN
disgrace/NN --> disgrace/NN
;/: --> ;/:
it/PRP --> it/PRP
was/VBD --> be/VBD
washing/VBG --> wash/VBG
day/NN --> day/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
had/VBD --> have/VBD
eaten/VBN --> eat/VBN
a/DT --> a/DT
piece/NN --> piece/NN
of/IN --> of/IN
soap/NN --> soap/NN
./. --> ./.
And/CC --> and/CC
presently/RB --> presently/RB
in/IN --> in/IN
a/DT --> a/DT
basket/NN --> basket/NN
of/IN --> of/IN
clean/JJ --> clean/JJ
clothes/NNS --> clothes/NNS
,/, --> ,/,
we/PRP --> we/PRP
found/VBD --> find/VBD
another/DT --> another/DT
dirty/JJ --> dirty/JJ
little/JJ --> little/JJ
pig/NN --> pig/NN
./. --> ./.
``/`` --> ``/``
Tchut/NNP --> Tchut/NNP
,/, --> ,/,
tut/NN --> tut/NN
,/, --> ,/,
tut/NN --> tut/NN
!/. --> !/.
whichever/WDT --> whichever/WDT
is/VBZ --> be/VBZ
this/DT --> this/DT
?/. --> ?/.
''/'' --> ''/''
grunted/JJ --> grunted/JJ
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
./. --> ./.
Now/RB --> now/RB
all/PDT --> all/PDT
the/DT --> the/DT
pig/NN --> pig/NN
family/NN --> family/NN
are/VBP --> be/VBP
pink/JJ --> pink/JJ
,/, --> ,/,
or/CC --> or/CC
pink/JJ --> pink/JJ
with/IN --> with/IN
black/JJ --> black/JJ
spots/NNS --> spot/NNS
,/, --> ,/,
but/CC --> but/CC
this/DT --> this/DT
pig/NN --> pig/NN
child/NN --> child/NN
was/VBD --> be/VBD
smutty/JJ --> smutty/JJ
black/JJ --> black/JJ
all/DT --> all/DT
over/IN --> over/IN
;/: --> ;/:
when/WRB --> when/WRB
it/PRP --> it/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
popped/VBN --> pop/VBN
into/IN --> into/IN
a/DT --> a/DT
tub/NN --> tub/NN
,/, --> ,/,
it/PRP --> it/PRP
proved/VBD --> prove/VBD
to/TO --> to/TO
be/VB --> be/VB
Yock-yock/JJ --> yock-yock/JJ
./. --> ./.
I/PRP --> I/PRP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
garden/NN --> garden/NN
;/: --> ;/:
there/EX --> there/EX
I/PRP --> I/PRP
found/VBD --> find/VBD
Cross-patch/JJ --> cross-patch/JJ
and/CC --> and/CC
Suck-suck/JJ --> suck-suck/JJ
rooting/VBG --> root/VBG
up/RP --> up/RP
carrots/NNS --> carrot/NNS
./. --> ./.
I/PRP --> I/PRP
whipped/VBD --> whip/VBD
them/PRP --> they/PRP
myself/PRP --> myself/PRP
and/CC --> and/CC
led/VBD --> lead/VBD
them/PRP --> they/PRP
out/RP --> out/RP
by/IN --> by/IN
the/DT --> the/DT
ears/NNS --> ear/NNS
./. --> ./.
Cross-patch/NN --> cross-patch/NN
tried/VBD --> try/VBD
to/TO --> to/TO
bite/VB --> bite/VB
me/PRP --> I/PRP
./. --> ./.
``/`` --> ``/``
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
,/, --> ,/,
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
!/. --> !/.
you/PRP --> you/PRP
are/VBP --> be/VBP
a/DT --> a/DT
worthy/JJ --> worthy/JJ
person/NN --> person/NN
,/, --> ,/,
but/CC --> but/CC
your/PRP$ --> you/PRP$
family/NN --> family/NN
is/VBZ --> be/VBZ
not/RB --> not/RB
well/RB --> well/RB
brought/VBN --> bring/VBN
up/RP --> up/RP
./. --> ./.
Every/DT --> every/DT
one/CD --> one/CD
of/IN --> of/IN
them/PRP --> they/PRP
has/VBZ --> have/VBZ
been/VBN --> be/VBN
in/IN --> in/IN
mischief/NN --> mischief/NN
except/IN --> except/IN
Spot/NNP --> Spot/NNP
and/CC --> and/CC
Pigling/NNP --> Pigling/NNP
Bland/NNP --> Bland/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Yus/NNP --> Yus/NNP
,/, --> ,/,
yus/NN --> yus/NN
!/. --> !/.
''/'' --> ''/''
sighed/VBD --> sigh/VBD
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
./. --> ./.
``/`` --> ``/``
And/CC --> and/CC
they/PRP --> they/PRP
drink/VBP --> drink/VBP
bucketfuls/NNS --> bucketful/NNS
of/IN --> of/IN
milk/NN --> milk/NN
;/: --> ;/:
I/PRP --> I/PRP
shall/MD --> shall/MD
have/VB --> have/VB
to/TO --> to/TO
get/VB --> get/VB
another/DT --> another/DT
cow/NN --> cow/NN
!/. --> !/.
Good/JJ --> good/JJ
little/JJ --> little/JJ
Spot/NN --> spot/NN
shall/MD --> shall/MD
stay/VB --> stay/VB
at/IN --> at/IN
home/NN --> home/NN
to/TO --> to/TO
do/VB --> do/VB
the/DT --> the/DT
housework/NN --> housework/NN
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
others/NNS --> other/NNS
must/MD --> must/MD
go/VB --> go/VB
./. --> ./.
Four/CD --> four/CD
little/JJ --> little/JJ
boy/NN --> boy/NN
pigs/NNS --> pig/NNS
and/CC --> and/CC
four/CD --> four/CD
little/JJ --> little/JJ
girl/NN --> girl/NN
pigs/NNS --> pig/NNS
are/VBP --> be/VBP
too/RB --> too/RB
many/JJ --> many/JJ
altogether/RB --> altogether/RB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Yus/NNP --> Yus/NNP
,/, --> ,/,
yus/NN --> yus/NN
,/, --> ,/,
yus/NN --> yus/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
,/, --> ,/,
``/`` --> ``/``
there/EX --> there/EX
will/MD --> will/MD
be/VB --> be/VB
more/RBR --> more/RBR
to/TO --> to/TO
eat/VB --> eat/VB
without/IN --> without/IN
them/PRP --> they/PRP
./. --> ./.
''/'' --> ''/''
So/RB --> so/RB
Chin-chin/JJ --> chin-chin/JJ
and/CC --> and/CC
Suck-suck/JJ --> suck-suck/JJ
went/VBD --> go/VBD
away/RB --> away/RB
in/IN --> in/IN
a/DT --> a/DT
wheel-barrow/NN --> wheel-barrow/NN
,/, --> ,/,
and/CC --> and/CC
Stumpy/NNP --> Stumpy/NNP
,/, --> ,/,
Yock-yock/NNP --> Yock-yock/NNP
and/CC --> and/CC
Cross/NNP --> Cross/NNP
-/: --> -/:
patch/NN --> patch/NN
rode/VBD --> ride/VBD
away/RB --> away/RB
in/IN --> in/IN
a/DT --> a/DT
cart/NN --> cart/NN
./. --> ./.
And/CC --> and/CC
the/DT --> the/DT
other/JJ --> other/JJ
two/CD --> two/CD
little/JJ --> little/JJ
boy/NN --> boy/NN
pigs/NNS --> pig/NNS
,/, --> ,/,
Pigling/NNP --> Pigling/NNP
Bland/NNP --> Bland/NNP
and/CC --> and/CC
Alexander/NNP --> Alexander/NNP
,/, --> ,/,
went/VBD --> go/VBD
to/TO --> to/TO
market/NN --> market/NN
./. --> ./.
We/PRP --> we/PRP
brushed/VBD --> brush/VBD
their/PRP$ --> they/PRP$
coats/NNS --> coat/NNS
,/, --> ,/,
we/PRP --> we/PRP
curled/VBD --> curl/VBD
their/PRP$ --> they/PRP$
tails/NNS --> tail/NNS
and/CC --> and/CC
washed/VBD --> wash/VBD
their/PRP$ --> they/PRP$
little/JJ --> little/JJ
faces/NNS --> face/NNS
,/, --> ,/,
and/CC --> and/CC
wished/VBD --> wish/VBD
them/PRP --> they/PRP
good-bye/NN --> good-bye/NN
in/IN --> in/IN
the/DT --> the/DT
yard/NN --> yard/NN
./. --> ./.
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
wiped/VBD --> wipe/VBD
her/PRP$ --> she/PRP$
eyes/NNS --> eye/NNS
with/IN --> with/IN
a/DT --> a/DT
large/JJ --> large/JJ
pocket/NN --> pocket/NN
handkerchief/NN --> handkerchief/NN
,/, --> ,/,
then/RB --> then/RB
she/PRP --> she/PRP
wiped/VBD --> wipe/VBD
Pigling/NNP --> Pigling/NNP
Bland/NNP --> Bland/NNP
's/POS --> 's/POS
nose/NN --> nose/NN
and/CC --> and/CC
shed/VBD --> shed/VBD
tears/NNS --> tear/NNS
;/: --> ;/:
then/RB --> then/RB
she/PRP --> she/PRP
wiped/VBD --> wipe/VBD
Alexander/NNP --> Alexander/NNP
's/POS --> 's/POS
nose/NN --> nose/NN
and/CC --> and/CC
shed/VBD --> shed/VBD
tears/NNS --> tear/NNS
;/: --> ;/:
then/RB --> then/RB
she/PRP --> she/PRP
passed/VBD --> pass/VBD
the/DT --> the/DT
handkerchief/NN --> handkerchief/NN
to/TO --> to/TO
Spot/NNP --> Spot/NNP
./. --> ./.
Aunt/NNP --> Aunt/NNP
Pettitoes/NNP --> Pettitoes/NNP
sighed/VBD --> sigh/VBD
and/CC --> and/CC
grunted/VBD --> grunt/VBD
,/, --> ,/,
and/CC --> and/CC
addressed/VBD --> address/VBD
those/DT --> those/DT
little/JJ --> little/JJ
pigs/NNS --> pig/NNS
as/RB --> as/RB
follows/VBZ --> follow/VBZ
:/: --> :/:
``/`` --> ``/``
Now/RB --> now/RB
Pigling/VBG --> pigle/VBG
Bland/NNP --> Bland/NNP
,/, --> ,/,
son/NN --> son/NN
