<title>/IN --> IN/IN
64/CD --> 64/CD
The/DT --> the/DT
Golden/NNP --> Golden/NNP
Goose/NNP --> Goose/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
man/NN --> man/NN
who/WP --> who/WP
had/VBD --> have/VBD
three/CD --> three/CD
sons/NNS --> son/NNS
,/, --> ,/,
the/DT --> the/DT
youngest/JJS --> youngest/JJS
of/IN --> of/IN
whom/WP --> whom/WP
was/VBD --> be/VBD
called/VBN --> call/VBN
Dummling/NNP --> Dummling/NNP
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
despised/VBN --> despise/VBN
,/, --> ,/,
mocked/VBN --> mock/VBN
,/, --> ,/,
and/CC --> and/CC
put/VBD --> put/VBD
down/RP --> down/RP
on/IN --> on/IN
every/DT --> every/DT
occasion/NN --> occasion/NN
./. --> ./.
It/PRP --> it/PRP
happened/VBD --> happen/VBD
that/IN --> that/IN
the/DT --> the/DT
eldest/NN --> eldest/NN
wanted/VBD --> want/VBD
to/TO --> to/TO
go/VB --> go/VB
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
to/TO --> to/TO
hew/VB --> hew/VB
wood/NN --> wood/NN
,/, --> ,/,
and/CC --> and/CC
before/IN --> before/IN
he/PRP --> he/PRP
went/VBD --> go/VBD
his/PRP$ --> he/PRP$
mother/NN --> mother/NN
gave/VBD --> give/VBD
him/PRP --> he/PRP
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
sweet/JJ --> sweet/JJ
cake/NN --> cake/NN
and/CC --> and/CC
a/DT --> a/DT
bottle/NN --> bottle/NN
of/IN --> of/IN
wine/NN --> wine/NN
in/IN --> in/IN
order/NN --> order/NN
that/IN --> that/IN
he/PRP --> he/PRP
might/MD --> might/MD
not/RB --> not/RB
suffer/VB --> suffer/VB
