<title>/IN --> IN/IN
53/CD --> 53/CD
Little/JJ --> little/JJ
Snow-white/JJ --> snow-white/JJ
</title>/NN --> NN/NN
<author>/NNP --> NNP/NNP
Brothers/NNP --> Brothers/NNP
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
in/IN --> in/IN
the/DT --> the/DT
middle/NN --> middle/NN
of/IN --> of/IN
winter/NN --> winter/NN
,/, --> ,/,
when/WRB --> when/WRB
the/DT --> the/DT
flakes/NNS --> flake/NNS
of/IN --> of/IN
snow/NN --> snow/NN
were/VBD --> be/VBD
falling/VBG --> fall/VBG
like/IN --> like/IN
feathers/NNS --> feather/NNS
from/IN --> from/IN
the/DT --> the/DT
sky/NN --> sky/NN
,/, --> ,/,
a/DT --> a/DT
queen/NN --> queen/NN
sat/VBD --> sit/VBD
at/IN --> at/IN
a/DT --> a/DT
window/NN --> window/NN
sewing/NN --> sewing/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
frame/NN --> frame/NN
of/IN --> of/IN
the/DT --> the/DT
window/NN --> window/NN
was/VBD --> be/VBD
made/VBN --> make/VBN
of/IN --> of/IN
black/JJ --> black/JJ
ebony/NN --> ebony/NN
./. --> ./.
And/CC --> and/CC
whilst/IN --> whilst/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
sewing/VBG --> sew/VBG
and/CC --> and/CC
looking/VBG --> look/VBG
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
window/NN --> window/NN
at/IN --> at/IN
the/DT --> the/DT
snow/NN --> snow/NN
,/, --> ,/,
she/PRP --> she/PRP
pricked/VBD --> prick/VBD
her/PRP$ --> she/PRP$
finger/NN --> finger/NN
with/IN --> with/IN
the/DT --> the/DT
needle/NN --> needle/NN
,/, --> ,/,
and/CC --> and/CC
three/CD --> three/CD
drops/NNS --> drop/NNS
of/IN --> of/IN
blood/NN --> blood/NN
fell/VBD --> fall/VBD
upon/IN --> upon/IN
the/DT --> the/DT
snow/NN --> snow/NN
./. --> ./.
And/CC --> and/CC
the/DT --> the/DT
red/NN --> red/NN
looked/VBD --> look/VBD
pretty/RB --> pretty/RB
upon/IN --> upon/IN
the/DT --> the/DT
white/JJ --> white/JJ
snow/NN --> snow/NN
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
thought/VBD --> think/VBD
to/TO --> to/TO
herself/PRP --> herself/PRP
,/, --> ,/,
``/`` --> ``/``
Would/MD --> would/MD
that/IN --> that/IN
I/PRP --> I/PRP
had/VBD --> have/VBD
a/DT --> a/DT
child/NN --> child/NN
as/IN --> as/IN
white/JJ --> white/JJ
as/IN --> as/IN
snow/NN --> snow/NN
,/, --> ,/,
as/IN --> as/IN
red/JJ --> red/JJ
as/IN --> as/IN
blood/NN --> blood/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
black/JJ --> black/JJ
as/IN --> as/IN
the/DT --> the/DT
wood/NN --> wood/NN
of/IN --> of/IN
the/DT --> the/DT
window-frame/NN --> window-frame/NN
./. --> ./.
''/'' --> ''/''
Soon/RB --> soon/RB
after/IN --> after/IN
that/IN --> that/IN
she/PRP --> she/PRP
had/VBD --> have/VBD
a/DT --> a/DT
little/JJ --> little/JJ
daughter/NN --> daughter/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
as/IN --> as/IN
white/JJ --> white/JJ
as/IN --> as/IN
snow/NN --> snow/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
red/JJ --> red/JJ
as/IN --> as/IN
blood/NN --> blood/NN
,/, --> ,/,
and/CC --> and/CC
her/PRP$ --> she/PRP$
hair/NN --> hair/NN
was/VBD --> be/VBD
as/IN --> as/IN
black/JJ --> black/JJ
as/IN --> as/IN
ebony/NN --> ebony/NN
;/: --> ;/:
and/CC --> and/CC
she/PRP --> she/PRP
was/VBD --> be/VBD
therefore/RB --> therefore/RB
called/VBN --> call/VBN
Little/NNP --> Little/NNP
Snow-white/NNP --> Snow-white/NNP
./. --> ./.
And/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
child/NN --> child/NN
was/VBD --> be/VBD
born/VBN --> bear/VBN
,/, --> ,/,
the/DT --> the/DT
Queen/NNP --> Queen/NNP
died/VBD --> die/VBD
./. --> ./.
After/IN --> after/IN
a/DT --> a/DT
year/NN --> year/NN
had/VBD --> have/VBD
passed/VBN --> pass/VBN
the/DT --> the/DT
King/NNP --> King/NNP
took/VBD --> take/VBD
to/TO --> to/TO
himself/PRP --> himself/PRP
another/DT --> another/DT
wife/NN --> wife/NN
./. --> ./.
She/PRP --> she/PRP
was/VBD --> be/VBD
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
woman/NN --> woman/NN
,/, --> ,/,
but/CC --> but/CC
proud/JJ --> proud/JJ
and/CC --> and/CC
haughty/JJ --> haughty/JJ
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
could/MD --> could/MD
not/RB --> not/RB
bear/VB --> bear/VB
that/IN --> that/IN
anyone/NN --> anyone/NN
else/RB --> else/RB
should/MD --> should/MD
surpass/VB --> surpass/VB
her/PRP$ --> she/PRP$
in/IN --> in/IN
beauty/NN --> beauty/NN
./. --> ./.
She/PRP --> she/PRP
had/VBD --> have/VBD
a/DT --> a/DT
wonderful/JJ --> wonderful/JJ
looking-glass/NN --> looking-glass/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
stood/VBD --> stand/VBD
in/IN --> in/IN
front/NN --> front/NN
of/IN --> of/IN
it/PRP --> it/PRP
and/CC --> and/CC
looked/VBD --> look/VBD
at/IN --> at/IN
herself/PRP --> herself/PRP
in/IN --> in/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
--/: --> --/:
``/`` --> ``/``
Looking-glass/JJ --> looking-glass/JJ
,/, --> ,/,
Looking-glass/JJ --> looking-glass/JJ
,/, --> ,/,
on/IN --> on/IN
the/DT --> the/DT
wall/NN --> wall/NN
,/, --> ,/,
Who/WP --> who/WP
in/IN --> in/IN
this/DT --> this/DT
land/NN --> land/NN
is/VBZ --> be/VBZ
the/DT --> the/DT
fairest/JJS --> fairest/JJS
of/IN --> of/IN
all/DT --> all/DT
?/. --> ?/.
''/'' --> ''/''
the/DT --> the/DT
looking-glass/NN --> looking-glass/NN
answered/VBN --> answer/VBN
--/: --> --/:
``/`` --> ``/``
Thou/NNP --> Thou/NNP
,/, --> ,/,
O/NNP --> O/NNP
Queen/NNP --> Queen/NNP
,/, --> ,/,
art/NN --> art/NN
the/DT --> the/DT
fairest/JJS --> fairest/JJS
of/IN --> of/IN
all/DT --> all/DT
!/. --> !/.
''/'' --> ''/''
Then/RB --> then/RB
she/PRP --> she/PRP
was/VBD --> be/VBD
satisfied/VBN --> satisfy/VBN
,/, --> ,/,
for/IN --> for/IN
she/PRP --> she/PRP
knew/VBD --> know/VBD
that/IN --> that/IN
the/DT --> the/DT
looking-glass/JJ --> looking-glass/JJ
spoke/VBD --> speak/VBD
the/DT --> the/DT
truth/NN --> truth/NN
./. --> ./.
But/CC --> but/CC
Snow-white/JJ --> snow-white/JJ
was/VBD --> be/VBD
growing/VBG --> grow/VBG
up/RP --> up/RP
,/, --> ,/,
and/CC --> and/CC
grew/VBD --> grow/VBD
more/JJR --> more/JJR
and/CC --> and/CC
more/RBR --> more/RBR
beautiful/JJ --> beautiful/JJ
;/: --> ;/:
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
was/VBD --> be/VBD
seven/CD --> seven/CD
years/NNS --> year/NNS
old/JJ --> old/JJ
she/PRP --> she/PRP
was/VBD --> be/VBD
as/IN --> as/IN
beautiful/JJ --> beautiful/JJ
as/IN --> as/IN
the/DT --> the/DT
day/NN --> day/NN
,/, --> ,/,
and/CC --> and/CC
more/RBR --> more/RBR
beautiful/JJ --> beautiful/JJ
than/IN --> than/IN
the/DT --> the/DT
Queen/NNP --> Queen/NNP
herself/PRP --> herself/PRP
./. --> ./.
And/CC --> and/CC
once/RB --> once/RB
when/WRB --> when/WRB
the/DT --> the/DT
Queen/NNP --> Queen/NNP
asked/VBD --> ask/VBD
her/PRP$ --> she/PRP$
looking-glass/NN --> looking-glass/NN
--/: --> --/:
``/`` --> ``/``
Looking-glass/JJ --> looking-glass/JJ
,/, --> ,/,
Looking-glass/JJ --> looking-glass/JJ
,/, --> ,/,
on/IN --> on/IN
the/DT --> the/DT
wall/NN --> wall/NN
,/, --> ,/,
Who/WP --> who/WP
in/IN --> in/IN
this/DT --> this/DT
land/NN --> land/NN
is/VBZ --> be/VBZ
the/DT --> the/DT
fairest/JJS --> fairest/JJS
of/IN --> of/IN
all/DT --> all/DT
?/. --> ?/.
''/'' --> ''/''
it/PRP --> it/PRP
answered/VBD --> answer/VBD
--/: --> --/:
``/`` --> ``/``
Thou/NNP --> Thou/NNP
art/NN --> art/NN
fairer/JJR --> fairer/JJR
than/IN --> than/IN
all/DT --> all/DT
who/WP --> who/WP
