<title>/JJ --> JJ/JJ
MOMOTARO/NNP --> MOMOTARO/NNP
,/, --> ,/,
OR/NNP --> OR/NNP
THE/DT --> the/DT
STORY/NN --> story/NN
OF/IN --> of/IN
THE/DT --> the/DT
SON/NN --> son/NN
OF/IN --> of/IN
A/DT --> a/DT
PEACH/NNP --> PEACH/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Japanese/NNP --> Japanese/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Long/NNP --> Long/NNP
,/, --> ,/,
long/RB --> long/RB
ago/IN --> ago/IN
there/EX --> there/EX
lived/VBD --> live/VBD
,/, --> ,/,
an/DT --> a/DT
old/JJ --> old/JJ
man/NN --> man/NN
and/CC --> and/CC
./. --> ./.
an/DT --> a/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
;/: --> ;/:
they/PRP --> they/PRP
were/VBD --> be/VBD
peasants/NNS --> peasant/NNS
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
to/TO --> to/TO
work/VB --> work/VB
hard/JJ --> hard/JJ
to/TO --> to/TO
earn/VB --> earn/VB
their/PRP$ --> they/PRP$
daily/JJ --> daily/JJ
rice/NN --> rice/NN
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
man/NN --> man/NN
used/VBN --> use/VBN
to/TO --> to/TO
go/VB --> go/VB
and/CC --> and/CC
cut/VB --> cut/VB
grass/NN --> grass/NN
for/IN --> for/IN
the/DT --> the/DT
farmers/NNS --> farmer/NNS
around/RB --> around/RB
,/, --> ,/,
and/CC --> and/CC
while/IN --> while/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
gone/VBN --> go/VBN
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
,/, --> ,/,
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
did/VBD --> do/VBD
the/DT --> the/DT
work/NN --> work/NN
of/IN --> of/IN
the/DT --> the/DT
house/NN --> house/NN
and/CC --> and/CC
worked/VBD --> work/VBD
in/IN --> in/IN
their/PRP$ --> they/PRP$
own/JJ --> own/JJ
little/JJ --> little/JJ
rice/NN --> rice/NN
field/NN --> field/NN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
the/DT --> the/DT
old/JJ --> old/JJ
man/NN --> man/NN
went/VBD --> go/VBD
to/TO --> to/TO
the/DT --> the/DT
hills/NNS --> hill/NNS
as/IN --> as/IN
usual/JJ --> usual/JJ
to/TO --> to/TO
cut/VB --> cut/VB
grass/NN --> grass/NN
and/CC --> and/CC
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
took/VBD --> take/VBD
some/DT --> some/DT
clothes/NNS --> clothes/NNS
to/TO --> to/TO
the/DT --> the/DT
river/NN --> river/NN
to/TO --> to/TO
wash./VB --> wash./VB
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
nearly/RB --> nearly/RB
summer/NN --> summer/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
country/NN --> country/NN
was/VBD --> be/VBD
very/RB --> very/RB
beautiful/JJ --> beautiful/JJ
to/TO --> to/TO
see/VB --> see/VB
in/IN --> in/IN
its/PRP$ --> its/PRP$
fresh/JJ --> fresh/JJ
greenness/NN --> greenness/NN
as/IN --> as/IN
the/DT --> the/DT
two/CD --> two/CD
old/JJ --> old/JJ
people/NNS --> people/NNS
went/VBD --> go/VBD
on/IN --> on/IN
their/PRP$ --> they/PRP$
way/NN --> way/NN
to/TO --> to/TO
work/VB --> work/VB
./. --> ./.
The/DT --> the/DT
grass/NN --> grass/NN
on/IN --> on/IN
the/DT --> the/DT
banks/NNS --> bank/NNS
of/IN --> of/IN
the/DT --> the/DT
river/NN --> river/NN
looked/VBD --> look/VBD
like/IN --> like/IN
emerald/NN --> emerald/NN
velvet/NN --> velvet/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
pussy/JJ --> pussy/JJ
willows/NNS --> willow/NNS
along/IN --> along/IN
the/DT --> the/DT
edge/NN --> edge/NN
of/IN --> of/IN
the/DT --> the/DT
water/NN --> water/NN
were/VBD --> be/VBD
shaking/VBG --> shake/VBG
out/RP --> out/RP
their/PRP$ --> they/PRP$
soft/JJ --> soft/JJ
tassels/NNS --> tassel/NNS
./. --> ./.
The/DT --> the/DT
breezes/NNS --> breeze/NNS
blew/VBD --> blow/VBD
and/CC --> and/CC
ruffled/VBD --> ruffle/VBD
the/DT --> the/DT
smooth/JJ --> smooth/JJ
surface/NN --> surface/NN
of/IN --> of/IN
the/DT --> the/DT
water/NN --> water/NN
into/IN --> into/IN
wavelets/NNS --> wavelet/NNS
,/, --> ,/,
and/CC --> and/CC
passing/VBG --> pass/VBG
on/IN --> on/IN
touched/VBN --> touch/VBN
the/DT --> the/DT
cheeks/NNS --> cheek/NNS
of/IN --> of/IN
the/DT --> the/DT
old/JJ --> old/JJ
couple/NN --> couple/NN
who/WP --> who/WP
,/, --> ,/,
for/IN --> for/IN
some/DT --> some/DT
reason/NN --> reason/NN
they/PRP --> they/PRP
could/MD --> could/MD
not/RB --> not/RB
explain/VB --> explain/VB
,/, --> ,/,
felt/VBD --> feel/VBD
very/RB --> very/RB
happy/JJ --> happy/JJ
that/IN --> that/IN
morning/NN --> morning/NN
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
at/IN --> at/IN
last/JJ --> last/JJ
found/VBD --> find/VBD
a/DT --> a/DT
nice/JJ --> nice/JJ
spot/NN --> spot/NN
by/IN --> by/IN
the/DT --> the/DT
river/NN --> river/NN
bank/NN --> bank/NN
and/CC --> and/CC
put/VBD --> put/VBD
her/PRP$ --> she/PRP$
basket/NN --> basket/NN
down/RB --> down/RB
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
set/VBD --> set/VBD
to/TO --> to/TO
work/VB --> work/VB
to/TO --> to/TO
wash/VB --> wash/VB
the/DT --> the/DT
clothes/NNS --> clothes/NNS
;/: --> ;/:
she/PRP --> she/PRP
took/VBD --> take/VBD
them/PRP --> they/PRP
one/CD --> one/CD
by/IN --> by/IN
one/CD --> one/CD
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
basket/NN --> basket/NN
and/CC --> and/CC
washed/VBD --> wash/VBD
them/PRP --> they/PRP
in/IN --> in/IN
the/DT --> the/DT
river/NN --> river/NN
and/CC --> and/CC
rubbed/VBD --> rub/VBD
them/PRP --> they/PRP
on/IN --> on/IN
the/DT --> the/DT
stones/NNS --> stone/NNS
./. --> ./.
The/DT --> the/DT
water/NN --> water/NN
was/VBD --> be/VBD
as/IN --> as/IN
clear/JJ --> clear/JJ
as/IN --> as/IN
crystal/NN --> crystal/NN
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
could/MD --> could/MD
see/VB --> see/VB
the/DT --> the/DT
tiny/JJ --> tiny/JJ
fish/NN --> fish/NN
swimming/NN --> swimming/NN
to/TO --> to/TO
and/CC --> and/CC
fro/NN --> fro/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
pebbles/NNS --> pebble/NNS
at/IN --> at/IN
the/DT --> the/DT
bottom/NN --> bottom/NN
./. --> ./.
As/IN --> as/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
busy/JJ --> busy/JJ
washing/VBG --> wash/VBG
her/PRP$ --> she/PRP$
clothes/NNS --> clothes/NNS
a/DT --> a/DT
great/JJ --> great/JJ
peach/NN --> peach/NN
came/VBD --> come/VBD
bumping/VBG --> bump/VBG
down/RP --> down/RP
the/DT --> the/DT
stream/NN --> stream/NN
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
looked/VBD --> look/VBD
up/RP --> up/RP
from/IN --> from/IN
her/PRP$ --> she/PRP$
work/NN --> work/NN
and/CC --> and/CC
saw/VBD --> see/VBD
this/DT --> this/DT
large/JJ --> large/JJ
peach/NN --> peach/NN
./. --> ./.
She/PRP --> she/PRP
was/VBD --> be/VBD
sixty/JJ --> sixty/JJ
years/NNS --> year/NNS
of/IN --> of/IN
age/NN --> age/NN
,/, --> ,/,
yet/RB --> yet/RB
in/IN --> in/IN
all/DT --> all/DT
her/PRP$ --> she/PRP$
life/NN --> life/NN
she/PRP --> she/PRP
had/VBD --> have/VBD
never/RB --> never/RB
seen/VBN --> see/VBN
such/PDT --> such/PDT
a/DT --> a/DT
big/JJ --> big/JJ
peach/NN --> peach/NN
as/IN --> as/IN
this/DT --> this/DT
./. --> ./.
``/`` --> ``/``
How/WRB --> how/WRB
delicious/JJ --> delicious/JJ
that/IN --> that/IN
peach/NN --> peach/NN
must/MD --> must/MD
be/VB --> be/VB
!/. --> !/.
''/'' --> ''/''
she/PRP --> she/PRP
said/VBD --> say/VBD
to/TO --> to/TO
herself/PRP --> herself/PRP
./. --> ./.
``/`` --> ``/``
I/PRP --> I/PRP
must/MD --> must/MD
certainly/RB --> certainly/RB
get/VB --> get/VB
it/PRP --> it/PRP
and/CC --> and/CC
take/VB --> take/VB
it/PRP --> it/PRP
home/NN --> home/NN
to/TO --> to/TO
my/PRP$ --> my/PRP$
old/JJ --> old/JJ
man/NN --> man/NN
./. --> ./.
''/'' --> ''/''
She/PRP --> she/PRP
stretched/VBD --> stretch/VBD
out/RP --> out/RP
her/PRP$ --> she/PRP$
arm/NN --> arm/NN
to/TO --> to/TO
try/VB --> try/VB
and/CC --> and/CC
get/VB --> get/VB
it/PRP --> it/PRP
,/, --> ,/,
but/CC --> but/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
quite/RB --> quite/RB
out/IN --> out/IN
of/IN --> of/IN
her/PRP$ --> she/PRP$
reach/NN --> reach/NN
./. --> ./.
She/PRP --> she/PRP
looked/VBD --> look/VBD
about/IN --> about/IN
for/IN --> for/IN
a/DT --> a/DT
stick/NN --> stick/NN
,/, --> ,/,
but/CC --> but/CC
there/EX --> there/EX
was/VBD --> be/VBD
not/RB --> not/RB
one/CD --> one/CD
to/TO --> to/TO
be/VB --> be/VB
seen/VBN --> see/VBN
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
she/PRP --> she/PRP
went/VBD --> go/VBD
to/TO --> to/TO
look/VB --> look/VB
for/IN --> for/IN
one/CD --> one/CD
she/PRP --> she/PRP
would/MD --> would/MD
lose/VB --> lose/VB
the/DT --> the/DT
peach/NN --> peach/NN
./. --> ./.
Stopping/VBG --> stop/VBG
a/DT --> a/DT
moment/NN --> moment/NN
to/TO --> to/TO
think/VB --> think/VB
what/WP --> what/WP
she/PRP --> she/PRP
would/MD --> would/MD
do/VB --> do/VB
,/, --> ,/,
she/PRP --> she/PRP
remembered/VBD --> remember/VBD
an/DT --> a/DT
old/JJ --> old/JJ
charm-verse/NN --> charm-verse/NN
./. --> ./.
Now/RB --> now/RB
she/PRP --> she/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
clap/VB --> clap/VB
her/PRP$ --> she/PRP$
hands/NNS --> hand/NNS
to/TO --> to/TO
keep/VB --> keep/VB
time/NN --> time/NN
to/TO --> to/TO
the/DT --> the/DT
rolling/NN --> rolling/NN
of/IN --> of/IN
the/DT --> the/DT
peach/NN --> peach/NN
down/IN --> down/IN
stream/NN --> stream/NN
,/, --> ,/,
and/CC --> and/CC
while/IN --> while/IN
she/PRP --> she/PRP
clapped/VBD --> clap/VBD
she/PRP --> she/PRP
sang/VBD --> sing/VBD
this/DT --> this/DT
song/NN --> song/NN
:/: --> :/:
``/`` --> ``/``
Distant/JJ --> distant/JJ
water/NN --> water/NN
is/VBZ --> be/VBZ
bitter/JJ --> bitter/JJ
,/, --> ,/,
The/DT --> the/DT
near/JJ --> near/JJ
water/NN --> water/NN
is/VBZ --> be/VBZ
sweet/JJ --> sweet/JJ
;/: --> ;/:
Pass/NNP --> Pass/NNP
by/IN --> by/IN
the/DT --> the/DT
distant/JJ --> distant/JJ
water/NN --> water/NN
And/CC --> and/CC
come/VB --> come/VB
into/IN --> into/IN
the/DT --> the/DT
sweet/JJ --> sweet/JJ
./. --> ./.
''/'' --> ''/''
Strange/JJ --> strange/JJ
to/TO --> to/TO
say/VB --> say/VB
,/, --> ,/,
as/RB --> as/RB
soon/RB --> soon/RB
as/IN --> as/IN
she/PRP --> she/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
repeat/VB --> repeat/VB
this/DT --> this/DT
little/JJ --> little/JJ
song/NN --> song/NN
the/DT --> the/DT
peach/NN --> peach/NN
began/VBD --> begin/VBD
to/TO --> to/TO
come/VB --> come/VB
nearer/IN --> nearer/IN
and/CC --> and/CC
nearer/IN --> nearer/IN
the/DT --> the/DT
bank/NN --> bank/NN
where/WRB --> where/WRB
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
was/VBD --> be/VBD
standing/VBG --> stand/VBG
,/, --> ,/,
till/IN --> till/IN
at/IN --> at/IN
last/JJ --> last/JJ
it/PRP --> it/PRP
stopped/VBD --> stop/VBD
just/RB --> just/RB
in/IN --> in/IN
front/NN --> front/NN
of/IN --> of/IN
her/PRP$ --> she/PRP$
so/RB --> so/RB
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
able/JJ --> able/JJ
to/TO --> to/TO
take/VB --> take/VB
it/PRP --> it/PRP
up/RP --> up/RP
in/IN --> in/IN
her/PRP$ --> she/PRP$
hands/NNS --> hand/NNS
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
was/VBD --> be/VBD
delighted/JJ --> delighted/JJ
./. --> ./.
She/PRP --> she/PRP
could/MD --> could/MD
not/RB --> not/RB
go/VB --> go/VB
on/IN --> on/IN
with/IN --> with/IN
her/PRP$ --> she/PRP$
work/NN --> work/NN
,/, --> ,/,
so/RB --> so/RB
happy/JJ --> happy/JJ
and/CC --> and/CC
excited/JJ --> excited/JJ
was/VBD --> be/VBD
she/PRP --> she/PRP
,/, --> ,/,
so/IN --> so/IN
she/PRP --> she/PRP
put/VBD --> put/VBD
all/PDT --> all/PDT
the/DT --> the/DT
clothes/NNS --> clothes/NNS
back/RB --> back/RB
in/IN --> in/IN
her/PRP$ --> she/PRP$
bamboo/NN --> bamboo/NN
basket/NN --> basket/NN
,/, --> ,/,
and/CC --> and/CC
