<title>/IN --> IN/IN
45/CD --> 45/CD
Thumbling/VBG --> thumble/VBG
as/IN --> as/IN
Journeyman/NNP --> Journeyman/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
certain/JJ --> certain/JJ
tailor/NN --> tailor/NN
had/VBD --> have/VBD
a/DT --> a/DT
son/NN --> son/NN
,/, --> ,/,
who/WP --> who/WP
happened/VBD --> happen/VBD
to/TO --> to/TO
be/VB --> be/VB
small/JJ --> small/JJ
,/, --> ,/,
and/CC --> and/CC
no/DT --> no/DT
bigger/JJR --> bigger/JJR
than/IN --> than/IN
a/DT --> a/DT
Thumb/NNP --> Thumb/NNP
,/, --> ,/,
and/CC --> and/CC
on/IN --> on/IN
this/DT --> this/DT
account/NN --> account/NN
he/PRP --> he/PRP
was/VBD --> be/VBD
always/RB --> always/RB
called/VBN --> call/VBN
Thumbling/NNP --> Thumbling/NNP
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
some/DT --> some/DT
courage/NN --> courage/NN
in/IN --> in/IN
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
his/PRP$ --> he/PRP$
father/NN --> father/NN
,/, --> ,/,
``/`` --> ``/``
Father/NNP --> Father/NNP
,/, --> ,/,
I/PRP --> I/PRP
must/MD --> must/MD
and/CC --> and/CC
will/MD --> will/MD
go/VB --> go/VB
out/RP --> out/RP
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
That/DT --> that/DT
's/VBZ --> be/VBZ
right/RB --> right/RB
,/, --> ,/,
my/PRP$ --> my/PRP$
son/NN --> son/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
old/JJ --> old/JJ
man/NN --> man/NN
,/, --> ,/,
and/CC --> and/CC
took/VBD --> take/VBD
a/DT --> a/DT
long/JJ --> long/JJ
darning-needle/NN --> darning-needle/NN
and/CC --> and/CC
made/VBD --> make/VBD
a/DT --> a/DT
knob/NN --> knob/NN
of/IN --> of/IN
sealing-wax/NN --> sealing-wax/NN
on/IN --> on/IN
it/PRP --> it/PRP
at/IN --> at/IN
the/DT --> the/DT
candle/NN --> candle/NN
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
there/EX --> there/EX
is/VBZ --> be/VBZ
a/DT --> a/DT
sword/NN --> sword/NN
for/IN --> for/IN
thee/NN --> thee/NN
to/TO --> to/TO
take/VB --> take/VB
with/IN --> with/IN
thee/NN --> thee/NN
on/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
little/JJ --> little/JJ
tailor/NN --> tailor/NN
wanted/VBD --> want/VBD
to/TO --> to/TO
have/VB --> have/VB
one/CD --> one/CD
more/JJR --> more/JJR
meal/NN --> meal/NN
with/IN --> with/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
hopped/VBD --> hop/VBD
into/IN --> into/IN
the/DT --> the/DT
kitchen/NN --> kitchen/NN
to/TO --> to/TO
see/VB --> see/VB
what/WP --> what/WP
his/PRP$ --> he/PRP$
lady/NN --> lady/NN
mother/NN --> mother/NN
