<title>/IN --> IN/IN
THE/DT --> the/DT
THREE/CD --> three/CD
PRINCES/NNS --> prince/NNS
AND/CC --> and/CC
THE/DT --> the/DT
PRINCESS/NNP --> PRINCESS/NNP
NOURONNIHAR/NNP --> NOURONNIHAR/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Arabian/NNP --> Arabian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
sultan/NN --> sultan/NN
of/IN --> of/IN
India/NNP --> India/NNP
who/WP --> who/WP
had/VBD --> have/VBD
three/CD --> three/CD
sons/NNS --> son/NNS
./. --> ./.
These/DT --> these/DT
,/, --> ,/,
with/IN --> with/IN
the/DT --> the/DT
princess/NN --> princess/NN
his/PRP$ --> he/PRP$
niece/NN --> niece/NN
,/, --> ,/,
were/VBD --> be/VBD
the/DT --> the/DT
ornaments/NNS --> ornament/NNS
of/IN --> of/IN
his/PRP$ --> he/PRP$
court/NN --> court/NN
./. --> ./.
The/DT --> the/DT
eldest/NN --> eldest/NN
of/IN --> of/IN
the/DT --> the/DT
princes/NNS --> prince/NNS
was/VBD --> be/VBD
called/VBN --> call/VBN
Houssain/NNP --> Houssain/NNP
,/, --> ,/,
the/DT --> the/DT
second/JJ --> second/JJ
Ali/NNP --> Ali/NNP
,/, --> ,/,
the/DT --> the/DT
youngest/JJS --> youngest/JJS
Ahmed/NNP --> Ahmed/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
princess/NN --> princess/NN
his/PRP$ --> he/PRP$
niece/NN --> niece/NN
,/, --> ,/,
Nouronnihar/NNP --> Nouronnihar/NNP
./. --> ./.
The/DT --> the/DT
Princess/NNP --> Princess/NNP
Nouronnihar/NNP --> Nouronnihar/NNP
was/VBD --> be/VBD
the/DT --> the/DT
daughter/NN --> daughter/NN
of/IN --> of/IN
the/DT --> the/DT
younger/JJR --> younger/JJR
brother/NN --> brother/NN
of/IN --> of/IN
the/DT --> the/DT
sultan/NN --> sultan/NN
,/, --> ,/,
to/TO --> to/TO
whom/WP --> whom/WP
the/DT --> the/DT
sultan/NN --> sultan/NN
in/IN --> in/IN
his/PRP$ --> he/PRP$
lifetime/NN --> lifetime/NN
allowed/VBD --> allow/VBD
a/DT --> a/DT
considerable/JJ --> considerable/JJ
revenue/NN --> revenue/NN
./. --> ./.
But/CC --> but/CC
that/DT --> that/DT
prince/NN --> prince/NN
