<title>/IN --> IN/IN
87/CD --> 87/CD
The/DT --> the/DT
Poor/NNP --> Poor/NNP
Man/NNP --> Man/NNP
and/CC --> and/CC
the/DT --> the/DT
Rich/NNP --> Rich/NNP
Man/NNP --> Man/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
olden/JJ --> olden/JJ
times/NNS --> time/NNS
,/, --> ,/,
when/WRB --> when/WRB
the/DT --> the/DT
Lord/NNP --> Lord/NNP
himself/PRP --> himself/PRP
still/RB --> still/RB
used/VBD --> use/VBD
to/TO --> to/TO
walk/VB --> walk/VB
about/RB --> about/RB
on/IN --> on/IN
this/DT --> this/DT
earth/NN --> earth/NN
amongst/IN --> amongst/IN
men/NNS --> man/NNS
,/, --> ,/,
it/PRP --> it/PRP
once/RB --> once/RB
happened/VBD --> happen/VBD
that/IN --> that/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
tired/VBN --> tire/VBN
and/CC --> and/CC
overtaken/VBN --> overtake/VBN
by/IN --> by/IN
the/DT --> the/DT
darkness/NN --> darkness/NN
before/IN --> before/IN
he/PRP --> he/PRP
could/MD --> could/MD
reach/VB --> reach/VB
an/DT --> a/DT
inn/NN --> inn/NN
./. --> ./.
Now/RB --> now/RB
there/EX --> there/EX
stood/VBD --> stand/VBD
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
before/IN --> before/IN
him/PRP --> he/PRP
two/CD --> two/CD
houses/NNS --> house/NNS
facing/VBG --> face/VBG
each/DT --> each/DT
other/JJ --> other/JJ
;/: --> ;/:
the/DT --> the/DT
one/CD --> one/CD
large/JJ --> large/JJ
and/CC --> and/CC
beautiful/JJ --> beautiful/JJ
,/, --> ,/,
the/DT --> the/DT
other/JJ --> other/JJ
small/JJ --> small/JJ
and/CC --> and/CC
poor/JJ --> poor/JJ
./. --> ./.
The/DT --> the/DT
large/JJ --> large/JJ
one/CD --> one/CD
belonged/VBN --> belong/VBN
to/TO --> to/TO
a/DT --> a/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
small/JJ --> small/JJ
one/CD --> one/CD
to/TO --> to/TO
a/DT --> a/DT
poor/JJ --> poor/JJ
man/NN --> man/NN
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
Lord/NNP --> Lord/NNP
thought/NN --> thought/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
shall/MD --> shall/MD
be/VB --> be/VB
no/DT --> no/DT
burden/NN --> burden/NN
to/TO --> to/TO
the/DT --> the/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
stay/VB --> stay/VB
the/DT --> the/DT
night/NN --> night/NN
with/IN --> with/IN
him/PRP --> he/PRP
./. --> ./.
''/'' --> ''/''
When/WRB --> when/WRB
the/DT --> the/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
heard/VBD --> hear/VBD
some/DT --> some/DT
one/CD --> one/CD
knocking/VBG --> knock/VBG
at/IN --> at/IN
his/PRP$ --> he/PRP$
door/NN --> door/NN
,/, --> ,/,
he/PRP --> he/PRP
opened/VBD --> open/VBD
the/DT --> the/DT
window/NN --> window/NN
and/CC --> and/CC
asked/VBD --> ask/VBD
the/DT --> the/DT
stranger/NN --> stranger/NN
what/WP --> what/WP
he/PRP --> he/PRP
wanted/VBD --> want/VBD
./. --> ./.
The/DT --> the/DT
Lord/NNP --> Lord/NNP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
only/RB --> only/RB
ask/VB --> ask/VB
for/IN --> for/IN
a/DT --> a/DT
night/NN --> night/NN
's/POS --> 's/POS
lodging/NN --> lodging/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
looked/VBD --> look/VBD
at/IN --> at/IN
the/DT --> the/DT
traveler/NN --> traveler/NN
from/IN --> from/IN
head/NN --> head/NN
to/TO --> to/TO
foot/NN --> foot/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
the/DT --> the/DT
Lord/NNP --> Lord/NNP
was/VBD --> be/VBD
wearing/VBG --> wear/VBG
common/JJ --> common/JJ
clothes/NNS --> clothes/NNS
,/, --> ,/,
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
look/VB --> look/VB
like/IN --> like/IN
one/CD --> one/CD
who/WP --> who/WP
had/VBD --> have/VBD
much/JJ --> much/JJ
money/NN --> money/NN
in/IN --> in/IN
his/PRP$ --> he/PRP$
pocket/NN --> pocket/NN
,/, --> ,/,
he/PRP --> he/PRP
shook/VBD --> shake/VBD
his/PRP$ --> he/PRP$
head/NN --> head/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
No/UH --> no/UH
,/, --> ,/,
I/PRP --> I/PRP
can/MD --> can/MD
not/RB --> not/RB
take/VB --> take/VB
you/PRP --> you/PRP
in/IN --> in/IN
,/, --> ,/,
my/PRP$ --> my/PRP$
rooms/NNS --> room/NNS
are/VBP --> be/VBP
full/JJ --> full/JJ
of/IN --> of/IN
herbs/NNS --> herb/NNS
and/CC --> and/CC
seeds/NNS --> seed/NNS
;/: --> ;/:
and/CC --> and/CC
if/IN --> if/IN
I/PRP --> I/PRP
were/VBD --> be/VBD
to/TO --> to/TO
lodge/VB --> lodge/VB
everyone/NN --> everyone/NN
who/WP --> who/WP
knocked/VBD --> knock/VBD
at/IN --> at/IN
my/PRP$ --> my/PRP$
door/NN --> door/NN
,/, --> ,/,
I/PRP --> I/PRP
might/MD --> might/MD
very/RB --> very/RB
soon/RB --> soon/RB
go/VB --> go/VB
begging/VBG --> beg/VBG
myself/PRP --> myself/PRP
./. --> ./.
Go/VB --> go/VB
somewhere/RB --> somewhere/RB
else/RB --> else/RB
for/IN --> for/IN
a/DT --> a/DT
lodging/NN --> lodging/NN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
with/IN --> with/IN
this/DT --> this/DT
he/PRP --> he/PRP
shut/VBD --> shut/VBD
down/RP --> down/RP
the/DT --> the/DT
window/NN --> window/NN
and/CC --> and/CC
left/VBD --> leave/VBD
the/DT --> the/DT
Lord/NNP --> Lord/NNP
standing/NN --> standing/NN
there/RB --> there/RB
./. --> ./.
So/IN --> so/IN
the/DT --> the/DT
Lord/NNP --> Lord/NNP
turned/VBD --> turn/VBD
his/PRP$ --> he/PRP$
back/NN --> back/NN
on/IN --> on/IN
the/DT --> the/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
across/IN --> across/IN
to/TO --> to/TO
the/DT --> the/DT
small/JJ --> small/JJ
house/NN --> house/NN
and/CC --> and/CC
knocked/VBD --> knock/VBD
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
hardly/RB --> hardly/RB
done/VBN --> do/VBN
so/RB --> so/RB
when/WRB --> when/WRB
the/DT --> the/DT
poor/JJ --> poor/JJ
man/NN --> man/NN
opened/VBD --> open/VBD
the/DT --> the/DT
little/JJ --> little/JJ
door/NN --> door/NN
and/CC --> and/CC
bade/VB --> bid/VB
the/DT --> the/DT
traveler/NN --> traveler/NN
come/VBN --> come/VBN
in/IN --> in/IN
./. --> ./.
``/`` --> ``/``
Pass/VB --> pass/VB
the/DT --> the/DT
night/NN --> night/NN
with/IN --> with/IN
me/PRP --> I/PRP
,/, --> ,/,
it/PRP --> it/PRP
is/VBZ --> be/VBZ
already/RB --> already/RB
dark/JJ --> dark/JJ
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
;/: --> ;/:
``/`` --> ``/``
you/PRP --> you/PRP
can/MD --> can/MD
not/RB --> not/RB
go/VB --> go/VB
any/DT --> any/DT
further/JJ --> further/JJ
to-night/NN --> to-night/NN
./. --> ./.
''/'' --> ''/''
This/DT --> this/DT
pleased/VBD --> please/VBD
the/DT --> the/DT
Lord/NNP --> Lord/NNP
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
went/VBD --> go/VBD
in/IN --> in/IN
./. --> ./.
The/DT --> the/DT
poor/JJ --> poor/JJ
man/NN --> man/NN
's/POS --> 's/POS
wife/NN --> wife/NN
shook/VBD --> shake/VBD
hands/NNS --> hand/NNS
with/IN --> with/IN
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
welcomed/VBD --> welcome/VBD
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
he/PRP --> he/PRP
was/VBD --> be/VBD
to/TO --> to/TO
make/VB --> make/VB
himself/PRP --> himself/PRP
at/IN --> at/IN
home/NN --> home/NN
and/CC --> and/CC
put/VBD --> put/VBD
up/RP --> up/RP
with/IN --> with/IN
what/WP --> what/WP
they/PRP --> they/PRP
had/VBD --> have/VBD
got/VBN --> get/VBN
;/: --> ;/:
they/PRP --> they/PRP
had/VBD --> have/VBD
not/RB --> not/RB
much/JJ --> much/JJ
to/TO --> to/TO
offer/VB --> offer/VB
him/PRP --> he/PRP
,/, --> ,/,
but/CC --> but/CC
what/WP --> what/WP
they/PRP --> they/PRP
had/VBD --> have/VBD
they/PRP --> they/PRP
would/MD --> would/MD
give/VB --> give/VB
him/PRP --> he/PRP
with/IN --> with/IN
all/DT --> all/DT
their/PRP$ --> they/PRP$
hearts/NNS --> heart/NNS
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
put/VBD --> put/VBD
the/DT --> the/DT
potatoes/NNS --> potato/NNS
on/IN --> on/IN
the/DT --> the/DT
fire/NN --> fire/NN
,/, --> ,/,
and/CC --> and/CC
while/IN --> while/IN
they/PRP --> they/PRP
were/VBD --> be/VBD
boiling/VBG --> boil/VBG
,/, --> ,/,
she/PRP --> she/PRP
milked/VBD --> milk/VBD
the/DT --> the/DT
goat/NN --> goat/NN
,/, --> ,/,
that/IN --> that/IN
they/PRP --> they/PRP
might/MD --> might/MD
have/VB --> have/VB
a/DT --> a/DT
little/JJ --> little/JJ
milk/NN --> milk/NN
with/IN --> with/IN
them/PRP --> they/PRP
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
cloth/NN --> cloth/NN
was/VBD --> be/VBD
laid/VBN --> lay/VBN
,/, --> ,/,
the/DT --> the/DT
Lord/NNP --> Lord/NNP
sat/VBD --> sit/VBD
down/RP --> down/RP
with/IN --> with/IN
the/DT --> the/DT
man/NN --> man/NN
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
enjoyed/VBD --> enjoy/VBD
their/PRP$ --> they/PRP$
coarse/JJ --> coarse/JJ
food/NN --> food/NN
,/, --> ,/,
for/IN --> for/IN
there/EX --> there/EX
were/VBD --> be/VBD
happy/JJ --> happy/JJ
faces/NNS --> face/NNS
at/IN --> at/IN
the/DT --> the/DT
table/NN --> table/NN
./. --> ./.
When/WRB --> when/WRB
they/PRP --> they/PRP
had/VBD --> have/VBD
had/VBN --> have/VBN
supper/NN --> supper/NN
and/CC --> and/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
bed-time/JJ --> bed-time/JJ
,/, --> ,/,
the/DT --> the/DT
woman/NN --> woman/NN
called/VBD --> call/VBD
her/PRP$ --> she/PRP$
husband/NN --> husband/NN
apart/RB --> apart/RB
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Hark/NNP --> Hark/NNP
you/PRP --> you/PRP
,/, --> ,/,
dear/RB --> dear/RB
husband/NN --> husband/NN
,/, --> ,/,
let/VB --> let/VB
us/PRP --> we/PRP
make/VB --> make/VB
up/RP --> up/RP
a/DT --> a/DT
bed/NN --> bed/NN
of/IN --> of/IN
straw/NN --> straw/NN
for/IN --> for/IN
ourselves/PRP --> ourselves/PRP
to-night/JJ --> to-night/JJ
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
the/DT --> the/DT
poor/JJ --> poor/JJ
traveler/NN --> traveler/NN
can/MD --> can/MD
sleep/VB --> sleep/VB
in/IN --> in/IN
our/PRP$ --> we/PRP$
bed/NN --> bed/NN
and/CC --> and/CC
have/VB --> have/VB
a/DT --> a/DT
good/JJ --> good/JJ
rest/NN --> rest/NN
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
has/VBZ --> have/VBZ
been/VBN --> be/VBN
walking/VBG --> walk/VBG
the/DT --> the/DT
whole/JJ --> whole/JJ
day/NN --> day/NN
through/IN --> through/IN
,/, --> ,/,
and/CC --> and/CC
that/DT --> that/DT
makes/VBZ --> make/VBZ
one/CD --> one/CD
weary/JJ --> weary/JJ
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
With/IN --> with/IN
all/DT --> all/DT
my/PRP$ --> my/PRP$
heart/NN --> heart/NN
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
go/VB --> go/VB
and/CC --> and/CC
offer/VB --> offer/VB
it/PRP --> it/PRP
to/TO --> to/TO
him/PRP --> he/PRP
;/: --> ;/:
''/'' --> ''/''
and/CC --> and/CC
he/PRP --> he/PRP
went/VBD --> go/VBD
to/TO --> to/TO
the/DT --> the/DT
stranger/NN --> stranger/NN
and/CC --> and/CC
invited/VBD --> invite/VBD
him/PRP --> he/PRP
,/, --> ,/,
if/IN --> if/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
objection/NN --> objection/NN
,/, --> ,/,
to/TO --> to/TO
sleep/VB --> sleep/VB
in/IN --> in/IN
their/PRP$ --> they/PRP$
bed/NN --> bed/NN
and/CC --> and/CC
rest/NN --> rest/NN
his/PRP$ --> he/PRP$
limbs/NNS --> limb/NNS
properly/RB --> properly/RB
./. --> ./.
But/CC --> but/CC
the/DT --> the/DT
Lord/NNP --> Lord/NNP
was/VBD --> be/VBD
unwilling/JJ --> unwilling/JJ
to/TO --> to/TO
take/VB --> take/VB
their/PRP$ --> they/PRP$
bed/NN --> bed/NN
from/IN --> from/IN
the/DT --> the/DT
two/CD --> two/CD
old/JJ --> old/JJ
folks/NNS --> folk/NNS
;/: --> ;/:
however/RB --> however/RB
,/, --> ,/,
they/PRP --> they/PRP
would/MD --> would/MD
not/RB --> not/RB
be/VB --> be/VB
satisfied/VBN --> satisfy/VBN
,/, --> ,/,
until/IN --> until/IN
at/IN --> at/IN
length/NN --> length/NN
he/PRP --> he/PRP
did/VBD --> do/VBD
it/PRP --> it/PRP
and/CC --> and/CC
lay/VBD --> lay/VBD
down/RP --> down/RP
in/IN --> in/IN
their/PRP$ --> they/PRP$
bed/NN --> bed/NN
,/, --> ,/,
while/IN --> while/IN
they/PRP --> they/PRP
themselves/PRP --> themselves/PRP
lay/VBD --> lay/VBD
on/IN --> on/IN
some/DT --> some/DT
straw/NN --> straw/NN
on/IN --> on/IN
the/DT --> the/DT
ground/NN --> ground/NN
./. --> ./.
Next/JJ --> next/JJ
morning/NN --> morning/NN
they/PRP --> they/PRP
got/VBD --> get/VBD
up/RP --> up/RP
before/IN --> before/IN
daybreak/NN --> daybreak/NN
,/, --> ,/,
and/CC --> and/CC
made/VBD --> make/VBD
as/RB --> as/RB
good/JJ --> good/JJ
a/DT --> a/DT
breakfast/NN --> breakfast/NN
as/IN --> as/IN
they/PRP --> they/PRP
could/MD --> could/MD
for/IN --> for/IN
the/DT --> the/DT
guest/NN --> guest/NN
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
sun/NN --> sun/NN
shone/NN --> shone/NN
in/IN --> in/IN
through/IN --> through/IN
the/DT --> the/DT
little/JJ --> little/JJ
window/NN --> window/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Lord/NNP --> Lord/NNP
had/VBD --> have/VBD
got/VBN --> get/VBN
up/RP --> up/RP
,/, --> ,/,
he/PRP --> he/PRP
again/RB --> again/RB
ate/VBD --> eat/VBD
with/IN --> with/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
prepared/VBD --> prepare/VBD
to/TO --> to/TO
set/VB --> set/VB
out/RP --> out/RP
on/IN --> on/IN
his/PRP$ --> he/PRP$
journey/NN --> journey/NN
./. --> ./.
But/CC --> but/CC
as/IN --> as/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
standing/VBG --> stand/VBG
at/IN --> at/IN
the/DT --> the/DT
door/NN --> door/NN
he/PRP --> he/PRP
turned/VBD --> turn/VBD
round/NN --> round/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
As/IN --> as/IN
you/PRP --> you/PRP
are/VBP --> be/VBP
so/RB --> so/RB
kind/JJ --> kind/JJ
and/CC --> and/CC
good/JJ --> good/JJ
,/, --> ,/,
you/PRP --> you/PRP
may/MD --> may/MD
wish/VB --> wish/VB
three/CD --> three/CD
things/NNS --> thing/NNS
for/IN --> for/IN
yourselves/NNS --> yourselve/NNS
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
grant/VB --> grant/VB
them/PRP --> they/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
man/NN --> man/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
else/RB --> else/RB
should/MD --> should/MD
I/PRP --> I/PRP
wish/VB --> wish/VB
for/IN --> for/IN
but/CC --> but/CC
eternal/JJ --> eternal/JJ
happiness/NN --> happiness/NN
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
we/PRP --> we/PRP
two/CD --> two/CD
,/, --> ,/,
as/RB --> as/RB
long/RB --> long/RB
as/IN --> as/IN
we/PRP --> we/PRP
live/VBP --> live/VBP
,/, --> ,/,
may/MD --> may/MD
be/VB --> be/VB
healthy/JJ --> healthy/JJ
and/CC --> and/CC
have/VB --> have/VB
every/DT --> every/DT
day/NN --> day/NN
our/PRP$ --> we/PRP$
daily/JJ --> daily/JJ
bread/NN --> bread/NN
;/: --> ;/:
for/IN --> for/IN
the/DT --> the/DT
third/JJ --> third/JJ
wish/NN --> wish/NN
,/, --> ,/,
I/PRP --> I/PRP
do/VBP --> do/VBP
not/RB --> not/RB
know/VB --> know/VB
what/WP --> what/WP
to/TO --> to/TO
have/VB --> have/VB
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
the/DT --> the/DT
Lord/NNP --> Lord/NNP
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Will/MD --> will/MD
you/PRP --> you/PRP
wish/VB --> wish/VB
for/IN --> for/IN
a/DT --> a/DT
new/JJ --> new/JJ
house/NN --> house/NN
instead/RB --> instead/RB
of/IN --> of/IN
this/DT --> this/DT
old/JJ --> old/JJ
one/CD --> one/CD
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
;/: --> ;/:
``/`` --> ``/``
if/IN --> if/IN
I/PRP --> I/PRP
can/MD --> can/MD
have/VB --> have/VB
that/DT --> that/DT
,/, --> ,/,
too/RB --> too/RB
,/, --> ,/,
I/PRP --> I/PRP
should/MD --> should/MD
like/VB --> like/VB
it/PRP --> it/PRP
very/RB --> very/RB
much/RB --> much/RB
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
the/DT --> the/DT
Lord/NNP --> Lord/NNP
fulfilled/VBD --> fulfil/VBD
his/PRP$ --> he/PRP$
wish/NN --> wish/NN
,/, --> ,/,
and/CC --> and/CC
changed/VBD --> change/VBD
their/PRP$ --> they/PRP$
old/JJ --> old/JJ
house/NN --> house/NN
into/IN --> into/IN
a/DT --> a/DT
new/JJ --> new/JJ
one/CD --> one/CD
,/, --> ,/,
again/RB --> again/RB
gave/VBD --> give/VBD
them/PRP --> they/PRP
his/PRP$ --> he/PRP$
blessing/NN --> blessing/NN
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
on/IN --> on/IN
./. --> ./.
The/DT --> the/DT
sun/NN --> sun/NN
was/VBD --> be/VBD
high/JJ --> high/JJ
when/WRB --> when/WRB
the/DT --> the/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
got/VBD --> get/VBD
up/RB --> up/RB
and/CC --> and/CC
leaned/VBD --> lean/VBD
out/IN --> out/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
window/NN --> window/NN
and/CC --> and/CC
