<title>/IN --> IN/IN
14/CD --> 14/CD
The/DT --> the/DT
Three/CD --> three/CD
Spinners/NNP --> Spinners/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
girl/NN --> girl/NN
who/WP --> who/WP
was/VBD --> be/VBD
idle/JJ --> idle/JJ
and/CC --> and/CC
would/MD --> would/MD
not/RB --> not/RB
spin/VB --> spin/VB
,/, --> ,/,
and/CC --> and/CC
let/VB --> let/VB
her/PRP$ --> she/PRP$
mother/NN --> mother/NN
say/VBP --> say/VBP
what/WP --> what/WP
she/PRP --> she/PRP
would/MD --> would/MD
,/, --> ,/,
she/PRP --> she/PRP
could/MD --> could/MD
not/RB --> not/RB
bring/VB --> bring/VB
her/PRP$ --> she/PRP$
to/TO --> to/TO
it/PRP --> it/PRP
./. --> ./.
At/IN --> at/IN
last/JJ --> last/JJ
the/DT --> the/DT
mother/NN --> mother/NN
was/VBD --> be/VBD
once/RB --> once/RB
so/RB --> so/RB
overcome/VB --> overcome/VB
with/IN --> with/IN
anger/NN --> anger/NN
and/CC --> and/CC
impatience/NN --> impatience/NN
,/, --> ,/,
that/IN --> that/IN
she/PRP --> she/PRP
beat/VBD --> beat/VBD
her/PRP --> she/PRP
,/, --> ,/,
on/IN --> on/IN
which/WDT --> which/WDT
the/DT --> the/DT
girl/NN --> girl/NN
began/VBD --> begin/VBD
to/TO --> to/TO
weep/NN --> weep/NN
loudly/RB --> loudly/RB
./. --> ./.
Now/RB --> now/RB
at/IN --> at/IN
this/DT --> this/DT
very/JJ --> very/JJ
moment/NN --> moment/NN
the/DT --> the/DT
Queen/NNP --> Queen/NNP
drove/VBD --> drive/VBD
by/IN --> by/IN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
heard/VBD --> hear/VBD
the/DT --> the/DT
weeping/VBG --> weep/VBG
she/PRP --> she/PRP
stopped/VBD --> stop/VBD
her/PRP$ --> she/PRP$
carriage/NN --> carriage/NN
,/, --> ,/,
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
house/NN --> house/NN
and/CC --> and/CC
asked/VBD --> ask/VBD
the/DT --> the/DT
mother/NN --> mother/NN
why/WRB --> why/WRB
she/PRP --> she/PRP
was/VBD --> be/VBD
beating/VBG --> beat/VBG
her/PRP$ --> she/PRP$
daughter/NN --> daughter/NN
so/IN --> so/IN
that/IN --> that/IN
the/DT --> the/DT
cries/VBZ --> cry/VBZ
could/MD --> could/MD
be/VB --> be/VB
heard/VBN --> hear/VBN
out/RP --> out/RP
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
?/. --> ?/.
Then/RB --> then/RB
the/DT --> the/DT
woman/NN --> woman/NN
was/VBD --> be/VBD
ashamed/JJ --> ashamed/JJ
to/TO --> to/TO
reveal/VB --> reveal/VB
the/DT --> the/DT
laziness/NN --> laziness/NN
of/IN --> of/IN
her/PRP$ --> she/PRP$
daughter/NN --> daughter/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
can/MD --> can/MD
not/RB --> not/RB
get/VB --> get/VB
her/PRP$ --> she/PRP$
to/TO --> to/TO
leave/VB --> leave/VB
off/RP --> off/RP
spinning/JJ --> spinning/JJ
./. --> ./.
She/PRP --> she/PRP
insists/VBZ --> insist/VBZ
on/IN --> on/IN
spinning/JJ --> spinning/JJ
for/IN --> for/IN
ever/RB --> ever/RB
and/CC --> and/CC
ever/RB --> ever/RB
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
am/VBP --> be/VBP
poor/JJ --> poor/JJ
,/, --> ,/,
and/CC --> and/CC
can/MD --> can/MD
not/RB --> not/RB
procure/VB --> procure/VB
the/DT --> the/DT
flax/NN --> flax/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
answered/VBN --> answer/VBN
the/DT --> the/DT
Queen/NNP --> Queen/NNP
,/, --> ,/,
``/`` --> ``/``
There/EX --> there/EX
is/VBZ --> be/VBZ
nothing/NN --> nothing/NN
that/IN --> that/IN
I/PRP --> I/PRP
like/VBP --> like/VBP
better/JJR --> better/JJR
to/TO --> to/TO
hear/VB --> hear/VB
than/IN --> than/IN
spinning/JJ --> spinning/JJ
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
am/VBP --> be/VBP
never/RB --> never/RB
happier/JJR --> happier/JJR
than/IN --> than/IN
when/WRB --> when/WRB
the/DT --> the/DT
wheels/NNS --> wheel/NNS
are/VBP --> be/VBP
