<title>/IN --> IN/IN
27/CD --> 27/CD
The/DT --> the/DT
Bremen/NNP --> Bremen/NNP
Town-Musicians/NNPS --> Town-Musicians/NNPS
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
certain/JJ --> certain/JJ
man/NN --> man/NN
had/VBD --> have/VBD
a/DT --> a/DT
donkey/NN --> donkey/NN
,/, --> ,/,
which/WDT --> which/WDT
had/VBD --> have/VBD
carried/VBN --> carry/VBN
the/DT --> the/DT
corn-sacks/NNS --> corn-sacks/NNS
to/TO --> to/TO
the/DT --> the/DT
mill/NN --> mill/NN
indefatigably/RB --> indefatigably/RB
for/IN --> for/IN
many/JJ --> many/JJ
a/DT --> a/DT
long/JJ --> long/JJ
year/NN --> year/NN
;/: --> ;/:
but/CC --> but/CC
his/PRP$ --> he/PRP$
strength/NN --> strength/NN
was/VBD --> be/VBD
going/VBG --> go/VBG
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
was/VBD --> be/VBD
growing/VBG --> grow/VBG
more/RBR --> more/RBR
and/CC --> and/CC
more/RBR --> more/RBR
unfit/JJ --> unfit/JJ
for/IN --> for/IN
work/NN --> work/NN
./. --> ./.
Then/RB --> then/RB
his/PRP$ --> he/PRP$
master/NN --> master/NN
began/VBD --> begin/VBD
to/TO --> to/TO
consider/VB --> consider/VB
how/WRB --> how/WRB
he/PRP --> he/PRP
might/MD --> might/MD
best/RB --> best/RB
save/VB --> save/VB
his/PRP$ --> he/PRP$
keep/VB --> keep/VB
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
donkey/NN --> donkey/NN
,/, --> ,/,
seeing/VBG --> see/VBG
that/IN --> that/IN
no/DT --> no/DT
good/JJ --> good/JJ
wind/NN --> wind/NN
was/VBD --> be/VBD
blowing/VBG --> blow/VBG
,/, --> ,/,
ran/VBD --> run/VBD
away/RB --> away/RB
and/CC --> and/CC
set/VBN --> set/VBN
out/RP --> out/RP
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
to/TO --> to/TO
Bremen/NNP --> Bremen/NNP
./. --> ./.
``/`` --> ``/``
There/EX --> there/EX
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
