<title>/IN --> IN/IN
106/CD --> 106/CD
The/DT --> the/DT
Poor/NNP --> Poor/NNP
Miller/NNP --> Miller/NNP
's/POS --> 's/POS
Boy/NNP --> Boy/NNP
and/CC --> and/CC
the/DT --> the/DT
Cat/NNP --> Cat/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
a/DT --> a/DT
certain/JJ --> certain/JJ
mill/NN --> mill/NN
lived/VBD --> live/VBD
an/DT --> a/DT
old/JJ --> old/JJ
miller/NN --> miller/NN
who/WP --> who/WP
had/VBD --> have/VBD
neither/DT --> neither/DT
wife/NN --> wife/NN
nor/CC --> nor/CC
child/NN --> child/NN
,/, --> ,/,
and/CC --> and/CC
three/CD --> three/CD
apprentices/NNS --> apprentice/NNS
served/VBN --> serve/VBN
under/IN --> under/IN
him/PRP --> he/PRP
./. --> ./.
As/IN --> as/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
with/IN --> with/IN
him/PRP --> he/PRP
several/JJ --> several/JJ
years/NNS --> year/NNS
,/, --> ,/,
he/PRP --> he/PRP
one/CD --> one/CD
day/NN --> day/NN
said/VBD --> say/VBD
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
old/JJ --> old/JJ
,/, --> ,/,
and/CC --> and/CC
want/VBP --> want/VBP
to/TO --> to/TO
sit/VB --> sit/VB
in/IN --> in/IN
the/DT --> the/DT
chimney-corner/NN --> chimney-corner/NN
,/, --> ,/,
go/VB --> go/VB
out/RP --> out/RP
,/, --> ,/,
and/CC --> and/CC
whichsoever/NN --> whichsoever/NN
of/IN --> of/IN
you/PRP --> you/PRP
brings/VBZ --> bring/VBZ
me/PRP --> I/PRP
the/DT --> the/DT
best/JJS --> best/JJS
horse/NN --> horse/NN
home/NN --> home/NN
,/, --> ,/,
to/TO --> to/TO
him/PRP --> he/PRP
will/MD --> will/MD
I/PRP --> I/PRP
give/VB --> give/VB
the/DT --> the/DT
mill/NN --> mill/NN
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
return/NN --> return/NN
for/IN --> for/IN
it/PRP --> it/PRP
he/PRP --> he/PRP
shall/MD --> shall/MD
take/VB --> take/VB
care/NN --> care/NN
of/IN --> of/IN
me/PRP --> I/PRP
till/IN --> till/IN
my/PRP$ --> my/PRP$
death/NN --> death/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
third/JJ --> third/JJ
of/IN --> of/IN
the/DT --> the/DT
boys/NNS --> boy/NNS
was/VBD --> be/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
the/DT --> the/DT
drudge/NN --> drudge/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
looked/VBN --> look/VBN
on/IN --> on/IN
as/IN --> as/IN
foolish/JJ --> foolish/JJ
by/IN --> by/IN
the/DT --> the/DT
others/NNS --> other/NNS
;/: --> ;/:
they/PRP --> they/PRP
begrudged/VBD --> begrudge/VBD
the/DT --> the/DT
mill/NN --> mill/NN
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
afterwards/RB --> afterwards/RB
he/PRP --> he/PRP
would/MD --> would/MD
not/RB --> not/RB
have/VB --> have/VB
it/PRP --> it/PRP
./. --> ./.
Then/RB --> then/RB
all/DT --> all/DT
three/CD --> three/CD
went/VBD --> go/VBD
out/RB --> out/RB
together/RB --> together/RB
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
they/PRP --> they/PRP
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
village/NN --> village/NN
,/, --> ,/,
the/DT --> the/DT
two/CD --> two/CD
said/VBD --> say/VBD
to/TO --> to/TO
stupid/JJ --> stupid/JJ
Hans/NNP --> Hans/NNP
,/, --> ,/,
``/`` --> ``/``
Thou/NNP --> Thou/NNP
mayst/FW --> mayst/FW
just/RB --> just/RB
as/RB --> as/RB
well/RB --> well/RB
stay/VB --> stay/VB
here/RB --> here/RB
,/, --> ,/,
as/RB --> as/RB
long/RB --> long/RB
as/IN --> as/IN
thou/NN --> thou/NN
livest/NN --> livest/NN
thou/NN --> thou/NN
wilt/NN --> wilt/NN
never/RB --> never/RB
get/VB --> get/VB
a/DT --> a/DT
horse/NN --> horse/NN
./. --> ./.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
went/VBD --> go/VBD
with/IN --> with/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
it/PRP --> it/PRP
was/VBD --> be/VBD
night/NN --> night/NN
they/PRP --> they/PRP
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
cave/NN --> cave/NN
in/IN --> in/IN
which/WDT --> which/WDT
they/PRP --> they/PRP
lay/VBD --> lay/VBD
down/RP --> down/RP
to/TO --> to/TO
sleep/VB --> sleep/VB
./. --> ./.
The/DT --> the/DT
two/CD --> two/CD
sharp/JJ --> sharp/JJ
ones/NNS --> one/NNS
waited/VBD --> wait/VBD
until/IN --> until/IN
Hans/NNP --> Hans/NNP
had/VBD --> have/VBD
fallen/VBN --> fall/VBN
asleep/RB --> asleep/RB
,/, --> ,/,
then/RB --> then/RB
they/PRP --> they/PRP
got/VBD --> get/VBD
up/RP --> up/RP
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
away/RB --> away/RB
leaving/VBG --> leave/VBG
him/PRP --> he/PRP
where/WRB --> where/WRB
he/PRP --> he/PRP
was/VBD --> be/VBD
./. --> ./.
And/CC --> and/CC
they/PRP --> they/PRP
thought/VBD --> think/VBD
they/PRP --> they/PRP
had/VBD --> have/VBD
done/VBN --> do/VBN
a/DT --> a/DT
very/RB --> very/RB
clever/JJ --> clever/JJ
thing/NN --> thing/NN
,/, --> ,/,
but/CC --> but/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
certain/JJ --> certain/JJ
to/TO --> to/TO
turn/VB --> turn/VB
out/RP --> out/RP
ill/RB --> ill/RB
for/IN --> for/IN
them/PRP --> they/PRP
./. --> ./.
When/WRB --> when/WRB
