<title>/IN --> IN/IN
13/CD --> 13/CD
The/DT --> the/DT
Three/CD --> three/CD
Little/JJ --> little/JJ
Men/NN --> man/NN
in/IN --> in/IN
the/DT --> the/DT
Wood/NNP --> Wood/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
man/NN --> man/NN
whose/WP$ --> whose/WP$
wife/NN --> wife/NN
died/VBD --> die/VBD
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
woman/NN --> woman/NN
whose/WP$ --> whose/WP$
husband/NN --> husband/NN
died/VBD --> die/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
man/NN --> man/NN
had/VBD --> have/VBD
a/DT --> a/DT
daughter/NN --> daughter/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
woman/NN --> woman/NN
also/RB --> also/RB
had/VBD --> have/VBD
a/DT --> a/DT
daughter/NN --> daughter/NN
./. --> ./.
The/DT --> the/DT
girls/NNS --> girl/NNS
were/VBD --> be/VBD
acquainted/VBN --> acquaint/VBN
with/IN --> with/IN
each/DT --> each/DT
other/JJ --> other/JJ
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
out/RP --> out/RP
walking/VBG --> walk/VBG
together/RB --> together/RB
,/, --> ,/,
and/CC --> and/CC
afterwards/RB --> afterwards/RB
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
woman/NN --> woman/NN
in/IN --> in/IN
her/PRP$ --> she/PRP$
house/NN --> house/NN
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
she/PRP --> she/PRP
to/TO --> to/TO
the/DT --> the/DT
man/NN --> man/NN
's/POS --> 's/POS
daughter/NN --> daughter/NN
,/, --> ,/,
``/`` --> ``/``
Listen/VB --> listen/VB
,/, --> ,/,
tell/VB --> tell/VB
thy/NN --> thy/NN
father/NN --> father/NN
that/IN --> that/IN
I/PRP --> I/PRP
would/MD --> would/MD
like/VB --> like/VB
to/TO --> to/TO
marry/VB --> marry/VB
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
thou/VB --> thou/VB
shalt/JJ --> shalt/JJ
wash/NN --> wash/NN
thyself/NN --> thyself/NN
in/IN --> in/IN
milk/NN --> milk/NN
every/DT --> every/DT
morning/NN --> morning/NN
,/, --> ,/,
and/CC --> and/CC
drink/NN --> drink/NN
wine/NN --> wine/NN
,/, --> ,/,
but/CC --> but/CC
my/PRP$ --> my/PRP$
own/JJ --> own/JJ
