<title>/IN --> IN/IN
20/CD --> 20/CD
The/DT --> the/DT
Valiant/NNP --> Valiant/NNP
Little/NNP --> Little/NNP
Tailor/NNP --> Tailor/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
One/CD --> one/CD
summer/NN --> summer/NN
's/POS --> 's/POS
morning/NN --> morning/NN
a/DT --> a/DT
little/JJ --> little/JJ
tailor/NN --> tailor/NN
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
on/IN --> on/IN
his/PRP$ --> he/PRP$
table/NN --> table/NN
by/IN --> by/IN
the/DT --> the/DT
window/NN --> window/NN
;/: --> ;/:
he/PRP --> he/PRP
was/VBD --> be/VBD
in/IN --> in/IN
good/JJ --> good/JJ
spirits/NNS --> spirit/NNS
,/, --> ,/,
and/CC --> and/CC
sewed/VBD --> sew/VBD
with/IN --> with/IN
all/DT --> all/DT
his/PRP$ --> he/PRP$
might/NN --> might/NN
./. --> ./.
Then/RB --> then/RB
came/VBD --> come/VBD
a/DT --> a/DT
peasant/NN --> peasant/NN
woman/NN --> woman/NN
down/IN --> down/IN
the/DT --> the/DT
street/NN --> street/NN
crying/VBG --> cry/VBG
,/, --> ,/,
``/`` --> ``/``
Good/JJ --> good/JJ
jams/NNS --> jam/NNS
,/, --> ,/,
cheap/JJ --> cheap/JJ
!/. --> !/.
Good/JJ --> good/JJ
jams/NNS --> jam/NNS
,/, --> ,/,
cheap/JJ --> cheap/JJ
!/. --> !/.
''/'' --> ''/''
This/DT --> this/DT
rang/VBD --> ring/VBD
pleasantly/RB --> pleasantly/RB
in/IN --> in/IN
the/DT --> the/DT
tailor/NN --> tailor/NN
's/POS --> 's/POS
ears/NNS --> ear/NNS
;/: --> ;/:
he/PRP --> he/PRP
stretched/VBD --> stretch/VBD
his/PRP$ --> he/PRP$
delicate/JJ --> delicate/JJ
head/NN --> head/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
window/NN --> window/NN
,/, --> ,/,
and/CC --> and/CC
called/VBN --> call/VBN
,/, --> ,/,
``/`` --> ``/``
Come/VBD --> come/VBD
up/RP --> up/RP
here/RB --> here/RB
,/, --> ,/,
dear/RB --> dear/RB
woman/NN --> woman/NN
;/: --> ;/:
here/RB --> here/RB
you/PRP --> you/PRP
will/MD --> will/MD
get/VB --> get/VB
rid/JJ --> rid/JJ
of/IN --> of/IN
your/PRP$ --> you/PRP$
goods/NNS --> goods/NNS
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
woman/NN --> woman/NN
came/VBD --> come/VBD
up/RP --> up/RP
the/DT --> the/DT
three/CD --> three/CD
steps/NNS --> step/NNS
to/TO --> to/TO
the/DT --> the/DT
tailor/NN --> tailor/NN
with/IN --> with/IN
her/PRP$ --> she/PRP$
heavy/JJ --> heavy/JJ
basket/NN --> basket/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
made/VBD --> make/VBD
her/PRP$ --> she/PRP$
unpack/NN --> unpack/NN
the/DT --> the/DT
whole/NN --> whole/NN
of/IN --> of/IN
the/DT --> the/DT
pots/NNS --> pot/NNS
for/IN --> for/IN
him/PRP --> he/PRP
./. --> ./.
He/PRP --> he/PRP
inspected/VBD --> inspect/VBD
all/DT --> all/DT
of/IN --> of/IN
them/PRP --> they/PRP
,/, --> ,/,
lifted/VBD --> lift/VBD
them/PRP --> they/PRP
up/RP --> up/RP
,/, --> ,/,
put/VBD --> put/VBD
his/PRP$ --> he/PRP$
nose/NN --> nose/NN
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
length/NN --> length/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
The/DT --> the/DT
jam/NN --> jam/NN
seems/VBZ --> seem/VBZ
to/TO --> to/TO
me/PRP --> I/PRP
to/TO --> to/TO
be/VB --> be/VB
good/JJ --> good/JJ
,/, --> ,/,
so/RB --> so/RB
weigh/VB --> weigh/VB
me/PRP --> I/PRP
out/RP --> out/RP
four/CD --> four/CD
ounces/NNS --> ounce/NNS
,/, --> ,/,
dear/RB --> dear/RB
woman/NN --> woman/NN
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
it/PRP --> it/PRP
is/VBZ --> be/VBZ
a/DT --> a/DT
quarter/NN --> quarter/NN
of/IN --> of/IN
a/DT --> a/DT
pound/NN --> pound/NN
that/WDT --> that/WDT
is/VBZ --> be/VBZ
of/IN --> of/IN
no/DT --> no/DT
consequence/NN --> consequence/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
woman/NN --> woman/NN
who/WP --> who/WP
had/VBD --> have/VBD
hoped/VBN --> hope/VBN
to/TO --> to/TO
find/VB --> find/VB
a/DT --> a/DT
good/JJ --> good/JJ
sale/NN --> sale/NN
,/, --> ,/,
gave/VBD --> give/VBD
him/PRP --> he/PRP
what/WP --> what/WP
he/PRP --> he/PRP
desired/VBD --> desire/VBD
,/, --> ,/,
but/CC --> but/CC
went/VBD --> go/VBD
away/RB --> away/RB
quite/RB --> quite/RB
angry/JJ --> angry/JJ
and/CC --> and/CC
grumbling/JJ --> grumbling/JJ
./. --> ./.
``/`` --> ``/``
Now/RB --> now/RB
,/, --> ,/,
God/NNP --> God/NNP
bless/VB --> bless/VB
the/DT --> the/DT
jam/NN --> jam/NN
to/TO --> to/TO
my/PRP$ --> my/PRP$
use/NN --> use/NN
,/, --> ,/,
''/'' --> ''/''
cried/VBD --> cry/VBD
the/DT --> the/DT
little/JJ --> little/JJ
tailor/NN --> tailor/NN
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
give/VB --> give/VB
me/PRP --> I/PRP
health/NN --> health/NN
and/CC --> and/CC
strength/NN --> strength/NN
;/: --> ;/:
''/'' --> ''/''
so/IN --> so/IN
he/PRP --> he/PRP
brought/VBD --> bring/VBD
the/DT --> the/DT
bread/NN --> bread/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
cupboard/NN --> cupboard/NN
,/, --> ,/,
cut/VBD --> cut/VBD
himself/PRP --> himself/PRP
a/DT --> a/DT
piece/NN --> piece/NN
right/NN --> right/NN
across/IN --> across/IN
the/DT --> the/DT
loaf/NN --> loaf/NN
and/CC --> and/CC
spread/VBD --> spread/VBD
the/DT --> the/DT
jam/NN --> jam/NN
over/IN --> over/IN
it/PRP --> it/PRP
./. --> ./.
``/`` --> ``/``
This/DT --> this/DT
wo/MD --> will/MD
n't/RB --> not/RB
taste/VB --> taste/VB
bitter/JJ --> bitter/JJ
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
but/CC --> but/CC
I/PRP --> I/PRP
will/MD --> will/MD
just/RB --> just/RB
finish/VB --> finish/VB
the/DT --> the/DT
jacket/NN --> jacket/NN
before/IN --> before/IN
I/PRP --> I/PRP
take/VBP --> take/VBP
a/DT --> a/DT
bite/NN --> bite/NN
./. --> ./.
