<title>/IN --> IN/IN
98/CD --> 98/CD
Doctor/NNP --> Doctor/NNP
Knowall/NNP --> Knowall/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
poor/JJ --> poor/JJ
peasant/NN --> peasant/NN
called/VBN --> call/VBN
Crabb/NNP --> Crabb/NNP
,/, --> ,/,
who/WP --> who/WP
drove/VBD --> drive/VBD
with/IN --> with/IN
two/CD --> two/CD
oxen/NNS --> ox/NNS
a/DT --> a/DT
load/NN --> load/NN
of/IN --> of/IN
wood/NN --> wood/NN
to/TO --> to/TO
the/DT --> the/DT
town/NN --> town/NN
,/, --> ,/,
and/CC --> and/CC
sold/VBD --> sell/VBD
it/PRP --> it/PRP
to/TO --> to/TO
a/DT --> a/DT
doctor/NN --> doctor/NN
for/IN --> for/IN
two/CD --> two/CD
thalers/NNS --> thaler/NNS
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
money/NN --> money/NN
was/VBD --> be/VBD
being/VBG --> be/VBG
counted/VBN --> count/VBN
out/RP --> out/RP
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
it/PRP --> it/PRP
so/RB --> so/RB
happened/VBD --> happen/VBD
that/IN --> that/IN
the/DT --> the/DT
doctor/NN --> doctor/NN
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
at/IN --> at/IN
table/NN --> table/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
peasant/NN --> peasant/NN
saw/VBD --> see/VBD
how/WRB --> how/WRB
daintily/RB --> daintily/RB
he/PRP --> he/PRP
ate/VBD --> eat/VBD
and/CC --> and/CC
drank/NN --> drank/NN
,/, --> ,/,
his/PRP$ --> he/PRP$
heart/NN --> heart/NN
desired/VBD --> desire/VBD
what/WP --> what/WP
he/PRP --> he/PRP
saw/VBD --> see/VBD
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
would/MD --> would/MD
willingly/RB --> willingly/RB
have/VB --> have/VB
been/VBN --> be/VBN
a/DT --> a/DT
doctor/NN --> doctor/NN
too/RB --> too/RB
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
remained/VBD --> remain/VBD
standing/VBG --> stand/VBG
a/DT --> a/DT
while/NN --> while/NN
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
length/NN --> length/NN
inquired/VBN --> inquire/VBN
if/IN --> if/IN
he/PRP --> he/PRP
too/RB --> too/RB
could/MD --> could/MD
not/RB --> not/RB
be/VB --> be/VB
a/DT --> a/DT
doctor/NN --> doctor/NN
./. --> ./.
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
