<title>/IN --> IN/IN
80/CD --> 80/CD
The/DT --> the/DT
Death/NNP --> Death/NNP
of/IN --> of/IN
the/DT --> the/DT
Little/NNP --> Little/NNP
Hen/NNP --> Hen/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
the/DT --> the/DT
little/JJ --> little/JJ
hen/NN --> hen/NN
went/VBD --> go/VBD
with/IN --> with/IN
the/DT --> the/DT
little/JJ --> little/JJ
cock/NN --> cock/NN
to/TO --> to/TO
the/DT --> the/DT
nut-hill/NN --> nut-hill/NN
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
agreed/VBD --> agree/VBD
together/RB --> together/RB
that/IN --> that/IN
whichsoever/NN --> whichsoever/NN
of/IN --> of/IN
them/PRP --> they/PRP
found/VBD --> find/VBD
a/DT --> a/DT
kernel/NN --> kernel/NN
of/IN --> of/IN
a/DT --> a/DT
nut/NN --> nut/NN
should/MD --> should/MD
share/VB --> share/VB
it/PRP --> it/PRP
with/IN --> with/IN
the/DT --> the/DT
other/JJ --> other/JJ
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
hen/NN --> hen/NN
found/VBD --> find/VBD
a/DT --> a/DT
large/JJ --> large/JJ
,/, --> ,/,
large/JJ --> large/JJ
nut/NN --> nut/NN
,/, --> ,/,
but/CC --> but/CC
said/VBD --> say/VBD
nothing/NN --> nothing/NN
about/IN --> about/IN
it/PRP --> it/PRP
,/, --> ,/,
intending/VBG --> intend/VBG
to/TO --> to/TO
eat/VB --> eat/VB
the/DT --> the/DT
kernel/NN --> kernel/NN
herself/PRP --> herself/PRP
./. --> ./.
The/DT --> the/DT
kernel/NN --> kernel/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
was/VBD --> be/VBD
so/RB --> so/RB
large/JJ --> large/JJ
that/IN --> that/IN
she/PRP --> she/PRP
could/MD --> could/MD
not/RB --> not/RB
swallow/VB --> swallow/VB
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
remained/VBD --> remain/VBD
sticking/VBG --> stick/VBG
in/IN --> in/IN
her/PRP$ --> she/PRP$
throat/NN --> throat/NN
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
alarmed/VBN --> alarm/VBN
lest/IN --> lest/IN
she/PRP --> she/PRP
should/MD --> should/MD
be/VB --> be/VB
choked/VBN --> choke/VBN
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
cried/VBD --> cry/VBD
,/, --> ,/,
``/`` --> ``/``
Cock/NNP --> Cock/NNP
,/, --> ,/,
I/PRP --> I/PRP
entreat/VBP --> entreat/VBP
thee/NN --> thee/NN
to/TO --> to/TO
run/VB --> run/VB
as/RB --> as/RB
fast/JJ --> fast/JJ
thou/NN --> thou/NN
canst/NN --> canst/NN
,/, --> ,/,
and/CC --> and/CC
fetch/VB --> fetch/VB
me/PRP --> I/PRP
some/DT --> some/DT
water/NN --> water/NN
,/, --> ,/,
or/CC --> or/CC
I/PRP --> I/PRP
shall/MD --> shall/MD
choke/VB --> choke/VB
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
little/JJ --> little/JJ
cock/NN --> cock/NN
did/VBD --> do/VBD
run/VB --> run/VB
as/RB --> as/RB
fast/RB --> fast/RB
as/IN --> as/IN
he/PRP --> he/PRP
could/MD --> could/MD
to/TO --> to/TO
the/DT --> the/DT
spring/NN --> spring/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Stream/NNP --> Stream/NNP
,/, --> ,/,
thou/JJ --> thou/JJ
art/NN --> art/NN
to/TO --> to/TO
give/VB --> give/VB
me/PRP --> I/PRP
some/DT --> some/DT
water/NN --> water/NN
;/: --> ;/:
the/DT --> the/DT
little/JJ --> little/JJ
hen/NN --> hen/NN
is/VBZ --> be/VBZ
lying/VBG --> lie/VBG
on/IN --> on/IN
the/DT --> the/DT
nut-hill/JJ --> nut-hill/JJ
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
has/VBZ --> have/VBZ
swallowed/VBN --> swallow/VBN
a/DT --> a/DT
large/JJ --> large/JJ
nut/NN --> nut/NN
,/, --> ,/,
and/CC --> and/CC
is/VBZ --> be/VBZ
choking/VBG --> choke/VBG
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
well/RB --> well/RB
answered/VBN --> answer/VBN
,/, --> ,/,
``/`` --> ``/``
First/JJ --> first/JJ
run/NN --> run/NN
to/TO --> to/TO
the/DT --> the/DT
bride/NN --> bride/NN
,/, --> ,/,
and/CC --> and/CC
get/VB --> get/VB
her/PRP$ --> she/PRP$
to/TO --> to/TO
give/VB --> give/VB
thee/VB --> thee/VB
some/DT --> some/DT
red/JJ --> red/JJ
silk/NN --> silk/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
little/JJ --> little/JJ
cock/NN --> cock/NN
ran/VBD --> run/VBD
to/TO --> to/TO
the/DT --> the/DT
bride/NN --> bride/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Bride/NNP --> Bride/NNP
,/, --> ,/,
you/PRP --> you/PRP
are/VBP --> be/VBP
to/TO --> to/TO
give/VB --> give/VB
me/PRP --> I/PRP
some/DT --> some/DT
red/JJ --> red/JJ
silk/NN --> silk/NN
;/: --> ;/:
I/PRP --> I/PRP
want/VBP --> want/VBP
to/TO --> to/TO
give/VB --> give/VB
red/JJ --> red/JJ
silk/NN --> silk/NN
to/TO --> to/TO
the/DT --> the/DT
well/RB --> well/RB
,/, --> ,/,
the/DT --> the/DT
well/NN --> well/NN
is/VBZ --> be/VBZ
to/TO --> to/TO
give/VB --> give/VB
me/PRP --> I/PRP
some/DT --> some/DT
water/NN --> water/NN
,/, --> ,/,
I/PRP --> I/PRP
am/VBP --> be/VBP
to/TO --> to/TO
take/VB --> take/VB
the/DT --> the/DT
water/NN --> water/NN
to/TO --> to/TO
the/DT --> the/DT
little/JJ --> little/JJ
hen/NN --> hen/NN
who/WP --> who/WP
is/VBZ --> be/VBZ
lying/VBG --> lie/VBG
on/IN --> on/IN
the/DT --> the/DT
nut-hill/JJ --> nut-hill/JJ
and/CC --> and/CC
has/VBZ --> have/VBZ
swallowed/VBN --> swallow/VBN
a/DT --> a/DT
great/JJ --> great/JJ
nut-kernel/NN --> nut-kernel/NN
,/, --> ,/,
and/CC --> and/CC
is/VBZ --> be/VBZ
choking/VBG --> choke/VBG
with/IN --> with/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
bride/NN --> bride/NN
answered/VBN --> answer/VBN
,/, --> ,/,
``/`` --> ``/``
First/JJ --> first/JJ
run/NN --> run/NN
and/CC --> and/CC
bring/VB --> bring/VB
me/PRP --> I/PRP
my/PRP$ --> my/PRP$
little/JJ --> little/JJ
wreath/NN --> wreath/NN
which/WDT --> which/WDT
is/VBZ --> be/VBZ
hanging/VBG --> hang/VBG
to/TO --> to/TO
a/DT --> a/DT
willow/NN --> willow/NN
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
the/DT --> the/DT
little/JJ --> little/JJ
cock/NN --> cock/NN
ran/VBD --> run/VBD
to/TO --> to/TO
the/DT --> the/DT
willow/NN --> willow/NN
,/, --> ,/,
and/CC --> and/CC
drew/VBD --> draw/VBD
the/DT --> the/DT
wreath/NN --> wreath/NN
from/IN --> from/IN
the/DT --> the/DT
branch/NN --> branch/NN
and/CC --> and/CC
took/VBD --> take/VBD
it/PRP --> it/PRP
to/TO --> to/TO
the/DT --> the/DT
bride/NN --> bride/NN
,/, --> ,/,
