<title>/IN --> IN/IN
49/CD --> 49/CD
The/DT --> the/DT
Six/CD --> six/CD
Swans/NNPS --> Swans/NNPS
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
,/, --> ,/,
a/DT --> a/DT
certain/JJ --> certain/JJ
King/NNP --> King/NNP
was/VBD --> be/VBD
hunting/NN --> hunting/NN
in/IN --> in/IN
a/DT --> a/DT
great/JJ --> great/JJ
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
chased/VBD --> chase/VBD
a/DT --> a/DT
wild/JJ --> wild/JJ
beast/NN --> beast/NN
so/RB --> so/RB
eagerly/RB --> eagerly/RB
that/IN --> that/IN
none/NN --> none/NN
of/IN --> of/IN
his/PRP$ --> he/PRP$
attendants/NNS --> attendant/NNS
could/MD --> could/MD
follow/VB --> follow/VB
him/PRP --> he/PRP
./. --> ./.
When/WRB --> when/WRB
evening/NN --> evening/NN
drew/VBD --> draw/VBD
near/IN --> near/IN
he/PRP --> he/PRP
stopped/VBD --> stop/VBD
and/CC --> and/CC
looked/VBD --> look/VBD
around/IN --> around/IN
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
he/PRP --> he/PRP
saw/VBD --> see/VBD
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
lost/VBN --> lose/VBN
his/PRP$ --> he/PRP$
way/NN --> way/NN
./. --> ./.
He/PRP --> he/PRP
sought/VBD --> seek/VBD
a/DT --> a/DT
way/NN --> way/NN
out/RP --> out/RP
,/, --> ,/,
but/CC --> but/CC
could/MD --> could/MD
find/VB --> find/VB
none/NN --> none/NN
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
perceived/VBD --> perceive/VBD
an/DT --> a/DT
aged/VBN --> age/VBN
woman/NN --> woman/NN
with/IN --> with/IN
a/DT --> a/DT
head/NN --> head/NN
which/WDT --> which/WDT
nodded/VBD --> nod/VBD
perpetually/RB --> perpetually/RB
,/, --> ,/,
who/WP --> who/WP
came/VBD --> come/VBD
towards/IN --> towards/IN
him/PRP --> he/PRP
,/, --> ,/,
but/CC --> but/CC
she/PRP --> she/PRP
was/VBD --> be/VBD
a/DT --> a/DT
witch/NN --> witch/NN
./. --> ./.
``/`` --> ``/``
Good/JJ --> good/JJ
woman/NN --> woman/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
Can/MD --> can/MD
you/PRP --> you/PRP
not/RB --> not/RB
show/VB --> show/VB
me/PRP --> I/PRP
the/DT --> the/DT
way/NN --> way/NN
through/IN --> through/IN
the/DT --> the/DT
forest/NN --> forest/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
yes/RB --> yes/RB
,/, --> ,/,
Lord/NNP --> Lord/NNP
King/NNP --> King/NNP
,/, --> ,/,
''/'' --> ''/''
she/PRP --> she/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
that/IN --> that/IN
I/PRP --> I/PRP
certainly/RB --> certainly/RB
can/MD --> can/MD
,/, --> ,/,
but/CC --> but/CC
on/IN --> on/IN
one/CD --> one/CD
condition/NN --> condition/NN
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
you/PRP --> you/PRP
do/VBP --> do/VBP
not/RB --> not/RB
fulfil/VB --> fulfil/VB
that/DT --> that/DT
,/, --> ,/,
you/PRP --> you/PRP
will/MD --> will/MD
never/RB --> never/RB
get/VB --> get/VB
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
will/MD --> will/MD
die/VB --> die/VB
of/IN --> of/IN
hunger/NN --> hunger/NN
in/IN --> in/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
kind/NN --> kind/NN
of/IN --> of/IN
condition/NN --> condition/NN
is/VBZ --> be/VBZ
it/PRP --> it/PRP
?/. --> ?/.
''/'' --> ''/''
asked/VBD --> ask/VBD
the/DT --> the/DT
King/NNP --> King/NNP
./. --> ./.
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
a/DT --> a/DT
daughter/NN --> daughter/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
,/, --> ,/,
``/`` --> ``/``
who/WP --> who/WP
is/VBZ --> be/VBZ
as/IN --> as/IN
beautiful/JJ --> beautiful/JJ
as/IN --> as/IN
any/DT --> any/DT
one/CD --> one/CD
in/IN --> in/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
and/CC --> and/CC
well/RB --> well/RB
deserves/VBZ --> deserve/VBZ
to/TO --> to/TO
be/VB --> be/VB
your/PRP$ --> you/PRP$
consort/NN --> consort/NN
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
you/PRP --> you/PRP
will/MD --> will/MD
make/VB --> make/VB
her/PRP$ --> she/PRP$
your/PRP$ --> you/PRP$
Queen/NNP --> Queen/NNP
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
show/VB --> show/VB
you/PRP --> you/PRP
the/DT --> the/DT
way/NN --> way/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
forest/NN --> forest/NN
./. --> ./.
''/'' --> ''/''
In/IN --> in/IN
the/DT --> the/DT
anguish/NN --> anguish/NN
of/IN --> of/IN
his/PRP$ --> he/PRP$
heart/NN --> heart/NN
the/DT --> the/DT
King/NNP --> King/NNP
consented/VBD --> consent/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
led/VBD --> lead/VBD
him/PRP --> he/PRP
to/TO --> to/TO
her/PRP$ --> she/PRP$
little/JJ --> little/JJ
hut/NN --> hut/NN
,/, --> ,/,
where/WRB --> where/WRB
her/PRP$ --> she/PRP$
daughter/NN --> daughter/NN
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
by/IN --> by/IN
the/DT --> the/DT
fire/NN --> fire/NN
./. --> ./.
She/PRP --> she/PRP
received/VBD --> receive/VBD
the/DT --> the/DT
King/NNP --> King/NNP
as/IN --> as/IN
if/IN --> if/IN
she/PRP --> she/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
expecting/VBG --> expect/VBG
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
saw/VBD --> see/VBD
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
very/RB --> very/RB
beautiful/JJ --> beautiful/JJ
,/, --> ,/,
but/CC --> but/CC
still/RB --> still/RB
she/PRP --> she/PRP
did/VBD --> do/VBD
not/RB --> not/RB
please/VB --> please/VB
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
