<title>/IN --> IN/IN
75/CD --> 75/CD
The/DT --> the/DT
Fox/NNP --> Fox/NNP
and/CC --> and/CC
the/DT --> the/DT
Cat/NNP --> Cat/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
by/IN --> by/IN
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
It/PRP --> it/PRP
happened/VBD --> happen/VBD
that/IN --> that/IN
the/DT --> the/DT
cat/NN --> cat/NN
met/VBD --> meet/VBD
the/DT --> the/DT
fox/NN --> fox/NN
in/IN --> in/IN
a/DT --> a/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
she/PRP --> she/PRP
thought/VBD --> think/VBD
to/TO --> to/TO
herself/PRP --> herself/PRP
,/, --> ,/,
``/`` --> ``/``
He/PRP --> he/PRP
is/VBZ --> be/VBZ
clever/JJ --> clever/JJ
and/CC --> and/CC
full/JJ --> full/JJ
of/IN --> of/IN
experience/NN --> experience/NN
,/, --> ,/,
and/CC --> and/CC
much/RB --> much/RB
esteemed/VBN --> esteem/VBN
in/IN --> in/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
''/'' --> ''/''
she/PRP --> she/PRP
spoke/VBD --> speak/VBD
to/TO --> to/TO
him/PRP --> he/PRP
in/IN --> in/IN
a/DT --> a/DT
friendly/JJ --> friendly/JJ
way/NN --> way/NN
./. --> ./.
``/`` --> ``/``
Good-day/JJ --> good-day/JJ
,/, --> ,/,
dear/RB --> dear/RB
Mr./NNP --> Mr./NNP
Fox/NNP --> Fox/NNP
,/, --> ,/,
how/WRB --> how/WRB
are/VBP --> be/VBP
you/PRP --> you/PRP
?/. --> ?/.
How/WRB --> how/WRB
is/VBZ --> be/VBZ
all/DT --> all/DT
with/IN --> with/IN
you/PRP --> you/PRP
?/. --> ?/.
How/WRB --> how/WRB
are/VBP --> be/VBP
you/PRP --> you/PRP
getting/VBG --> get/VBG
through/IN --> through/IN
this/DT --> this/DT
dear/RB --> dear/RB
season/NN --> season/NN
?/. --> ?/.
''/'' --> ''/''
The/DT --> the/DT
