<title>/IN --> IN/IN
THE/DT --> the/DT
GOBLIN/NNP --> GOBLIN/NNP
AND/CC --> and/CC
THE/DT --> the/DT
HUCKSTER/NNP --> HUCKSTER/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
regular/JJ --> regular/JJ
student/NN --> student/NN
:/: --> :/:
he/PRP --> he/PRP
lived/VBD --> live/VBD
in/IN --> in/IN
a/DT --> a/DT
garret/NN --> garret/NN
,/, --> ,/,
and/CC --> and/CC
nothing/NN --> nothing/NN
at/IN --> at/IN
all/DT --> all/DT
belonged/VBN --> belong/VBN
to/TO --> to/TO
him/PRP --> he/PRP
;/: --> ;/:
but/CC --> but/CC
there/EX --> there/EX
was/VBD --> be/VBD
also/RB --> also/RB
once/RB --> once/RB
a/DT --> a/DT
regular/JJ --> regular/JJ
huckster/NN --> huckster/NN
:/: --> :/:
he/PRP --> he/PRP
lived/VBD --> live/VBD
on/IN --> on/IN
the/DT --> the/DT
ground/NN --> ground/NN
floor/NN --> floor/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
whole/JJ --> whole/JJ
house/NN --> house/NN
was/VBD --> be/VBD
his/PRP$ --> he/PRP$
;/: --> ;/:
and/CC --> and/CC
the/DT --> the/DT
goblin/NN --> goblin/NN
kept/VBD --> keep/VBD
with/IN --> with/IN
him/PRP --> he/PRP
,/, --> ,/,
for/IN --> for/IN
on/IN --> on/IN
the/DT --> the/DT
huckster/NN --> huckster/NN
's/POS --> 's/POS
table/NN --> table/NN
on/IN --> on/IN
Christmas/NNP --> Christmas/NNP
Eve/NNP --> Eve/NNP
there/EX --> there/EX
was/VBD --> be/VBD
always/RB --> always/RB
a/DT --> a/DT
dish/NN --> dish/NN
of/IN --> of/IN
plum/NN --> plum/NN
porridge/NN --> porridge/NN
,/, --> ,/,
with/IN --> with/IN
a/DT --> a/DT
great/JJ --> great/JJ
piece/NN --> piece/NN
of/IN --> of/IN
butter/NN --> butter/NN
floating/VBG --> float/VBG
in/IN --> in/IN
the/DT --> the/DT
middle/NN --> middle/NN
./. --> ./.
The/DT --> the/DT
huckster/NN --> huckster/NN
could/MD --> could/MD
accomplish/VB --> accomplish/VB
that/DT --> that/DT
;/: --> ;/:
and/CC --> and/CC
consequently/RB --> consequently/RB
the/DT --> the/DT
goblin/NN --> goblin/NN
stuck/VBD --> stick/VBD
to/TO --> to/TO
the/DT --> the/DT
huckster/NN --> huckster/NN
's/POS --> 's/POS
shop/NN --> shop/NN
,/, --> ,/,
and/CC --> and/CC
that/DT --> that/DT
was/VBD --> be/VBD
very/RB --> very/RB
interesting/JJ --> interesting/JJ
./. --> ./.
One/CD --> one/CD
evening/NN --> evening/NN
the/DT --> the/DT
student/NN --> student/NN
came/VBD --> come/VBD
through/IN --> through/IN
the/DT --> the/DT
back/JJ --> back/JJ
door/NN --> door/NN
to/TO --> to/TO
buy/VB --> buy/VB
candles/NNS --> candle/NNS
and/CC --> and/CC
cheese/NN --> cheese/NN
for/IN --> for/IN
himself/PRP --> himself/PRP
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
one/NN --> one/NN
to/TO --> to/TO
send/VB --> send/VB
,/, --> ,/,
and/CC --> and/CC
that/DT --> that/DT
's/VBZ --> be/VBZ
why/WRB --> why/WRB
he/PRP --> he/PRP
came/VBD --> come/VBD
himself/PRP --> himself/PRP
./. --> ./.
He/PRP --> he/PRP
procured/VBD --> procure/VBD
what/WP --> what/WP
he/PRP --> he/PRP
wanted/VBD --> want/VBD
and/CC --> and/CC
paid/VBD --> pay/VBD
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
huckster/NN --> huckster/NN
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
both/DT --> both/DT
nodded/VBD --> nod/VBD
a/DT --> a/DT
``/`` --> ``/``
good/JJ --> good/JJ
evening/NN --> evening/NN
''/'' --> ''/''
to/TO --> to/TO
him/PRP --> he/PRP
;/: --> ;/:
and/CC --> and/CC
