<title>/IN --> IN/IN
32/CD --> 32/CD
Clever/NNP --> Clever/NNP
Hans/NNP --> Hans/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
The/DT --> the/DT
mother/NN --> mother/NN
of/IN --> of/IN
Hans/NNP --> Hans/NNP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Whither/VB --> whither/VB
away/RB --> away/RB
,/, --> ,/,
Hans/NNP --> Hans/NNP
?/. --> ?/.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
To/TO --> to/TO
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Behave/VB --> behave/VB
well/RB --> well/RB
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
I/PRP --> I/PRP
'll/MD --> 'll/MD
behave/VB --> behave/VB
well/RB --> well/RB
./. --> ./.
Good-bye/NN --> good-bye/NN
,/, --> ,/,
mother/NN --> mother/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good-bye/NN --> good-bye/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
comes/VBZ --> come/VBZ
to/TO --> to/TO
Grethel/NNP --> Grethel/NNP
,/, --> ,/,
``/`` --> ``/``
Good/JJ --> good/JJ
day/NN --> day/NN
,/, --> ,/,
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good/JJ --> good/JJ
day/NN --> day/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
What/WP --> what/WP
dost/FW --> dost/FW
thou/FW --> thou/FW
bring/VBP --> bring/VBP
that/DT --> that/DT
is/VBZ --> be/VBZ
good/JJ --> good/JJ
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
bring/VBP --> bring/VBP
nothing/NN --> nothing/NN
,/, --> ,/,
I/PRP --> I/PRP
want/VBP --> want/VBP
to/TO --> to/TO
have/VB --> have/VB
something/NN --> something/NN
given/VBN --> give/VBN
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
Grethel/NNP --> Grethel/NNP
presents/VBZ --> present/VBZ
Hans/NNP --> Hans/NNP
with/IN --> with/IN
a/DT --> a/DT
needle/NN --> needle/NN
./. --> ./.
Hans/NNP --> Hans/NNP
says/VBZ --> say/VBZ
,/, --> ,/,
``/`` --> ``/``
Good-bye/JJ --> good-bye/JJ
,/, --> ,/,
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good-bye/NN --> good-bye/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
takes/VBZ --> take/VBZ
the/DT --> the/DT
needle/NN --> needle/NN
,/, --> ,/,
sticks/VBZ --> stick/VBZ
it/PRP --> it/PRP
into/IN --> into/IN
a/DT --> a/DT
hay-cart/NN --> hay-cart/NN
,/, --> ,/,
and/CC --> and/CC
follows/VBZ --> follow/VBZ
the/DT --> the/DT
cart/NN --> cart/NN
home/NN --> home/NN
./. --> ./.
``/`` --> ``/``
Good/JJ --> good/JJ
evening/NN --> evening/NN
,/, --> ,/,
mother/NN --> mother/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good/JJ --> good/JJ
evening/NN --> evening/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
Where/WRB --> where/WRB
hast/JJ --> hast/JJ
thou/NN --> thou/NN
been/VBN --> be/VBN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
With/IN --> with/IN
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
didst/VBP --> do/VBP
thou/RB --> thou/RB
take/VB --> take/VB
her/PRP --> she/PRP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Took/NNP --> Took/NNP
nothing/NN --> nothing/NN
;/: --> ;/:
had/VBD --> have/VBD
something/NN --> something/NN
given/VBN --> give/VBN
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
did/VBD --> do/VBD
Grethel/NNP --> Grethel/NNP
give/VBP --> give/VBP
thee/VB --> thee/VB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Gave/VB --> give/VB
me/PRP --> I/PRP
a/DT --> a/DT
needle/NN --> needle/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Where/WRB --> where/WRB
is/VBZ --> be/VBZ
the/DT --> the/DT
needle/NN --> needle/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Stuck/VB --> stick/VB
it/PRP --> it/PRP
in/IN --> in/IN
the/DT --> the/DT
hay-cart/NN --> hay-cart/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
That/DT --> that/DT
was/VBD --> be/VBD
ill/RB --> ill/RB
done/VBN --> do/VBN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
Thou/NNP --> Thou/NNP
shouldst/NN --> shouldst/NN
have/VBP --> have/VBP
stuck/VBN --> stick/VBN
the/DT --> the/DT
needle/NN --> needle/NN
in/IN --> in/IN
thy/NN --> thy/NN
sleeve/NN --> sleeve/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Never/RB --> never/RB
mind/VB --> mind/VB
,/, --> ,/,
I/PRP --> I/PRP
'll/MD --> 'll/MD
do/VB --> do/VB
better/JJR --> better/JJR
next/JJ --> next/JJ
time/NN --> time/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Whither/VB --> whither/VB
away/RB --> away/RB
,/, --> ,/,
Hans/NNP --> Hans/NNP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
To/TO --> to/TO
Grethel/NNP --> Grethel/NNP
,/, --> ,/,
mother/NN --> mother/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Behave/VB --> behave/VB
well/RB --> well/RB
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
I/PRP --> I/PRP
'll/MD --> 'll/MD
behave/VB --> behave/VB
well/RB --> well/RB
./. --> ./.
Good-bye/NN --> good-bye/NN
,/, --> ,/,
mother/NN --> mother/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good-bye/NN --> good-bye/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
comes/VBZ --> come/VBZ
to/TO --> to/TO
Grethel/NNP --> Grethel/NNP
./. --> ./.
``/`` --> ``/``
Good/JJ --> good/JJ
day/NN --> day/NN
,/, --> ,/,
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good/JJ --> good/JJ
day/NN --> day/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
What/WP --> what/WP
dost/FW --> dost/FW
thou/FW --> thou/FW
bring/VBP --> bring/VBP
that/DT --> that/DT
is/VBZ --> be/VBZ
good/JJ --> good/JJ
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
bring/VBP --> bring/VBP
nothing/NN --> nothing/NN
;/: --> ;/:
I/PRP --> I/PRP
want/VBP --> want/VBP
to/TO --> to/TO
have/VB --> have/VB
something/NN --> something/NN
given/VBN --> give/VBN
to/TO --> to/TO
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
Grethel/NNP --> Grethel/NNP
presents/VBZ --> present/VBZ
Hans/NNP --> Hans/NNP
with/IN --> with/IN
a/DT --> a/DT
knife/NN --> knife/NN
./. --> ./.
``/`` --> ``/``
Good-bye/NN --> good-bye/NN
,/, --> ,/,
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good-bye/NNP --> Good-bye/NNP
Hans/NNP --> Hans/NNP
./. --> ./.
''/'' --> ''/''
Hans/NNP --> Hans/NNP
takes/VBZ --> take/VBZ
the/DT --> the/DT
knife/NN --> knife/NN
,/, --> ,/,
sticks/VBZ --> stick/VBZ
it/PRP --> it/PRP
in/IN --> in/IN
his/PRP$ --> he/PRP$
sleeve/NN --> sleeve/NN
,/, --> ,/,
and/CC --> and/CC
goes/VBZ --> go/VBZ
home/NN --> home/NN
./. --> ./.
``/`` --> ``/``
Good/JJ --> good/JJ
evening/NN --> evening/NN
,/, --> ,/,
mother/NN --> mother/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Good/JJ --> good/JJ
evening/NN --> evening/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
./. --> ./.
Where/WRB --> where/WRB
hast/JJ --> hast/JJ
thou/NN --> thou/NN
been/VBN --> be/VBN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
With/IN --> with/IN
Grethel/NNP --> Grethel/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
didst/VBP --> do/VBP
thou/RB --> thou/RB
take/VB --> take/VB
her/PRP --> she/PRP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Took/VBD --> take/VBD
her/PRP$ --> she/PRP$
nothing/NN --> nothing/NN
,/, --> ,/,
she/PRP --> she/PRP
gave/VBD --> give/VBD
me/PRP --> I/PRP
something/NN --> something/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
did/VBD --> do/VBD
Grethel/NNP --> Grethel/NNP
give/VBP --> give/VBP
thee/VB --> thee/VB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Gave/VB --> give/VB
me/PRP --> I/PRP
a/DT --> a/DT
knife/NN --> knife/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Where/WRB --> where/WRB
is/VBZ --> be/VBZ
the/DT --> the/DT
knife/NN --> knife/NN
,/, --> ,/,
Hans/NNP --> Hans/NNP
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Stuck/NNP --> Stuck/NNP
in/IN --> in/IN
my/PRP$ --> my/PRP$
sleeve/NN --> sleeve/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
That/DT --> that/DT
's/VBZ --> be/VBZ
