<title>/IN --> IN/IN
9/CD --> 9/CD
The/DT --> the/DT
Twelve/NNP --> Twelve/NNP
Brothers/NNPS --> Brothers/NNPS
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
were/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
king/NN --> king/NN
and/CC --> and/CC
a/DT --> a/DT
queen/NN --> queen/NN
who/WP --> who/WP
lived/VBD --> live/VBD
happily/RB --> happily/RB
together/RB --> together/RB
and/CC --> and/CC
had/VBD --> have/VBD
twelve/CD --> twelve/CD
children/NNS --> child/NNS
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
were/VBD --> be/VBD
all/DT --> all/DT
boys/NNS --> boy/NNS
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
King/NNP --> King/NNP
to/TO --> to/TO
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
the/DT --> the/DT
thirteenth/JJ --> thirteenth/JJ
child/NN --> child/NN
which/WDT --> which/WDT
thou/VBP --> thou/VBP
art/NN --> art/NN
about/IN --> about/IN
to/TO --> to/TO
bring/VB --> bring/VB
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
is/VBZ --> be/VBZ
a/DT --> a/DT
girl/NN --> girl/NN
,/, --> ,/,
the/DT --> the/DT
twelve/CD --> twelve/CD
boys/NNS --> boy/NNS
shall/MD --> shall/MD
die/VB --> die/VB
,/, --> ,/,
in/IN --> in/IN
order/NN --> order/NN
that/IN --> that/IN
her/PRP$ --> she/PRP$
possessions/NNS --> possession/NNS
may/MD --> may/MD
be/VB --> be/VB
great/JJ --> great/JJ
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
the/DT --> the/DT
kingdom/NN --> kingdom/NN
may/MD --> may/MD
fall/VB --> fall/VB
to/TO --> to/TO
her/PRP --> she/PRP
alone/RB --> alone/RB
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
caused/VBD --> cause/VBD
likewise/RB --> likewise/RB
twelve/CD --> twelve/CD
coffins/NNS --> coffin/NNS
to/TO --> to/TO
be/VB --> be/VB
made/VBN --> make/VBN
,/, --> ,/,
which/WDT --> which/WDT
were/VBD --> be/VBD
already/RB --> already/RB
filled/VBN --> fill/VBN
with/IN --> with/IN
shavings/NNS --> shaving/NNS
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
each/DT --> each/DT
lay/VBD --> lay/VBD
the/DT --> the/DT
little/JJ --> little/JJ
pillow/NN --> pillow/NN
for/IN --> for/IN
the/DT --> the/DT
dead/JJ --> dead/JJ
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
had/VBD --> have/VBD
them/PRP --> they/PRP
taken/VBN --> take/VBN
into/IN --> into/IN
a/DT --> a/DT
locked-up/JJ --> locked-up/JJ
room/NN --> room/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
he/PRP --> he/PRP
gave/VBD --> give/VBD
the/DT --> the/DT
Queen/NNP --> Queen/NNP
the/DT --> the/DT
key/NN --> key/NN
of/IN --> of/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
bade/VB --> bid/VB
her/PRP --> she/PRP
not/RB --> not/RB
to/TO --> to/TO
speak/VB --> speak/VB
of/IN --> of/IN
this/DT --> this/DT
to/TO --> to/TO
any/DT --> any/DT
one/CD --> one/CD
./. --> ./.
The/DT --> the/DT
mother/NN --> mother/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
now/RB --> now/RB
sat/VBD --> sit/VBD
and/CC --> and/CC
lamented/VBD --> lament/VBD
all/DT --> all/DT
day/NN --> day/NN
long/RB --> long/RB
,/, --> ,/,
until/IN --> until/IN
the/DT --> the/DT
youngest/JJS --> youngest/JJS
son/NN --> son/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
always/RB --> always/RB
with/IN --> with/IN
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
whom/WP --> whom/WP
she/PRP --> she/PRP
had/VBD --> have/VBD
named/VBN --> name/VBN
Benjamin/NNP --> Benjamin/NNP
,/, --> ,/,
from/IN --> from/IN
the/DT --> the/DT
Bible/NNP --> Bible/NNP
,/, --> ,/,
said/VBD --> say/VBD
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
Dear/JJ --> dear/JJ
mother/NN --> mother/NN
,/, --> ,/,
why/WRB --> why/WRB
art/NN --> art/NN
thou/NN --> thou/NN
so/RB --> so/RB
sad/JJ --> sad/JJ
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Dearest/JJ --> dearest/JJ
child/NN --> child/NN
,/, --> ,/,
''/'' --> ''/''
she/PRP --> she/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
may/MD --> may/MD
not/RB --> not/RB
tell/VB --> tell/VB
thee/NN --> thee/NN
./. --> ./.
''/'' --> ''/''
But/CC --> but/CC
he/PRP --> he/PRP
let/VBD --> let/VBD
her/PRP --> she/PRP
have/VBP --> have/VBP
no/DT --> no/DT
rest/NN --> rest/NN
until/IN --> until/IN
she/PRP --> she/PRP
went/VBD --> go/VBD
and/CC --> and/CC
unlocked/VBD --> unlock/VBD
the/DT --> the/DT
room/NN --> room/NN
,/, --> ,/,
and/CC --> and/CC
showed/VBD --> show/VBD
him/PRP --> he/PRP
the/DT --> the/DT
twelve/CD --> twelve/CD
coffins/NNS --> coffin/NNS
ready/JJ --> ready/JJ
filled/VBN --> fill/VBN
with/IN --> with/IN
shavings/NNS --> shaving/NNS
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
my/PRP$ --> my/PRP$
dearest/NN --> dearest/NN
Benjamin/NNP --> Benjamin/NNP
,/, --> ,/,
thy/NN --> thy/NN
father/NN --> father/NN
has/VBZ --> have/VBZ
had/VBN --> have/VBN
these/DT --> these/DT
coffins/NNS --> coffin/NNS
made/VBD --> make/VBD
for/IN --> for/IN
thee/NN --> thee/NN
and/CC --> and/CC
for/IN --> for/IN
thy/JJ --> thy/JJ
