<title>/IN --> IN/IN
THE/DT --> the/DT
SEVENTH/NNP --> SEVENTH/NNP
AND/NNP --> AND/NNP
LAST/NNP --> LAST/NNP
VOYAGE/NNP --> VOYAGE/NNP
OF/IN --> of/IN
SINBAD/NNP --> SINBAD/NNP
THE/DT --> the/DT
SAILOR/NNP --> SAILOR/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Arabian/NNP --> Arabian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Being/VBG --> be/VBG
returned/VBN --> return/VBN
from/IN --> from/IN
my/PRP$ --> my/PRP$
sixth/JJ --> sixth/JJ
voyage/NN --> voyage/NN
,/, --> ,/,
I/PRP --> I/PRP
absolutely/RB --> absolutely/RB
laid/VBD --> lay/VBD
aside/RB --> aside/RB
all/DT --> all/DT
thoughts/NNS --> thought/NNS
of/IN --> of/IN
traveling/VBG --> travel/VBG
any/DT --> any/DT
farther/RBR --> farther/RBR
;/: --> ;/:
for/IN --> for/IN
,/, --> ,/,
besides/IN --> besides/IN
that/DT --> that/DT
my/PRP$ --> my/PRP$
years/NNS --> year/NNS
now/RB --> now/RB
required/VBN --> require/VBN
rest/NN --> rest/NN
,/, --> ,/,
I/PRP --> I/PRP
was/VBD --> be/VBD
resolved/VBN --> resolve/VBN
no/RB --> no/RB
more/RBR --> more/RBR
to/TO --> to/TO
expose/VB --> expose/VB
myself/PRP --> myself/PRP
to/TO --> to/TO
such/JJ --> such/JJ
risk/NN --> risk/NN
as/IN --> as/IN
I/PRP --> I/PRP
had/VBD --> have/VBD
run/VBN --> run/VBN
;/: --> ;/:
so/RB --> so/RB
that/IN --> that/IN
I/PRP --> I/PRP
thought/VBD --> think/VBD
of/IN --> of/IN
nothing/NN --> nothing/NN
but/CC --> but/CC
to/TO --> to/TO
pass/VB --> pass/VB
the/DT --> the/DT
rest/NN --> rest/NN
of/IN --> of/IN
my/PRP$ --> my/PRP$
days/NNS --> day/NNS
in/IN --> in/IN
quiet/JJ --> quiet/JJ
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
,/, --> ,/,
as/IN --> as/IN
I/PRP --> I/PRP
was/VBD --> be/VBD
treating/VBG --> treat/VBG
some/DT --> some/DT
of/IN --> of/IN
my/PRP$ --> my/PRP$
friends/NNS --> friend/NNS
,/, --> ,/,
one/CD --> one/CD
of/IN --> of/IN
my/PRP$ --> my/PRP$
servants/NNS --> servant/NNS
came/VBD --> come/VBD
and/CC --> and/CC
told/VBD --> tell/VBD
me/PRP --> I/PRP
that/IN --> that/IN
an/DT --> a/DT
officer/NN --> officer/NN
of/IN --> of/IN
the/DT --> the/DT
caliph/NN --> caliph/NN
asked/VBD --> ask/VBD
for/IN --> for/IN
me/PRP --> I/PRP
./. --> ./.
I/PRP --> I/PRP
rose/VBD --> rise/VBD
from/IN --> from/IN
the/DT --> the/DT
