<title>/IN --> IN/IN
120/CD --> 120/CD
The/DT --> the/DT
Three/CD --> three/CD
Apprentices/NNPS --> Apprentices/NNPS
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
were/VBD --> be/VBD
once/RB --> once/RB
three/CD --> three/CD
apprentices/NNS --> apprentice/NNS
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
agreed/VBN --> agree/VBN
to/TO --> to/TO
keep/VB --> keep/VB
always/RB --> always/RB
together/RB --> together/RB
while/IN --> while/IN
traveling/VBG --> travel/VBG
,/, --> ,/,
and/CC --> and/CC
always/RB --> always/RB
to/TO --> to/TO
work/VB --> work/VB
in/IN --> in/IN
the/DT --> the/DT
same/JJ --> same/JJ
town/NN --> town/NN
./. --> ./.
At/IN --> at/IN
one/CD --> one/CD
time/NN --> time/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
their/PRP$ --> they/PRP$
masters/NNS --> master/NNS
had/VBD --> have/VBD
no/DT --> no/DT
more/JJR --> more/JJR
work/NN --> work/NN
to/TO --> to/TO
give/VB --> give/VB
them/PRP --> they/PRP
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
at/IN --> at/IN
last/JJ --> last/JJ
they/PRP --> they/PRP
were/VBD --> be/VBD
in/IN --> in/IN
rags/NNS --> rag/NNS
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
nothing/NN --> nothing/NN
to/TO --> to/TO
live/VB --> live/VB
on/IN --> on/IN
./. --> ./.
Then/RB --> then/RB
one/CD --> one/CD
of/IN --> of/IN
them/PRP --> they/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
shall/MD --> shall/MD
we/PRP --> we/PRP
do/VB --> do/VB
?/. --> ?/.
We/PRP --> we/PRP
can/MD --> can/MD
not/RB --> not/RB
stay/VB --> stay/VB
here/RB --> here/RB
any/DT --> any/DT
longer/RBR --> longer/RBR
,/, --> ,/,
we/PRP --> we/PRP
will/MD --> will/MD
travel/VB --> travel/VB
once/RB --> once/RB
more/RBR --> more/RBR
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
we/PRP --> we/PRP
do/VBP --> do/VBP
not/RB --> not/RB
find/VB --> find/VB
any/DT --> any/DT
work/NN --> work/NN
in/IN --> in/IN
the/DT --> the/DT
town/NN --> town/NN
we/PRP --> we/PRP
go/VBP --> go/VBP
to/TO --> to/TO
,/, --> ,/,
we/PRP --> we/PRP
will/MD --> will/MD
arrange/VB --> arrange/VB
with/IN --> with/IN
the/DT --> the/DT
innkeeper/NN --> innkeeper/NN
there/RB --> there/RB
,/, --> ,/,
that/IN --> that/IN
we/PRP --> we/PRP
are/VBP --> be/VBP
to/TO --> to/TO
write/VB --> write/VB
and/CC --> and/CC
tell/VB --> tell/VB
him/PRP --> he/PRP
where/WRB --> where/WRB
we/PRP --> we/PRP
are/VBP --> be/VBP
staying/VBG --> stay/VBG
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
we/PRP --> we/PRP
can/MD --> can/MD
always/RB --> always/RB
have/VB --> have/VB
news/NN --> news/NN
of/IN --> of/IN
each/DT --> each/DT
other/JJ --> other/JJ
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
we/PRP --> we/PRP
will/MD --> will/MD
separate/VB --> separate/VB
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
that/DT --> that/DT
seemed/VBD --> seem/VBD
best/RB --> best/RB
to/TO --> to/TO
the/DT --> the/DT
others/NNS --> other/NNS
also/RB --> also/RB
./. --> ./.
They/PRP --> they/PRP
went/VBD --> go/VBD
forth/RB --> forth/RB
,/, --> ,/,
and/CC --> and/CC
met/VBD --> meet/VBD
on/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
a/DT --> a/DT
richly-dressed/JJ --> richly-dressed/JJ
man/NN --> man/NN
who/WP --> who/WP
asked/VBD --> ask/VBD
who/WP --> who/WP
they/PRP --> they/PRP
were/VBD --> be/VBD
./. --> ./.
``/`` --> ``/``
We/PRP --> we/PRP
are/VBP --> be/VBP
apprentices/NNS --> apprentice/NNS
looking/VBG --> look/VBG
for/IN --> for/IN
work/NN --> work/NN
;/: --> ;/:
Up/IN --> up/IN
to/TO --> to/TO
this/DT --> this/DT
time/NN --> time/NN
we/PRP --> we/PRP
have/VBP --> have/VBP
kept/VBN --> keep/VBN
together/RB --> together/RB
,/, --> ,/,
but/CC --> but/CC
if/IN --> if/IN
we/PRP --> we/PRP
can/MD --> can/MD
not/RB --> not/RB
find/VB --> find/VB
anything/NN --> anything/NN
to/TO --> to/TO
do/VB --> do/VB
we/PRP --> we/PRP
are/VBP --> be/VBP
going/VBG --> go/VBG
to/TO --> to/TO
separate/JJ --> separate/JJ
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
There/EX --> there/EX
is/VBZ --> be/VBZ
no/DT --> no/DT
need/NN --> need/NN
for/IN --> for/IN
that/DT --> that/DT
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
``/`` --> ``/``
if/IN --> if/IN
you/PRP --> you/PRP
will/MD --> will/MD
do/VB --> do/VB
what/WP --> what/WP
I/PRP --> I/PRP
tell/VBP --> tell/VBP
you/PRP --> you/PRP
,/, --> ,/,
you/PRP --> you/PRP
shall/MD --> shall/MD
not/RB --> not/RB
want/VB --> want/VB
for/IN --> for/IN
gold/NN --> gold/NN
or/CC --> or/CC
for/IN --> for/IN
work/NN --> work/NN
;/: --> ;/:
nay/NN --> nay/NN
,/, --> ,/,
you/PRP --> you/PRP
shall/MD --> shall/MD
become/VB --> become/VB
great/JJ --> great/JJ
lords/NNS --> lord/NNS
,/, --> ,/,
and/CC --> and/CC
drive/NN --> drive/NN
in/IN --> in/IN
your/PRP$ --> you/PRP$
carriages/NNS --> carriage/NNS
!/. --> !/.
''/'' --> ''/''
One/CD --> one/CD
of/IN --> of/IN
them/PRP --> they/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
our/PRP$ --> we/PRP$
souls/NNS --> soul/NNS
and/CC --> and/CC
salvation/NN --> salvation/NN
be/VB --> be/VB
not/RB --> not/RB
endangered/VBN --> endanger/VBN
,/, --> ,/,
we/PRP --> we/PRP
will/MD --> will/MD
certainly/RB --> certainly/RB
do/VB --> do/VB
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
They/PRP --> they/PRP
will/MD --> will/MD
not/RB --> not/RB
,/, --> ,/,
''/'' --> ''/''
replied/VBD --> reply/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
no/DT --> no/DT
claim/NN --> claim/NN
on/IN --> on/IN
you/PRP --> you/PRP
./. --> ./.
''/'' --> ''/''
One/CD --> one/CD
of/IN --> of/IN
the/DT --> the/DT
others/NNS --> other/NNS
had/VBD --> have/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
looked/VBD --> look/VBD
at/IN --> at/IN
his/PRP$ --> he/PRP$
feet/NNS --> foot/NNS
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
horse/NN --> horse/NN
's/POS --> 's/POS
foot/NN --> foot/NN
and/CC --> and/CC
a/DT --> a/DT
man/NN --> man/NN
's/POS --> 's/POS
foot/NN --> foot/NN
,/, --> ,/,
he/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
want/VB --> want/VB
to/TO --> to/TO
have/VB --> have/VB
anything/NN --> anything/NN
to/TO --> to/TO
do/VB --> do/VB
with/IN --> with/IN
him/PRP --> he/PRP
./. --> ./.
The/DT --> the/DT
Devil/NNP --> Devil/NNP
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Be/VB --> be/VB
easy/JJ --> easy/JJ
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
no/DT --> no/DT
designs/NNS --> design/NNS
on/IN --> on/IN
you/PRP --> you/PRP
,/, --> ,/,
but/CC --> but/CC
on/IN --> on/IN
another/DT --> another/DT
soul/NN --> soul/NN
,/, --> ,/,
which/WDT --> which/WDT
is/VBZ --> be/VBZ
half/JJ --> half/JJ
my/PRP$ --> my/PRP$
own/JJ --> own/JJ
already/RB --> already/RB
,/, --> ,/,
and/CC --> and/CC
whose/WP$ --> whose/WP$
measure/NN --> measure/NN
shall/MD --> shall/MD
but/CC --> but/CC
run/VB --> run/VB
full/JJ --> full/JJ
./. --> ./.
''/'' --> ''/''
As/IN --> as/IN
they/PRP --> they/PRP
were/VBD --> be/VBD
now/RB --> now/RB
secure/JJ --> secure/JJ
,/, --> ,/,
they/PRP --> they/PRP
consented/VBD --> consent/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Devil/NNP --> Devil/NNP
told/VBD --> tell/VBD
them/PRP --> they/PRP
what/WP --> what/WP
he/PRP --> he/PRP
wanted/VBD --> want/VBD
./. --> ./.
The/DT --> the/DT
first/JJ --> first/JJ
was/VBD --> be/VBD
to/TO --> to/TO
answer/VB --> answer/VB
,/, --> ,/,
``/`` --> ``/``
All/DT --> all/DT
three/CD --> three/CD
of/IN --> of/IN
us/PRP --> we/PRP
,/, --> ,/,
''/'' --> ''/''
to/TO --> to/TO
every/DT --> every/DT
question/NN --> question/NN
;/: --> ;/:
the/DT --> the/DT
second/NN --> second/NN
was/VBD --> be/VBD
to/TO --> to/TO
say/VB --> say/VB
,/, --> ,/,
``/`` --> ``/``
For/IN --> for/IN
money/NN --> money/NN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
the/DT --> the/DT
third/JJ --> third/JJ
,/, --> ,/,
``/`` --> ``/``
And/CC --> and/CC
quite/RB --> quite/RB
right/JJ --> right/JJ
too/RB --> too/RB
!/. --> !/.
''/'' --> ''/''
They/PRP --> they/PRP
were/VBD --> be/VBD
always/RB --> always/RB
to/TO --> to/TO
say/VB --> say/VB
this/DT --> this/DT
,/, --> ,/,
one/CD --> one/CD
after/IN --> after/IN
the/DT --> the/DT
other/JJ --> other/JJ
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
were/VBD --> be/VBD
not/RB --> not/RB
to/TO --> to/TO
say/VB --> say/VB
one/CD --> one/CD
word/NN --> word/NN
more/RBR --> more/RBR
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
they/PRP --> they/PRP
disobeyed/VBD --> disobey/VBD
this/DT --> this/DT
order/NN --> order/NN
,/, --> ,/,
all/DT --> all/DT
their/PRP$ --> they/PRP$
money/NN --> money/NN
would/MD --> would/MD
disappear/VB --> disappear/VB
at/IN --> at/IN
once/RB --> once/RB
,/, --> ,/,
but/CC --> but/CC
so/RB --> so/RB
long/RB --> long/RB
as/IN --> as/IN
they/PRP --> they/PRP
observed/VBD --> observe/VBD
it/PRP --> it/PRP
,/, --> ,/,
their/PRP$ --> they/PRP$
pockets/NNS --> pocket/NNS
would/MD --> would/MD
always/RB --> always/RB
be/VB --> be/VB
full/JJ --> full/JJ
./. --> ./.
As/IN --> as/IN
a/DT --> a/DT
beginning/NN --> beginning/NN
,/, --> ,/,
he/PRP --> he/PRP
at/IN --> at/IN
once/RB --> once/RB
gave/VBD --> give/VBD
them/PRP --> they/PRP
as/RB --> as/RB
much/RB --> much/RB
as/IN --> as/IN
they/PRP --> they/PRP
could/MD --> could/MD
carry/VB --> carry/VB
,/, --> ,/,
and/CC --> and/CC
told/VBD --> tell/VBD
them/PRP --> they/PRP
to/TO --> to/TO
go/VB --> go/VB
to/TO --> to/TO
such/JJ --> such/JJ
and/CC --> and/CC
such/JJ --> such/JJ
an/DT --> a/DT
inn/NN --> inn/NN
when/WRB --> when/WRB
they/PRP --> they/PRP
got/VBD --> get/VBD
to/TO --> to/TO
the/DT --> the/DT
town/NN --> town/NN
./. --> ./.
They/PRP --> they/PRP
went/VBD --> go/VBD
to/TO --> to/TO
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
innkeeper/NN --> innkeeper/NN
came/VBD --> come/VBD
to/TO --> to/TO
meet/VB --> meet/VB
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
asked/VBD --> ask/VBD
if/IN --> if/IN
they/PRP --> they/PRP
wished/VBD --> wish/VBD
for/IN --> for/IN
anything/NN --> anything/NN
to/TO --> to/TO
eat/VB --> eat/VB
?/. --> ?/.
The/DT --> the/DT
first/JJ --> first/JJ
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
All/DT --> all/DT
three/CD --> three/CD
of/IN --> of/IN
us/PRP --> we/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
host/NN --> host/NN
,/, --> ,/,
``/`` --> ``/``
that/DT --> that/DT
is/VBZ --> be/VBZ
what/WP --> what/WP
I/PRP --> I/PRP
mean/VBP --> mean/VBP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
second/NN --> second/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
For/IN --> for/IN
money/NN --> money/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Of/IN --> of/IN
course/NN --> course/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
host/NN --> host/NN
./. --> ./.
The/DT --> the/DT
third/NN --> third/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
And/CC --> and/CC
quite/RB --> quite/RB
right/JJ --> right/JJ
too/RB --> too/RB
!/. --> !/.
''/'' --> ''/''
``/`` --> ``/``
Certainly/RB --> certainly/RB
it/PRP --> it/PRP
is/VBZ --> be/VBZ
right/RB --> right/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
host/NN --> host/NN
./. --> ./.
Good/JJ --> good/JJ
meat/NN --> meat/NN
and/CC --> and/CC
drink/NN --> drink/NN
were/VBD --> be/VBD
now/RB --> now/RB
brought/VBN --> bring/VBN
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
were/VBD --> be/VBD
well/RB --> well/RB
waited/VBN --> wait/VBN
on/IN --> on/IN
./. --> ./.
After/IN --> after/IN
the/DT --> the/DT
dinner/NN --> dinner/NN
came/VBD --> come/VBD
the/DT --> the/DT
payment/NN --> payment/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
innkeeper/NN --> innkeeper/NN
gave/VBD --> give/VBD
the/DT --> the/DT
bill/NN --> bill/NN
to/TO --> to/TO
the/DT --> the/DT
one/NN --> one/NN
who/WP --> who/WP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
All/DT --> all/DT
three/CD --> three/CD
of/IN --> of/IN
us/PRP --> we/PRP
,/, --> ,/,
''/'' --> ''/''
the/DT --> the/DT
second/NN --> second/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
For/IN --> for/IN
money/NN --> money/NN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
the/DT --> the/DT
third/JJ --> third/JJ
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
quite/RB --> quite/RB
right/JJ --> right/JJ
too/RB --> too/RB
!/. --> !/.
''/'' --> ''/''
``/`` --> ``/``
Indeed/RB --> indeed/RB
it/PRP --> it/PRP
is/VBZ --> be/VBZ
right/RB --> right/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
host/NN --> host/NN
,/, --> ,/,
``/`` --> ``/``
all/DT --> all/DT
three/CD --> three/CD
pay/NN --> pay/NN
,/, --> ,/,
and/CC --> and/CC
without/IN --> without/IN
money/NN --> money/NN
I/PRP --> I/PRP
can/MD --> can/MD
give/VB --> give/VB
nothing/NN --> nothing/NN
./. --> ./.
''/'' --> ''/''
