<title>/IN --> IN/IN
23/CD --> 23/CD
The/DT --> the/DT
Mouse/NNP --> Mouse/NNP
,/, --> ,/,
the/DT --> the/DT
Bird/NNP --> Bird/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Sausage/NNP --> Sausage/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
mouse/NN --> mouse/NN
,/, --> ,/,
a/DT --> a/DT
bird/NN --> bird/NN
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
sausage/NN --> sausage/NN
became/VBD --> become/VBD
companions/NNS --> companion/NNS
,/, --> ,/,
kept/VBD --> keep/VBD
house/NN --> house/NN
together/RB --> together/RB
,/, --> ,/,
lived/VBD --> live/VBD
well/RB --> well/RB
and/CC --> and/CC
happily/RB --> happily/RB
with/IN --> with/IN
each/DT --> each/DT
other/JJ --> other/JJ
,/, --> ,/,
and/CC --> and/CC
wonderfully/RB --> wonderfully/RB
increased/VBD --> increase/VBD
their/PRP$ --> they/PRP$
possessions/NNS --> possession/NNS
./. --> ./.
The/DT --> the/DT
bird/NN --> bird/NN
's/POS --> 's/POS
work/NN --> work/NN
was/VBD --> be/VBD
to/TO --> to/TO
fly/VB --> fly/VB
every/DT --> every/DT
day/NN --> day/NN
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
and/CC --> and/CC
bring/VB --> bring/VB
back/RP --> back/RP
wood/NN --> wood/NN
./. --> ./.
The/DT --> the/DT
mouse/NN --> mouse/NN
had/VBD --> have/VBD
to/TO --> to/TO
carry/VB --> carry/VB
water/NN --> water/NN
,/, --> ,/,
light/JJ --> light/JJ
the/DT --> the/DT
fire/NN --> fire/NN
,/, --> ,/,
and/CC --> and/CC
lay/VBD --> lay/VBD
the/DT --> the/DT
table/NN --> table/NN
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
sausage/NN --> sausage/NN
had/VBD --> have/VBD
to/TO --> to/TO
cook/VB --> cook/VB
./. --> ./.
He/PRP --> he/PRP
who/WP --> who/WP
is/VBZ --> be/VBZ
too/RB --> too/RB
well/RB --> well/RB
off/IN --> off/IN
is/VBZ --> be/VBZ
always/RB --> always/RB
longing/NN --> longing/NN
for/IN --> for/IN
something/NN --> something/NN
new/JJ --> new/JJ
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
,/, --> ,/,
therefore/RB --> therefore/RB
,/, --> ,/,
the/DT --> the/DT
bird/NN --> bird/NN
met/VBD --> meet/VBD
with/IN --> with/IN
another/DT --> another/DT
bird/NN --> bird/NN
,/, --> ,/,
on/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
,/, --> ,/,
to/TO --> to/TO
whom/WP --> whom/WP
it/PRP --> it/PRP
related/VBD --> relate/VBD
its/PRP$ --> its/PRP$
excellent/JJ --> excellent/JJ
circumstances/NNS --> circumstance/NNS
and/CC --> and/CC
boasted/VBN --> boast/VBN
of/IN --> of/IN
them/PRP --> they/PRP
./. --> ./.
The/DT --> the/DT
other/JJ --> other/JJ
bird/NN --> bird/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
called/VBD --> call/VBD
it/PRP --> it/PRP
a/DT --> a/DT
poor/JJ --> poor/JJ
simpleton/NN --> simpleton/NN
for/IN --> for/IN
his/PRP$ --> he/PRP$
