<title>/IN --> IN/IN
THE/DT --> the/DT
BROKEN/NNP --> BROKEN/NNP
POT/NNP --> POT/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
lived/VBD --> live/VBD
in/IN --> in/IN
a/DT --> a/DT
certain/JJ --> certain/JJ
place/NN --> place/NN
a/DT --> a/DT
Brahman/NNP --> Brahman/NNP
,/, --> ,/,
whose/WP$ --> whose/WP$
name/NN --> name/NN
was/VBD --> be/VBD
Svabhavak_ri_pa_n_a/NNP --> Svabhavak_ri_pa_n_a/NNP
,/, --> ,/,
which/WDT --> which/WDT
means/VBZ --> mean/VBZ
``/`` --> ``/``
a/DT --> a/DT
born/VBN --> bear/VBN
miser/NN --> miser/NN
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
had/VBD --> have/VBD
collected/VBN --> collect/VBN
a/DT --> a/DT
quantity/NN --> quantity/NN
of/IN --> of/IN
rice/NN --> rice/NN
by/IN --> by/IN
begging/VBG --> beg/VBG
,/, --> ,/,
and/CC --> and/CC
after/IN --> after/IN
having/VBG --> have/VBG
dined/VBN --> dine/VBN
off/IN --> off/IN
it/PRP --> it/PRP
,/, --> ,/,
he/PRP --> he/PRP
filled/VBD --> fill/VBD
a/DT --> a/DT
pot/NN --> pot/NN
with/IN --> with/IN
what/WP --> what/WP
was/VBD --> be/VBD
left/VBN --> leave/VBN
over/RP --> over/RP
./. --> ./.
He/PRP --> he/PRP
hung/VBD --> hang/VBD
the/DT --> the/DT
pot/NN --> pot/NN
on/IN --> on/IN
a/DT --> a/DT
peg/VB --> peg/VB
on/IN --> on/IN
the/DT --> the/DT
wall/NN --> wall/NN
,/, --> ,/,
placed/VBD --> place/VBD
his/PRP$ --> he/PRP$
couch/NN --> couch/NN
beneath/IN --> beneath/IN
,/, --> ,/,
and/CC --> and/CC
looking/VBG --> look/VBG
intently/RB --> intently/RB
at/IN --> at/IN
it/PRP --> it/PRP
all/PDT --> all/PDT
the/DT --> the/DT
night/NN --> night/NN
,/, --> ,/,
he/PRP --> he/PRP
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
Ah/UH --> ah/UH
,/, --> ,/,
that/DT --> that/DT
pot/NN --> pot/NN
is/VBZ --> be/VBZ
indeed/RB --> indeed/RB
brimful/JJ --> brimful/JJ
of/IN --> of/IN
rice/NN --> rice/NN
./. --> ./.
Now/RB --> now/RB
,/, --> ,/,
if/IN --> if/IN
there/EX --> there/EX
should/MD --> should/MD
be/VB --> be/VB
a/DT --> a/DT
famine/NN --> famine/NN
,/, --> ,/,
I/PRP --> I/PRP
should/MD --> should/MD
certainly/RB --> certainly/RB
make/VB --> make/VB
a/DT --> a/DT
hundred/CD --> hundred/CD
rupees/NNS --> rupee/NNS
by/IN --> by/IN
it/PRP --> it/PRP
./. --> ./.
With/IN --> with/IN
this/DT --> this/DT
I/PRP --> I/PRP
shall/MD --> shall/MD
buy/VB --> buy/VB
a/DT --> a/DT
couple/NN --> couple/NN
of/IN --> of/IN
goats/NNS --> goat/NNS
./. --> ./.
They/PRP --> they/PRP
will/MD --> will/MD
have/VB --> have/VB
young/JJ --> young/JJ
ones/NNS --> one/NNS
every/DT --> every/DT
six/CD --> six/CD
months/NNS --> month/NNS
,/, --> ,/,
and/CC --> and/CC
thus/RB --> thus/RB
I/PRP --> I/PRP
shall/MD --> shall/MD
have/VB --> have/VB
a/DT --> a/DT
whole/JJ --> whole/JJ
herd/NN --> herd/NN
of/IN --> of/IN
goats/NNS --> goat/NNS
./. --> ./.
Then/RB --> then/RB
,/, --> ,/,
with/IN --> with/IN
the/DT --> the/DT
goats/NNS --> goat/NNS
,/, --> ,/,
I/PRP --> I/PRP
shall/MD --> shall/MD
buy/VB --> buy/VB
cows/NNS --> cow/NNS
./. --> ./.
As/IN --> as/IN
soon/RB --> soon/RB
as/IN --> as/IN
they/PRP --> they/PRP
have/VBP --> have/VBP
calved/VBN --> calve/VBN
,/, --> ,/,
I/PRP --> I/PRP
shall/MD --> shall/MD
sell/VB --> sell/VB
the/DT --> the/DT
calves/NNS --> calf/NNS
./. --> ./.
