<title>/IN --> IN/IN
77/CD --> 77/CD
Clever/NNP --> Clever/NNP
Grethel/NNP --> Grethel/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
cook/NN --> cook/NN
named/VBN --> name/VBN
Grethel/NNP --> Grethel/NNP
,/, --> ,/,
who/WP --> who/WP
wore/VBD --> wear/VBD
shoes/NNS --> shoe/NNS
with/IN --> with/IN
red/JJ --> red/JJ
rosettes/NNS --> rosette/NNS
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
walked/VBD --> walk/VBD
out/RP --> out/RP
with/IN --> with/IN
them/PRP --> they/PRP
on/IN --> on/IN
,/, --> ,/,
she/PRP --> she/PRP
turned/VBD --> turn/VBD
herself/PRP --> herself/PRP
this/DT --> this/DT
way/NN --> way/NN
and/CC --> and/CC
that/IN --> that/IN
,/, --> ,/,
and/CC --> and/CC
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
certainly/RB --> certainly/RB
are/VBP --> be/VBP
a/DT --> a/DT
pretty/JJ --> pretty/JJ
girl/NN --> girl/NN
!/. --> !/.
''/'' --> ''/''
And/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
came/VBD --> come/VBD
home/NN --> home/NN
she/PRP --> she/PRP
drank/VBP --> drink/VBP
,/, --> ,/,
in/IN --> in/IN
her/PRP$ --> she/PRP$
gladness/NN --> gladness/NN
of/IN --> of/IN
heart/NN --> heart/NN
,/, --> ,/,
a/DT --> a/DT
draught/NN --> draught/NN
of/IN --> of/IN
wine/NN --> wine/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
wine/NN --> wine/NN
excites/VBZ --> excite/VBZ
a/DT --> a/DT
desire/NN --> desire/NN
to/TO --> to/TO
eat/VB --> eat/VB
,/, --> ,/,
she/PRP --> she/PRP
tasted/VBD --> taste/VBD
the/DT --> the/DT
best/JJS --> best/JJS
of/IN --> of/IN
whatever/WDT --> whatever/WDT
she/PRP --> she/PRP
was/VBD --> be/VBD
cooking/VBG --> cook/VBG
until/IN --> until/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
satisfied/VBN --> satisfy/VBN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
The/DT --> the/DT
cook/NN --> cook/NN
must/MD --> must/MD
know/VB --> know/VB
what/WP --> what/WP
the/DT --> the/DT
food/NN --> food/NN
is/VBZ --> be/VBZ
like/IN --> like/IN
./. --> ./.
''/'' --> ''/''
It/PRP --> it/PRP
came/VBD --> come/VBD
to/TO --> to/TO
