<title>/IN --> IN/IN
8/CD --> 8/CD
The/DT --> the/DT
Wonderful/JJ --> wonderful/JJ
Musician/NN --> musician/NN
</title>/NN --> NN/NN
<author>/NNP --> NNP/NNP
Brothers/NNP --> Brothers/NNP
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
wonderful/JJ --> wonderful/JJ
musician/NN --> musician/NN
,/, --> ,/,
who/WP --> who/WP
went/VBD --> go/VBD
quite/RB --> quite/RB
alone/RB --> alone/RB
through/IN --> through/IN
a/DT --> a/DT
forest/NN --> forest/NN
and/CC --> and/CC
thought/NN --> thought/NN
of/IN --> of/IN
all/DT --> all/DT
manner/NN --> manner/NN
of/IN --> of/IN
things/NNS --> thing/NNS
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
nothing/NN --> nothing/NN
was/VBD --> be/VBD
left/VBN --> leave/VBN
for/IN --> for/IN
him/PRP --> he/PRP
to/TO --> to/TO
think/VB --> think/VB
about/RB --> about/RB
,/, --> ,/,
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
``/`` --> ``/``
Time/NNP --> Time/NNP
is/VBZ --> be/VBZ
beginning/VBG --> begin/VBG
to/TO --> to/TO
pass/VB --> pass/VB
heavily/RB --> heavily/RB
with/IN --> with/IN
me/PRP --> I/PRP
here/RB --> here/RB
in/IN --> in/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
fetch/VB --> fetch/VB
hither/RB --> hither/RB
a/DT --> a/DT
good/JJ --> good/JJ
companion/NN --> companion/NN
for/IN --> for/IN
myself/PRP --> myself/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
he/PRP --> he/PRP
took/VBD --> take/VBD
his/PRP$ --> he/PRP$
fiddle/NN --> fiddle/NN
from/IN --> from/IN
his/PRP$ --> he/PRP$
back/NN --> back/NN
,/, --> ,/,
and/CC --> and/CC
played/VBD --> play/VBD
so/RB --> so/RB
that/IN --> that/IN
it/PRP --> it/PRP
echoed/VBD --> echo/VBD
through/IN --> through/IN
the/DT --> the/DT
trees/NNS --> tree/NNS
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
not/RB --> not/RB
long/RB --> long/RB
before/IN --> before/IN
a/DT --> a/DT
wolf/NN --> wolf/NN
came/VBD --> come/VBD
trotting/VBG --> trot/VBG
through/IN --> through/IN
the/DT --> the/DT
thicket/NN --> thicket/NN
towards/IN --> towards/IN
him/PRP --> he/PRP
./. --> ./.
``/`` --> ``/``
Ah/UH --> ah/UH
,/, --> ,/,
here/RB --> here/RB
is/VBZ --> be/VBZ
a/DT --> a/DT
wolf/NN --> wolf/NN
coming/VBG --> come/VBG
!/. --> !/.
I/PRP --> I/PRP
have/VBP --> have/VBP
no/DT --> no/DT
desire/NN --> desire/NN
for/IN --> for/IN
him/PRP --> he/PRP
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
musician/NN --> musician/NN
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
wolf/NN --> wolf/NN
came/VBD --> come/VBD
nearer/IN --> nearer/IN
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Ah/UH --> ah/UH
,/, --> ,/,
dear/RB --> dear/RB
musician/NN --> musician/NN
,/, --> ,/,
how/WRB --> how/WRB
beautifully/RB --> beautifully/RB
thou/JJ --> thou/JJ
dost/NN --> dost/NN
play/NN --> play/NN
./. --> ./.
I/PRP --> I/PRP
should/MD --> should/MD
like/VB --> like/VB
to/TO --> to/TO
learn/VB --> learn/VB
that/DT --> that/DT
,/, --> ,/,
too/RB --> too/RB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
It/PRP --> it/PRP
is/VBZ --> be/VBZ
soon/RB --> soon/RB
learned/VBN --> learn/VBN
,/, --> ,/,
''/'' --> ''/''
the/DT --> the/DT
musician/NN --> musician/NN
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
thou/NN --> thou/NN
hast/NN --> hast/NN
only/RB --> only/RB
to/TO --> to/TO
do/VB --> do/VB
all/DT --> all/DT
that/IN --> that/IN
I/PRP --> I/PRP
bid/VBD --> bid/VBD
thee/NN --> thee/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
musician/NN --> musician/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
wolf/NN --> wolf/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
obey/VB --> obey/VB
thee/NN --> thee/NN
as/IN --> as/IN
