<title>/IN --> IN/IN
125/CD --> 125/CD
The/DT --> the/DT
Devil/NNP --> Devil/NNP
and/CC --> and/CC
his/PRP$ --> he/PRP$
Grandmother/NNP --> Grandmother/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
great/JJ --> great/JJ
war/NN --> war/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
King/NNP --> King/NNP
had/VBD --> have/VBD
many/JJ --> many/JJ
soldiers/NNS --> soldier/NNS
,/, --> ,/,
but/CC --> but/CC
gave/VBD --> give/VBD
them/PRP --> they/PRP
small/JJ --> small/JJ
pay/NN --> pay/NN
,/, --> ,/,
so/RB --> so/RB
small/JJ --> small/JJ
that/IN --> that/IN
they/PRP --> they/PRP
could/MD --> could/MD
not/RB --> not/RB
live/VB --> live/VB
upon/IN --> upon/IN
it/PRP --> it/PRP
,/, --> ,/,
so/RB --> so/RB
three/CD --> three/CD
of/IN --> of/IN
them/PRP --> they/PRP
agreed/VBD --> agree/VBD
among/IN --> among/IN
themselves/PRP --> themselves/PRP
to/TO --> to/TO
desert/VB --> desert/VB
./. --> ./.
One/CD --> one/CD
of/IN --> of/IN
them/PRP --> they/PRP
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
others/NNS --> other/NNS
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
we/PRP --> we/PRP
are/VBP --> be/VBP
caught/VBN --> catch/VBN
we/PRP --> we/PRP
shall/MD --> shall/MD
be/VB --> be/VB
hanged/VBN --> hang/VBN
on/IN --> on/IN
the/DT --> the/DT
gallows/NNS --> gallows/NNS
;/: --> ;/:
how/WRB --> how/WRB
shall/MD --> shall/MD
we/PRP --> we/PRP
manage/VB --> manage/VB
it/PRP --> it/PRP
?/. --> ?/.
''/'' --> ''/''
Another/DT --> another/DT
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Look/VB --> look/VB
at/IN --> at/IN
that/DT --> that/DT
great/JJ --> great/JJ
cornfield/NN --> cornfield/NN
,/, --> ,/,
if/IN --> if/IN
we/PRP --> we/PRP
were/VBD --> be/VBD
to/TO --> to/TO
hide/VB --> hide/VB
ourselves/PRP --> ourselves/PRP
there/RB --> there/RB
,/, --> ,/,
no/DT --> no/DT
one/NN --> one/NN
could/MD --> could/MD
find/VB --> find/VB
us/PRP --> we/PRP
;/: --> ;/:
the/DT --> the/DT
troops/NNS --> troops/NNS
are/VBP --> be/VBP
not/RB --> not/RB
allowed/VBN --> allow/VBN
to/TO --> to/TO
enter/VB --> enter/VB
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
to-morrow/NN --> to-morrow/NN
they/PRP --> they/PRP
are/VBP --> be/VBP
to/TO --> to/TO
march/VB --> march/VB
away/RB --> away/RB
./. --> ./.
''/'' --> ''/''
They/PRP --> they/PRP
crept/VBD --> creep/VBD
into/IN --> into/IN
the/DT --> the/DT
corn/NN --> corn/NN
,/, --> ,/,
only/RB --> only/RB
the/DT --> the/DT
troops/NNS --> troops/NNS
did/VBD --> do/VBD
not/RB --> not/RB
march/VB --> march/VB
away/RB --> away/RB
,/, --> ,/,
but/CC --> but/CC
remained/VBD --> remain/VBD
lying/VBG --> lie/VBG
all/DT --> all/DT
round/NN --> round/NN
about/IN --> about/IN
it/PRP --> it/PRP
./. --> ./.
They/PRP --> they/PRP
stayed/VBD --> stay/VBD
in/IN --> in/IN
the/DT --> the/DT
corn/NN --> corn/NN
for/IN --> for/IN
two/CD --> two/CD
days/NNS --> day/NNS
and/CC --> and/CC
two/CD --> two/CD
nights/NNS --> night/NNS
,/, --> ,/,
and/CC --> and/CC
were/VBD --> be/VBD
so/RB --> so/RB
hungry/JJ --> hungry/JJ
that/IN --> that/IN
they/PRP --> they/PRP
all/DT --> all/DT
but/CC --> but/CC
died/VBD --> die/VBD
,/, --> ,/,
but/CC --> but/CC
if/IN --> if/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
come/VBN --> come/VBN
out/RP --> out/RP
,/, --> ,/,
their/PRP$ --> they/PRP$
death/NN --> death/NN
would/MD --> would/MD
have/VB --> have/VB
been/VBN --> be/VBN
certain/JJ --> certain/JJ
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
they/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
is/VBZ --> be/VBZ
the/DT --> the/DT
use/NN --> use/NN
of/IN --> of/IN
our/PRP$ --> we/PRP$
deserting/VBG --> desert/VBG
if/IN --> if/IN
we/PRP --> we/PRP
have/VBP --> have/VBP
to/TO --> to/TO
perish/VB --> perish/VB
miserably/RB --> miserably/RB
here/RB --> here/RB
?/. --> ?/.
''/'' --> ''/''
But/CC --> but/CC
now/RB --> now/RB
a/DT --> a/DT
fiery/JJ --> fiery/JJ
dragon/NN --> dragon/NN
came/VBD --> come/VBD
flying/VBG --> fly/VBG
through/IN --> through/IN
the/DT --> the/DT
air/NN --> air/NN
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
came/VBD --> come/VBD
down/RB --> down/RB
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
asked/VBD --> ask/VBD
why/WRB --> why/WRB
they/PRP --> they/PRP
had/VBD --> have/VBD
concealed/VBN --> conceal/VBN
themselves/PRP --> themselves/PRP
there/EX --> there/EX
?/. --> ?/.
They/PRP --> they/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
We/PRP --> we/PRP
are/VBP --> be/VBP
three/CD --> three/CD
soldiers/NNS --> soldier/NNS
who/WP --> who/WP
have/VBP --> have/VBP
deserted/VBN --> desert/VBN
because/IN --> because/IN
the/DT --> the/DT
pay/NN --> pay/NN
was/VBD --> be/VBD
so/RB --> so/RB
bad/JJ --> bad/JJ
,/, --> ,/,
and/CC --> and/CC
now/RB --> now/RB
we/PRP --> we/PRP
shall/MD --> shall/MD
have/VB --> have/VB
to/TO --> to/TO
die/VB --> die/VB
of/IN --> of/IN
hunger/NN --> hunger/NN
if/IN --> if/IN
we/PRP --> we/PRP
stay/VBP --> stay/VBP
here/RB --> here/RB
,/, --> ,/,
or/CC --> or/CC
to/TO --> to/TO
dangle/VB --> dangle/VB
on/IN --> on/IN
the/DT --> the/DT
gallows/NNS --> gallows/NNS
if/IN --> if/IN
we/PRP --> we/PRP
go/VBP --> go/VBP
out/RP --> out/RP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
If/IN --> if/IN
you/PRP --> you/PRP
will/MD --> will/MD
serve/VB --> serve/VB
me/PRP --> I/PRP
for/IN --> for/IN
seven/CD --> seven/CD
years/NNS --> year/NNS
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
dragon/NN --> dragon/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
convey/VB --> convey/VB
you/PRP --> you/PRP
through/IN --> through/IN
the/DT --> the/DT
army/NN --> army/NN
so/RB --> so/RB
that/IN --> that/IN
no/DT --> no/DT
one/NN --> one/NN
shall/MD --> shall/MD
seize/VB --> seize/VB
you/PRP --> you/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
We/PRP --> we/PRP
have/VBP --> have/VBP
no/DT --> no/DT
choice/NN --> choice/NN
and/CC --> and/CC
are/VBP --> be/VBP
compelled/VBN --> compel/VBN
to/TO --> to/TO
accept/VB --> accept/VB
,/, --> ,/,
''/'' --> ''/''
they/PRP --> they/PRP
replied/VBD --> reply/VBD
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
dragon/NN --> dragon/NN
caught/VBD --> catch/VBD
hold/NN --> hold/NN
of/IN --> of/IN
them/PRP --> they/PRP
with/IN --> with/IN
his/PRP$ --> he/PRP$
claws/NNS --> claw/NNS
,/, --> ,/,
and/CC --> and/CC
carried/VBD --> carry/VBD
them/PRP --> they/PRP
away/RB --> away/RB
through/IN --> through/IN
the/DT --> the/DT
air/NN --> air/NN
over/IN --> over/IN
the/DT --> the/DT
army/NN --> army/NN
,/, --> ,/,
and/CC --> and/CC
put/VBD --> put/VBD
them/PRP --> they/PRP
down/RP --> down/RP
again/RB --> again/RB
on/IN --> on/IN
the/DT --> the/DT
earth/NN --> earth/NN
far/RB --> far/RB
from/IN --> from/IN
it/PRP --> it/PRP
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
dragon/NN --> dragon/NN
was/VBD --> be/VBD
no/DT --> no/DT
other/JJ --> other/JJ
than/IN --> than/IN
the/DT --> the/DT
Devil/NNP --> Devil/NNP
./. --> ./.
He/PRP --> he/PRP
gave/VBD --> give/VBD
them/PRP --> they/PRP
a/DT --> a/DT
small/JJ --> small/JJ
whip/NN --> whip/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Whip/NNP --> Whip/NNP
with/IN --> with/IN
it/PRP --> it/PRP
and/CC --> and/CC
crack/VB --> crack/VB
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
as/RB --> as/RB
much/JJ --> much/JJ
gold/NN --> gold/NN
will/MD --> will/MD
spring/VB --> spring/VB
up/RP --> up/RP
round/NN --> round/NN
about/IN --> about/IN
as/IN --> as/IN
you/PRP --> you/PRP
can/MD --> can/MD
wish/VB --> wish/VB
for/IN --> for/IN
;/: --> ;/:
then/RB --> then/RB
you/PRP --> you/PRP
can/MD --> can/MD
live/VB --> live/VB
like/IN --> like/IN
great/JJ --> great/JJ
lords/NNS --> lord/NNS
,/, --> ,/,
keep/VB --> keep/VB
horses/NNS --> horse/NNS
,/, --> ,/,
and/CC --> and/CC
drive/VB --> drive/VB
your/PRP$ --> you/PRP$
carriages/NNS --> carriage/NNS
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
the/DT --> the/DT
seven/CD --> seven/CD
years/NNS --> year/NNS
have/VBP --> have/VBP
come/VBN --> come/VBN
to/TO --> to/TO
an/DT --> a/DT
end/NN --> end/NN
,/, --> ,/,
you/PRP --> you/PRP
are/VBP --> be/VBP
my/PRP$ --> my/PRP$
property/NN --> property/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
he/PRP --> he/PRP
put/VBD --> put/VBD
before/IN --> before/IN
them/PRP --> they/PRP
a/DT --> a/DT
book/NN --> book/NN
which/WDT --> which/WDT
they/PRP --> they/PRP
were/VBD --> be/VBD
all/DT --> all/DT
three/CD --> three/CD
forced/VBN --> force/VBN
to/TO --> to/TO
sign/VB --> sign/VB
./. --> ./.
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
then/RB --> then/RB
set/VBN --> set/VBN
you/PRP --> you/PRP
a/DT --> a/DT
riddle/NN --> riddle/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
if/IN --> if/IN
you/PRP --> you/PRP
can/MD --> can/MD
guess/VB --> guess/VB
that/IN --> that/IN
,/, --> ,/,
you/PRP --> you/PRP
shall/MD --> shall/MD
be/VB --> be/VB
free/JJ --> free/JJ
,/, --> ,/,
and/CC --> and/CC
released/VBN --> release/VBN
from/IN --> from/IN
my/PRP$ --> my/PRP$
power/NN --> power/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
dragon/NN --> dragon/NN
flew/VBD --> fly/VBD
away/RB --> away/RB
from/IN --> from/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
went/VBD --> go/VBD
away/RB --> away/RB
with/IN --> with/IN
their/PRP$ --> they/PRP$
whip/NN --> whip/NN
,/, --> ,/,
had/VBD --> have/VBD
gold/NN --> gold/NN
in/IN --> in/IN
plenty/NN --> plenty/NN
,/, --> ,/,
ordered/VBN --> order/VBN
themselves/PRP --> themselves/PRP
rich/JJ --> rich/JJ
apparel/NN --> apparel/NN
,/, --> ,/,
and/CC --> and/CC
traveled/VBD --> travel/VBD
about/IN --> about/IN
the/DT --> the/DT
world/NN --> world/NN
./. --> ./.
Wherever/JJR --> wherever/JJR
they/PRP --> they/PRP
were/VBD --> be/VBD
they/PRP --> they/PRP
lived/VBD --> live/VBD
in/IN --> in/IN
pleasure/NN --> pleasure/NN
and/CC --> and/CC
magnificence/NN --> magnificence/NN
,/, --> ,/,
rode/VBD --> ride/VBD
on/IN --> on/IN
horseback/NN --> horseback/NN
,/, --> ,/,
drove/VBD --> drive/VBD
in/IN --> in/IN
carriages/NNS --> carriage/NNS
,/, --> ,/,
ate/VBD --> eat/VBD
and/CC --> and/CC
drank/NN --> drank/NN
,/, --> ,/,
but/CC --> but/CC
did/VBD --> do/VBD
nothing/NN --> nothing/NN
wicked/JJ --> wicked/JJ
./. --> ./.
The/DT --> the/DT
time/NN --> time/NN
slipped/VBD --> slip/VBD
quickly/RB --> quickly/RB
away/RB --> away/RB
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
seven/CD --> seven/CD
years/NNS --> year/NNS
were/VBD --> be/VBD
coming/VBG --> come/VBG
to/TO --> to/TO
an/DT --> a/DT
end/NN --> end/NN
,/, --> ,/,
two/CD --> two/CD
of/IN --> of/IN
them/PRP --> they/PRP
were/VBD --> be/VBD
terribly/RB --> terribly/RB
anxious/JJ --> anxious/JJ
and/CC --> and/CC
alarmed/JJ --> alarmed/JJ
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
third/JJ --> third/JJ
took/VBD --> take/VBD
the/DT --> the/DT
affair/NN --> affair/NN
easily/RB --> easily/RB
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Brothers/NNP --> Brothers/NNP
,/, --> ,/,
fear/NN --> fear/NN
nothing/NN --> nothing/NN
,/, --> ,/,
my/PRP$ --> my/PRP$
head/NN --> head/NN
is/VBZ --> be/VBZ
sharp/JJ --> sharp/JJ
enough/RB --> enough/RB
,/, --> ,/,
I/PRP --> I/PRP
shall/MD --> shall/MD
guess/VB --> guess/VB
the/DT --> the/DT
riddle/NN --> riddle/NN
./. --> ./.
''/'' --> ''/''
They/PRP --> they/PRP
went/VBD --> go/VBD
out/RB --> out/RB
into/IN --> into/IN
the/DT --> the/DT
open/JJ --> open/JJ
country/NN --> country/NN
and/CC --> and/CC
sat/VBD --> sit/VBD
down/RB --> down/RB
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
two/CD --> two/CD
pulled/VBD --> pull/VBD
sorrowful/JJ --> sorrowful/JJ
faces/NNS --> face/NNS
./. --> ./.
Then/RB --> then/RB
an/DT --> a/DT
aged/VBN --> age/VBN
woman/NN --> woman/NN
came/VBD --> come/VBD
up/RP --> up/RP
to/TO --> to/TO
them/PRP --> they/PRP
who/WP --> who/WP
inquired/VBD --> inquire/VBD
why/WRB --> why/WRB
they/PRP --> they/PRP
were/VBD --> be/VBD
so/RB --> so/RB
sad/JJ --> sad/JJ
?/. --> ?/.
``/`` --> ``/``
Alas/NNP --> Alas/NNP
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
they/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
how/WRB --> how/WRB
can/MD --> can/MD
that/WDT --> that/WDT
concern/NN --> concern/NN
you/PRP --> you/PRP
?/. --> ?/.
After/IN --> after/IN
all/DT --> all/DT
,/, --> ,/,
you/PRP --> you/PRP
can/MD --> can/MD
not/RB --> not/RB
help/VB --> help/VB
us/PRP --> we/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Who/WP --> who/WP
knows/VBZ --> know/VBZ
?/. --> ?/.
''/'' --> ''/''
said/VBD --> say/VBD
she/PRP --> she/PRP
./. --> ./.
``/`` --> ``/``
Confide/VB --> confide/VB
your/PRP$ --> you/PRP$
trouble/NN --> trouble/NN
to/TO --> to/TO
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
they/PRP --> they/PRP
told/VBD --> tell/VBD
her/PRP --> she/PRP
that/IN --> that/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
the/DT --> the/DT
Devil/NNP --> Devil/NNP
's/POS --> 's/POS
servants/NNS --> servant/NNS
for/IN --> for/IN
nearly/RB --> nearly/RB
seven/CD --> seven/CD
years/NNS --> year/NNS
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
provided/VBN --> provide/VBN
them/PRP --> they/PRP
with/IN --> with/IN
gold/NN --> gold/NN
as/IN --> as/IN
plentifully/RB --> plentifully/RB
as/IN --> as/IN
if/IN --> if/IN
it/PRP --> it/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
blackberries/NNS --> blackberry/NNS
,/, --> ,/,
but/CC --> but/CC
that/IN --> that/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
sold/VBN --> sell/VBN
themselves/PRP --> themselves/PRP
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
were/VBD --> be/VBD
forfeited/VBN --> forfeit/VBN
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
if/IN --> if/IN
at/IN --> at/IN
the/DT --> the/DT
end/NN --> end/NN
of/IN --> of/IN
the/DT --> the/DT
seven/CD --> seven/CD
years/NNS --> year/NNS
they/PRP --> they/PRP
could/MD --> could/MD
not/RB --> not/RB
guess/VB --> guess/VB
a/DT --> a/DT
riddle/NN --> riddle/NN
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
you/PRP --> you/PRP
are/VBP --> be/VBP
to/TO --> to/TO
be/VB --> be/VB
saved/VBN --> save/VBN
,/, --> ,/,
one/CD --> one/CD
of/IN --> of/IN
you/PRP --> you/PRP
must/MD --> must/MD
go/VB --> go/VB
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
there/EX --> there/EX
he/PRP --> he/PRP
will/MD --> will/MD
come/VB --> come/VB
to/TO --> to/TO
a/DT --> a/DT
fallen/JJ --> fallen/JJ
rock/NN --> rock/NN
which/WDT --> which/WDT
looks/VBZ --> look/VBZ
like/IN --> like/IN
a/DT --> a/DT
little/JJ --> little/JJ
house/NN --> house/NN
,/, --> ,/,
he/PRP --> he/PRP
must/MD --> must/MD
enter/VB --> enter/VB
that/DT --> that/DT
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
he/PRP --> he/PRP
will/MD --> will/MD
obtain/VB --> obtain/VB
help/NN --> help/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
two/CD --> two/CD
melancholy/JJ --> melancholy/JJ
ones/NNS --> one/NNS
thought/VBD --> think/VBD
to/TO --> to/TO
themselves/PRP --> themselves/PRP
,/, --> ,/,
``/`` --> ``/``
That/DT --> that/DT
will/MD --> will/MD
still/RB --> still/RB
not/RB --> not/RB
save/VB --> save/VB
us/PRP --> we/PRP
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
stayed/VBD --> stay/VBD
