<title>/IN --> IN/IN
THE/DT --> the/DT
LOSS/NN --> loss/NN
OF/IN --> of/IN
THE/DT --> the/DT
TALISMAN/NNP --> TALISMAN/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Arabian/NNP --> Arabian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Soon/RB --> soon/RB
after/IN --> after/IN
his/PRP$ --> he/PRP$
marriage/NN --> marriage/NN
Prince/NNP --> Prince/NNP
Camaralzaman/NNP --> Camaralzaman/NNP
dreamt/VBD --> dream/VBD
one/CD --> one/CD
night/NN --> night/NN
that/IN --> that/IN
he/PRP --> he/PRP
saw/VBD --> see/VBD
his/PRP$ --> he/PRP$
father/NN --> father/NN
Schahzaman/NNP --> Schahzaman/NNP
on/IN --> on/IN
his/PRP$ --> he/PRP$
death-bed/JJ --> death-bed/JJ
,/, --> ,/,
and/CC --> and/CC
heard/VBD --> hear/VBD
him/PRP --> he/PRP
speak/VB --> speak/VB
thus/RB --> thus/RB
to/TO --> to/TO
his/PRP$ --> he/PRP$
attendants/NNS --> attendant/NNS
:/: --> :/:
`/`` --> `/``
My/PRP$ --> my/PRP$
son/NN --> son/NN
,/, --> ,/,
my/PRP$ --> my/PRP$
son/NN --> son/NN
,/, --> ,/,
whom/WP --> whom/WP
I/PRP --> I/PRP
so/RB --> so/RB
tenderly/RB --> tenderly/RB
loved/VBN --> love/VBN
,/, --> ,/,
has/VBZ --> have/VBZ
abandoned/VBN --> abandon/VBN
me/PRP --> I/PRP
./. --> ./.
'/'' --> '/''
He/PRP --> he/PRP
awoke/VBD --> awake/VBD
with/IN --> with/IN
a/DT --> a/DT
great/JJ --> great/JJ
sigh/NN --> sigh/NN
,/, --> ,/,
which/WDT --> which/WDT
aroused/VBD --> arouse/VBD
the/DT --> the/DT
princess/NN --> princess/NN
,/, --> ,/,
who/WP --> who/WP
asked/VBD --> ask/VBD
him/PRP --> he/PRP
the/DT --> the/DT
cause/NN --> cause/NN
of/IN --> of/IN
it/PRP --> it/PRP
./. --> ./.
Next/JJ --> next/JJ
morning/NN --> morning/NN
the/DT --> the/DT
princess/NN --> princess/NN
went/VBD --> go/VBD
to/TO --> to/TO
her/PRP$ --> she/PRP$
own/JJ --> own/JJ
father/NN --> father/NN
,/, --> ,/,
and/CC --> and/CC
finding/VBG --> find/VBG
him/PRP --> he/PRP
alone/RB --> alone/RB
kissed/VBD --> kiss/VBD
his/PRP$ --> he/PRP$
hand/NN --> hand/NN
and/CC --> and/CC
thus/RB --> thus/RB
addressed/VBD --> address/VBD
herself/PRP --> herself/PRP
to/TO --> to/TO
him/PRP --> he/PRP
:/: --> :/:
`/`` --> `/``
Sir/NNP --> Sir/NNP
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
a/DT --> a/DT
favor/NN --> favor/NN
to/TO --> to/TO
beg/VB --> beg/VB
of/IN --> of/IN
your/PRP$ --> you/PRP$
majesty/NN --> majesty/NN
;/: --> ;/:
it/PRP --> it/PRP
is/VBZ --> be/VBZ
that/IN --> that/IN
you/PRP --> you/PRP
will/MD --> will/MD
give/VB --> give/VB
me/PRP --> I/PRP
leave/VB --> leave/VB
to/TO --> to/TO
go/VB --> go/VB
with/IN --> with/IN
the/DT --> the/DT
prince/NN --> prince/NN
my/PRP$ --> my/PRP$
husband/NN --> husband/NN
to/TO --> to/TO
see/VB --> see/VB
King/NNP --> King/NNP
Schahzaman/NNP --> Schahzaman/NNP
,/, --> ,/,
my/PRP$ --> my/PRP$
father-in-law/NN --> father-in-law/NN
./. --> ./.
'/'' --> '/''
`/`` --> `/``
Daughter/NN --> daughter/NN
,/, --> ,/,
'/'' --> '/''
replied/VBD --> reply/VBD
the/DT --> the/DT
king/NN --> king/NN
,/, --> ,/,
`/`` --> `/``
though/IN --> though/IN
I/PRP --> I/PRP
shall/MD --> shall/MD
be/VB --> be/VB
very/RB --> very/RB
sorry/JJ --> sorry/JJ
to/TO --> to/TO
part/NN --> part/NN
with/IN --> with/IN
you/PRP --> you/PRP
for/IN --> for/IN
so/RB --> so/RB
long/RB --> long/RB
a/DT --> a/DT
time/NN --> time/NN
,/, --> ,/,
your/PRP$ --> you/PRP$
resolution/NN --> resolution/NN
is/VBZ --> be/VBZ
worthy/JJ --> worthy/JJ
of/IN --> of/IN
you/PRP --> you/PRP
:/: --> :/:
go/VB --> go/VB
,/, --> ,/,
child/NN --> child/NN
,/, --> ,/,
I/PRP --> I/PRP
give/VBP --> give/VBP
you/PRP --> you/PRP
leave/VB --> leave/VB
,/, --> ,/,
but/CC --> but/CC
on/IN --> on/IN
condition/NN --> condition/NN
that/IN --> that/IN
you/PRP --> you/PRP
stay/VBP --> stay/VBP
no/RB --> no/RB
longer/JJR --> longer/JJR
than/IN --> than/IN
a/DT --> a/DT
year/NN --> year/NN
in/IN --> in/IN
King/NNP --> King/NNP
Schahzaman/NNP --> Schahzaman/NNP
's/POS --> 's/POS
court/NN --> court/NN
./. --> ./.
'/'' --> '/''
The/DT --> the/DT
princess/NN --> princess/NN
communicated/VBD --> communicate/VBD
the/DT --> the/DT
King/NN --> king/NN
of/IN --> of/IN
China/NNP --> China/NNP
's/POS --> 's/POS
consent/NN --> consent/NN
to/TO --> to/TO
Prince/NNP --> Prince/NNP
Camaralzaman/NNP --> Camaralzaman/NNP
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
transported/VBN --> transport/VBN
with/IN --> with/IN
joy/NN --> joy/NN
to/TO --> to/TO
hear/VB --> hear/VB
it/PRP --> it/PRP
./. --> ./.
The/DT --> the/DT
King/NNP --> King/NNP
of/IN --> of/IN
China/NNP --> China/NNP
gave/VBD --> give/VBD
orders/NNS --> order/NNS
for/IN --> for/IN
preparations/NNS --> preparation/NNS
to/TO --> to/TO
be/VB --> be/VB
made/VBN --> make/VBN
for/IN --> for/IN
the/DT --> the/DT
journey/NN --> journey/NN
;/: --> ;/:
and/CC --> and/CC
when/WRB --> when/WRB
all/DT --> all/DT
things/NNS --> thing/NNS
were/VBD --> be/VBD
ready/JJ --> ready/JJ
,/, --> ,/,
he/PRP --> he/PRP
accompanied/VBD --> accompany/VBD
the/DT --> the/DT
prince/NN --> prince/NN
and/CC --> and/CC
princess/NN --> princess/NN
several/JJ --> several/JJ
days/NNS --> day/NNS
'/POS --> '/POS
journey/NN --> journey/NN
on/IN --> on/IN
their/PRP$ --> they/PRP$
way/NN --> way/NN
./. --> ./.
They/PRP --> they/PRP
parted/VBD --> part/VBD
at/IN --> at/IN
length/NN --> length/NN
with/IN --> with/IN
great/JJ --> great/JJ
weeping/VBG --> weep/VBG
on/IN --> on/IN
all/DT --> all/DT
sides/NNS --> side/NNS
:/: --> :/:
the/DT --> the/DT
king/NN --> king/NN
embraced/VBD --> embrace/VBD
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
having/VBG --> have/VBG
desired/VBN --> desire/VBN
the/DT --> the/DT
prince/NN --> prince/NN
to/TO --> to/TO
be/VB --> be/VB
kind/JJ --> kind/JJ
to/TO --> to/TO
his/PRP$ --> he/PRP$
daughter/NN --> daughter/NN
,/, --> ,/,
and/CC --> and/CC
to/TO --> to/TO
love/VB --> love/VB
her/PRP --> she/PRP
always/RB --> always/RB
,/, --> ,/,
he/PRP --> he/PRP
left/VBD --> leave/VBD
them/PRP --> they/PRP
to/TO --> to/TO
proceed/VB --> proceed/VB
on/IN --> on/IN
their/PRP$ --> they/PRP$
journey/NN --> journey/NN
,/, --> ,/,
and/CC --> and/CC
,/, --> ,/,
to/TO --> to/TO
divert/VB --> divert/VB
his/PRP$ --> he/PRP$
thoughts/NNS --> thought/NNS
,/, --> ,/,
hunted/VBN --> hunt/VBN
all/PDT --> all/PDT
the/DT --> the/DT
way/NN --> way/NN
home/NN --> home/NN
./. --> ./.
Prince/NNP --> Prince/NNP
Camaralzaman/NNP --> Camaralzaman/NNP
and/CC --> and/CC
the/DT --> the/DT
Princess/NNP --> Princess/NNP
Badoura/NNP --> Badoura/NNP
traveled/VBD --> travel/VBD
for/IN --> for/IN
about/IN --> about/IN
a/DT --> a/DT
month/NN --> month/NN
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
last/JJ --> last/JJ
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
meadow/NN --> meadow/NN
of/IN --> of/IN
great/JJ --> great/JJ
extent/NN --> extent/NN
,/, --> ,/,
planted/VBN --> plant/VBN
with/IN --> with/IN
tall/JJ --> tall/JJ
trees/NNS --> tree/NNS
,/, --> ,/,
forming/VBG --> form/VBG
an/DT --> a/DT
agreeable/JJ --> agreeable/JJ
shade/NN --> shade/NN
./. --> ./.
The/DT --> the/DT
day/NN --> day/NN
being/VBG --> be/VBG
unusually/RB --> unusually/RB
hot/JJ --> hot/JJ
,/, --> ,/,
Camaralzaman/NNP --> Camaralzaman/NNP
thought/VBD --> think/VBD
it/PRP --> it/PRP
best/RB --> best/RB
to/TO --> to/TO
encamp/VB --> encamp/VB
there/RB --> there/RB
./. --> ./.
They/PRP --> they/PRP
alighted/VBD --> alight/VBD
in/IN --> in/IN
one/CD --> one/CD
of/IN --> of/IN
the/DT --> the/DT
finest/JJS --> finest/JJS
spots/NNS --> spot/NNS
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
prince/NN --> prince/NN
ordered/VBD --> order/VBD
his/PRP$ --> he/PRP$
servants/NNS --> servant/NNS
to/TO --> to/TO
pitch/VB --> pitch/VB
their/PRP$ --> they/PRP$
tents/NNS --> tent/NNS
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
himself/PRP --> himself/PRP
to/TO --> to/TO
give/VB --> give/VB
directions/NNS --> direction/NNS
./. --> ./.
The/DT --> the/DT
princess/NN --> princess/NN
,/, --> ,/,
weary/JJ --> weary/JJ
with/IN --> with/IN
the/DT --> the/DT
fatigue/NN --> fatigue/NN
of/IN --> of/IN
the/DT --> the/DT
journey/NN --> journey/NN
,/, --> ,/,
bade/VB --> bid/VB
her/PRP$ --> she/PRP$
women/NNS --> woman/NNS
untie/VBP --> untie/VBP
her/PRP$ --> she/PRP$
girdle/NN --> girdle/NN
,/, --> ,/,
which/WDT --> which/WDT
they/PRP --> they/PRP
laid/VBD --> lay/VBD
down/RP --> down/RP
by/IN --> by/IN
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
fell/VBD --> fall/VBD
asleep/RB --> asleep/RB
,/, --> ,/,
her/PRP$ --> she/PRP$
attendants/NNS --> attendant/NNS
left/VBD --> leave/VBD
her/PRP --> she/PRP
by/IN --> by/IN
herself/PRP --> herself/PRP
./. --> ./.
Prince/NNP --> Prince/NNP
Camaralzaman/NNP --> Camaralzaman/NNP
having/VBG --> have/VBG
seen/VBN --> see/VBN
all/DT --> all/DT
things/NNS --> thing/NNS
in/IN --> in/IN
order/NN --> order/NN
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
tent/NN --> tent/NN
where/WRB --> where/WRB
the/DT --> the/DT
princess/NN --> princess/NN
was/VBD --> be/VBD
sleeping/VBG --> sleep/VBG
;/: --> ;/:
he/PRP --> he/PRP
entered/VBD --> enter/VBD
,/, --> ,/,
and/CC --> and/CC
sat/VBD --> sit/VBD
down/RP --> down/RP
without/IN --> without/IN
making/VBG --> make/VBG
any/DT --> any/DT
noise/NN --> noise/NN
,/, --> ,/,
intending/VBG --> intend/VBG
to/TO --> to/TO
take/VB --> take/VB
a/DT --> a/DT
nap/NN --> nap/NN
himself/PRP --> himself/PRP
;/: --> ;/:
but/CC --> but/CC
observing/VBG --> observe/VBG
the/DT --> the/DT
princess/NN --> princess/NN
's/POS --> 's/POS
girdle/NN --> girdle/NN
lying/VBG --> lie/VBG
by/IN --> by/IN
her/PRP --> she/PRP
,/, --> ,/,
he/PRP --> he/PRP
took/VBD --> take/VBD
it/PRP --> it/PRP
up/RP --> up/RP
,/, --> ,/,
and/CC --> and/CC
looked/VBD --> look/VBD
at/IN --> at/IN
the/DT --> the/DT
diamonds/NNS --> diamond/NNS
and/CC --> and/CC
rubies/VBZ --> ruby/VBZ
one/CD --> one/CD
by/IN --> by/IN
one/CD --> one/CD
./. --> ./.
In/IN --> in/IN
doing/VBG --> do/VBG
this/DT --> this/DT
,/, --> ,/,
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
little/JJ --> little/JJ
purse/NN --> purse/NN
hanging/NN --> hanging/NN
to/TO --> to/TO
it/PRP --> it/PRP
,/, --> ,/,
sewed/VBD --> sew/VBD
neatly/RB --> neatly/RB
on/IN --> on/IN
to/TO --> to/TO
the/DT --> the/DT
stuff/NN --> stuff/NN
,/, --> ,/,
and/CC --> and/CC
tied/VBD --> tie/VBD
fast/RB --> fast/RB
with/IN --> with/IN
a/DT --> a/DT
ribbon/NN --> ribbon/NN
;/: --> ;/:
he/PRP --> he/PRP
felt/VBD --> feel/VBD
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
found/VBD --> find/VBD
there/EX --> there/EX
was/VBD --> be/VBD
something/NN --> something/NN
solid/JJ --> solid/JJ
inside/IN --> inside/IN
it/PRP --> it/PRP
./. --> ./.
Desirous/JJ --> desirous/JJ
to/TO --> to/TO
know/VB --> know/VB
what/WP --> what/WP
it/PRP --> it/PRP
was/VBD --> be/VBD
,/, --> ,/,
he/PRP --> he/PRP
opened/VBD --> open/VBD
the/DT --> the/DT
purse/NN --> purse/NN
,/, --> ,/,
and/CC --> and/CC
took/VBD --> take/VBD
out/RP --> out/RP
a/DT --> a/DT
cornelian/NN --> cornelian/NN
,/, --> ,/,
engraven/VBN --> engraven/VBN
with/IN --> with/IN
unknown/JJ --> unknown/JJ
figures/NNS --> figure/NNS
and/CC --> and/CC
characters/NNS --> character/NNS
./. --> ./.
`/`` --> `/``
This/DT --> this/DT
cornelian/JJ --> cornelian/JJ
,/, --> ,/,
'/'' --> '/''
said/VBD --> say/VBD
the/DT --> the/DT
prince/NN --> prince/NN
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
`/`` --> `/``
must/MD --> must/MD
be/VB --> be/VB
something/NN --> something/NN
very/RB --> very/RB
valuable/JJ --> valuable/JJ
,/, --> ,/,
or/CC --> or/CC
my/PRP$ --> my/PRP$
princess/NN --> princess/NN
would/MD --> would/MD
not/RB --> not/RB
carry/VB --> carry/VB
it/PRP --> it/PRP
with/IN --> with/IN
so/RB --> so/RB
much/JJ --> much/JJ
care/NN --> care/NN
./. --> ./.
'/'' --> '/''
It/PRP --> it/PRP
was/VBD --> be/VBD
Badoura/NNP --> Badoura/NNP
's/POS --> 's/POS
talisman/NN --> talisman/NN
,/, --> ,/,
which/WDT --> which/WDT
the/DT --> the/DT
Queen/NNP --> Queen/NNP
of/IN --> of/IN
China/NNP --> China/NNP
had/VBD --> have/VBD
given/VBN --> give/VBN
her/PRP$ --> she/PRP$
daughter/NN --> daughter/NN
as/IN --> as/IN
a/DT --> a/DT
charm/NN --> charm/NN
,/, --> ,/,
to/TO --> to/TO
keep/VB --> keep/VB
her/PRP --> she/PRP
,/, --> ,/,
as/IN --> as/IN
she/PRP --> she/PRP
said/VBD --> say/VBD
,/, --> ,/,
from/IN --> from/IN
any/DT --> any/DT
harm/NN --> harm/NN
as/RB --> as/RB
long/RB --> long/RB
as/IN --> as/IN
she/PRP --> she/PRP
had/VBD --> have/VBD
it/PRP --> it/PRP
about/IN --> about/IN
her/PRP --> she/PRP
./. --> ./.
The/DT --> the/DT
prince/NN --> prince/NN
,/, --> ,/,
the/DT --> the/DT
better/JJR --> better/JJR
to/TO --> to/TO
look/VB --> look/VB
at/IN --> at/IN
the/DT --> the/DT
talisman/NN --> talisman/NN
,/, --> ,/,
took/VBD --> take/VBD
it/PRP --> it/PRP
out/RP --> out/RP
to/TO --> to/TO
the/DT --> the/DT
light/NN --> light/NN
,/, --> ,/,
the/DT --> the/DT
tent/NN --> tent/NN
being/VBG --> be/VBG
dark/JJ --> dark/JJ
;/: --> ;/:
and/CC --> and/CC
while/IN --> while/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
holding/VBG --> hold/VBG
it/PRP --> it/PRP
up/RP --> up/RP
in/IN --> in/IN
his/PRP$ --> he/PRP$
hand/NN --> hand/NN
,/, --> ,/,
a/DT --> a/DT
bird/NN --> bird/NN
darted/VBD --> dart/VBD
down/RB --> down/RB
from/IN --> from/IN
the/DT --> the/DT
air/NN --> air/NN
and/CC --> and/CC
snatched/VBD --> snatch/VBD
it/PRP --> it/PRP
away/RB --> away/RB
from/IN --> from/IN
him/PRP --> he/PRP
./. --> ./.
Imagine/VB --> imagine/VB
the/DT --> the/DT
concern/NN --> concern/NN
and/CC --> and/CC
grief/NN --> grief/NN
of/IN --> of/IN
Prince/NNP --> Prince/NNP
Camaralzaman/NNP --> Camaralzaman/NNP
when/WRB --> when/WRB
he/PRP --> he/PRP
saw/VBD --> see/VBD
the/DT --> the/DT
bird/NN --> bird/NN
fly/NN --> fly/NN
away/RB --> away/RB
with/IN --> with/IN
the/DT --> the/DT
talisman/NN --> talisman/NN
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
more/RBR --> more/RBR
troubled/VBN --> trouble/VBN
at/IN --> at/IN
it/PRP --> it/PRP
than/IN --> than/IN
words/NNS --> word/NNS
can/MD --> can/MD
express/VB --> express/VB
,/, --> ,/,
and/CC --> and/CC
cursed/VBD --> curse/VBD
his/PRP$ --> he/PRP$
unseasonable/JJ --> unseasonable/JJ
curiosity/NN --> curiosity/NN
,/, --> ,/,
by/IN --> by/IN
which/WDT --> which/WDT
his/PRP$ --> he/PRP$
dear/RB --> dear/RB
princess/NN --> princess/NN
had/VBD --> have/VBD
