<title>/IN --> IN/IN
59/CD --> 59/CD
Frederick/NNP --> Frederick/NNP
and/CC --> and/CC
Catherine/NNP --> Catherine/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
man/NN --> man/NN
who/WP --> who/WP
was/VBD --> be/VBD
called/VBN --> call/VBN
Frederick/NNP --> Frederick/NNP
and/CC --> and/CC
a/DT --> a/DT
woman/NN --> woman/NN
called/VBN --> call/VBN
Catherine/NNP --> Catherine/NNP
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
married/VBN --> marry/VBN
each/DT --> each/DT
other/JJ --> other/JJ
and/CC --> and/CC
lived/VBD --> live/VBD
together/RB --> together/RB
as/IN --> as/IN
young/JJ --> young/JJ
married/JJ --> married/JJ
folks/NNS --> folk/NNS
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
Frederick/NNP --> Frederick/NNP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
now/RB --> now/RB
go/VB --> go/VB
and/CC --> and/CC
plough/VB --> plough/VB
,/, --> ,/,
Catherine/NNP --> Catherine/NNP
;/: --> ;/:
when/WRB --> when/WRB
I/PRP --> I/PRP
come/VBP --> come/VBP
back/RB --> back/RB
,/, --> ,/,
there/EX --> there/EX
must/MD --> must/MD
be/VB --> be/VB
some/DT --> some/DT
roast/NN --> roast/NN
meat/NN --> meat/NN
on/IN --> on/IN
the/DT --> the/DT
table/NN --> table/NN
for/IN --> for/IN
hunger/NN --> hunger/NN
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
fresh/JJ --> fresh/JJ
draught/NN --> draught/NN
for/IN --> for/IN
thirst/NN --> thirst/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Just/RB --> just/RB
go/VB --> go/VB
,/, --> ,/,
Frederick/NNP --> Frederick/NNP
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
Kate/NNP --> Kate/NNP
,/, --> ,/,
``/`` --> ``/``
just/RB --> just/RB
go/VB --> go/VB
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
have/VB --> have/VB
all/DT --> all/DT
ready/JJ --> ready/JJ
for/IN --> for/IN
you/PRP --> you/PRP
./. --> ./.
''/'' --> ''/''
Therefore/RB --> therefore/RB
when/WRB --> when/WRB
dinner-time/NN --> dinner-time/NN
drew/VBD --> draw/VBD
near/IN --> near/IN
she/PRP --> she/PRP
got/VBD --> get/VBD
a/DT --> a/DT
sausage/NN --> sausage/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
chimney/NN --> chimney/NN
,/, --> ,/,
put/VBD --> put/VBD
it/PRP --> it/PRP
in/IN --> in/IN
the/DT --> the/DT
frying-pan/JJ --> frying-pan/JJ
,/, --> ,/,
put/VBD --> put/VBD
some/DT --> some/DT
butter/NN --> butter/NN
to/TO --> to/TO
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
set/VBD --> set/VBD
it/PRP --> it/PRP
on/IN --> on/IN
the/DT --> the/DT
fire/NN --> fire/NN
./. --> ./.
The/DT --> the/DT
sausage/NN --> sausage/NN
began/VBD --> begin/VBD
to/TO --> to/TO
fry/NN --> fry/NN
and/CC --> and/CC
to/TO --> to/TO
hiss/VB --> hiss/VB
,/, --> ,/,
Catherine/NNP --> Catherine/NNP
stood/VBD --> stand/VBD
beside/IN --> beside/IN
it/PRP --> it/PRP
and/CC --> and/CC
held/VBD --> hold/VBD
the/DT --> the/DT
handle/VB --> handle/VB
of/IN --> of/IN
the/DT --> the/DT
pan/VB --> pan/VB
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
her/PRP$ --> she/PRP$
own/JJ --> own/JJ
thoughts/NNS --> thought/NNS
as/IN --> as/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
doing/VBG --> do/VBG
it/PRP --> it/PRP
./. --> ./.
Then/RB --> then/RB
it/PRP --> it/PRP
occurred/VBD --> occur/VBD
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
While/IN --> while/IN
the/DT --> the/DT
sausage/NN --> sausage/NN
is/VBZ --> be/VBZ
getting/VBG --> get/VBG
done/VBN --> do/VBN
thou/NN --> thou/NN
couldst/NN --> couldst/NN
go/VB --> go/VB
into/IN --> into/IN
the/DT --> the/DT
cellar/NN --> cellar/NN
and/CC --> and/CC
draw/NN --> draw/NN
beer/NN --> beer/NN
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
she/PRP --> she/PRP
set/VBD --> set/VBD
the/DT --> the/DT
frying-pan/JJ --> frying-pan/JJ
safely/RB --> safely/RB
on/IN --> on/IN
the/DT --> the/DT
fire/NN --> fire/NN
,/, --> ,/,
took/VBD --> take/VBD
a/DT --> a/DT
can/NN --> can/NN
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
down/RB --> down/RB
into/IN --> into/IN
the/DT --> the/DT
cellar/NN --> cellar/NN
to/TO --> to/TO
draw/VB --> draw/VB
beer/NN --> beer/NN
./. --> ./.
The/DT --> the/DT
beer/NN --> beer/NN
ran/VBD --> run/VBD
into/IN --> into/IN
the/DT --> the/DT
can/NN --> can/NN
and/CC --> and/CC
Kate/NNP --> Kate/NNP
watched/VBD --> watch/VBD
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
she/PRP --> she/PRP
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
dear/RB --> dear/RB
!/. --> !/.
The/DT --> the/DT
dog/NN --> dog/NN
upstairs/NN --> upstairs/NN
is/VBZ --> be/VBZ
not/RB --> not/RB
fastened/VBN --> fasten/VBN
up/RP --> up/RP
,/, --> ,/,
it/PRP --> it/PRP
might/MD --> might/MD
get/VB --> get/VB
the/DT --> the/DT
sausage/NN --> sausage/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
pan/VB --> pan/VB
./. --> ./.
Well/RB --> well/RB
thought/NN --> thought/NN
of/IN --> of/IN
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
in/IN --> in/IN
a/DT --> a/DT
trice/NN --> trice/NN
she/PRP --> she/PRP
was/VBD --> be/VBD
up/IN --> up/IN
the/DT --> the/DT
cellar-steps/NNS --> cellar-steps/NNS
again/RB --> again/RB
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
Spitz/NNP --> Spitz/NNP
had/VBD --> have/VBD
the/DT --> the/DT
sausage/NN --> sausage/NN
in/IN --> in/IN
its/PRP$ --> its/PRP$
mouth/NN --> mouth/NN
already/RB --> already/RB
,/, --> ,/,
and/CC --> and/CC
trailed/VBD --> trail/VBD
it/PRP --> it/PRP
away/RB --> away/RB
on/IN --> on/IN
the/DT --> the/DT
ground/NN --> ground/NN
./. --> ./.
But/CC --> but/CC
Catherine/NNP --> Catherine/NNP
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
not/RB --> not/RB
idle/JJ --> idle/JJ
,/, --> ,/,
set/VBN --> set/VBN
out/RP --> out/RP
after/IN --> after/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
chased/VBD --> chase/VBD
it/PRP --> it/PRP
a/DT --> a/DT
long/JJ --> long/JJ
way/NN --> way/NN
into/IN --> into/IN
the/DT --> the/DT
field/NN --> field/NN
;/: --> ;/:
the/DT --> the/DT
dog/NN --> dog/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
was/VBD --> be/VBD
swifter/JJR --> swifter/JJR
than/IN --> than/IN
Catherine/NNP --> Catherine/NNP
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
let/VB --> let/VB
the/DT --> the/DT
sausage/NN --> sausage/NN
journey/NN --> journey/NN
easily/RB --> easily/RB
,/, --> ,/,
but/CC --> but/CC
skipped/VBD --> skip/VBD
over/IN --> over/IN
the/DT --> the/DT
furrows/VBZ --> furrow/VBZ
with/IN --> with/IN
it/PRP --> it/PRP
./. --> ./.
``/`` --> ``/``
What/WP --> what/WP
's/VBZ --> be/VBZ
gone/VBN --> go/VBN
is/VBZ --> be/VBZ
gone/VBN --> go/VBN
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
Kate/NNP --> Kate/NNP
,/, --> ,/,
and/CC --> and/CC
turned/VBD --> turn/VBD
round/NN --> round/NN
,/, --> ,/,
and/CC --> and/CC
