<title>/IN --> IN/IN
100/CD --> 100/CD
The/DT --> the/DT
Devil/NNP --> Devil/NNP
's/POS --> 's/POS
Sooty/NNP --> Sooty/NNP
Brother/NNP --> Brother/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/DT --> a/DT
disbanded/JJ --> disbanded/JJ
soldier/NN --> soldier/NN
had/VBD --> have/VBD
nothing/NN --> nothing/NN
to/TO --> to/TO
live/VB --> live/VB
on/IN --> on/IN
,/, --> ,/,
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
how/WRB --> how/WRB
to/TO --> to/TO
get/VB --> get/VB
on/IN --> on/IN
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
went/VBD --> go/VBD
out/RB --> out/RB
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
walked/VBN --> walk/VBN
for/IN --> for/IN
a/DT --> a/DT
short/JJ --> short/JJ
time/NN --> time/NN
,/, --> ,/,
he/PRP --> he/PRP
met/VBD --> meet/VBD
a/DT --> a/DT
little/JJ --> little/JJ
man/NN --> man/NN
who/WP --> who/WP
was/VBD --> be/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
the/DT --> the/DT
Devil/NNP --> Devil/NNP
./. --> ./.
The/DT --> the/DT
little/JJ --> little/JJ
man/NN --> man/NN
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
ails/NNS --> ail/NNS
you/PRP --> you/PRP
,/, --> ,/,
you/PRP --> you/PRP
seem/VBP --> seem/VBP
so/RB --> so/RB
very/RB --> very/RB
sorrowful/JJ --> sorrowful/JJ
?/. --> ?/.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
soldier/NN --> soldier/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
hungry/JJ --> hungry/JJ
,/, --> ,/,
but/CC --> but/CC
have/VBP --> have/VBP
no/DT --> no/DT
money/NN --> money/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
Devil/NNP --> Devil/NNP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
you/PRP --> you/PRP
will/MD --> will/MD
hire/VB --> hire/VB
yourself/PRP --> yourself/PRP
to/TO --> to/TO
me/PRP --> I/PRP
,/, --> ,/,
and/CC --> and/CC
be/VB --> be/VB
my/PRP$ --> my/PRP$
serving-man/NN --> serving-man/NN
,/, --> ,/,
you/PRP --> you/PRP
shall/MD --> shall/MD
have/VB --> have/VB
enough/RB --> enough/RB
for/IN --> for/IN
all/DT --> all/DT
your/PRP$ --> you/PRP$
life/NN --> life/NN
?/. --> ?/.
You/PRP --> you/PRP
shall/MD --> shall/MD
serve/VB --> serve/VB
me/PRP --> I/PRP
for/IN --> for/IN
seven/CD --> seven/CD
years/NNS --> year/NNS
,/, --> ,/,
and/CC --> and/CC
after/IN --> after/IN
that/DT --> that/DT
you/PRP --> you/PRP
shall/MD --> shall/MD
again/RB --> again/RB
be/VB --> be/VB
free/JJ --> free/JJ
./. --> ./.
But/CC --> but/CC
one/CD --> one/CD
thing/NN --> thing/NN
I/PRP --> I/PRP
must/MD --> must/MD
tell/VB --> tell/VB
you/PRP --> you/PRP
,/, --> ,/,
and/CC --> and/CC
that/DT --> that/DT
is/VBZ --> be/VBZ
,/, --> ,/,
you/PRP --> you/PRP
must/MD --> must/MD
not/RB --> not/RB
wash/VB --> wash/VB
,/, --> ,/,
comb/NN --> comb/NN
,/, --> ,/,
or/CC --> or/CC
trim/VB --> trim/VB
yourself/PRP --> yourself/PRP
,/, --> ,/,
or/CC --> or/CC
cut/VB --> cut/VB
your/PRP$ --> you/PRP$
hair/NN --> hair/NN
or/CC --> or/CC
nails/NNS --> nail/NNS
,/, --> ,/,
or/CC --> or/CC
wipe/VB --> wipe/VB
the/DT --> the/DT
water/NN --> water/NN
from/IN --> from/IN
your/PRP$ --> you/PRP$
eyes/NNS --> eye/NNS
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
soldier/NN --> soldier/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
All/DT --> all/DT
right/NN --> right/NN
,/, --> ,/,
if/IN --> if/IN
there/EX --> there/EX
is/VBZ --> be/VBZ
no/DT --> no/DT
help/NN --> help/NN
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
went/VBD --> go/VBD
off/RP --> off/RP
with/IN --> with/IN
the/DT --> the/DT
little/JJ --> little/JJ
man/NN --> man/NN
,/, --> ,/,
who/WP --> who/WP
straightway/RB --> straightway/RB
led/VBD --> lead/VBD
him/PRP --> he/PRP
down/RP --> down/RP
into/IN --> into/IN
hell/NN --> hell/NN
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
told/VBD --> tell/VBD
him/PRP --> he/PRP
what/WP --> what/WP
he/PRP --> he/PRP
had/VBD --> have/VBD
to/TO --> to/TO
do/VB --> do/VB
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
to/TO --> to/TO
poke/VB --> poke/VB
the/DT --> the/DT
fire/NN --> fire/NN
under/IN --> under/IN
the/DT --> the/DT
kettles/NNS --> kettle/NNS
wherein/VBP --> wherein/VBP
the/DT --> the/DT
hell-broth/NN --> hell-broth/NN
was/VBD --> be/VBD
stewing/VBG --> stew/VBG
,/, --> ,/,
keep/VB --> keep/VB
the/DT --> the/DT
house/NN --> house/NN
clean/JJ --> clean/JJ
,/, --> ,/,
drive/VB --> drive/VB
all/PDT --> all/PDT
the/DT --> the/DT
sweepings/NNS --> sweepings/NNS
behind/IN --> behind/IN
the/DT --> the/DT
doors/NNS --> door/NNS
,/, --> ,/,
and/CC --> and/CC
see/VB --> see/VB
that/DT --> that/DT
everything/NN --> everything/NN
was/VBD --> be/VBD
in/IN --> in/IN
order/NN --> order/NN
,/, --> ,/,
but/CC --> but/CC
if/IN --> if/IN
he/PRP --> he/PRP
once/RB --> once/RB
peeped/VBD --> peep/VBD
into/IN --> into/IN
the/DT --> the/DT
kettles/NNS --> kettle/NNS
,/, --> ,/,
it/PRP --> it/PRP
would/MD --> would/MD
go/VB --> go/VB
ill/RB --> ill/RB
with/IN --> with/IN
him/PRP --> he/PRP
./. --> ./.
The/DT --> the/DT
soldier/NN --> soldier/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Good/JJ --> good/JJ
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
take/VB --> take/VB
care/NN --> care/NN
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
then/RB --> then/RB
the/DT --> the/DT
old/JJ --> old/JJ
Devil/NNP --> Devil/NNP
went/VBD --> go/VBD
out/RP --> out/RP
again/RB --> again/RB
on/IN --> on/IN
his/PRP$ --> he/PRP$
wanderings/NNS --> wanderings/NNS
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
soldier/NN --> soldier/NN
entered/VBD --> enter/VBD
upon/IN --> upon/IN
his/PRP$ --> he/PRP$
new/JJ --> new/JJ
duties/NNS --> duty/NNS
,/, --> ,/,
made/VBD --> make/VBD
the/DT --> the/DT
fire/NN --> fire/NN
,/, --> ,/,
and/CC --> and/CC
swept/VBD --> sweep/VBD
the/DT --> the/DT
dirt/NN --> dirt/NN
well/RB --> well/RB
behind/IN --> behind/IN
the/DT --> the/DT
doors/NNS --> door/NNS
,/, --> ,/,
just/RB --> just/RB
as/IN --> as/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
bidden/VBN --> bid/VBN
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
old/JJ --> old/JJ
Devil/NNP --> Devil/NNP
came/VBD --> come/VBD
back/RB --> back/RB
again/RB --> again/RB
,/, --> ,/,
he/PRP --> he/PRP
looked/VBD --> look/VBD
to/TO --> to/TO
see/VB --> see/VB
if/IN --> if/IN
all/DT --> all/DT
had/VBD --> have/VBD
been/VBN --> be/VBN
done/VBN --> do/VBN
,/, --> ,/,
appeared/VBD --> appear/VBD
satisfied/JJ --> satisfied/JJ
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
forth/RB --> forth/RB
a/DT --> a/DT
second/JJ --> second/JJ
time/NN --> time/NN
./. --> ./.
The/DT --> the/DT
soldier/NN --> soldier/NN
now/RB --> now/RB
took/VBD --> take/VBD
a/DT --> a/DT
good/JJ --> good/JJ
look/NN --> look/NN
on/IN --> on/IN
every/DT --> every/DT
side/NN --> side/NN
;/: --> ;/:
the/DT --> the/DT
kettles/NNS --> kettle/NNS
were/VBD --> be/VBD
standing/VBG --> stand/VBG
all/DT --> all/DT
round/NN --> round/NN
hell/NN --> hell/NN
with/IN --> with/IN
a/DT --> a/DT
mighty/JJ --> mighty/JJ
fire/NN --> fire/NN
below/IN --> below/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
inside/IN --> inside/IN
they/PRP --> they/PRP
were/VBD --> be/VBD
boiling/VBG --> boil/VBG
and/CC --> and/CC
