<title>/IN --> IN/IN
65/CD --> 65/CD
Allerleirauh/NNP --> Allerleirauh/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
King/NN --> king/NN
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
wife/NN --> wife/NN
with/IN --> with/IN
golden/JJ --> golden/JJ
hair/NN --> hair/NN
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
was/VBD --> be/VBD
so/RB --> so/RB
beautiful/JJ --> beautiful/JJ
that/IN --> that/IN
her/PRP$ --> she/PRP$
equal/JJ --> equal/JJ
was/VBD --> be/VBD
not/RB --> not/RB
to/TO --> to/TO
be/VB --> be/VB
found/VBN --> find/VBN
on/IN --> on/IN
earth/NN --> earth/NN
./. --> ./.
It/PRP --> it/PRP
came/VBD --> come/VBD
to/TO --> to/TO
pass/VB --> pass/VB
that/IN --> that/IN
she/PRP --> she/PRP
lay/VBD --> lay/VBD
ill/RB --> ill/RB
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
she/PRP --> she/PRP
felt/VBD --> feel/VBD
that/IN --> that/IN
she/PRP --> she/PRP
must/MD --> must/MD
soon/RB --> soon/RB
die/VB --> die/VB
,/, --> ,/,
she/PRP --> she/PRP
called/VBD --> call/VBD
the/DT --> the/DT
King/NNP --> King/NNP
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
thou/NN --> thou/NN
wishest/NN --> wishest/NN
to/TO --> to/TO
marry/VB --> marry/VB
again/RB --> again/RB
after/IN --> after/IN
my/PRP$ --> my/PRP$
death/NN --> death/NN
,/, --> ,/,
take/VB --> take/VB
no/DT --> no/DT
one/NN --> one/NN
who/WP --> who/WP
is/VBZ --> be/VBZ
not/RB --> not/RB
