<title>/IN --> IN/IN
THE/DT --> the/DT
PRINCE/NNP --> PRINCE/NNP
AND/CC --> and/CC
THE/DT --> the/DT
FAKIR/NNP --> FAKIR/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
King/NN --> king/NN
who/WP --> who/WP
had/VBD --> have/VBD
no/DT --> no/DT
children/NNS --> child/NNS
./. --> ./.
Now/RB --> now/RB
this/DT --> this/DT
King/NN --> king/NN
went/VBD --> go/VBD
and/CC --> and/CC
laid/VBD --> lay/VBD
him/PRP --> he/PRP
down/RP --> down/RP
to/TO --> to/TO
rest/VB --> rest/VB
at/IN --> at/IN
a/DT --> a/DT
place/NN --> place/NN
where/WRB --> where/WRB
four/CD --> four/CD
roads/NNS --> road/NNS
met/VBD --> meet/VBD
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
every/DT --> every/DT
one/CD --> one/CD
who/WP --> who/WP
passed/VBD --> pass/VBD
had/VBD --> have/VBD
to/TO --> to/TO
step/VB --> step/VB
over/IN --> over/IN
him/PRP --> he/PRP
./. --> ./.
At/IN --> at/IN
last/JJ --> last/JJ
a/DT --> a/DT
Fakir/NNP --> Fakir/NNP
came/VBD --> come/VBD
along/RB --> along/RB
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
``/`` --> ``/``
Man/NN --> man/NN
,/, --> ,/,
why/WRB --> why/WRB
are/VBP --> be/VBP
you/PRP --> you/PRP
lying/VBG --> lie/VBG
here/RB --> here/RB
?/. --> ?/.
''/'' --> ''/''
He/PRP --> he/PRP
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
Fakir/NNP --> Fakir/NNP
,/, --> ,/,
a/DT --> a/DT
thousand/CD --> thousand/CD
men/NNS --> man/NNS
have/VBP --> have/VBP
come/VBN --> come/VBN
and/CC --> and/CC
passed/VBN --> pass/VBN
by/IN --> by/IN
;/: --> ;/:
you/PRP --> you/PRP
pass/VBP --> pass/VBP
on/IN --> on/IN
too/RB --> too/RB
./. --> ./.
''/'' --> ''/''
But/CC --> but/CC
the/DT --> the/DT
Fakir/NNP --> Fakir/NNP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Who/WP --> who/WP
are/VBP --> be/VBP
you/PRP --> you/PRP
,/, --> ,/,
man/NN --> man/NN
?/. --> ?/.
''/'' --> ''/''
The/DT --> the/DT
King/NNP --> King/NNP
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
a/DT --> a/DT
King/NNP --> King/NNP
,/, --> ,/,
Fakir/NNP --> Fakir/NNP
./. --> ./.
Of/IN --> of/IN
goods/NNS --> goods/NNS
and/CC --> and/CC
gold/NN --> gold/NN
I/PRP --> I/PRP
have/VBP --> have/VBP
no/DT --> no/DT
lack/NN --> lack/NN
,/, --> ,/,
but/CC --> but/CC
I/PRP --> I/PRP
have/VBP --> have/VBP
lived/VBN --> live/VBN
