<title>/IN --> IN/IN
136/CD --> 136/CD
Iron/NNP --> Iron/NNP
John/NNP --> John/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
THERE/NNP --> THERE/NNP
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
King/NN --> king/NN
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
great/JJ --> great/JJ
forest/NN --> forest/NN
near/IN --> near/IN
his/PRP$ --> he/PRP$
palace/NN --> palace/NN
,/, --> ,/,
full/JJ --> full/JJ
of/IN --> of/IN
all/DT --> all/DT
kinds/NNS --> kind/NNS
of/IN --> of/IN
wild/JJ --> wild/JJ
animals/NNS --> animal/NNS
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
he/PRP --> he/PRP
sent/VBD --> send/VBD
out/RP --> out/RP
a/DT --> a/DT
huntsman/NN --> huntsman/NN
to/TO --> to/TO
shoot/VB --> shoot/VB
him/PRP --> he/PRP
a/DT --> a/DT
roe/NN --> roe/NN
,/, --> ,/,
but/CC --> but/CC
he/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
come/VB --> come/VB
back/RB --> back/RB
./. --> ./.
``/`` --> ``/``
Perhaps/RB --> perhaps/RB
some/DT --> some/DT
accident/NN --> accident/NN
has/VBZ --> have/VBZ
befallen/VBN --> befall/VBN
him/PRP --> he/PRP
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
next/JJ --> next/JJ
day/NN --> day/NN
he/PRP --> he/PRP
sent/VBD --> send/VBD
out/RP --> out/RP
two/CD --> two/CD
more/JJR --> more/JJR
huntsmen/NNS --> huntsman/NNS
who/WP --> who/WP
were/VBD --> be/VBD
to/TO --> to/TO
search/VB --> search/VB
for/IN --> for/IN
him/PRP --> he/PRP
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
too/RB --> too/RB
stayed/VBD --> stay/VBD
away/RB --> away/RB
./. --> ./.
Then/RB --> then/RB
on/IN --> on/IN
the/DT --> the/DT
third/JJ --> third/JJ
day/NN --> day/NN
,/, --> ,/,
he/PRP --> he/PRP
sent/VBD --> send/VBD
for/IN --> for/IN
all/DT --> all/DT
his/PRP$ --> he/PRP$
huntsmen/NNS --> huntsman/NNS
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Scour/VB --> scour/VB
the/DT --> the/DT
whole/JJ --> whole/JJ
forest/NN --> forest/NN
through/IN --> through/IN
,/, --> ,/,
and/CC --> and/CC
do/VBP --> do/VBP
not/RB --> not/RB
give/VB --> give/VB
up/RP --> up/RP
until/IN --> until/IN
ye/NN --> ye/NN
have/VBP --> have/VBP
found/VBN --> find/VBN
all/DT --> all/DT
three/CD --> three/CD
./. --> ./.
''/'' --> ''/''
But/CC --> but/CC
of/IN --> of/IN
these/DT --> these/DT
also/RB --> also/RB
,/, --> ,/,
none/NN --> none/NN
came/VBD --> come/VBD
home/NN --> home/NN
again/RB --> again/RB
,/, --> ,/,
and/CC --> and/CC
of/IN --> of/IN
the/DT --> the/DT
pack/NN --> pack/NN
of/IN --> of/IN
hounds/NNS --> hound/NNS
which/WDT --> which/WDT
they/PRP --> they/PRP
had/VBD --> have/VBD
taken/VBN --> take/VBN
with/IN --> with/IN
them/PRP --> they/PRP
,/, --> ,/,
none/NN --> none/NN
were/VBD --> be/VBD
seen/VBN --> see/VBN
more/RBR --> more/RBR
./. --> ./.
From/IN --> from/IN
that/DT --> that/DT
time/NN --> time/NN
forth/RB --> forth/RB
,/, --> ,/,
no/DT --> no/DT
one/NN --> one/NN
would/MD --> would/MD
any/RB --> any/RB
