<title>/JJ --> JJ/JJ
127/CD --> 127/CD
The/DT --> the/DT
Iron/NNP --> Iron/NNP
Stove/NNP --> Stove/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
the/DT --> the/DT
days/NNS --> day/NNS
when/WRB --> when/WRB
wishing/VBG --> wish/VBG
was/VBD --> be/VBD
still/RB --> still/RB
of/IN --> of/IN
some/DT --> some/DT
use/NN --> use/NN
,/, --> ,/,
a/DT --> a/DT
King/NNP --> King/NNP
's/POS --> 's/POS
son/NN --> son/NN
was/VBD --> be/VBD
bewitched/VBN --> bewitch/VBN
by/IN --> by/IN
an/DT --> a/DT
old/JJ --> old/JJ
witch/NN --> witch/NN
,/, --> ,/,
and/CC --> and/CC
shut/VBD --> shut/VBD
up/RP --> up/RP
in/IN --> in/IN
an/DT --> a/DT
iron/NN --> iron/NN
stove/NN --> stove/NN
in/IN --> in/IN
a/DT --> a/DT
forest/NN --> forest/NN
./. --> ./.
There/EX --> there/EX
he/PRP --> he/PRP
passed/VBD --> pass/VBD
many/JJ --> many/JJ
years/NNS --> year/NNS
,/, --> ,/,
and/CC --> and/CC
no/DT --> no/DT
one/NN --> one/NN
could/MD --> could/MD
deliver/VB --> deliver/VB
him/PRP --> he/PRP
./. --> ./.
Then/RB --> then/RB
a/DT --> a/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
came/VBD --> come/VBD
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
lost/VBN --> lose/VBN
herself/PRP --> herself/PRP
,/, --> ,/,
and/CC --> and/CC
could/MD --> could/MD
not/RB --> not/RB
find/VB --> find/VB
her/PRP$ --> she/PRP$
father/NN --> father/NN
's/POS --> 's/POS
kingdom/NN --> kingdom/NN
again/RB --> again/RB
./. --> ./.
After/IN --> after/IN
she/PRP --> she/PRP
had/VBD --> have/VBD
wandered/VBN --> wander/VBN
about/IN --> about/IN
for/IN --> for/IN
nine/CD --> nine/CD
days/NNS --> day/NNS
,/, --> ,/,
she/PRP --> she/PRP
at/IN --> at/IN
length/NN --> length/NN
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
iron/NN --> iron/NN
stove/NN --> stove/NN
./. --> ./.
Then/RB --> then/RB
a/DT --> a/DT
voice/NN --> voice/NN
came/VBD --> come/VBD
forth/RB --> forth/RB
from/IN --> from/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
asked/VBD --> ask/VBD
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
Whence/NN --> whence/NN
comest/NN --> comest/NN
thou/NN --> thou/NN
,/, --> ,/,
and/CC --> and/CC
whither/NN --> whither/NN
goest/NN --> goest/NN
,/, --> ,/,
thou/NN --> thou/NN
?/. --> ?/.
''/'' --> ''/''
She/PRP --> she/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
lost/VBN --> lose/VBN
my/PRP$ --> my/PRP$
father/NN --> father/NN
's/POS --> 's/POS
kingdom/NN --> kingdom/NN
,/, --> ,/,
and/CC --> and/CC
can/MD --> can/MD
not/RB --> not/RB
get/VB --> get/VB
home/NN --> home/NN
again/RB --> again/RB
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
a/DT --> a/DT
voice/NN --> voice/NN
inside/IN --> inside/IN
the/DT --> the/DT
iron/NN --> iron/NN
stove/NN --> stove/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
help/VB --> help/VB
thee/VB --> thee/VB
to/TO --> to/TO
get/VB --> get/VB
home/NN --> home/NN
again/RB --> again/RB
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
