<title>/IN --> IN/IN
188/CD --> 188/CD
The/DT --> the/DT
Spindle/NNP --> Spindle/NNP
,/, --> ,/,
The/DT --> the/DT
Shuttle/NNP --> Shuttle/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Needle/NNP --> Needle/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
girl/NN --> girl/NN
whose/WP$ --> whose/WP$
father/NN --> father/NN
and/CC --> and/CC
mother/NN --> mother/NN
died/VBD --> die/VBD
while/IN --> while/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
still/RB --> still/RB
a/DT --> a/DT
little/JJ --> little/JJ
child/NN --> child/NN
./. --> ./.
All/DT --> all/DT
alone/RB --> alone/RB
,/, --> ,/,
in/IN --> in/IN
a/DT --> a/DT
small/JJ --> small/JJ
house/NN --> house/NN
at/IN --> at/IN
the/DT --> the/DT
end/NN --> end/NN
of/IN --> of/IN
the/DT --> the/DT
village/NN --> village/NN
,/, --> ,/,
dwelt/VB --> dwell/VB
her/PRP$ --> she/PRP$
godmother/NN --> godmother/NN
,/, --> ,/,
who/WP --> who/WP
supported/VBD --> support/VBD
herself/PRP --> herself/PRP
by/IN --> by/IN
spinning/JJ --> spinning/JJ
,/, --> ,/,
weaving/VBG --> weave/VBG
,/, --> ,/,
and/CC --> and/CC
sewing/VBG --> sew/VBG
./. --> ./.
The/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
took/VBD --> take/VBD
the/DT --> the/DT
forlorn/JJ --> forlorn/JJ
child/NN --> child/NN
to/TO --> to/TO
live/VB --> live/VB
with/IN --> with/IN
her/PRP --> she/PRP
,/, --> ,/,
kept/VBD --> keep/VBD
her/PRP --> she/PRP
to/TO --> to/TO
her/PRP$ --> she/PRP$
work/NN --> work/NN
,/, --> ,/,
and/CC --> and/CC
educated/VBD --> educate/VBD
her/PRP --> she/PRP
in/IN --> in/IN
all/DT --> all/DT
that/DT --> that/DT
is/VBZ --> be/VBZ
good/JJ --> good/JJ
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
girl/NN --> girl/NN
was/VBD --> be/VBD
fifteen/JJ --> fifteen/JJ
years/NNS --> year/NNS
old/JJ --> old/JJ
,/, --> ,/,
the/DT --> the/DT
old/JJ --> old/JJ
woman/NN --> woman/NN
became/VBD --> become/VBD
ill/JJ --> ill/JJ
,/, --> ,/,
called/VBD --> call/VBD
the/DT --> the/DT
child/NN --> child/NN
to/TO --> to/TO
her/PRP$ --> she/PRP$
bedside/NN --> bedside/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Dear/JJ --> dear/JJ
daughter/NN --> daughter/NN
,/, --> ,/,
I/PRP --> I/PRP
feel/VBP --> feel/VBP
my/PRP$ --> my/PRP$
end/NN --> end/NN
drawing/NN --> drawing/NN
near/IN --> near/IN
./. --> ./.
I/PRP --> I/PRP
leave/VBP --> leave/VBP
thee/VB --> thee/VB
the/DT --> the/DT
little/JJ --> little/JJ
house/NN --> house/NN
,/, --> ,/,
which/WDT --> which/WDT
will/MD --> will/MD
protect/VB --> protect/VB
thee/NN --> thee/NN
from/IN --> from/IN
wind/NN --> wind/NN
and/CC --> and/CC
weather/NN --> weather/NN
,/, --> ,/,
and/CC --> and/CC
my/PRP$ --> my/PRP$
spindle/NN --> spindle/NN
,/, --> ,/,
shuttle/NN --> shuttle/NN
,/, --> ,/,
and/CC --> and/CC
needle/NN --> needle/NN
,/, --> ,/,
with/IN --> with/IN
which/WDT --> which/WDT
thou/NN --> thou/NN
canst/NN --> canst/NN
earn/VBP --> earn/VBP
thy/JJ --> thy/JJ
bread/NN --> bread/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
she/PRP --> she/PRP
laid/VBD --> lay/VBD
her/PRP$ --> she/PRP$
hands/NNS --> hand/NNS
on/IN --> on/IN
the/DT --> the/DT
girl/NN --> girl/NN
's/POS --> 's/POS
head/NN --> head/NN
,/, --> ,/,
blessed/VBD --> bless/VBD
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Only/RB --> only/RB
preserve/VB --> preserve/VB
the/DT --> the/DT
love/NN --> love/NN
of/IN --> of/IN
God/NNP --> God/NNP
in/IN --> in/IN
thy/NN --> thy/NN
heart/NN --> heart/NN
,/, --> ,/,
and/CC --> and/CC
all/DT --> all/DT
will/MD --> will/MD
go/VB --> go/VB
well/RB --> well/RB
with/IN --> with/IN
thee/NN --> thee/NN
./. --> ./.
''/'' --> ''/''
Thereupon/NNP --> Thereupon/NNP
she/PRP --> she/PRP
closed/VBD --> close/VBD
her/PRP$ --> she/PRP$
eyes/NNS --> eye/NNS
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
was/VBD --> be/VBD
laid/VBN --> lay/VBN
in/IN --> in/IN
the/DT --> the/DT
earth/NN --> earth/NN
,/, --> ,/,
the/DT --> the/DT
maiden/NN --> maiden/NN
followed/VBD --> follow/VBD
the/DT --> the/DT
coffin/NN --> coffin/NN
,/, --> ,/,
weeping/VBG --> weep/VBG
bitterly/RB --> bitterly/RB
,/, --> ,/,
and/CC --> and/CC
paid/VBD --> pay/VBD
her/PRP$ --> she/PRP$
the/DT --> the/DT
last/JJ --> last/JJ
mark/NN --> mark/NN
of/IN --> of/IN
respect/NN --> respect/NN
./. --> ./.
And/CC --> and/CC
now/RB --> now/RB
the/DT --> the/DT
maiden/NN --> maiden/NN
lived/VBD --> live/VBD
quite/RB --> quite/RB
alone/RB --> alone/RB
in/IN --> in/IN
the/DT --> the/DT
little/JJ --> little/JJ
house/NN --> house/NN
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
industrious/JJ --> industrious/JJ
,/, --> ,/,
and/CC --> and/CC
span/NN --> span/NN
,/, --> ,/,
wove/NN --> wove/NN
,/, --> ,/,
and/CC --> and/CC
sewed/VBD --> sew/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
blessing/NN --> blessing/NN
of/IN --> of/IN
the/DT --> the/DT
good/JJ --> good/JJ
old/JJ --> old/JJ
woman/NN --> woman/NN
was/VBD --> be/VBD
on/IN --> on/IN
all/DT --> all/DT
that/IN --> that/IN
she/PRP --> she/PRP
did/VBD --> do/VBD
./. --> ./.
It/PRP --> it/PRP
seemed/VBD --> seem/VBD
as/IN --> as/IN
if/IN --> if/IN
the/DT --> the/DT
flax/NN --> flax/NN
in/IN --> in/IN
the/DT --> the/DT
room/NN --> room/NN
increased/VBD --> increase/VBD
of/IN --> of/IN
its/PRP$ --> its/PRP$
own/JJ --> own/JJ
accord/NN --> accord/NN
,/, --> ,/,
and/CC --> and/CC
whenever/WRB --> whenever/WRB
she/PRP --> she/PRP
wove/VBD --> weave/VBD
a/DT --> a/DT
piece/NN --> piece/NN
of/IN --> of/IN
cloth/NN --> cloth/NN
or/CC --> or/CC
carpet/NN --> carpet/NN
,/, --> ,/,
or/CC --> or/CC
had/VBD --> have/VBD
made/VBN --> make/VBN
a/DT --> a/DT
shirt/NN --> shirt/NN
,/, --> ,/,
she/PRP --> she/PRP
at/IN --> at/IN
once/RB --> once/RB
found/VBD --> find/VBD
a/DT --> a/DT
buyer/NN --> buyer/NN
who/WP --> who/WP
paid/VBD --> pay/VBD
her/PRP --> she/PRP
amply/RB --> amply/RB
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
in/IN --> in/IN
want/VBP --> want/VBP
of/IN --> of/IN
nothing/NN --> nothing/NN
,/, --> ,/,
and/CC --> and/CC
even/RB --> even/RB
had/VBD --> have/VBD
something/NN --> something/NN
to/TO --> to/TO
share/NN --> share/NN
with/IN --> with/IN
others/NNS --> other/NNS
./. --> ./.
About/IN --> about/IN
this/DT --> this/DT
time/NN --> time/NN
,/, --> ,/,
the/DT --> the/DT
son/NN --> son/NN
of/IN --> of/IN
the/DT --> the/DT
King/NNP --> King/NNP
was/VBD --> be/VBD
traveling/VBG --> travel/VBG
about/IN --> about/IN
the/DT --> the/DT
country/NN --> country/NN
looking/VBG --> look/VBG
for/IN --> for/IN
a/DT --> a/DT
bride/NN --> bride/NN
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
not/RB --> not/RB
to/TO --> to/TO
choose/VB --> choose/VB
a/DT --> a/DT
poor/JJ --> poor/JJ
one/CD --> one/CD
,/, --> ,/,
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
want/VB --> want/VB
to/TO --> to/TO
have/VB --> have/VB
a/DT --> a/DT
rich/JJ --> rich/JJ
