<title>/IN --> IN/IN
102/CD --> 102/CD
The/DT --> the/DT
Willow-Wren/NNP --> Willow-Wren/NNP
and/CC --> and/CC
the/DT --> the/DT
Bear/NNP --> Bear/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/VBD --> VBD/VBD
ONCE/RB --> once/RB
in/IN --> in/IN
summer-time/JJ --> summer-time/JJ
the/DT --> the/DT
bear/NN --> bear/NN
and/CC --> and/CC
the/DT --> the/DT
wolf/NN --> wolf/NN
were/VBD --> be/VBD
walking/VBG --> walk/VBG
in/IN --> in/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
bear/NN --> bear/NN
heard/VBD --> hear/VBD
a/DT --> a/DT
bird/NN --> bird/NN
singing/VBG --> sing/VBG
so/RB --> so/RB
beautifully/RB --> beautifully/RB
that/IN --> that/IN
he/PRP --> he/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Brother/NNP --> Brother/NNP
wolf/NN --> wolf/NN
,/, --> ,/,
what/WP --> what/WP
bird/NN --> bird/NN
is/VBZ --> be/VBZ
it/PRP --> it/PRP
that/WDT --> that/WDT
sings/VBZ --> sing/VBZ
so/RB --> so/RB
well/RB --> well/RB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
That/DT --> that/DT
is/VBZ --> be/VBZ
the/DT --> the/DT
King/NN --> king/NN
of/IN --> of/IN
birds/NNS --> bird/NNS
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
wolf/NN --> wolf/NN
,/, --> ,/,
``/`` --> ``/``
before/IN --> before/IN
whom/WP --> whom/WP
we/PRP --> we/PRP
must/MD --> must/MD
bow/VB --> bow/VB
down/RP --> down/RP
./. --> ./.
''/'' --> ''/''
It/PRP --> it/PRP
was/VBD --> be/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
in/IN --> in/IN
reality/NN --> reality/NN
the/DT --> the/DT
willow-wren/NN --> willow-wren/NN
-LRB-/-LRB- --> -lrb-/-LRB-
Zaunk/NNP --> Zaunk/NNP
nig/NN --> nig/NN
-RRB-/-RRB- --> -rrb-/-RRB-
./. --> ./.
``/`` --> ``/``
If/IN --> if/IN
that/DT --> that/DT
's/VBZ --> be/VBZ
the/DT --> the/DT
case/NN --> case/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
bear/NN --> bear/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
should/MD --> should/MD
very/RB --> very/RB
much/RB --> much/RB
like/IN --> like/IN
to/TO --> to/TO
see/VB --> see/VB
his/PRP$ --> he/PRP$
royal/NN --> royal/NN
palace/NN --> palace/NN
;/: --> ;/:
come/VB --> come/VB
,/, --> ,/,
take/VB --> take/VB
me/PRP --> I/PRP
thither/VB --> thither/VB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
That/DT --> that/DT
is/VBZ --> be/VBZ
not/RB --> not/RB
done/VBN --> do/VBN
quite/RB --> quite/RB
as/IN --> as/IN
you/PRP --> you/PRP
seem/VBP --> seem/VBP
to/TO --> to/TO
think/VB --> think/VB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
wolf/NN --> wolf/NN
;/: --> ;/:
``/`` --> ``/``
you/PRP --> you/PRP
must/MD --> must/MD
wait/VB --> wait/VB
until/IN --> until/IN
the/DT --> the/DT
Queen/NNP --> Queen/NNP
comes/VBZ --> come/VBZ
./. --> ./.
''/'' --> ''/''
Soon/RB --> soon/RB
afterwards/RB --> afterwards/RB
,/, --> ,/,
the/DT --> the/DT
Queen/NNP --> Queen/NNP
arrived/VBD --> arrive/VBD
with/IN --> with/IN
some/DT --> some/DT
food/NN --> food/NN
in/IN --> in/IN
her/PRP$ --> she/PRP$
beak/NN --> beak/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
lord/NN --> lord/NN
King/NN --> king/NN
came/VBD --> come/VBD
too/RB --> too/RB
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
feed/VB --> feed/VB
their/PRP$ --> they/PRP$
young/JJ --> young/JJ
ones/NNS --> one/NNS
./. --> ./.
The/DT --> the/DT
bear/NN --> bear/NN
would/MD --> would/MD
have/VB --> have/VB
liked/VBN --> like/VBN
to/TO --> to/TO
go/VB --> go/VB
at/IN --> at/IN
once/RB --> once/RB
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
wolf/NN --> wolf/NN
held/VBD --> hold/VBD
him/PRP --> he/PRP
back/RB --> back/RB
by/IN --> by/IN
the/DT --> the/DT
sleeve/NN --> sleeve/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
No/UH --> no/UH
,/, --> ,/,
you/PRP --> you/PRP
must/MD --> must/MD
wait/VB --> wait/VB
until/IN --> until/IN
the/DT --> the/DT
lord/NN --> lord/NN
and/CC --> and/CC
lady/NN --> lady/NN
Queen/NNP --> Queen/NNP
have/VBP --> have/VBP
gone/VBN --> go/VBN
away/RB --> away/RB
again/RB --> again/RB
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
they/PRP --> they/PRP
observed/VBD --> observe/VBD
the/DT --> the/DT
hole/NN --> hole/NN
in/IN --> in/IN
which/WDT --> which/WDT
was/VBD --> be/VBD
the/DT --> the/DT
nest/NN --> nest/NN
,/, --> ,/,
and/CC --> and/CC
trotted/VBD --> trot/VBD
away/RB --> away/RB
./. --> ./.
The/DT --> the/DT
bear/NN --> bear/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
could/MD --> could/MD
not/RB --> not/RB
rest/VB --> rest/VB
until/IN --> until/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
seen/VBN --> see/VBN
the/DT --> the/DT
royal/JJ --> royal/JJ
palace/NN --> palace/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
a/DT --> a/DT
short/JJ --> short/JJ
time/NN --> time/NN
had/VBD --> have/VBD
passed/VBN --> pass/VBN
,/, --> ,/,
again/RB --> again/RB
went/VBD --> go/VBD
to/TO --> to/TO
it/PRP --> it/PRP
./. --> ./.
The/DT --> the/DT
King/NNP --> King/NNP
and/CC --> and/CC
Queen/NNP --> Queen/NNP
had/VBD --> have/VBD
just/RB --> just/RB
flown/VBN --> fly/VBN
out/RP --> out/RP
,/, --> ,/,
so/RB --> so/RB
he/PRP --> he/PRP
peeped/VBD --> peep/VBD
in/IN --> in/IN
and/CC --> and/CC
saw/VBD --> see/VBD
five/CD --> five/CD
or/CC --> or/CC
six/CD --> six/CD
young/JJ --> young/JJ
ones/NNS --> one/NNS
lying/VBG --> lie/VBG
in/IN --> in/IN
it/PRP --> it/PRP
./. --> ./.
``/`` --> ``/``
Is/VBZ --> be/VBZ
that/IN --> that/IN
the/DT --> the/DT
royal/JJ --> royal/JJ
palace/NN --> palace/NN
?/. --> ?/.
''/'' --> ''/''
cried/VBD --> cry/VBD
the/DT --> the/DT
bear/NN --> bear/NN
;/: --> ;/:
``/`` --> ``/``
it/PRP --> it/PRP
is/VBZ --> be/VBZ
a/DT --> a/DT
wretched/JJ --> wretched/JJ
palace/NN --> palace/NN
,/, --> ,/,
and/CC --> and/CC
you/PRP --> you/PRP
are/VBP --> be/VBP
not/RB --> not/RB
King/NNP --> King/NNP
's/POS --> 's/POS
children/NNS --> child/NNS
,/, --> ,/,
you/PRP --> you/PRP
are/VBP --> be/VBP
disreputable/JJ --> disreputable/JJ
children/NNS --> child/NNS
!/. --> !/.
''/'' --> ''/''
When/WRB --> when/WRB
the/DT --> the/DT
young/JJ --> young/JJ
wrens/NNS --> wren/NNS
heard/VBD --> hear/VBD
that/IN --> that/IN
,/, --> ,/,
they/PRP --> they/PRP
were/VBD --> be/VBD
frightfully/RB --> frightfully/RB
angry/JJ --> angry/JJ
,/, --> ,/,
and/CC --> and/CC
screamed/VBD --> scream/VBD
,/, --> ,/,
``/`` --> ``/``
No/UH --> no/UH
,/, --> ,/,
that/IN --> that/IN
we/PRP --> we/PRP
are/VBP --> be/VBP
not/RB --> not/RB
!/. --> !/.
Our/PRP$ --> we/PRP$
parents/NNS --> parent/NNS
are/VBP --> be/VBP
