<title>/IN --> IN/IN
110/CD --> 110/CD
The/DT --> the/DT
Jew/NNP --> Jew/NNP
Among/IN --> among/IN
Thorns/NNP --> Thorns/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
servant/NN --> servant/NN
who/WP --> who/WP
served/VBD --> serve/VBD
him/PRP --> he/PRP
diligently/RB --> diligently/RB
and/CC --> and/CC
honestly/RB --> honestly/RB
:/: --> :/:
He/PRP --> he/PRP
was/VBD --> be/VBD
every/DT --> every/DT
morning/NN --> morning/NN
the/DT --> the/DT
first/JJ --> first/JJ
out/IN --> out/IN
of/IN --> of/IN
bed/NN --> bed/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
last/JJ --> last/JJ
to/TO --> to/TO
go/VB --> go/VB
to/TO --> to/TO
rest/VB --> rest/VB
at/IN --> at/IN
night/NN --> night/NN
;/: --> ;/:
and/CC --> and/CC
,/, --> ,/,
whenever/WRB --> whenever/WRB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
difficult/JJ --> difficult/JJ
job/NN --> job/NN
to/TO --> to/TO
be/VB --> be/VB
done/VBN --> do/VBN
,/, --> ,/,
which/WDT --> which/WDT
nobody/NN --> nobody/NN
cared/VBD --> care/VBD
to/TO --> to/TO
undertake/VB --> undertake/VB
,/, --> ,/,
he/PRP --> he/PRP
was/VBD --> be/VBD
always/RB --> always/RB
the/DT --> the/DT
first/JJ --> first/JJ
to/TO --> to/TO
set/VB --> set/VB
himself/PRP --> himself/PRP
to/TO --> to/TO
it/PRP --> it/PRP
./. --> ./.
Moreover/RB --> moreover/RB
,/, --> ,/,
he/PRP --> he/PRP
never/RB --> never/RB
complained/VBD --> complain/VBD
,/, --> ,/,
but/CC --> but/CC
was/VBD --> be/VBD
contented/JJ --> contented/JJ
with/IN --> with/IN
everything/NN --> everything/NN
,/, --> ,/,
and/CC --> and/CC
always/RB --> always/RB
merry/NN --> merry/NN
./. --> ./.
When/WRB --> when/WRB
a/DT --> a/DT
year/NN --> year/NN
was/VBD --> be/VBD
ended/VBN --> end/VBN
,/, --> ,/,
his/PRP$ --> he/PRP$
master/NN --> master/NN
gave/VBD --> give/VBD
him/PRP --> he/PRP
no/DT --> no/DT
wages/NNS --> wages/NNS
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
``/`` --> ``/``
That/DT --> that/DT
