<title>/IN --> IN/IN
THE/DT --> the/DT
PEN/NNP --> PEN/NNP
AND/NNP --> AND/NNP
INKSTAND/NNP --> INKSTAND/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
the/DT --> the/DT
room/NN --> room/NN
of/IN --> of/IN
a/DT --> a/DT
poet/NN --> poet/NN
,/, --> ,/,
where/WRB --> where/WRB
his/PRP$ --> he/PRP$
inkstand/NN --> inkstand/NN
stood/VBD --> stand/VBD
upon/IN --> upon/IN
the/DT --> the/DT
table/NN --> table/NN
,/, --> ,/,
it/PRP --> it/PRP
was/VBD --> be/VBD
said/VBN --> say/VBN
,/, --> ,/,
``/`` --> ``/``
It/PRP --> it/PRP
is/VBZ --> be/VBZ
wonderful/JJ --> wonderful/JJ
what/WP --> what/WP
can/MD --> can/MD
come/VB --> come/VB
out/IN --> out/IN
of/IN --> of/IN
an/DT --> a/DT
inkstand/NN --> inkstand/NN
./. --> ./.
What/WP --> what/WP
will/MD --> will/MD
the/DT --> the/DT
next/JJ --> next/JJ
thing/NN --> thing/NN
be/VB --> be/VB
?/. --> ?/.
It/PRP --> it/PRP
is/VBZ --> be/VBZ
wonderful/JJ --> wonderful/JJ
!/. --> !/.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
certainly/RB --> certainly/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
Inkstand/NNP --> Inkstand/NNP
./. --> ./.
``/`` --> ``/``
It/PRP --> it/PRP
's/VBZ --> be/VBZ
extraordinary/JJ --> extraordinary/JJ
--/: --> --/:
that/DT --> that/DT
's/VBZ --> be/VBZ
what/WP --> what/WP
I/PRP --> I/PRP
always/RB --> always/RB
say/VBP --> say/VBP
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
exclaimed/VBD --> exclaim/VBD
to/TO --> to/TO
the/DT --> the/DT
pen/NN --> pen/NN
and/CC --> and/CC
to/TO --> to/TO
the/DT --> the/DT
other/JJ --> other/JJ
articles/NNS --> article/NNS
on/IN --> on/IN
the/DT --> the/DT
table/NN --> table/NN
that/WDT --> that/WDT
were/VBD --> be/VBD
near/IN --> near/IN
enough/JJ --> enough/JJ
to/TO --> to/TO
