<title>/IN --> IN/IN
54/CD --> 54/CD
The/DT --> the/DT
Knapsack/NNP --> Knapsack/NNP
,/, --> ,/,
the/DT --> the/DT
Hat/NNP --> Hat/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Horn/NNP --> Horn/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
were/VBD --> be/VBD
once/RB --> once/RB
three/CD --> three/CD
brothers/NNS --> brother/NNS
who/WP --> who/WP
had/VBD --> have/VBD
fallen/VBN --> fall/VBN
deeper/JJR --> deeper/JJR
and/CC --> and/CC
deeper/JJR --> deeper/JJR
into/IN --> into/IN
poverty/NN --> poverty/NN
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
last/JJ --> last/JJ
their/PRP$ --> they/PRP$
need/NN --> need/NN
was/VBD --> be/VBD
so/RB --> so/RB
great/JJ --> great/JJ
that/IN --> that/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
to/TO --> to/TO
endure/VB --> endure/VB
hunger/NN --> hunger/NN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
nothing/NN --> nothing/NN
to/TO --> to/TO
eat/VB --> eat/VB
or/CC --> or/CC
drink/VB --> drink/VB
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
they/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
We/PRP --> we/PRP
can/MD --> can/MD
not/RB --> not/RB
go/VB --> go/VB
on/IN --> on/IN
thus/RB --> thus/RB
,/, --> ,/,
we/PRP --> we/PRP
had/VBD --> have/VBD
better/RB --> better/RB
go/VB --> go/VB
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
and/CC --> and/CC
seek/VB --> seek/VB
our/PRP$ --> we/PRP$
fortune/NN --> fortune/NN
./. --> ./.
''/'' --> ''/''
They/PRP --> they/PRP
therefore/RB --> therefore/RB
set/VBD --> set/VBD
out/RP --> out/RP
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
already/RB --> already/RB
walked/VBN --> walk/VBN
over/IN --> over/IN
many/JJ --> many/JJ
a/DT --> a/DT
long/JJ --> long/JJ
road/NN --> road/NN
and/CC --> and/CC
many/JJ --> many/JJ
a/DT --> a/DT
blade/NN --> blade/NN
of/IN --> of/IN
grass/NN --> grass/NN
,/, --> ,/,
but/CC --> but/CC
had/VBD --> have/VBD
not/RB --> not/RB
yet/RB --> yet/RB
met/VBN --> meet/VBN
with/IN --> with/IN
good/JJ --> good/JJ
luck/NN --> luck/NN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
they/PRP --> they/PRP
arrived/VBD --> arrive/VBD
in/IN --> in/IN
a/DT --> a/DT
great/JJ --> great/JJ
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
the/DT --> the/DT
midst/NN --> midst/NN
of/IN --> of/IN
it/PRP --> it/PRP
was/VBD --> be/VBD
a/DT --> a/DT
hill/NN --> hill/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
they/PRP --> they/PRP
came/VBD --> come/VBD
nearer/IN --> nearer/IN
they/PRP --> they/PRP
saw/VBD --> see/VBD
that/IN --> that/IN
the/DT --> the/DT
hill/NN --> hill/NN
was/VBD --> be/VBD
all/DT --> all/DT
silver/NN --> silver/NN
./. --> ./.
Then/RB --> then/RB
spoke/VBD --> speak/VBD
the/DT --> the/DT
eldest/JJS --> eldest/JJS
,/, --> ,/,
``/`` --> ``/``
Now/RB --> now/RB
I/PRP --> I/PRP
have/VBP --> have/VBP
found/VBN --> find/VBN
the/DT --> the/DT
good/JJ --> good/JJ
luck/NN --> luck/NN
I/PRP --> I/PRP
wished/VBD --> wish/VBD
for/IN --> for/IN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
desire/VBP --> desire/VBP
nothing/NN --> nothing/NN
more/RBR --> more/RBR
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
took/VBD --> take/VBD
as/RB --> as/RB
