<title>/IN --> IN/IN
1/CD --> 1/CD
The/DT --> the/DT
Frog-King/NNP --> Frog-King/NNP
,/, --> ,/,
or/CC --> or/CC
Iron/NNP --> Iron/NNP
Henry/NNP --> Henry/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
old/JJ --> old/JJ
times/NNS --> time/NNS
when/WRB --> when/WRB
wishing/VBG --> wish/VBG
still/RB --> still/RB
helped/VBD --> help/VBD
one/CD --> one/CD
,/, --> ,/,
there/EX --> there/EX
lived/VBD --> live/VBD
a/DT --> a/DT
king/NN --> king/NN
whose/WP$ --> whose/WP$
daughters/NNS --> daughter/NNS
were/VBD --> be/VBD
all/DT --> all/DT
beautiful/JJ --> beautiful/JJ
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
youngest/JJS --> youngest/JJS
was/VBD --> be/VBD
so/RB --> so/RB
beautiful/JJ --> beautiful/JJ
that/IN --> that/IN
the/DT --> the/DT
sun/NN --> sun/NN
itself/PRP --> itself/PRP
,/, --> ,/,
which/WDT --> which/WDT
has/VBZ --> have/VBZ
seen/VBN --> see/VBN
so/RB --> so/RB
much/RB --> much/RB
,/, --> ,/,
was/VBD --> be/VBD
astonished/VBN --> astonish/VBN
whenever/WRB --> whenever/WRB
it/PRP --> it/PRP
shone/VBD --> shine/VBD
in/IN --> in/IN
her/PRP$ --> she/PRP$
face/NN --> face/NN
./. --> ./.
Close/JJ --> close/JJ
by/IN --> by/IN
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
castle/NN --> castle/NN
lay/VBD --> lay/VBD
a/DT --> a/DT
great/JJ --> great/JJ
dark/JJ --> dark/JJ
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
under/IN --> under/IN
an/DT --> a/DT
old/JJ --> old/JJ
lime-tree/NN --> lime-tree/NN
in/IN --> in/IN
the/DT --> the/DT
forest/NN --> forest/NN
was/VBD --> be/VBD
a/DT --> a/DT
well/RB --> well/RB
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
day/NN --> day/NN
was/VBD --> be/VBD
very/RB --> very/RB
warm/JJ --> warm/JJ
,/, --> ,/,
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
child/NN --> child/NN
went/VBD --> go/VBD
out/RB --> out/RB
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
and/CC --> and/CC
sat/VBD --> sit/VBD
down/RP --> down/RP
by/IN --> by/IN
the/DT --> the/DT
side/NN --> side/NN
of/IN --> of/IN
the/DT --> the/DT
cool/JJ --> cool/JJ
fountain/NN --> fountain/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
was/VBD --> be/VBD
dull/JJ --> dull/JJ
she/PRP --> she/PRP
took/VBD --> take/VBD
a/DT --> a/DT
golden/JJ --> golden/JJ
ball/NN --> ball/NN
,/, --> ,/,
and/CC --> and/CC
threw/VBD --> throw/VBD
it/PRP --> it/PRP
up/RP --> up/RP
on/IN --> on/IN
high/JJ --> high/JJ
and/CC --> and/CC
caught/VBD --> catch/VBD
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
this/DT --> this/DT
ball/NN --> ball/NN
was/VBD --> be/VBD
her/PRP$ --> she/PRP$
favorite/JJ --> favorite/JJ
plaything/NN --> plaything/NN
./. --> ./.
Now/RB --> now/RB
it/PRP --> it/PRP
so/RB --> so/RB
happened/VBD --> happen/VBD
that/IN --> that/IN
on/IN --> on/IN
one/CD --> one/CD
occasion/NN --> occasion/NN
the/DT --> the/DT
princess/NN --> princess/NN
's/POS --> 's/POS
golden/JJ --> golden/JJ
ball/NN --> ball/NN
did/VBD --> do/VBD
not/RB --> not/RB
fall/VB --> fall/VB
into/IN --> into/IN
the/DT --> the/DT
little/JJ --> little/JJ
hand/NN --> hand/NN
which/WDT --> which/WDT
she/PRP --> she/PRP
was/VBD --> be/VBD
holding/VBG --> hold/VBG
up/RP --> up/RP
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
but/CC --> but/CC
on/IN --> on/IN
to/TO --> to/TO
the/DT --> the/DT
ground/NN --> ground/NN
beyond/IN --> beyond/IN
,/, --> ,/,
and/CC --> and/CC
rolled/VBD --> roll/VBD
straight/RB --> straight/RB
into/IN --> into/IN
the/DT --> the/DT
water/NN --> water/NN
./. --> ./.
The/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
followed/VBD --> follow/VBD
it/PRP --> it/PRP
with/IN --> with/IN
her/PRP$ --> she/PRP$
eyes/NNS --> eye/NNS
,/, --> ,/,
but/CC --> but/CC
it/PRP --> it/PRP
vanished/VBD --> vanish/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
well/NN --> well/NN
was/VBD --> be/VBD
deep/JJ --> deep/JJ
,/, --> ,/,
so/RB --> so/RB
deep/JJ --> deep/JJ
that/IN --> that/IN
the/DT --> the/DT
bottom/NN --> bottom/NN
could/MD --> could/MD
not/RB --> not/RB
be/VB --> be/VB
seen/VBN --> see/VBN
./. --> ./.
On/IN --> on/IN
this/DT --> this/DT
she/PRP --> she/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
cry/VB --> cry/VB
,/, --> ,/,
and/CC --> and/CC
cried/VBD --> cry/VBD
louder/RBR --> louder/RBR
and/CC --> and/CC
louder/RBR --> louder/RBR
,/, --> ,/,
and/CC --> and/CC
could/MD --> could/MD
not/RB --> not/RB
be/VB --> be/VB
comforted/VBN --> comfort/VBN
./. --> ./.
And/CC --> and/CC
as/IN --> as/IN
she/PRP --> she/PRP
thus/RB --> thus/RB
lamented/VBD --> lament/VBD
some/DT --> some/DT
one/CD --> one/CD
said/VBD --> say/VBD
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
ails/NNS --> ail/NNS
thee/VBP --> thee/VBP
,/, --> ,/,
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
?/. --> ?/.
Thou/NNP --> Thou/NNP
weepest/JJS --> weepest/JJS
so/RB --> so/RB
that/IN --> that/IN
even/RB --> even/RB
a/DT --> a/DT
stone/NN --> stone/NN
would/MD --> would/MD
show/VB --> show/VB
pity/NN --> pity/NN
./. --> ./.
''/'' --> ''/''
She/PRP --> she/PRP
looked/VBD --> look/VBD
round/NN --> round/NN
to/TO --> to/TO
the/DT --> the/DT
side/NN --> side/NN
from/IN --> from/IN
whence/NN --> whence/NN
the/DT --> the/DT
voice/NN --> voice/NN
came/VBD --> come/VBD
,/, --> ,/,
and/CC --> and/CC
saw/VBD --> see/VBD
a/DT --> a/DT
frog/NN --> frog/NN
stretching/VBG --> stretch/VBG
forth/RB --> forth/RB
its/PRP$ --> its/PRP$
thick/JJ --> thick/JJ
,/, --> ,/,
ugly/JJ --> ugly/JJ
head/NN --> head/NN
from/IN --> from/IN
the/DT --> the/DT
water/NN --> water/NN
./. --> ./.
``/`` --> ``/``
Ah/UH --> ah/UH
!/. --> !/.
old/JJ --> old/JJ
water-splasher/NN --> water-splasher/NN
,/, --> ,/,
is/VBZ --> be/VBZ
it/PRP --> it/PRP
thou/VB --> thou/VB
?/. --> ?/.
''/'' --> ''/''
said/VBD --> say/VBD
she/PRP --> she/PRP
;/: --> ;/:
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
weeping/VBG --> weep/VBG
for/IN --> for/IN
my/PRP$ --> my/PRP$
golden/JJ --> golden/JJ
ball/NN --> ball/NN
,/, --> ,/,
which/WDT --> which/WDT
has/VBZ --> have/VBZ
fallen/VBN --> fall/VBN
into/IN --> into/IN
the/DT --> the/DT
well/NN --> well/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Be/VB --> be/VB
quiet/JJ --> quiet/JJ
,/, --> ,/,
and/CC --> and/CC
do/VBP --> do/VBP
not/RB --> not/RB
weep/NN --> weep/NN
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
frog/NN --> frog/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
can/MD --> can/MD
help/VB --> help/VB
thee/VB --> thee/VB
