<title>/IN --> IN/IN
40/CD --> 40/CD
The/DT --> the/DT
Robber/NNP --> Robber/NNP
Bridegroom/NNP --> Bridegroom/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
by/IN --> by/IN
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
miller/NN --> miller/NN
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
daughter/NN --> daughter/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
grown/VBN --> grow/VBN
up/RB --> up/RB
,/, --> ,/,
he/PRP --> he/PRP
wished/VBD --> wish/VBD
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
provided/VBN --> provide/VBN
for/IN --> for/IN
,/, --> ,/,
and/CC --> and/CC
well/RB --> well/RB
married/VBN --> marry/VBN
./. --> ./.
He/PRP --> he/PRP
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
any/DT --> any/DT
good/JJ --> good/JJ
suitor/NN --> suitor/NN
comes/VBZ --> come/VBZ
and/CC --> and/CC
asks/VBZ --> ask/VBZ
for/IN --> for/IN
her/PRP --> she/PRP
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
her/PRP$ --> she/PRP$
to/TO --> to/TO
him/PRP --> he/PRP
./. --> ./.
''/'' --> ''/''
Not/RB --> not/RB
long/RB --> long/RB
afterwards/RB --> afterwards/RB
,/, --> ,/,
a/DT --> a/DT
suitor/NN --> suitor/NN
came/VBD --> come/VBD
,/, --> ,/,
who/WP --> who/WP
appeared/VBD --> appear/VBD
to/TO --> to/TO
be/VB --> be/VB
very/RB --> very/RB
rich/JJ --> rich/JJ
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
the/DT --> the/DT
miller/NN --> miller/NN
had/VBD --> have/VBD
no/DT --> no/DT
fault/NN --> fault/NN
to/TO --> to/TO
find/VB --> find/VB
with/IN --> with/IN
him/PRP --> he/PRP
,/, --> ,/,
he/PRP --> he/PRP
promised/VBD --> promise/VBD
his/PRP$ --> he/PRP$
daughter/NN --> daughter/NN
to/TO --> to/TO
him/PRP --> he/PRP
./. --> ./.
The/DT --> the/DT
maiden/NN --> maiden/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
did/VBD --> do/VBD
not/RB --> not/RB
like/IN --> like/IN
him/PRP --> he/PRP
quite/RB --> quite/RB
so/RB --> so/RB
much/JJ --> much/JJ
as/IN --> as/IN
a/DT --> a/DT
girl/NN --> girl/NN
should/MD --> should/MD
like/VB --> like/VB
the/DT --> the/DT
man/NN --> man/NN
to/TO --> to/TO
whom/WP --> whom/WP
she/PRP --> she/PRP
is/VBZ --> be/VBZ
engaged/VBN --> engage/VBN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
no/DT --> no/DT
confidence/NN --> confidence/NN
in/IN --> in/IN
him/PRP --> he/PRP
./. --> ./.
Whenever/NNP --> Whenever/NNP
she/PRP --> she/PRP
saw/VBD --> see/VBD
,/, --> ,/,
or/CC --> or/CC
thought/NN --> thought/NN
of/IN --> of/IN
him/PRP --> he/PRP
,/, --> ,/,
she/PRP --> she/PRP
felt/VBD --> feel/VBD
a/DT --> a/DT
secret/JJ --> secret/JJ
horror/NN --> horror/NN
./. --> ./.
Once/RB --> once/RB
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
Thou/NNP --> Thou/NNP
art/NN --> art/NN
my/PRP$ --> my/PRP$
betrothed/JJ --> betrothed/JJ
,/, --> ,/,
and/CC --> and/CC
yet/RB --> yet/RB
thou/JJ --> thou/JJ
hast/NN --> hast/NN
never/RB --> never/RB
once/RB --> once/RB
paid/VBN --> pay/VBN
me/PRP --> I/PRP
a/DT --> a/DT
visit/NN --> visit/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
maiden/NN --> maiden/NN
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
know/VBP --> know/VBP
not/RB --> not/RB
where/WRB --> where/WRB
thy/JJ --> thy/JJ
house/NN --> house/NN
is/VBZ --> be/VBZ
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
bridegroom/NN --> bridegroom/NN
,/, --> ,/,
``/`` --> ``/``
My/PRP$ --> my/PRP$
house/NN --> house/NN
is/VBZ --> be/VBZ
out/IN --> out/IN
there/RB --> there/RB
in/IN --> in/IN
the/DT --> the/DT
dark/JJ --> dark/JJ
forest/NN --> forest/NN
./. --> ./.
''/'' --> ''/''
She/PRP --> she/PRP
tried/VBD --> try/VBD
to/TO --> to/TO
excuse/VB --> excuse/VB
herself/PRP --> herself/PRP
and/CC --> and/CC
said/VBD --> say/VBD
she/PRP --> she/PRP
could/MD --> could/MD
not/RB --> not/RB
find/VB --> find/VB
the/DT --> the/DT
way/NN --> way/NN
there/RB --> there/RB
./. --> ./.
The/DT --> the/DT
bridegroom/NN --> bridegroom/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Next/JJ --> next/JJ
Sunday/NNP --> Sunday/NNP
thou/NN --> thou/NN
must/MD --> must/MD
come/VB --> come/VB
out/RP --> out/RP
there/RB --> there/RB
to/TO --> to/TO
me/PRP --> I/PRP
;/: --> ;/:
I/PRP --> I/PRP
have/VBP --> have/VBP
already/RB --> already/RB
invited/VBN --> invite/VBN
the/DT --> the/DT
guests/NNS --> guest/NNS
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
strew/VB --> strew/VB
ashes/NNS --> ash/NNS
in/IN --> in/IN
order/NN --> order/NN
that/IN --> that/IN
thou/NN --> thou/NN
mayst/NN --> mayst/NN
find/VBP --> find/VBP
thy/JJ --> thy/JJ
way/NN --> way/NN
through/IN --> through/IN
the/DT --> the/DT
forest/NN --> forest/NN
./. --> ./.
''/'' --> ''/''
When/WRB --> when/WRB
Sunday/NNP --> Sunday/NNP
came/VBD --> come/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
maiden/NN --> maiden/NN
had/VBD --> have/VBD
to/TO --> to/TO
set/VB --> set/VB
out/RP --> out/RP
on/IN --> on/IN
her/PRP$ --> she/PRP$
way/NN --> way/NN
,/, --> ,/,
she/PRP --> she/PRP
became/VBD --> become/VBD
very/RB --> very/RB
uneasy/JJ --> uneasy/JJ
,/, --> ,/,
she/PRP --> she/PRP
herself/PRP --> herself/PRP
knew/VBD --> know/VBD
not/RB --> not/RB
exactly/RB --> exactly/RB
why/WRB --> why/WRB
,/, --> ,/,
and/CC --> and/CC
to/TO --> to/TO
mark/VB --> mark/VB
her/PRP$ --> she/PRP$
way/NN --> way/NN
she/PRP --> she/PRP
filled/VBD --> fill/VBD
both/DT --> both/DT
her/PRP$ --> she/PRP$
pockets/NNS --> pocket/NNS
full/JJ --> full/JJ
of/IN --> of/IN
peas/NNS --> pea/NNS
and/CC --> and/CC
lentils/NNS --> lentil/NNS
./. --> ./.
Ashes/NNS --> ash/NNS
were/VBD --> be/VBD
strewn/VBN --> strew/VBN
at/IN --> at/IN
the/DT --> the/DT
entrance/NN --> entrance/NN
of/IN --> of/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
these/DT --> these/DT
she/PRP --> she/PRP
followed/VBD --> follow/VBD
,/, --> ,/,
but/CC --> but/CC
at/IN --> at/IN
every/DT --> every/DT
step/NN --> step/NN
she/PRP --> she/PRP
threw/VBD --> throw/VBD
a/DT --> a/DT
couple/NN --> couple/NN
of/IN --> of/IN
peas/NNS --> pea/NNS
on/IN --> on/IN
the/DT --> the/DT
ground/NN --> ground/NN
./. --> ./.
She/PRP --> she/PRP
walked/VBD --> walk/VBD
almost/RB --> almost/RB
the/DT --> the/DT
whole/JJ --> whole/JJ
day/NN --> day/NN
until/IN --> until/IN
she/PRP --> she/PRP
reached/VBD --> reach/VBD
the/DT --> the/DT
middle/NN --> middle/NN
of/IN --> of/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
where/WRB --> where/WRB
it/PRP --> it/PRP
was/VBD --> be/VBD
the/DT --> the/DT
darkest/JJS --> darkest/JJS
,/, --> ,/,
and/CC --> and/CC
there/RB --> there/RB
stood/VBD --> stand/VBD
a/DT --> a/DT
solitary/JJ --> solitary/JJ
house/NN --> house/NN
,/, --> ,/,
which/WDT --> which/WDT
she/PRP --> she/PRP
did/VBD --> do/VBD
not/RB --> not/RB
like/IN --> like/IN
,/, --> ,/,
for/IN --> for/IN
it/PRP --> it/PRP
looked/VBD --> look/VBD
so/RB --> so/RB
dark/JJ --> dark/JJ
and/CC --> and/CC
dismal/JJ --> dismal/JJ
./. --> ./.
She/PRP --> she/PRP
went/VBD --> go/VBD
inside/IN --> inside/IN
it/PRP --> it/PRP
,/, --> ,/,
but/CC --> but/CC
no/DT --> no/DT
one/NN --> one/NN
was/VBD --> be/VBD
within/IN --> within/IN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
most/RBS --> most/RBS
absolute/JJ --> absolute/JJ
stillness/NN --> stillness/NN
reigned/VBN --> reign/VBN
./. --> ./.
Suddenly/RB --> suddenly/RB
a/DT --> a/DT
voice/NN --> voice/NN
cried/VBD --> cry/VBD
,/, --> ,/,
``/`` --> ``/``
Turn/NN --> turn/NN
back/RB --> back/RB
,/, --> ,/,
turn/VB --> turn/VB
back/RB --> back/RB
,/, --> ,/,
young/JJ --> young/JJ
maiden/NN --> maiden/NN
dear/RB --> dear/RB
,/, --> ,/,
`/`` --> `/``
Tis/VBZ --> ti/VBZ
a/DT --> a/DT
murderer/NN --> murderer/NN
's/POS --> 's/POS
house/NN --> house/NN
you/PRP --> you/PRP
enter/VBP --> enter/VBP
here/RB --> here/RB
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
maiden/NN --> maiden/NN
looked/VBD --> look/VBD
up/RP --> up/RP
,/, --> ,/,
and/CC --> and/CC
saw/VBD --> see/VBD
that/IN --> that/IN
the/DT --> the/DT
voice/NN --> voice/NN
came/VBD --> come/VBD
from/IN --> from/IN
a/DT --> a/DT
bird/NN --> bird/NN
,/, --> ,/,
which/WDT --> which/WDT
was/VBD --> be/VBD
hanging/VBG --> hang/VBG
in/IN --> in/IN
a/DT --> a/DT
cage/NN --> cage/NN
on/IN --> on/IN
the/DT --> the/DT
wall/NN --> wall/NN
./. --> ./.
Again/RB --> again/RB
it/PRP --> it/PRP
cried/VBD --> cry/VBD
,/, --> ,/,
``/`` --> ``/``
Turn/NN --> turn/NN
back/RB --> back/RB
,/, --> ,/,
turn/VB --> turn/VB
back/RB --> back/RB
,/, --> ,/,
young/JJ --> young/JJ
maiden/NN --> maiden/NN
dear/RB --> dear/RB
,/, --> ,/,
`/`` --> `/``
Tis/VBZ --> ti/VBZ
a/DT --> a/DT
murderer/NN --> murderer/NN
's/POS --> 's/POS
house/NN --> house/NN
you/PRP --> you/PRP
enter/VBP --> enter/VBP
here/RB --> here/RB
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
young/JJ --> young/JJ
maiden/NN --> maiden/NN
went/VBD --> go/VBD
on/IN --> on/IN
farther/RB --> farther/RB
from/IN --> from/IN
one/CD --> one/CD
room/NN --> room/NN
to/TO --> to/TO
another/DT --> another/DT
,/, --> ,/,
and/CC --> and/CC
walked/VBD --> walk/VBD
through/IN --> through/IN
the/DT --> the/DT
whole/JJ --> whole/JJ
house/NN --> house/NN
,/, --> ,/,
but/CC --> but/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
entirely/RB --> entirely/RB
empty/JJ --> empty/JJ
and/CC --> and/CC
not/RB --> not/RB
one/CD --> one/CD
human/JJ --> human/JJ
being/NN --> being/NN
was/VBD --> be/VBD
to/TO --> to/TO
be/VB --> be/VB
found/VBN --> find/VBN
./. --> ./.
At/IN --> at/IN
last/JJ --> last/JJ
she/PRP --> she/PRP
came/VBD --> come/VBD
to/TO --> to/TO
the/DT --> the/DT
the/DT --> the/DT
cellar/NN --> cellar/NN
