<title>/IN --> IN/IN
108/CD --> 108/CD
Hans/NNP --> Hans/NNP
the/DT --> the/DT
Hedgehog/NNP --> Hedgehog/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
THERE/NNP --> THERE/NNP
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
countryman/NN --> countryman/NN
who/WP --> who/WP
had/VBD --> have/VBD
money/NN --> money/NN
and/CC --> and/CC
land/NN --> land/NN
in/IN --> in/IN
plenty/NN --> plenty/NN
,/, --> ,/,
but/CC --> but/CC
how/WRB --> how/WRB
rich/JJ --> rich/JJ
soever/NN --> soever/NN
he/PRP --> he/PRP
was/VBD --> be/VBD
,/, --> ,/,
one/CD --> one/CD
thing/NN --> thing/NN
was/VBD --> be/VBD
still/RB --> still/RB
wanting/VBG --> want/VBG
in/IN --> in/IN
his/PRP$ --> he/PRP$
happiness/NN --> happiness/NN
he/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
children/NNS --> child/NNS
./. --> ./.
Often/RB --> often/RB
when/WRB --> when/WRB
he/PRP --> he/PRP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
town/NN --> town/NN
with/IN --> with/IN
the/DT --> the/DT
other/JJ --> other/JJ
peasants/NNS --> peasant/NNS
they/PRP --> they/PRP
mocked/VBD --> mock/VBD
him/PRP --> he/PRP
and/CC --> and/CC
asked/VBD --> ask/VBD
why/WRB --> why/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
children/NNS --> child/NNS
./. --> ./.
At/IN --> at/IN
last/JJ --> last/JJ
he/PRP --> he/PRP
became/VBD --> become/VBD
angry/JJ --> angry/JJ
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
got/VBD --> get/VBD
home/NN --> home/NN
he/PRP --> he/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
have/VB --> have/VB
a/DT --> a/DT
child/NN --> child/NN
,/, --> ,/,
even/RB --> even/RB
if/IN --> if/IN
it/PRP --> it/PRP
be/VB --> be/VB
a/DT --> a/DT
hedgehog/NN --> hedgehog/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
had/VBD --> have/VBD
a/DT --> a/DT
child/NN --> child/NN
,/, --> ,/,
that/WDT --> that/WDT
was/VBD --> be/VBD
a/DT --> a/DT
hedgehog/NN --> hedgehog/NN
in/IN --> in/IN
the/DT --> the/DT
upper/JJ --> upper/JJ
part/NN --> part/NN
of/IN --> of/IN
his/PRP$ --> he/PRP$
body/NN --> body/NN
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
boy/NN --> boy/NN
in/IN --> in/IN
the/DT --> the/DT
lower/JJR --> lower/JJR
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
saw/VBD --> see/VBD
the/DT --> the/DT
child/NN --> child/NN
,/, --> ,/,
she/PRP --> she/PRP
was/VBD --> be/VBD
terrified/VBN --> terrify/VBN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
See/NNP --> See/NNP
,/, --> ,/,
there/EX --> there/EX
thou/VBP --> thou/VBP
hast/NN --> hast/NN
brought/VBD --> bring/VBD
ill-luck/NN --> ill-luck/NN
on/IN --> on/IN
us/PRP --> we/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
can/MD --> can/MD
be/VB --> be/VB
done/VBN --> do/VBN
now/RB --> now/RB
?/. --> ?/.
The/DT --> the/DT
boy/NN --> boy/NN
must/MD --> must/MD
be/VB --> be/VB
christened/VBN --> christen/VBN
,/, --> ,/,
but/CC --> but/CC
we/PRP --> we/PRP
shall/MD --> shall/MD
not/RB --> not/RB
be/VB --> be/VB
able/JJ --> able/JJ
to/TO --> to/TO
get/VB --> get/VB
a/DT --> a/DT
godfather/NN --> godfather/NN
for/IN --> for/IN
him/PRP --> he/PRP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
woman/NN --> woman/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
And/CC --> and/CC
we/PRP --> we/PRP
can/MD --> can/MD
not/RB --> not/RB
call/VB --> call/VB
him/PRP --> he/PRP
anything/NN --> anything/NN
else/RB --> else/RB
but/CC --> but/CC
Hans/NNP --> Hans/NNP
the/DT --> the/DT
Hedgehog/NNP --> Hedgehog/NNP
./. --> ./.
''/'' --> ''/''
When/WRB --> when/WRB
he/PRP --> he/PRP
was/VBD --> be/VBD
christened/VBN --> christen/VBN
,/, --> ,/,
the/DT --> the/DT
parson/NN --> parson/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
He/PRP --> he/PRP
can/MD --> can/MD
not/RB --> not/RB
go/VB --> go/VB
into/IN --> into/IN
any/DT --> any/DT
ordinary/JJ --> ordinary/JJ
bed/NN --> bed/NN
because/IN --> because/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
spikes/NNS --> spike/NNS
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
a/DT --> a/DT
little/JJ --> little/JJ
straw/NN --> straw/NN
was/VBD --> be/VBD
put/VBN --> put/VBN
behind/IN --> behind/IN
the/DT --> the/DT
stove/NN --> stove/NN
,/, --> ,/,
and/CC --> and/CC
Hans/NNP --> Hans/NNP
the/DT --> the/DT
Hedgehog/NNP --> Hedgehog/NNP
was/VBD --> be/VBD
laid/VBN --> lay/VBN
on/IN --> on/IN
it/PRP --> it/PRP
./. --> ./.
His/PRP$ --> he/PRP$
mother/NN --> mother/NN
could/MD --> could/MD
not/RB --> not/RB
suckle/VB --> suckle/VB
him/PRP --> he/PRP
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
would/MD --> would/MD
have/VB --> have/VB
pricked/VBN --> prick/VBN
her/PRP$ --> she/PRP$
with/IN --> with/IN
his/PRP$ --> he/PRP$
quills/NNS --> quill/NNS
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
lay/VBD --> lay/VBD
there/EX --> there/EX
behind/IN --> behind/IN
the/DT --> the/DT
stove/NN --> stove/NN
for/IN --> for/IN
eight/CD --> eight/CD
years/NNS --> year/NNS
,/, --> ,/,
and/CC --> and/CC
his/PRP$ --> he/PRP$
father/NN --> father/NN
was/VBD --> be/VBD
tired/VBN --> tire/VBN
of/IN --> of/IN
him/PRP --> he/PRP
and/CC --> and/CC
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
he/PRP --> he/PRP
would/MD --> would/MD
but/CC --> but/CC
die/VB --> die/VB
!/. --> !/.
''/'' --> ''/''
He/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
die/VB --> die/VB
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
but/CC --> but/CC
remained/VBD --> remain/VBD
