<title>/IN --> IN/IN
THE/DT --> the/DT
WHITE/JJ --> white/JJ
HARE/NNS --> hare/NNS
AND/CC --> and/CC
THE/DT --> the/DT
CROCODILES/NNP --> CROCODILES/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Japanese/NNP --> Japanese/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Long/NNP --> Long/NNP
,/, --> ,/,
long/RB --> long/RB
ago/RB --> ago/RB
./. --> ./.
when/WRB --> when/WRB
all/PDT --> all/PDT
the/DT --> the/DT
animals/NNS --> animal/NNS
could/MD --> could/MD
talk/VB --> talk/VB
,/, --> ,/,
there/EX --> there/EX
lived/VBD --> live/VBD
in/IN --> in/IN
the/DT --> the/DT
province/NN --> province/NN
of/IN --> of/IN
Inaba/NNP --> Inaba/NNP
in/IN --> in/IN
Japan/NNP --> Japan/NNP
,/, --> ,/,
a/DT --> a/DT
little/JJ --> little/JJ
white/JJ --> white/JJ
hare/NN --> hare/NN
./. --> ./.
His/PRP$ --> he/PRP$
home/NN --> home/NN
was/VBD --> be/VBD
on/IN --> on/IN
the/DT --> the/DT
island/NN --> island/NN
of/IN --> of/IN
Oki/NNP --> Oki/NNP
,/, --> ,/,
and/CC --> and/CC
just/RB --> just/RB
across/IN --> across/IN
the/DT --> the/DT
sea/NN --> sea/NN
was/VBD --> be/VBD
the/DT --> the/DT
mainland/NN --> mainland/NN
of/IN --> of/IN
Inaba/NNP --> Inaba/NNP
./. --> ./.
Now/RB --> now/RB
the/DT --> the/DT
hare/NN --> hare/NN
wanted/VBD --> want/VBD
very/RB --> very/RB
much/JJ --> much/JJ
to/TO --> to/TO
cross/VB --> cross/VB
over/IN --> over/IN
to/TO --> to/TO
Inaba/NNP --> Inaba/NNP
./. --> ./.
Day/NNP --> Day/NNP
after/IN --> after/IN
day/NN --> day/NN
he/PRP --> he/PRP
would/MD --> would/MD
go/VB --> go/VB
out/RP --> out/RP
and/CC --> and/CC
sit/VB --> sit/VB
on/IN --> on/IN
the/DT --> the/DT
shore/NN --> shore/NN
and/CC --> and/CC
look/VB --> look/VB
longingly/RB --> longingly/RB
over/IN --> over/IN
the/DT --> the/DT
water/NN --> water/NN
in/IN --> in/IN
the/DT --> the/DT
direction/NN --> direction/NN
of/IN --> of/IN
Inaba/NNP --> Inaba/NNP
./. --> ./.
and/CC --> and/CC
day/NN --> day/NN
after/IN --> after/IN
day/NN --> day/NN
he/PRP --> he/PRP
hoped/VBD --> hope/VBD
to/TO --> to/TO
find/VB --> find/VB
some/DT --> some/DT
way/NN --> way/NN
of/IN --> of/IN
getting/VBG --> get/VBG
across/IN --> across/IN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
as/IN --> as/IN
usual/JJ --> usual/JJ
,/, --> ,/,
the/DT --> the/DT
hare/NN --> hare/NN
was/VBD --> be/VBD
standing/VBG --> stand/VBG
on/IN --> on/IN
the/DT --> the/DT
beach/NN --> beach/NN
,/, --> ,/,
looking/VBG --> look/VBG
towards/IN --> towards/IN
the/DT --> the/DT
mainland/NN --> mainland/NN
across/IN --> across/IN
the/DT --> the/DT
water/NN --> water/NN
,/, --> ,/,
when/WRB --> when/WRB
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
great/JJ --> great/JJ
crocodile/JJ --> crocodile/JJ
swimming/NN --> swimming/NN
near/IN --> near/IN
the/DT --> the/DT
island/NN --> island/NN
./. --> ./.
``/`` --> ``/``
This/DT --> this/DT
is/VBZ --> be/VBZ
very/RB --> very/RB
lucky/JJ --> lucky/JJ
!/. --> !/.
''/'' --> ''/''
thought/VBD --> think/VBD
the/DT --> the/DT
hare/NN --> hare/NN
./. --> ./.
``/`` --> ``/``
Now/RB --> now/RB
I/PRP --> I/PRP
shall/MD --> shall/MD
be/VB --> be/VB
able/JJ --> able/JJ
to/TO --> to/TO
get/VB --> get/VB
my/PRP$ --> my/PRP$
wish/NN --> wish/NN
./. --> ./.
I/PRP --> I/PRP
will/MD --> will/MD
ask/VB --> ask/VB
the/DT --> the/DT
crocodile/NN --> crocodile/NN
to/TO --> to/TO
carry/VB --> carry/VB
me/PRP --> I/PRP
across/IN --> across/IN
the/DT --> the/DT
sea/NN --> sea/NN
!/. --> !/.
''/'' --> ''/''
But/CC --> but/CC
he/PRP --> he/PRP
was/VBD --> be/VBD
doubtful/JJ --> doubtful/JJ
whether/IN --> whether/IN
the/DT --> the/DT
crocodile/NN --> crocodile/NN
would/MD --> would/MD
consent/VB --> consent/VB
to/TO --> to/TO
do/VB --> do/VB
what/WP --> what/WP
wanted/VBD --> want/VBD
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
thought/VBD --> think/VBD
instead/RB --> instead/RB
of/IN --> of/IN
asking/VBG --> ask/VBG
a/DT --> a/DT
favor/NN --> favor/NN
he/PRP --> he/PRP
would/MD --> would/MD
try/VB --> try/VB
to/TO --> to/TO
get/VB --> get/VB
what/WP --> what/WP
he/PRP --> he/PRP
wanted/VBD --> want/VBD
by/IN --> by/IN
a/DT --> a/DT
trick/NN --> trick/NN
./. --> ./.
So/RB --> so/RB
with/IN --> with/IN
a/DT --> a/DT
loud/JJ --> loud/JJ
voice/NN --> voice/NN
he/PRP --> he/PRP
called/VBD --> call/VBD
to/TO --> to/TO
the/DT --> the/DT
crocodile/NN --> crocodile/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
:/: --> :/:
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
Mr./NNP --> Mr./NNP
Crocodile/NNP --> Crocodile/NNP
,/, --> ,/,
is/VBZ --> be/VBZ
n't/RB --> not/RB
it/PRP --> it/PRP
a/DT --> a/DT
lovely/JJ --> lovely/JJ
day/NN --> day/NN
?/. --> ?/.
''/'' --> ''/''
The/DT --> the/DT
crocodile/NN --> crocodile/NN
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
come/VBN --> come/VBN
out/RP --> out/RP
all/DT --> all/DT
by/IN --> by/IN
itself/PRP --> itself/PRP
that/DT --> that/DT
day/NN --> day/NN
to/TO --> to/TO
enjoy/VB --> enjoy/VB
the/DT --> the/DT
bright/JJ --> bright/JJ
sunshine/NN --> sunshine/NN
,/, --> ,/,
was/VBD --> be/VBD
just/RB --> just/RB
beginning/VBG --> begin/VBG
to/TO --> to/TO
feel/VB --> feel/VB
a/DT --> a/DT
bit/NN --> bit/NN
lonely/JJ --> lonely/JJ
when/WRB --> when/WRB
the/DT --> the/DT
hare/NN --> hare/NN
's/POS --> 's/POS
cheerful/JJ --> cheerful/JJ
greeting/VBG --> greet/VBG
broke/VBD --> break/VBD
the/DT --> the/DT
silence/NN --> silence/NN
./. --> ./.
The/DT --> the/DT
crocodile/JJ --> crocodile/JJ
swam/NN --> swam/NN
nearer/IN --> nearer/IN
the/DT --> the/DT
shore/NN --> shore/NN
,/, --> ,/,
very/RB --> very/RB
pleased/JJ --> pleased/JJ
to/TO --> to/TO
hear/VB --> hear/VB
some/DT --> some/DT
one/CD --> one/CD
speak/VBP --> speak/VBP
./. --> ./.
``/`` --> ``/``
I/PRP --> I/PRP
wonder/VBP --> wonder/VBP
who/WP --> who/WP
it/PRP --> it/PRP
was/VBD --> be/VBD
that/IN --> that/IN
spoke/VBD --> speak/VBD
to/TO --> to/TO
me/PRP --> I/PRP
just/RB --> just/RB
now/RB --> now/RB
!/. --> !/.
Was/VBD --> be/VBD
it/PRP --> it/PRP
you/PRP --> you/PRP
,/, --> ,/,
Mr./NNP --> Mr./NNP
Hare/NNP --> Hare/NNP
?/. --> ?/.
You/PRP --> you/PRP
must/MD --> must/MD
be/VB --> be/VB
very/RB --> very/RB
lonely/JJ --> lonely/JJ
all/DT --> all/DT
by/IN --> by/IN
yourself/PRP --> yourself/PRP
!/. --> !/.
''/'' --> ''/''
``/`` --> ``/``
