<title>/NN --> NN/NN
2/CD --> 2/CD
Cat/NNP --> Cat/NNP
and/CC --> and/CC
Mouse/NNP --> Mouse/NNP
in/IN --> in/IN
Partnership/NNP --> Partnership/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
certain/JJ --> certain/JJ
cat/NN --> cat/NN
had/VBD --> have/VBD
made/VBN --> make/VBN
the/DT --> the/DT
acquaintance/NN --> acquaintance/NN
of/IN --> of/IN
a/DT --> a/DT
mouse/NN --> mouse/NN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
said/VBN --> say/VBN
so/RB --> so/RB
much/RB --> much/RB
to/TO --> to/TO
her/PRP$ --> she/PRP$
about/IN --> about/IN
the/DT --> the/DT
great/JJ --> great/JJ
love/NN --> love/NN
and/CC --> and/CC
friendship/NN --> friendship/NN
she/PRP --> she/PRP
felt/VBD --> feel/VBD
for/IN --> for/IN
her/PRP --> she/PRP
,/, --> ,/,
that/IN --> that/IN
at/IN --> at/IN
length/NN --> length/NN
the/DT --> the/DT
mouse/NN --> mouse/NN
agreed/VBD --> agree/VBD
that/IN --> that/IN
they/PRP --> they/PRP
should/MD --> should/MD
live/VB --> live/VB
and/CC --> and/CC
keep/VB --> keep/VB
house/NN --> house/NN
together/RB --> together/RB
./. --> ./.
``/`` --> ``/``
But/CC --> but/CC
we/PRP --> we/PRP
must/MD --> must/MD
make/VB --> make/VB
a/DT --> a/DT
provision/NN --> provision/NN
for/IN --> for/IN
winter/NN --> winter/NN
,/, --> ,/,
or/CC --> or/CC
else/RB --> else/RB
we/PRP --> we/PRP
shall/MD --> shall/MD
suffer/VB --> suffer/VB
from/IN --> from/IN
hunger/NN --> hunger/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
cat/NN --> cat/NN
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
you/PRP --> you/PRP
,/, --> ,/,
little/JJ --> little/JJ
mouse/NN --> mouse/NN
,/, --> ,/,
can/MD --> can/MD
not/RB --> not/RB
venture/VB --> venture/VB
everywhere/RB --> everywhere/RB
,/, --> ,/,
or/CC --> or/CC
you/PRP --> you/PRP
will/MD --> will/MD
be/VB --> be/VB
caught/VBN --> catch/VBN
in/IN --> in/IN
a/DT --> a/DT
trap/NN --> trap/NN
some/DT --> some/DT
day/NN --> day/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
good/JJ --> good/JJ
advice/NN --> advice/NN
was/VBD --> be/VBD
followed/VBN --> follow/VBN
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
pot/NN --> pot/NN
of/IN --> of/IN
fat/NN --> fat/NN
was/VBD --> be/VBD
bought/VBN --> buy/VBN
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
where/WRB --> where/WRB
to/TO --> to/TO
put/VB --> put/VB
it/PRP --> it/PRP
./. --> ./.
At/IN --> at/IN
length/NN --> length/NN
,/, --> ,/,
after/IN --> after/IN
much/JJ --> much/JJ
consideration/NN --> consideration/NN
,/, --> ,/,
the/DT --> the/DT
cat/NN --> cat/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
know/VBP --> know/VBP
no/DT --> no/DT
place/NN --> place/NN
where/WRB --> where/WRB
it/PRP --> it/PRP
will/MD --> will/MD
be/VB --> be/VB
better/JJR --> better/JJR
stored/VBD --> store/VBD
up/RP --> up/RP
than/IN --> than/IN
in/IN --> in/IN
the/DT --> the/DT
church/NN --> church/NN
,/, --> ,/,
for/IN --> for/IN
no/DT --> no/DT
one/CD --> one/CD
dares/VBZ --> dare/VBZ
take/VB --> take/VB
anything/NN --> anything/NN
away/RB --> away/RB
from/IN --> from/IN
there/RB --> there/RB
./. --> ./.
We/PRP --> we/PRP
will/MD --> will/MD
set/VB --> set/VB
it/PRP --> it/PRP
beneath/IN --> beneath/IN
the/DT --> the/DT
altar/NN --> altar/NN
,/, --> ,/,
and/CC --> and/CC
not/RB --> not/RB
touch/VB --> touch/VB
it/PRP --> it/PRP
until/IN --> until/IN
we/PRP --> we/PRP
are/VBP --> be/VBP
really/RB --> really/RB
in/IN --> in/IN
need/NN --> need/NN
of/IN --> of/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
the/DT --> the/DT
pot/NN --> pot/NN
was/VBD --> be/VBD
placed/VBN --> place/VBN
in/IN --> in/IN
safety/NN --> safety/NN
,/, --> ,/,
but/CC --> but/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
not/RB --> not/RB
long/RB --> long/RB
before/IN --> before/IN
the/DT --> the/DT
cat/NN --> cat/NN
had/VBD --> have/VBD
a/DT --> a/DT
great/JJ --> great/JJ
yearning/NN --> yearning/NN
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
mouse/NN --> mouse/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
want/VBP --> want/VBP
to/TO --> to/TO
tell/VB --> tell/VB
you/PRP --> you/PRP
something/NN --> something/NN
,/, --> ,/,
little/JJ --> little/JJ
mouse/NN --> mouse/NN
;/: --> ;/:
my/PRP$ --> my/PRP$
cousin/NN --> cousin/NN
has/VBZ --> have/VBZ
brought/VBN --> bring/VBN
a/DT --> a/DT
little/JJ --> little/JJ
son/NN --> son/NN
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
and/CC --> and/CC
has/VBZ --> have/VBZ
asked/VBN --> ask/VBN
me/PRP --> I/PRP
to/TO --> to/TO
be/VB --> be/VB
godmother/NN --> godmother/NN
;/: --> ;/:
he/PRP --> he/PRP
is/VBZ --> be/VBZ
white/JJ --> white/JJ
with/IN --> with/IN
brown/JJ --> brown/JJ
spots/NNS --> spot/NNS
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
am/VBP --> be/VBP
to/TO --> to/TO
hold/VB --> hold/VB
him/PRP --> he/PRP
over/IN --> over/IN
the/DT --> the/DT
font/NN --> font/NN
at/IN --> at/IN
the/DT --> the/DT
christening/NN --> christening/NN
./. --> ./.
Let/VB --> let/VB
me/PRP --> I/PRP
go/VB --> go/VB
out/RP --> out/RP
to-day/JJ --> to-day/JJ
,/, --> ,/,
and/CC --> and/CC
you/PRP --> you/PRP
look/VBP --> look/VBP
after/IN --> after/IN
the/DT --> the/DT
house/NN --> house/NN
by/IN --> by/IN
yourself/PRP --> yourself/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
mouse/NN --> mouse/NN
,/, --> ,/,
``/`` --> ``/``
by/IN --> by/IN
all/DT --> all/DT
means/NNS --> means/NNS
go/VBP --> go/VBP
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
you/PRP --> you/PRP
get/VBP --> get/VBP
anything/NN --> anything/NN
very/RB --> very/RB
good/JJ --> good/JJ
,/, --> ,/,
think/VB --> think/VB
of/IN --> of/IN
me/PRP --> I/PRP
,/, --> ,/,
I/PRP --> I/PRP
should/MD --> should/MD
like/VB --> like/VB
a/DT --> a/DT
drop/NN --> drop/NN
of/IN --> of/IN
sweet/JJ --> sweet/JJ
red/JJ --> red/JJ
christening/NN --> christening/NN
wine/NN --> wine/NN
too/RB --> too/RB
./. --> ./.
''/'' --> ''/''
All/PDT --> all/PDT
this/DT --> this/DT
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
was/VBD --> be/VBD
untrue/JJ --> untrue/JJ
;/: --> ;/:
the/DT --> the/DT
cat/NN --> cat/NN
had/VBD --> have/VBD
no/DT --> no/DT
cousin/NN --> cousin/NN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
not/RB --> not/RB
been/VBN --> be/VBN
asked/VBN --> ask/VBN
to/TO --> to/TO
be/VB --> be/VB
godmother/NN --> godmother/NN
./. --> ./.
She/PRP --> she/PRP
went/VBD --> go/VBD
straight/RB --> straight/RB
to/TO --> to/TO
the/DT --> the/DT
church/NN --> church/NN
,/, --> ,/,
stole/VBD --> steal/VBD
to/TO --> to/TO
the/DT --> the/DT
pot/NN --> pot/NN
of/IN --> of/IN
fat/JJ --> fat/JJ
,/, --> ,/,
began/VBD --> begin/VBD
to/TO --> to/TO
lick/VB --> lick/VB
at/IN --> at/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
licked/VBD --> lick/VBD
the/DT --> the/DT
top/NN --> top/NN
of/IN --> of/IN
the/DT --> the/DT
fat/NN --> fat/NN
off/RP --> off/RP
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
took/VBD --> take/VBD
a/DT --> a/DT
walk/NN --> walk/NN
upon/IN --> upon/IN
the/DT --> the/DT
roofs/NNS --> roof/NNS
of/IN --> of/IN
the/DT --> the/DT
town/NN --> town/NN
,/, --> ,/,
looked/VBD --> look/VBD
out/RP --> out/RP
for/IN --> for/IN
opportunities/NNS --> opportunity/NNS
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
stretched/VBD --> stretch/VBD
herself/PRP --> herself/PRP
in/IN --> in/IN
the/DT --> the/DT
