<title>/IN --> IN/IN
76/CD --> 76/CD
The/DT --> the/DT
Pink/NNP --> Pink/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
Queen/NNP --> Queen/NNP
to/TO --> to/TO
whom/WP --> whom/WP
God/NNP --> God/NNP
had/VBD --> have/VBD
given/VBN --> give/VBN
no/DT --> no/DT
children/NNS --> child/NNS
./. --> ./.
Every/DT --> every/DT
morning/NN --> morning/NN
she/PRP --> she/PRP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
garden/NN --> garden/NN
and/CC --> and/CC
prayed/VBD --> pray/VBD
to/TO --> to/TO
God/NNP --> God/NNP
in/IN --> in/IN
heaven/NN --> heaven/NN
to/TO --> to/TO
bestow/VB --> bestow/VB
on/IN --> on/IN
her/PRP$ --> she/PRP$
a/DT --> a/DT
son/NN --> son/NN
or/CC --> or/CC
a/DT --> a/DT
daughter/NN --> daughter/NN
./. --> ./.
Then/RB --> then/RB
an/DT --> a/DT
angel/NN --> angel/NN
from/IN --> from/IN
heaven/NN --> heaven/NN
came/VBD --> come/VBD
to/TO --> to/TO
her/PRP$ --> she/PRP$
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Be/VB --> be/VB
at/IN --> at/IN
rest/NN --> rest/NN
,/, --> ,/,
thou/NN --> thou/NN
shalt/NN --> shalt/NN
have/VBP --> have/VBP
a/DT --> a/DT
son/NN --> son/NN
with/IN --> with/IN
the/DT --> the/DT
power/NN --> power/NN
of/IN --> of/IN
wishing/VBG --> wish/VBG
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
whatsoever/RB --> whatsoever/RB
in/IN --> in/IN
the/DT --> the/DT
world/NN --> world/NN
he/PRP --> he/PRP
wishes/VBZ --> wish/VBZ
for/IN --> for/IN
,/, --> ,/,
that/IN --> that/IN
shall/MD --> shall/MD
he/PRP --> he/PRP
have/VB --> have/VB
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
she/PRP --> she/PRP
went/VBD --> go/VBD
to/TO --> to/TO
the/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
and/CC --> and/CC
told/VBD --> tell/VBD
him/PRP --> he/PRP
the/DT --> the/DT
joyful/JJ --> joyful/JJ
tidings/NNS --> tiding/NNS
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
time/NN --> time/NN
was/VBD --> be/VBD
come/VBN --> come/VBN
she/PRP --> she/PRP
gave/VBD --> give/VBD
