<title>/IN --> IN/IN
67/CD --> 67/CD
The/DT --> the/DT
Twelve/NNP --> Twelve/NNP
Huntsmen/NNP --> Huntsmen/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
King/NNP --> King/NNP
's/POS --> 's/POS
son/NN --> son/NN
who/WP --> who/WP
was/VBD --> be/VBD
betrothed/VBN --> betroth/VBN
to/TO --> to/TO
a/DT --> a/DT
maiden/NN --> maiden/NN
whom/WP --> whom/WP
he/PRP --> he/PRP
loved/VBD --> love/VBD
very/RB --> very/RB
much/JJ --> much/JJ
./. --> ./.
And/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
beside/IN --> beside/IN
her/PRP$ --> she/PRP$
and/CC --> and/CC
very/RB --> very/RB
happy/JJ --> happy/JJ
,/, --> ,/,
news/NN --> news/NN
came/VBD --> come/VBD
that/IN --> that/IN
his/PRP$ --> he/PRP$
father/NN --> father/NN
lay/VBD --> lay/VBD
sick/JJ --> sick/JJ
unto/JJ --> unto/JJ
death/NN --> death/NN
,/, --> ,/,
and/CC --> and/CC
desired/VBD --> desire/VBD
to/TO --> to/TO
see/VB --> see/VB
him/PRP --> he/PRP
once/RB --> once/RB
again/RB --> again/RB
before/IN --> before/IN
his/PRP$ --> he/PRP$
end/NN --> end/NN
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
his/PRP$ --> he/PRP$
beloved/JJ --> beloved/JJ
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
must/MD --> must/MD
now/RB --> now/RB
go/VB --> go/VB
and/CC --> and/CC
leave/VB --> leave/VB
thee/NN --> thee/NN
,/, --> ,/,
I/PRP --> I/PRP
give/VBP --> give/VBP
thee/VB --> thee/VB
a/DT --> a/DT
ring/NN --> ring/NN
as/IN --> as/IN
a/DT --> a/DT
remembrance/NN --> remembrance/NN
of/IN --> of/IN
me/PRP --> I/PRP
./. --> ./.
When/WRB --> when/WRB
I/PRP --> I/PRP
am/VBP --> be/VBP
King/NNP --> King/NNP
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
return/VB --> return/VB
and/CC --> and/CC
fetch/VB --> fetch/VB
thee/NN --> thee/NN
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
he/PRP --> he/PRP
rode/VBD --> ride/VBD
away/RB --> away/RB
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
reached/VBD --> reach/VBD
his/PRP$ --> he/PRP$
father/NN --> father/NN
,/, --> ,/,
the/DT --> the/DT
latter/NN --> latter/NN
was/VBD --> be/VBD
dangerously/RB --> dangerously/RB
ill/JJ --> ill/JJ
,/, --> ,/,
and/CC --> and/CC
near/IN --> near/IN
his/PRP$ --> he/PRP$
death/NN --> death/NN
./. --> ./.
He/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Dear/JJ --> dear/JJ
son/NN --> son/NN
,/, --> ,/,
I/PRP --> I/PRP
wished/VBD --> wish/VBD
to/TO --> to/TO
see/VB --> see/VB
thee/NN --> thee/NN
once/RB --> once/RB
again/RB --> again/RB
before/IN --> before/IN
my/PRP$ --> my/PRP$
end/NN --> end/NN
,/, --> ,/,
promise/VBP --> promise/VBP
me/PRP --> I/PRP
to/TO --> to/TO
marry/VB --> marry/VB
as/IN --> as/IN
I/PRP --> I/PRP
wish/VBP --> wish/VBP
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
he/PRP --> he/PRP
named/VBD --> name/VBD
a/DT --> a/DT
certain/JJ --> certain/JJ
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
who/WP --> who/WP
was/VBD --> be/VBD
to/TO --> to/TO
be/VB --> be/VB
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
./. --> ./.
The/DT --> the/DT
son/NN --> son/NN
was/VBD --> be/VBD
in/IN --> in/IN
such/JJ --> such/JJ
trouble/NN --> trouble/NN
that/IN --> that/IN
he/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
think/VB --> think/VB
what/WP --> what/WP
he/PRP --> he/PRP
was/VBD --> be/VBD
doing/VBG --> do/VBG
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Yes/UH --> yes/UH
,/, --> ,/,
dear/RB --> dear/RB
father/NN --> father/NN
,/, --> ,/,
your/PRP$ --> you/PRP$
will/MD --> will/MD
shall/MD --> shall/MD
be/VB --> be/VB
done/VBN --> do/VBN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
thereupon/VB --> thereupon/VB
the/DT --> the/DT
King/NNP --> King/NNP
shut/VBD --> shut/VBD
his/PRP$ --> he/PRP$
eyes/NNS --> eye/NNS
,/, --> ,/,
and/CC --> and/CC
died/VBD --> die/VBD
./. --> ./.
When/WRB --> when/WRB
therefore/RB --> therefore/RB
the/DT --> the/DT
son/NN --> son/NN
had/VBD --> have/VBD
been/VBN --> be/VBN
proclaimed/VBN --> proclaim/VBN
King/NNP --> King/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
time/NN --> time/NN
of/IN --> of/IN
mourning/VBG --> mourn/VBG
was/VBD --> be/VBD
over/IN --> over/IN
,/, --> ,/,
he/PRP --> he/PRP
was/VBD --> be/VBD
forced/VBN --> force/VBN
to/TO --> to/TO
keep/VB --> keep/VB
the/DT --> the/DT
promise/NN --> promise/NN
which/WDT --> which/WDT
he/PRP --> he/PRP
had/VBD --> have/VBD
given/VBN --> give/VBN
his/PRP$ --> he/PRP$
father/NN --> father/NN
,/, --> ,/,
and/CC --> and/CC
caused/VBD --> cause/VBD
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
to/TO --> to/TO
be/VB --> be/VB
asked/VBN --> ask/VBN
in/IN --> in/IN
marriage/NN --> marriage/NN
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
was/VBD --> be/VBD
promised/VBN --> promise/VBN
to/TO --> to/TO
him/PRP --> he/PRP
./. --> ./.
His/PRP$ --> he/PRP$
first/JJ --> first/JJ
betrothed/VBD --> betroth/VBD
heard/VBN --> hear/VBN
of/IN --> of/IN
this/DT --> this/DT
,/, --> ,/,
and/CC --> and/CC
fretted/VBD --> fret/VBD
so/RB --> so/RB
much/JJ --> much/JJ
about/IN --> about/IN
his/PRP$ --> he/PRP$
faithlessness/NN --> faithlessness/NN
that/IN --> that/IN
she/PRP --> she/PRP
nearly/RB --> nearly/RB
died/VBD --> die/VBD
./. --> ./.
Then/RB --> then/RB
her/PRP$ --> she/PRP$
father/NN --> father/NN
said/VBD --> say/VBD
to/TO --> to/TO
her/PRP --> she/PRP
,/, --> ,/,
``/`` --> ``/``
Dearest/JJS --> dearest/JJS
child/NN --> child/NN
,/, --> ,/,
why/WRB --> why/WRB
art/NN --> art/NN
thou/NN --> thou/NN
so/RB --> so/RB
sad/JJ --> sad/JJ
?/. --> ?/.
Thou/NNP --> Thou/NNP
shalt/NN --> shalt/NN
have/VBP --> have/VBP
whatsoever/RB --> whatsoever/RB
thou/JJ --> thou/JJ
wilt/NN --> wilt/NN
./. --> ./.
''/'' --> ''/''
She/PRP --> she/PRP
thought/VBD --> think/VBD
for/IN --> for/IN
