<title>/IN --> IN/IN
THE/DT --> the/DT
FIFTH/NNP --> FIFTH/NNP
VOYAGE/NNP --> VOYAGE/NNP
OF/IN --> of/IN
SINBAD/NNP --> SINBAD/NNP
THE/DT --> the/DT
SAILOR/NNP --> SAILOR/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Arabian/NNP --> Arabian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
The/DT --> the/DT
pleasures/NNS --> pleasure/NNS
I/PRP --> I/PRP
enjoyed/VBD --> enjoy/VBD
again/RB --> again/RB
had/VBN --> have/VBN
charm/NN --> charm/NN
enough/RB --> enough/RB
to/TO --> to/TO
make/VB --> make/VB
me/PRP --> I/PRP
forget/VB --> forget/VB
all/PDT --> all/PDT
the/DT --> the/DT
troubles/NNS --> trouble/NNS
and/CC --> and/CC
calamities/NNS --> calamity/NNS
I/PRP --> I/PRP
had/VBD --> have/VBD
undergone/VBN --> undergo/VBN
,/, --> ,/,
without/IN --> without/IN
curing/VBG --> cure/VBG
me/PRP --> I/PRP
of/IN --> of/IN
my/PRP$ --> my/PRP$
inclination/NN --> inclination/NN
to/TO --> to/TO
make/VB --> make/VB
new/JJ --> new/JJ
voyages/NNS --> voyage/NNS
./. --> ./.
Therefore/RB --> therefore/RB
I/PRP --> I/PRP
bought/VBD --> buy/VBD
goods/NNS --> goods/NNS
,/, --> ,/,
ordered/VBD --> order/VBD
them/PRP --> they/PRP
to/TO --> to/TO
be/VB --> be/VB
packed/VBN --> pack/VBN
up/RP --> up/RP
and/CC --> and/CC
loaded/VBN --> load/VBN
,/, --> ,/,
and/CC --> and/CC
set/VBN --> set/VBN
out/RP --> out/RP
with/IN --> with/IN
them/PRP --> they/PRP
for/IN --> for/IN
the/DT --> the/DT
best/JJS --> best/JJS
seaport/NN --> seaport/NN
;/: --> ;/:
and/CC --> and/CC
there/RB --> there/RB
,/, --> ,/,
that/IN --> that/IN
I/PRP --> I/PRP
might/MD --> might/MD
not/RB --> not/RB
be/VB --> be/VB
obliged/VBN --> oblige/VBN
to/TO --> to/TO
depend/VB --> depend/VB
upon/IN --> upon/IN
a/DT --> a/DT
captain/NN --> captain/NN
,/, --> ,/,
but/CC --> but/CC
have/VBP --> have/VBP
a/DT --> a/DT
ship/NN --> ship/NN
at/IN --> at/IN
my/PRP$ --> my/PRP$
own/JJ --> own/JJ
command/NN --> command/NN
,/, --> ,/,
I/PRP --> I/PRP
waited/VBD --> wait/VBD
till/IN --> till/IN
one/CD --> one/CD
was/VBD --> be/VBD
built/VBN --> build/VBN
on/IN --> on/IN
purpose/NN --> purpose/NN
at/IN --> at/IN
my/PRP$ --> my/PRP$
own/JJ --> own/JJ
expense/NN --> expense/NN
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
ship/NN --> ship/NN
was/VBD --> be/VBD
ready/JJ --> ready/JJ
,/, --> ,/,
I/PRP --> I/PRP
went/VBD --> go/VBD
on/IN --> on/IN
board/NN --> board/NN
with/IN --> with/IN
my/PRP$ --> my/PRP$
goods/NNS --> goods/NNS
;/: --> ;/:
but/CC --> but/CC
not/RB --> not/RB
having/VBG --> have/VBG
enough/RB --> enough/RB
to/TO --> to/TO
load/VB --> load/VB
her/PRP --> she/PRP
,/, --> ,/,
I/PRP --> I/PRP
took/VBD --> take/VBD
on/IN --> on/IN
board/NN --> board/NN
with/IN --> with/IN
me/PRP --> I/PRP
several/JJ --> several/JJ
merchants/NNS --> merchant/NNS
of/IN --> of/IN
different/JJ --> different/JJ
nations/NNS --> nation/NNS
,/, --> ,/,
with/IN --> with/IN
their/PRP$ --> they/PRP$
merchandise/NN --> merchandise/NN
./. --> ./.
We/PRP --> we/PRP
sailed/VBD --> sail/VBD
with/IN --> with/IN
the/DT --> the/DT
first/JJ --> first/JJ
fair/JJ --> fair/JJ
wind/NN --> wind/NN
,/, --> ,/,
and/CC --> and/CC
after/IN --> after/IN
a/DT --> a/DT
long/JJ --> long/JJ
voyage/NN --> voyage/NN
,/, --> ,/,
the/DT --> the/DT
first/JJ --> first/JJ
place/NN --> place/NN
we/PRP --> we/PRP
touched/VBD --> touch/VBD
at/IN --> at/IN
was/VBD --> be/VBD
a/DT --> a/DT
desert/NN --> desert/NN
island/NN --> island/NN
,/, --> ,/,
where/WRB --> where/WRB
we/PRP --> we/PRP
found/VBD --> find/VBD
an/DT --> a/DT
egg/NN --> egg/NN
of/IN --> of/IN
a/DT --> a/DT
roc/NN --> roc/NN
,/, --> ,/,
equal/JJ --> equal/JJ
in/IN --> in/IN
size/NN --> size/NN
to/TO --> to/TO
that/IN --> that/IN
I/PRP --> I/PRP
formerly/RB --> formerly/RB
mentioned/VBD --> mention/VBD
./. --> ./.
There/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
young/JJ --> young/JJ
roc/NN --> roc/NN
in/IN --> in/IN
it/PRP --> it/PRP
just/RB --> just/RB
ready/JJ --> ready/JJ
to/TO --> to/TO
be/VB --> be/VB
hatched/VBN --> hatch/VBN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
bill/NN --> bill/NN
of/IN --> of/IN
it/PRP --> it/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
appear/VB --> appear/VB
./. --> ./.
The/DT --> the/DT
merchants/NNS --> merchant/NNS
whom/WP --> whom/WP
I/PRP --> I/PRP
had/VBD --> have/VBD
taken/VBN --> take/VBN
on/IN --> on/IN
board/NN --> board/NN
my/PRP$ --> my/PRP$
ship/NN --> ship/NN
,/, --> ,/,
and/CC --> and/CC
who/WP --> who/WP
landed/VBD --> land/VBD
with/IN --> with/IN
me/PRP --> I/PRP
,/, --> ,/,
broke/VBD --> break/VBD
the/DT --> the/DT
egg/NN --> egg/NN
with/IN --> with/IN
hatchets/NNS --> hatchet/NNS
,/, --> ,/,
and/CC --> and/CC
made/VBD --> make/VBD
a/DT --> a/DT
hole/NN --> hole/NN
in/IN --> in/IN
it/PRP --> it/PRP
,/, --> ,/,
from/IN --> from/IN
whence/NN --> whence/NN
they/PRP --> they/PRP
pulled/VBD --> pull/VBD
out/RP --> out/RP
the/DT --> the/DT
young/JJ --> young/JJ
roc/NN --> roc/NN
piece/NN --> piece/NN
by/IN --> by/IN
piece/NN --> piece/NN
,/, --> ,/,
and/CC --> and/CC
roasted/JJ --> roasted/JJ
it/PRP --> it/PRP
./. --> ./.
I/PRP --> I/PRP
had/VBD --> have/VBD
earnestly/RB --> earnestly/RB
persuaded/VBN --> persuade/VBN
them/PRP --> they/PRP
not/RB --> not/RB
to/TO --> to/TO
meddle/VB --> meddle/VB
with/IN --> with/IN
the/DT --> the/DT
egg/NN --> egg/NN
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
would/MD --> would/MD
not/RB --> not/RB
listen/VB --> listen/VB
to/TO --> to/TO
me/PRP --> I/PRP
./. --> ./.
Scarcely/RB --> scarcely/RB
had/VBD --> have/VBD
they/PRP --> they/PRP
made/VBD --> make/VBD
an/DT --> a/DT
