<title>/IN --> IN/IN
THE/DT --> the/DT
CHARMED/NNP --> CHARMED/NNP
RING/NNP --> RING/NNP
</title>/VBD --> VBD/VBD
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
A/DT --> a/DT
merchant/NN --> merchant/NN
started/VBD --> start/VBD
his/PRP$ --> he/PRP$
son/NN --> son/NN
in/IN --> in/IN
life/NN --> life/NN
with/IN --> with/IN
three/CD --> three/CD
hundred/CD --> hundred/CD
rupees/NNS --> rupee/NNS
,/, --> ,/,
and/CC --> and/CC
bade/VB --> bid/VB
him/PRP --> he/PRP
go/VB --> go/VB
to/TO --> to/TO
another/DT --> another/DT
country/NN --> country/NN
and/CC --> and/CC
try/VB --> try/VB
his/PRP$ --> he/PRP$
luck/NN --> luck/NN
in/IN --> in/IN
trade/NN --> trade/NN
./. --> ./.
The/DT --> the/DT
son/NN --> son/NN
took/VBD --> take/VBD
the/DT --> the/DT
money/NN --> money/NN
and/CC --> and/CC
departed/VBD --> depart/VBD
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
not/RB --> not/RB
gone/VBN --> go/VBN
far/RB --> far/RB
before/IN --> before/IN
he/PRP --> he/PRP
came/VBD --> come/VBD
across/IN --> across/IN
some/DT --> some/DT
herdsmen/NNS --> herdsman/NNS
quarrelling/VBG --> quarrel/VBG
over/IN --> over/IN
a/DT --> a/DT
dog/NN --> dog/NN
,/, --> ,/,
that/IN --> that/IN
some/DT --> some/DT
of/IN --> of/IN
them/PRP --> they/PRP
wished/VBD --> wish/VBD
to/TO --> to/TO
kill/VB --> kill/VB
./. --> ./.
``/`` --> ``/``
Please/VB --> please/VB
do/VB --> do/VB
not/RB --> not/RB
kill/VB --> kill/VB
the/DT --> the/DT
dog/NN --> dog/NN
,/, --> ,/,
''/'' --> ''/''
pleaded/VBD --> plead/VBD
the/DT --> the/DT
young/JJ --> young/JJ
and/CC --> and/CC
tender-hearted/JJ --> tender-hearted/JJ
fellow/NN --> fellow/NN
;/: --> ;/:
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
you/PRP --> you/PRP
one/CD --> one/CD
hundred/CD --> hundred/CD
rupees/NNS --> rupee/NNS
for/IN --> for/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
and/CC --> and/CC
there/RB --> there/RB
,/, --> ,/,
of/IN --> of/IN
course/NN --> course/NN
,/, --> ,/,
the/DT --> the/DT
bargain/NN --> bargain/NN
was/VBD --> be/VBD
concluded/VBN --> conclude/VBN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
foolish/JJ --> foolish/JJ
fellow/NN --> fellow/NN
took/VBD --> take/VBD
the/DT --> the/DT
dog/NN --> dog/NN
,/, --> ,/,
and/CC --> and/CC
continued/VBD --> continue/VBD
his/PRP$ --> he/PRP$
journey/NN --> journey/NN
./. --> ./.
He/PRP --> he/PRP
next/RB --> next/RB
met/VBD --> meet/VBD
with/IN --> with/IN
some/DT --> some/DT
people/NNS --> people/NNS
fighting/VBG --> fight/VBG
about/IN --> about/IN
a/DT --> a/DT
cat/NN --> cat/NN
./. --> ./.
Some/DT --> some/DT
of/IN --> of/IN
them/PRP --> they/PRP
wanted/VBD --> want/VBD
to/TO --> to/TO
kill/VB --> kill/VB
it/PRP --> it/PRP
,/, --> ,/,
but/CC --> but/CC
others/NNS --> other/NNS
not/RB --> not/RB
./. --> ./.
``/`` --> ``/``
Oh/UH --> oh/UH
!/. --> !/.
please/VB --> please/VB
do/VB --> do/VB
not/RB --> not/RB
kill/VB --> kill/VB
it/PRP --> it/PRP
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
;/: --> ;/:
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
you/PRP --> you/PRP
one/CD --> one/CD
hundred/CD --> hundred/CD
rupees/NNS --> rupee/NNS
for/IN --> for/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
Of/IN --> of/IN
course/NN --> course/NN
they/PRP --> they/PRP
at/IN --> at/IN
once/RB --> once/RB
gave/VBD --> give/VBD
him/PRP --> he/PRP
the/DT --> the/DT
cat/NN --> cat/NN
and/CC --> and/CC
took/VBD --> take/VBD
the/DT --> the/DT
money/NN --> money/NN
./. --> ./.
He/PRP --> he/PRP
went/VBD --> go/VBD
on/IN --> on/IN
till/IN --> till/IN
he/PRP --> he/PRP
reached/VBD --> reach/VBD
a/DT --> a/DT
village/NN --> village/NN
,/, --> ,/,
where/WRB --> where/WRB
some/DT --> some/DT
folk/NN --> folk/NN
were/VBD --> be/VBD
quarrelling/VBG --> quarrel/VBG
over/IN --> over/IN
a/DT --> a/DT
snake/NN --> snake/NN
that/WDT --> that/WDT
had/VBD --> have/VBD
just/RB --> just/RB
been/VBN --> be/VBN
caught/VBN --> catch/VBN
./. --> ./.
Some/DT --> some/DT
of/IN --> of/IN
them/PRP --> they/PRP
wished/VBD --> wish/VBD
to/TO --> to/TO
kill/VB --> kill/VB
it/PRP --> it/PRP
,/, --> ,/,
but/CC --> but/CC
others/NNS --> other/NNS
did/VBD --> do/VBD
not/RB --> not/RB
./. --> ./.
``/`` --> ``/``
Please/VB --> please/VB
do/VB --> do/VB
not/RB --> not/RB
kill/VB --> kill/VB
the/DT --> the/DT
snake/NN --> snake/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
;/: --> ;/:
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
you/PRP --> you/PRP
one/CD --> one/CD
hundred/CD --> hundred/CD
rupees/NNS --> rupee/NNS
./. --> ./.
''/'' --> ''/''
Of/IN --> of/IN
course/NN --> course/NN
the/DT --> the/DT
people/NNS --> people/NNS
agreed/VBD --> agree/VBD
,/, --> ,/,
and/CC --> and/CC
were/VBD --> be/VBD
highly/RB --> highly/RB
delighted/JJ --> delighted/JJ
./. --> ./.
What/WP --> what/WP
a/DT --> a/DT
fool/NN --> fool/NN
the/DT --> the/DT
fellow/NN --> fellow/NN
was/VBD --> be/VBD
!/. --> !/.
What/WP --> what/WP
would/MD --> would/MD
he/PRP --> he/PRP
do/VB --> do/VB
now/RB --> now/RB
that/IN --> that/IN
all/DT --> all/DT
his/PRP$ --> he/PRP$
money/NN --> money/NN
was/VBD --> be/VBD
gone/VBN --> go/VBN
?/. --> ?/.
What/WP --> what/WP
could/MD --> could/MD
he/PRP --> he/PRP
do/VB --> do/VB
except/IN --> except/IN
return/NN --> return/NN
to/TO --> to/TO
his/PRP$ --> he/PRP$
father/NN --> father/NN
?/. --> ?/.
Accordingly/RB --> accordingly/RB
he/PRP --> he/PRP
went/VBD --> go/VBD
home/NN --> home/NN
./. --> ./.
``/`` --> ``/``
You/PRP --> you/PRP
fool/VBP --> fool/VBP
!/. --> !/.
You/PRP --> you/PRP
scamp/VBP --> scamp/VBP
!/. --> !/.
''/'' --> ''/''
exclaimed/VBD --> exclaim/VBD
his/PRP$ --> he/PRP$
father/NN --> father/NN
when/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
heard/VBN --> hear/VBN
how/WRB --> how/WRB
