<title>/JJ --> JJ/JJ
FATTY/NNP --> FATTY/NNP
GROWS/NNP --> GROWS/NNP
EVEN/NNP --> EVEN/NNP
FATTER/NNP --> FATTER/NNP
</title>/VBD --> VBD/VBD
<author>/NNP --> NNP/NNP
Arthur/NNP --> Arthur/NNP
Scott/NNP --> Scott/NNP
Bailey/NNP --> Bailey/NNP
</author>/NNP --> NNP/NNP
When/WRB --> when/WRB
Fatty/NNP --> Fatty/NNP
Coon/NNP --> Coon/NNP
's/POS --> 's/POS
burned/JJ --> burned/JJ
feet/NNS --> foot/NNS
were/VBD --> be/VBD
well/RB --> well/RB
once/RB --> once/RB
more/RBR --> more/RBR
,/, --> ,/,
the/DT --> the/DT
very/RB --> very/RB
first/JJ --> first/JJ
night/NN --> night/NN
he/PRP --> he/PRP
left/VBD --> leave/VBD
his/PRP$ --> he/PRP$
mother/NN --> mother/NN
's/POS --> 's/POS
house/NN --> house/NN
he/PRP --> he/PRP
went/VBD --> go/VBD
straight/RB --> straight/RB
to/TO --> to/TO
the/DT --> the/DT
loggers/NNS --> logger/NNS
'/POS --> '/POS
camp/NN --> camp/NN
./. --> ./.
He/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
wait/VB --> wait/VB
long/RB --> long/RB
after/IN --> after/IN
dark/NN --> dark/NN
,/, --> ,/,
because/IN --> because/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
afraid/JJ --> afraid/JJ
that/IN --> that/IN
some/DT --> some/DT
of/IN --> of/IN
his/PRP$ --> he/PRP$
neighbors/NNS --> neighbor/NNS
might/MD --> might/MD
have/VB --> have/VB
found/VBN --> find/VBN
that/IN --> that/IN
there/EX --> there/EX
were/VBD --> be/VBD
good/JJ --> good/JJ
things/NNS --> thing/NNS
to/TO --> to/TO
eat/VB --> eat/VB
about/IN --> about/IN
the/DT --> the/DT
camp/NN --> camp/NN
./. --> ./.
And/CC --> and/CC
Fatty/NNP --> Fatty/NNP
wanted/VBD --> want/VBD
them/PRP --> they/PRP
all/DT --> all/DT
./. --> ./.
To/TO --> to/TO
his/PRP$ --> he/PRP$
delight/NN --> delight/NN
,/, --> ,/,
there/EX --> there/EX
were/VBD --> be/VBD
goodies/NNS --> goody/NNS
almost/RB --> almost/RB
without/IN --> without/IN
end/NN --> end/NN
./. --> ./.
He/PRP --> he/PRP
nosed/VBD --> nose/VBD
about/RB --> about/RB
,/, --> ,/,
picking/VBG --> pick/VBG
up/RP --> up/RP
potato/NN --> potato/NN
peelings/NNS --> peeling/NNS
,/, --> ,/,
and/CC --> and/CC
bits/NNS --> bit/NNS
of/IN --> of/IN
bacon/NN --> bacon/NN
./. --> ./.
And/CC --> and/CC
perhaps/RB --> perhaps/RB
the/DT --> the/DT
best/JJS --> best/JJS
of/IN --> of/IN
all/DT --> all/DT
was/VBD --> be/VBD
a/DT --> a/DT
piece/NN --> piece/NN
of/IN --> of/IN
cornbread/NN --> cornbread/NN
,/, --> ,/,
which/WDT --> which/WDT
Fatty/NNP --> Fatty/NNP
fairly/RB --> fairly/RB
gobbled/VBD --> gobble/VBD
./. --> ./.
And/CC --> and/CC
then/RB --> then/RB
he/PRP --> he/PRP
found/VBD --> find/VBD
a/DT --> a/DT
box/NN --> box/NN
half-full/NN --> half-full/NN
of/IN --> of/IN
something/NN --> something/NN
--/: --> --/:
scraps/NNS --> scrap/NNS
that/WDT --> that/WDT
tasted/VBD --> taste/VBD
like/IN --> like/IN
apples/NNS --> apple/NNS
,/, --> ,/,
only/RB --> only/RB
they/PRP --> they/PRP
were/VBD --> be/VBD
not/RB --> not/RB
round/VB --> round/VB
like/IN --> like/IN
apples/NNS --> apple/NNS
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
were/VBD --> be/VBD
quite/RB --> quite/RB
dry/JJ --> dry/JJ
,/, --> ,/,
instead/RB --> instead/RB
of/IN --> of/IN
being/VBG --> be/VBG
juicy/NN --> juicy/NN
./. --> ./.
But/CC --> but/CC
Fatty/NNP --> Fatty/NNP
liked/VBD --> like/VBD
them/PRP --> they/PRP
;/: --> ;/:
and/CC --> and/CC
he/PRP --> he/PRP
ate/VBD --> eat/VBD
them/PRP --> they/PRP
all/DT --> all/DT
,/, --> ,/,
down/RB --> down/RB
