<title>/IN --> IN/IN
7/CD --> 7/CD
The/DT --> the/DT
Good/JJ --> good/JJ
Bargain/NN --> bargain/NN
</title>/NN --> NN/NN
<author>/NNP --> NNP/NNP
Brothers/NNP --> Brothers/NNP
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
peasant/NN --> peasant/NN
who/WP --> who/WP
had/VBD --> have/VBD
driven/VBN --> drive/VBN
his/PRP$ --> he/PRP$
cow/NN --> cow/NN
to/TO --> to/TO
the/DT --> the/DT
fair/JJ --> fair/JJ
,/, --> ,/,
and/CC --> and/CC
sold/VBD --> sell/VBD
her/PRP$ --> she/PRP$
for/IN --> for/IN
seven/CD --> seven/CD
thalers/NNS --> thaler/NNS
./. --> ./.
On/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
home/NN --> home/NN
he/PRP --> he/PRP
had/VBD --> have/VBD
to/TO --> to/TO
pass/VB --> pass/VB
a/DT --> a/DT
pond/NN --> pond/NN
,/, --> ,/,
and/CC --> and/CC
already/RB --> already/RB
from/IN --> from/IN
afar/NN --> afar/NN
he/PRP --> he/PRP
heard/VBD --> hear/VBD
the/DT --> the/DT
frogs/NNS --> frog/NNS
crying/VBG --> cry/VBG
,/, --> ,/,
``/`` --> ``/``
Aik/NNP --> Aik/NNP
,/, --> ,/,
aik/NN --> aik/NN
,/, --> ,/,
aik/NN --> aik/NN
,/, --> ,/,
aik/NN --> aik/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Well/RB --> well/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
``/`` --> ``/``
they/PRP --> they/PRP
are/VBP --> be/VBP
talking/VBG --> talk/VBG
without/IN --> without/IN
rhyme/NN --> rhyme/NN
or/CC --> or/CC
reason/NN --> reason/NN
,/, --> ,/,
it/PRP --> it/PRP
is/VBZ --> be/VBZ
seven/CD --> seven/CD
that/IN --> that/IN
