<title>/IN --> IN/IN
81/CD --> 81/CD
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
one/CD --> one/CD
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
great/JJ --> great/JJ
war/NN --> war/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
it/PRP --> it/PRP
came/VBD --> come/VBD
to/TO --> to/TO
an/DT --> a/DT
end/NN --> end/NN
,/, --> ,/,
many/JJ --> many/JJ
soldiers/NNS --> soldier/NNS
were/VBD --> be/VBD
discharged/VBN --> discharge/VBN
./. --> ./.
Then/RB --> then/RB
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
also/RB --> also/RB
received/VBD --> receive/VBD
his/PRP$ --> he/PRP$
dismissal/NN --> dismissal/NN
,/, --> ,/,
and/CC --> and/CC
besides/IN --> besides/IN
that/DT --> that/DT
,/, --> ,/,
nothing/NN --> nothing/NN
but/CC --> but/CC
a/DT --> a/DT
small/JJ --> small/JJ
loaf/NN --> loaf/NN
of/IN --> of/IN
contract-bread/NN --> contract-bread/NN
,/, --> ,/,
and/CC --> and/CC
four/CD --> four/CD
kreuzers/NNS --> kreuzer/NNS
in/IN --> in/IN
money/NN --> money/NN
,/, --> ,/,
with/IN --> with/IN
which/WDT --> which/WDT
he/PRP --> he/PRP
departed/VBD --> depart/VBD
./. --> ./.
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
had/VBD --> have/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
placed/VBD --> place/VBD
himself/PRP --> himself/PRP
in/IN --> in/IN
his/PRP$ --> he/PRP$
way/NN --> way/NN
in/IN --> in/IN
the/DT --> the/DT
shape/NN --> shape/NN
of/IN --> of/IN
a/DT --> a/DT
poor/JJ --> poor/JJ
beggar/NN --> beggar/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
came/VBD --> come/VBD
up/RP --> up/RP
,/, --> ,/,
he/PRP --> he/PRP
begged/VBD --> beg/VBD
alms/NNS --> alms/NNS
of/IN --> of/IN
him/PRP --> he/PRP
./. --> ./.
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
Dear/JJ --> dear/JJ
beggar-man/NN --> beggar-man/NN
,/, --> ,/,
what/WP --> what/WP
am/VBP --> be/VBP
I/PRP --> I/PRP
to/TO --> to/TO
give/VB --> give/VB
you/PRP --> you/PRP
?/. --> ?/.
I/PRP --> I/PRP
have/VBP --> have/VBP
been/VBN --> be/VBN
a/DT --> a/DT
soldier/NN --> soldier/NN
,/, --> ,/,
and/CC --> and/CC
have/VBP --> have/VBP
received/VBN --> receive/VBN
my/PRP$ --> my/PRP$
dismissal/NN --> dismissal/NN
,/, --> ,/,
and/CC --> and/CC
have/VBP --> have/VBP
nothing/NN --> nothing/NN
but/CC --> but/CC
this/DT --> this/DT
little/JJ --> little/JJ
loaf/NN --> loaf/NN
of/IN --> of/IN
contract-bread/NN --> contract-bread/NN
,/, --> ,/,
and/CC --> and/CC
four/CD --> four/CD
kreuzers/NNS --> kreuzer/NNS
of/IN --> of/IN
money/NN --> money/NN
;/: --> ;/:
when/WRB --> when/WRB
that/DT --> that/DT
is/VBZ --> be/VBZ
gone/VBN --> go/VBN
,/, --> ,/,
I/PRP --> I/PRP
shall/MD --> shall/MD
have/VB --> have/VB
to/TO --> to/TO
beg/VB --> beg/VB
as/RB --> as/RB
well/RB --> well/RB
as/IN --> as/IN
you/PRP --> you/PRP
./. --> ./.
Still/RB --> still/RB
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
you/PRP --> you/PRP
something/NN --> something/NN
./. --> ./.
''/'' --> ''/''
Thereupon/NNP --> Thereupon/NNP
he/PRP --> he/PRP
divided/VBD --> divide/VBD
the/DT --> the/DT
loaf/NN --> loaf/NN
into/IN --> into/IN
four/CD --> four/CD
parts/NNS --> part/NNS
,/, --> ,/,
and/CC --> and/CC
gave/VBD --> give/VBD
the/DT --> the/DT
apostle/NN --> apostle/NN
one/CD --> one/CD
of/IN --> of/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
kreuzer/NN --> kreuzer/NN
likewise/RB --> likewise/RB
./. --> ./.
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
thanked/VBD --> thank/VBD
him/PRP --> he/PRP
,/, --> ,/,
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
,/, --> ,/,
and/CC --> and/CC
threw/VBD --> throw/VBD
himself/PRP --> himself/PRP
again/RB --> again/RB
in/IN --> in/IN
the/DT --> the/DT
soldier/NN --> soldier/NN
's/POS --> 's/POS
way/NN --> way/NN
as/IN --> as/IN
a/DT --> a/DT
beggar/NN --> beggar/NN
,/, --> ,/,
but/CC --> but/CC
in/IN --> in/IN
another/DT --> another/DT
shape/NN --> shape/NN
;/: --> ;/:
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
came/VBD --> come/VBD
up/RP --> up/RP
begged/VBD --> beg/VBD
a/DT --> a/DT
gift/NN --> gift/NN
of/IN --> of/IN
him/PRP --> he/PRP
as/IN --> as/IN
before/RB --> before/RB
./. --> ./.
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
spoke/VBD --> speak/VBD
as/IN --> as/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
done/VBN --> do/VBN
before/RB --> before/RB
,/, --> ,/,
and/CC --> and/CC
again/RB --> again/RB
gave/VBD --> give/VBD
him/PRP --> he/PRP
a/DT --> a/DT
quarter/NN --> quarter/NN
of/IN --> of/IN
the/DT --> the/DT
loaf/NN --> loaf/NN
and/CC --> and/CC
one/CD --> one/CD
kreuzer/NN --> kreuzer/NN
./. --> ./.
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
thanked/VBD --> thank/VBD
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
,/, --> ,/,
but/CC --> but/CC
for/IN --> for/IN
the/DT --> the/DT
third/JJ --> third/JJ
time/NN --> time/NN
placed/VBD --> place/VBD
himself/PRP --> himself/PRP
in/IN --> in/IN
another/DT --> another/DT
shape/NN --> shape/NN
as/IN --> as/IN
a/DT --> a/DT
beggar/NN --> beggar/NN
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
,/, --> ,/,
and/CC --> and/CC
spoke/VBD --> speak/VBD
to/TO --> to/TO
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
./. --> ./.
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
gave/VBD --> give/VBD
him/PRP --> he/PRP
also/RB --> also/RB
the/DT --> the/DT
third/JJ --> third/JJ
quarter/NN --> quarter/NN
of/IN --> of/IN
bread/NN --> bread/NN
and/CC --> and/CC
the/DT --> the/DT
third/JJ --> third/JJ
kreuzer/NN --> kreuzer/NN
./. --> ./.
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
thanked/VBD --> thank/VBD
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
but/CC --> but/CC
a/DT --> a/DT
quarter/NN --> quarter/NN
of/IN --> of/IN
the/DT --> the/DT
loaf/NN --> loaf/NN
,/, --> ,/,
and/CC --> and/CC
one/CD --> one/CD
kreuzer/NN --> kreuzer/NN
./. --> ./.
With/IN --> with/IN
that/IN --> that/IN
he/PRP --> he/PRP
went/VBD --> go/VBD
into/IN --> into/IN
an/DT --> a/DT
inn/NN --> inn/NN
,/, --> ,/,
ate/VBD --> eat/VBD
the/DT --> the/DT
bread/NN --> bread/NN
,/, --> ,/,
and/CC --> and/CC
ordered/VBD --> order/VBD
one/CD --> one/CD
kreuzer/NN --> kreuzer/NN
's/POS --> 's/POS
worth/NN --> worth/NN
of/IN --> of/IN
beer/NN --> beer/NN
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
had/VBN --> have/VBN
it/PRP --> it/PRP
,/, --> ,/,
he/PRP --> he/PRP
journeyed/VBD --> journey/VBD
onwards/NNS --> onward/NNS
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
assumed/VBN --> assume/VBN
the/DT --> the/DT
appearance/NN --> appearance/NN
of/IN --> of/IN
a/DT --> a/DT
discharged/VBN --> discharge/VBN
soldier/NN --> soldier/NN
,/, --> ,/,
met/VBD --> meet/VBD
and/CC --> and/CC
spoke/VBD --> speak/VBD
to/TO --> to/TO
him/PRP --> he/PRP
thus/RB --> thus/RB
:/: --> :/:
``/`` --> ``/``
Good/JJ --> good/JJ
day/NN --> day/NN
,/, --> ,/,
comrade/NN --> comrade/NN
,/, --> ,/,
canst/NN --> canst/NN
thou/NN --> thou/NN
not/RB --> not/RB
give/VB --> give/VB
me/PRP --> I/PRP
a/DT --> a/DT
bit/NN --> bit/NN
of/IN --> of/IN
bread/NN --> bread/NN
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
kreuzer/NN --> kreuzer/NN
to/TO --> to/TO
get/VB --> get/VB
a/DT --> a/DT
drink/NN --> drink/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Where/WRB --> where/WRB
am/VBP --> be/VBP
I/PRP --> I/PRP
to/TO --> to/TO
procure/VB --> procure/VB
it/PRP --> it/PRP
?/. --> ?/.
''/'' --> ''/''
answered/VBN --> answer/VBN
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
;/: --> ;/:
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
been/VBN --> be/VBN
discharged/VBN --> discharge/VBN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
got/VBD --> get/VBD
nothing/NN --> nothing/NN
but/CC --> but/CC
a/DT --> a/DT
loaf/NN --> loaf/NN
of/IN --> of/IN
ammunition-bread/JJ --> ammunition-bread/JJ
and/CC --> and/CC
four/CD --> four/CD
kreuzers/NNS --> kreuzer/NNS
in/IN --> in/IN
money/NN --> money/NN
./. --> ./.
I/PRP --> I/PRP
met/VBD --> meet/VBD
three/CD --> three/CD
beggars/NNS --> beggar/NNS
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
gave/VBD --> give/VBD
each/DT --> each/DT
of/IN --> of/IN
them/PRP --> they/PRP
a/DT --> a/DT
quarter/NN --> quarter/NN
of/IN --> of/IN
my/PRP$ --> my/PRP$
bread/NN --> bread/NN
,/, --> ,/,
and/CC --> and/CC
one/CD --> one/CD
kreuzer/NN --> kreuzer/NN
./. --> ./.
The/DT --> the/DT
last/JJ --> last/JJ
quarter/NN --> quarter/NN
I/PRP --> I/PRP
ate/VBD --> eat/VBD
in/IN --> in/IN
the/DT --> the/DT
inn/NN --> inn/NN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
a/DT --> a/DT
drink/NN --> drink/NN
with/IN --> with/IN
the/DT --> the/DT
last/JJ --> last/JJ
kreuzer/NN --> kreuzer/NN
./. --> ./.
Now/RB --> now/RB
my/PRP$ --> my/PRP$
pockets/NNS --> pocket/NNS
are/VBP --> be/VBP
empty/JJ --> empty/JJ
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
thou/NN --> thou/NN
also/RB --> also/RB
hast/VBD --> hast/VBD
nothing/NN --> nothing/NN
we/PRP --> we/PRP
can/MD --> can/MD
go/VB --> go/VB
a-begging/JJ --> a-begging/JJ
together/RB --> together/RB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
No/DT --> no/DT
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
,/, --> ,/,
``/`` --> ``/``
we/PRP --> we/PRP
need/VBP --> need/VBP
not/RB --> not/RB
quite/RB --> quite/RB
do/VB --> do/VB
that/DT --> that/DT
./. --> ./.
I/PRP --> I/PRP
know/VBP --> know/VBP
a/DT --> a/DT
little/JJ --> little/JJ
about/IN --> about/IN
medicine/NN --> medicine/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
soon/RB --> soon/RB
earn/VB --> earn/VB
as/RB --> as/RB
much/JJ --> much/JJ
as/IN --> as/IN
I/PRP --> I/PRP
require/VBP --> require/VBP
by/IN --> by/IN
that/DT --> that/DT
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Indeed/RB --> indeed/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
know/VBP --> know/VBP
nothing/NN --> nothing/NN
of/IN --> of/IN
that/DT --> that/DT
,/, --> ,/,
so/IN --> so/IN
I/PRP --> I/PRP
must/MD --> must/MD
go/VB --> go/VB
and/CC --> and/CC
beg/VB --> beg/VB
alone/RB --> alone/RB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Just/RB --> just/RB
come/VBN --> come/VBN
with/IN --> with/IN
me/PRP --> I/PRP
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
if/IN --> if/IN
I/PRP --> I/PRP
earn/VBP --> earn/VBP
anything/NN --> anything/NN
,/, --> ,/,
thou/NN --> thou/NN
shalt/NN --> shalt/NN
have/VBP --> have/VBP
half/NN --> half/NN
of/IN --> of/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
All/DT --> all/DT
right/NN --> right/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
,/, --> ,/,
so/IN --> so/IN
they/PRP --> they/PRP
went/VBD --> go/VBD
away/RB --> away/RB
together/RB --> together/RB
./. --> ./.
Then/RB --> then/RB
they/PRP --> they/PRP
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
peasant/NN --> peasant/NN
's/POS --> 's/POS
house/NN --> house/NN
inside/IN --> inside/IN
which/WDT --> which/WDT
they/PRP --> they/PRP
heard/VBD --> hear/VBD
loud/JJ --> loud/JJ
lamentations/NNS --> lamentation/NNS
and/CC --> and/CC
cries/VBZ --> cry/VBZ
;/: --> ;/:
so/IN --> so/IN
they/PRP --> they/PRP
went/VBD --> go/VBD
in/IN --> in/IN
,/, --> ,/,
and/CC --> and/CC
there/EX --> there/EX
the/DT --> the/DT
husband/NN --> husband/NN
was/VBD --> be/VBD
lying/VBG --> lie/VBG
sick/JJ --> sick/JJ
unto/JJ --> unto/JJ
death/NN --> death/NN
,/, --> ,/,
and/CC --> and/CC
very/RB --> very/RB
near/IN --> near/IN
his/PRP$ --> he/PRP$
end/NN --> end/NN
,/, --> ,/,
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
was/VBD --> be/VBD
crying/VBG --> cry/VBG
and/CC --> and/CC
weeping/VBG --> weep/VBG
quite/RB --> quite/RB
loudly/RB --> loudly/RB
./. --> ./.
``/`` --> ``/``
Stop/NN --> stop/NN
that/IN --> that/IN
howling/VBG --> howl/VBG
and/CC --> and/CC
crying/VBG --> cry/VBG
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
make/VB --> make/VB
the/DT --> the/DT
man/NN --> man/NN
well/RB --> well/RB
again/RB --> again/RB
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
he/PRP --> he/PRP
took/VBD --> take/VBD
a/DT --> a/DT
salve/NN --> salve/NN
out/IN --> out/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
pocket/NN --> pocket/NN
,/, --> ,/,
and/CC --> and/CC
healed/VBD --> heal/VBD
the/DT --> the/DT
sick/JJ --> sick/JJ
man/NN --> man/NN
in/IN --> in/IN
a/DT --> a/DT
moment/NN --> moment/NN
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
he/PRP --> he/PRP
could/MD --> could/MD
get/VB --> get/VB
up/RP --> up/RP
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
in/IN --> in/IN
perfect/JJ --> perfect/JJ
health/NN --> health/NN
./. --> ./.
In/IN --> in/IN
great/JJ --> great/JJ
delight/NN --> delight/NN
the/DT --> the/DT
man/NN --> man/NN
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
How/WRB --> how/WRB
can/MD --> can/MD
we/PRP --> we/PRP
reward/VB --> reward/VB
you/PRP --> you/PRP
?/. --> ?/.
What/WP --> what/WP
shall/MD --> shall/MD
we/PRP --> we/PRP
give/VB --> give/VB
you/PRP --> you/PRP
?/. --> ?/.
''/'' --> ''/''
But/CC --> but/CC
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
would/MD --> would/MD
take/VB --> take/VB
nothing/NN --> nothing/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
more/JJR --> more/JJR
the/DT --> the/DT
peasant/NN --> peasant/NN
folks/NNS --> folk/NNS
offered/VBD --> offer/VBD
him/PRP --> he/PRP
,/, --> ,/,
the/DT --> the/DT
more/RBR --> more/RBR
he/PRP --> he/PRP
refused/VBD --> refuse/VBD
./. --> ./.
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
nudged/VBD --> nudge/VBD
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Take/VB --> take/VB
something/NN --> something/NN
;/: --> ;/:
sure/JJ --> sure/JJ
enough/JJ --> enough/JJ
we/PRP --> we/PRP
are/VBP --> be/VBP
in/IN --> in/IN
need/NN --> need/NN
of/IN --> of/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
At/IN --> at/IN
length/NN --> length/NN
the/DT --> the/DT
woman/NN --> woman/NN
brought/VBD --> bring/VBD
a/DT --> a/DT
lamb/NN --> lamb/NN
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
that/IN --> that/IN
he/PRP --> he/PRP
really/RB --> really/RB
must/MD --> must/MD
take/VB --> take/VB
that/DT --> that/DT
,/, --> ,/,
but/CC --> but/CC
he/PRP --> he/PRP
would/MD --> would/MD
not/RB --> not/RB
./. --> ./.
Then/RB --> then/RB
Brother/NNP --> Brother/NNP
Lustig/NNP --> Lustig/NNP
gave/VBD --> give/VBD
him/PRP --> he/PRP
a/DT --> a/DT
poke/NN --> poke/NN
in/IN --> in/IN
the/DT --> the/DT
side/NN --> side/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Do/VBP --> do/VBP
take/VB --> take/VB
it/PRP --> it/PRP
,/, --> ,/,
you/PRP --> you/PRP
stupid/JJ --> stupid/JJ
fool/NN --> fool/NN
;/: --> ;/:
we/PRP --> we/PRP
are/VBP --> be/VBP
in/IN --> in/IN
great/JJ --> great/JJ
want/VBP --> want/VBP
of/IN --> of/IN
it/PRP --> it/PRP
!/. --> !/.
''/'' --> ''/''
Then/RB --> then/RB
St./NNP --> St./NNP
Peter/NNP --> Peter/NNP
said/VBD --> say/VBD
at/IN --> at/IN
last/JJ --> last/JJ
,/, --> ,/,
``/`` --> ``/``
Well/UH --> well/UH
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
take/VB --> take/VB
the/DT --> the/DT
