<title>/IN --> IN/IN
55/CD --> 55/CD
Rumpelstiltskin/NNP --> Rumpelstiltskin/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
miller/NN --> miller/NN
who/WP --> who/WP
was/VBD --> be/VBD
poor/JJ --> poor/JJ
,/, --> ,/,
but/CC --> but/CC
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
daughter/NN --> daughter/NN
./. --> ./.
Now/RB --> now/RB
it/PRP --> it/PRP
happened/VBD --> happen/VBD
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
to/TO --> to/TO
go/VB --> go/VB
and/CC --> and/CC
speak/VB --> speak/VB
to/TO --> to/TO
the/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
make/VB --> make/VB
himself/PRP --> himself/PRP
appear/VB --> appear/VB
important/JJ --> important/JJ
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
a/DT --> a/DT
daughter/NN --> daughter/NN
who/WP --> who/WP
can/MD --> can/MD
spin/VB --> spin/VB
straw/NN --> straw/NN
into/IN --> into/IN
gold/NN --> gold/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
King/NNP --> King/NNP
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
miller/NN --> miller/NN
,/, --> ,/,
``/`` --> ``/``
That/DT --> that/DT
is/VBZ --> be/VBZ
an/DT --> a/DT
art/NN --> art/NN
which/WDT --> which/WDT
pleases/VBZ --> please/VBZ
me/PRP --> I/PRP
well/RB --> well/RB
;/: --> ;/:
if/IN --> if/IN
your/PRP$ --> you/PRP$
daughter/NN --> daughter/NN
is/VBZ --> be/VBZ
as/IN --> as/IN
clever/JJ --> clever/JJ
as/IN --> as/IN
you/PRP --> you/PRP
say/VBP --> say/VBP
,/, --> ,/,
bring/VBP --> bring/VBP
her/PRP$ --> she/PRP$
to-morrow/NN --> to-morrow/NN
to/TO --> to/TO
my/PRP$ --> my/PRP$
palace/NN --> palace/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
try/VB --> try/VB
what/WP --> what/WP
she/PRP --> she/PRP
can/MD --> can/MD
do/VB --> do/VB
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
girl/NN --> girl/NN
was/VBD --> be/VBD
brought/VBN --> bring/VBN
to/TO --> to/TO
him/PRP --> he/PRP
he/PRP --> he/PRP
took/VBD --> take/VBD
her/PRP --> she/PRP
into/IN --> into/IN
a/DT --> a/DT
room/NN --> room/NN
which/WDT --> which/WDT
was/VBD --> be/VBD
quite/RB --> quite/RB
full/JJ --> full/JJ
of/IN --> of/IN
straw/NN --> straw/NN
,/, --> ,/,
gave/VBD --> give/VBD
her/PRP --> she/PRP
a/DT --> a/DT
spinning-wheel/NN --> spinning-wheel/NN
and/CC --> and/CC
a/DT --> a/DT
reel/NN --> reel/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Now/RB --> now/RB
set/VBN --> set/VBN
to/TO --> to/TO
work/VB --> work/VB
,/, --> ,/,
and/CC --> and/CC
if/IN --> if/IN
by/IN --> by/IN
to-morrow/JJ --> to-morrow/JJ
morning/NN --> morning/NN
early/RB --> early/RB
you/PRP --> you/PRP
have/VBP --> have/VBP
not/RB --> not/RB
spun/VBN --> spin/VBN
this/DT --> this/DT
straw/NN --> straw/NN
into/IN --> into/IN
gold/NN --> gold/NN
during/IN --> during/IN
the/DT --> the/DT
night/NN --> night/NN
,/, --> ,/,
you/PRP --> you/PRP
must/MD --> must/MD
die/VB --> die/VB
./. --> ./.
''/'' --> ''/''
Thereupon/NNP --> Thereupon/NNP
he/PRP --> he/PRP
himself/PRP --> himself/PRP
locked/VBD --> lock/VBD
up/RP --> up/RP
the/DT --> the/DT
room/NN --> room/NN
,/, --> ,/,
and/CC --> and/CC
left/VBD --> leave/VBD
her/PRP --> she/PRP
in/IN --> in/IN
it/PRP --> it/PRP
alone/RB --> alone/RB
./. --> ./.
So/RB --> so/RB
there/RB --> there/RB
sat/VBD --> sit/VBD
the/DT --> the/DT
poor/JJ --> poor/JJ
miller/NN --> miller/NN
's/POS --> 's/POS
daughter/NN --> daughter/NN
,/, --> ,/,
and/CC --> and/CC
for/IN --> for/IN
the/DT --> the/DT
life/NN --> life/NN
of/IN --> of/IN
her/PRP$ --> she/PRP$
could/MD --> could/MD
not/RB --> not/RB
tell/VB --> tell/VB
what/WP --> what/WP
to/TO --> to/TO
do/VB --> do/VB
;/: --> ;/:
she/PRP --> she/PRP
had/VBD --> have/VBD
no/DT --> no/DT
idea/NN --> idea/NN
how/WRB --> how/WRB
straw/NN --> straw/NN
could/MD --> could/MD
be/VB --> be/VB
spun/VBN --> spin/VBN
into/IN --> into/IN
gold/NN --> gold/NN
,/, --> ,/,
and/CC --> and/CC
she/PRP --> she/PRP
grew/VBD --> grow/VBD
more/RBR --> more/RBR
and/CC --> and/CC
more/JJR --> more/JJR
miserable/JJ --> miserable/JJ
,/, --> ,/,
until/IN --> until/IN
at/IN --> at/IN
last/JJ --> last/JJ
she/PRP --> she/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
weep/NN --> weep/NN
./. --> ./.
But/CC --> but/CC
all/DT --> all/DT
at/IN --> at/IN
once/RB --> once/RB
the/DT --> the/DT
door/NN --> door/NN
opened/VBD --> open/VBD
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
came/VBD --> come/VBD
a/DT --> a/DT
little/JJ --> little/JJ
man/NN --> man/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Good/JJ --> good/JJ
evening/NN --> evening/NN
,/, --> ,/,
Mistress/NNP --> Mistress/NNP
Miller/NNP --> Miller/NNP
;/: --> ;/:
why/WRB --> why/WRB
are/VBP --> be/VBP
you/PRP --> you/PRP
crying/VBG --> cry/VBG
so/RB --> so/RB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Alas/NNP --> Alas/NNP
!/. --> !/.
''/'' --> ''/''
answered/VBN --> answer/VBN
the/DT --> the/DT
girl/NN --> girl/NN
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
to/TO --> to/TO
spin/VB --> spin/VB
straw/NN --> straw/NN
into/IN --> into/IN
gold/NN --> gold/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
do/VBP --> do/VBP
not/RB --> not/RB
know/VB --> know/VB
how/WRB --> how/WRB
to/TO --> to/TO
do/VB --> do/VB
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
will/MD --> will/MD
you/PRP --> you/PRP
give/VB --> give/VB
me/PRP --> I/PRP
,/, --> ,/,
''/'' --> ''/''
