<title>/IN --> IN/IN
THE/DT --> the/DT
MARSH/NNP --> MARSH/NNP
KING/NNP --> KING/NNP
'S/VBZ --> be/VBZ
DAUGHTER/NNP --> DAUGHTER/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
The/DT --> the/DT
storks/NNS --> stork/NNS
tell/VBP --> tell/VBP
their/PRP$ --> they/PRP$
little/JJ --> little/JJ
ones/NNS --> one/NNS
very/RB --> very/RB
many/JJ --> many/JJ
stories/NNS --> story/NNS
,/, --> ,/,
all/DT --> all/DT
of/IN --> of/IN
the/DT --> the/DT
moor/NN --> moor/NN
and/CC --> and/CC
the/DT --> the/DT
marsh/NN --> marsh/NN
./. --> ./.
These/DT --> these/DT
stories/NNS --> story/NNS
are/VBP --> be/VBP
generally/RB --> generally/RB
adapted/VBN --> adapt/VBN
to/TO --> to/TO
the/DT --> the/DT
age/NN --> age/NN
and/CC --> and/CC
capacity/NN --> capacity/NN
of/IN --> of/IN
the/DT --> the/DT
hearers/NNS --> hearer/NNS
./. --> ./.
The/DT --> the/DT
youngest/JJS --> youngest/JJS
are/VBP --> be/VBP
content/JJ --> content/JJ
if/IN --> if/IN
they/PRP --> they/PRP
are/VBP --> be/VBP
told/VBN --> tell/VBN
``/`` --> ``/``
Kribble-krabble/JJ --> kribble-krabble/JJ
,/, --> ,/,
plurre-murre/JJ --> plurre-murre/JJ
''/'' --> ''/''
as/IN --> as/IN
a/DT --> a/DT
story/NN --> story/NN
,/, --> ,/,
and/CC --> and/CC
find/VB --> find/VB
it/PRP --> it/PRP
charming/JJ --> charming/JJ
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
older/JJR --> older/JJR
ones/NNS --> one/NNS
want/VBP --> want/VBP
something/NN --> something/NN
with/IN --> with/IN
a/DT --> a/DT
deeper/JJR --> deeper/JJR
meaning/NN --> meaning/NN
,/, --> ,/,
or/CC --> or/CC
at/IN --> at/IN
any/DT --> any/DT
rate/NN --> rate/NN
something/NN --> something/NN
relating/VBG --> relate/VBG
to/TO --> to/TO
the/DT --> the/DT
family/NN --> family/NN
./. --> ./.
Of/IN --> of/IN
the/DT --> the/DT
two/CD --> two/CD
oldest/JJS --> oldest/JJS
and/CC --> and/CC
longest/JJS --> longest/JJS
stories/NNS --> story/NNS
