<title>/IN --> IN/IN
THE/DT --> the/DT
PIE/NN --> pie/NN
AND/CC --> and/CC
THE/DT --> the/DT
PATTY-PAN/NNP --> PATTY-PAN/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Beatrix/NNP --> Beatrix/NNP
Potter/NNP --> Potter/NNP
</author>/NNP --> NNP/NNP
Pussy-cat/NNP --> Pussy-cat/NNP
sits/VBZ --> sit/VBZ
by/IN --> by/IN
the/DT --> the/DT
fire/NN --> fire/NN
--/: --> --/:
how/WRB --> how/WRB
should/MD --> should/MD
she/PRP --> she/PRP
be/VB --> be/VB
fair/JJ --> fair/JJ
?/. --> ?/.
In/IN --> in/IN
walks/VBZ --> walk/VBZ
the/DT --> the/DT
little/JJ --> little/JJ
dog/NN --> dog/NN
--/: --> --/:
says/VBZ --> say/VBZ
``/`` --> ``/``
Pussy/NNP --> Pussy/NNP
are/VBP --> be/VBP
you/PRP --> you/PRP
there/EX --> there/EX
?/. --> ?/.
How/WRB --> how/WRB
do/VBP --> do/VBP
you/PRP --> you/PRP
do/VBP --> do/VBP
mistress/NN --> mistress/NN
Pussy/NNP --> Pussy/NNP
?/. --> ?/.
Mistress/NNP --> Mistress/NNP
Pussy/NNP --> Pussy/NNP
,/, --> ,/,
how/WRB --> how/WRB
do/VBP --> do/VBP
you/PRP --> you/PRP
do/VB --> do/VB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
thank/VBP --> thank/VBP
you/PRP --> you/PRP
kindly/RB --> kindly/RB
,/, --> ,/,
little/JJ --> little/JJ
dog/NN --> dog/NN
,/, --> ,/,
I/PRP --> I/PRP
fare/VBP --> fare/VBP
as/RB --> as/RB
well/RB --> well/RB
as/IN --> as/IN
you/PRP --> you/PRP
!/. --> !/.
''/'' --> ''/''
Old/NNP --> Old/NNP
Rhyme/NNP --> Rhyme/NNP
./. --> ./.
ONCE/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
Pussy-cat/NN --> pussy-cat/NN
called/VBN --> call/VBN
Ribby/NNP --> Ribby/NNP
,/, --> ,/,
who/WP --> who/WP
invited/VBD --> invite/VBD
a/DT --> a/DT
little/JJ --> little/JJ
dog/NN --> dog/NN
called/VBN --> call/VBN
Duchess/NNP --> Duchess/NNP
to/TO --> to/TO
tea/NN --> tea/NN
./. --> ./.
``/`` --> ``/``
Come/VBN --> come/VBN
in/IN --> in/IN
good/JJ --> good/JJ
time/NN --> time/NN
,/, --> ,/,
my/PRP$ --> my/PRP$
dear/RB --> dear/RB
Duchess/NNP --> Duchess/NNP
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Ribby/NNP --> Ribby/NNP
's/POS --> 's/POS
letter/NN --> letter/NN
,/, --> ,/,
``/`` --> ``/``
and/CC --> and/CC
we/PRP --> we/PRP
will/MD --> will/MD
have/VB --> have/VB
something/NN --> something/NN
so/RB --> so/RB
very/RB --> very/RB
nice/JJ --> nice/JJ
./. --> ./.
I/PRP --> I/PRP
am/VBP --> be/VBP
baking/VBG --> bake/VBG
it/PRP --> it/PRP
in/IN --> in/IN
a/DT --> a/DT
pie-dish/JJ --> pie-dish/JJ
--/: --> --/:
a/DT --> a/DT
pie/NN --> pie/NN
-/: --> -/:
dish/NN --> dish/NN
with/IN --> with/IN
a/DT --> a/DT
pink/JJ --> pink/JJ
rim/NN --> rim/NN
./. --> ./.
You/PRP --> you/PRP
never/RB --> never/RB
tasted/VBD --> taste/VBD
anything/NN --> anything/NN
so/RB --> so/RB
good/JJ --> good/JJ
!/. --> !/.
And/CC --> and/CC
YOU/PRP --> you/PRP
shall/MD --> shall/MD
eat/VB --> eat/VB
it/PRP --> it/PRP
all/DT --> all/DT
!/. --> !/.
_/IN --> _/IN
I/PRP --> I/PRP
_/VBP --> _/VBP
will/MD --> will/MD
eat/VB --> eat/VB
muffins/NNS --> muffin/NNS
,/, --> ,/,
my/PRP$ --> my/PRP$
dear/RB --> dear/RB
Duchess/NNPS --> Duchess/NNPS
!/. --> !/.
''/'' --> ''/''
wrote/VBD --> write/VBD
Ribby/NNP --> Ribby/NNP
./. --> ./.
Duchess/NNP --> Duchess/NNP
read/VBD --> read/VBD
the/DT --> the/DT
letter/NN --> letter/NN
and/CC --> and/CC
wrote/VBD --> write/VBD
an/DT --> a/DT
answer/NN --> answer/NN
:/: --> :/:
--/: --> --/:
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
come/VB --> come/VB
with/IN --> with/IN
much/JJ --> much/JJ
pleasure/NN --> pleasure/NN
at/IN --> at/IN
a/DT --> a/DT
quarter/NN --> quarter/NN
past/JJ --> past/JJ
four/CD --> four/CD
./. --> ./.
But/CC --> but/CC
it/PRP --> it/PRP
is/VBZ --> be/VBZ
very/RB --> very/RB
strange/JJ --> strange/JJ
./. --> ./.
_/IN --> _/IN
I/PRP --> I/PRP
_/VBP --> _/VBP
was/VBD --> be/VBD
just/RB --> just/RB
going/VBG --> go/VBG
to/TO --> to/TO
invite/VB --> invite/VB
you/PRP --> you/PRP
to/TO --> to/TO
come/VB --> come/VB
here/RB --> here/RB
,/, --> ,/,
to/TO --> to/TO
supper/NN --> supper/NN
,/, --> ,/,
my/PRP$ --> my/PRP$
dear/RB --> dear/RB
Ribby/NNP --> Ribby/NNP
,/, --> ,/,
to/TO --> to/TO
eat/VB --> eat/VB
something/NN --> something/NN
MOST/JJS --> most/JJS
DELICIOUS/NNS --> delicious/NNS
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
come/VB --> come/VB
very/RB --> very/RB
punctually/RB --> punctually/RB
,/, --> ,/,
my/PRP$ --> my/PRP$
dear/RB --> dear/RB
Ribby/NNP --> Ribby/NNP
,/, --> ,/,
''/'' --> ''/''
wrote/VBD --> write/VBD
Duchess/NNP --> Duchess/NNP
;/: --> ;/:
and/CC --> and/CC
then/RB --> then/RB
at/IN --> at/IN
the/DT --> the/DT
end/NN --> end/NN
she/PRP --> she/PRP
added/VBD --> add/VBD
--/: --> --/:
``/`` --> ``/``
I/PRP --> I/PRP
hope/VBP --> hope/VBP
it/PRP --> it/PRP
is/VBZ --> be/VBZ
n't/RB --> not/RB
mouse/NN --> mouse/NN
?/. --> ?/.
''/'' --> ''/''
And/CC --> and/CC
