<title>/IN --> IN/IN
THE/DT --> the/DT
GOLD-GIVING/NN --> gold-giving/NN
SERPENT/NNP --> SERPENT/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Now/RB --> now/RB
in/IN --> in/IN
a/DT --> a/DT
certain/JJ --> certain/JJ
place/NN --> place/NN
there/RB --> there/RB
lived/VBD --> live/VBD
a/DT --> a/DT
Brahman/NNP --> Brahman/NNP
named/VBD --> name/VBD
Haridatta/NNP --> Haridatta/NNP
./. --> ./.
He/PRP --> he/PRP
was/VBD --> be/VBD
a/DT --> a/DT
farmer/NN --> farmer/NN
,/, --> ,/,
but/CC --> but/CC
poor/JJ --> poor/JJ
was/VBD --> be/VBD
the/DT --> the/DT
return/NN --> return/NN
his/PRP$ --> he/PRP$
labor/NN --> labor/NN
brought/VBD --> bring/VBD
him/PRP --> he/PRP
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
,/, --> ,/,
at/IN --> at/IN
the/DT --> the/DT
end/NN --> end/NN
of/IN --> of/IN
the/DT --> the/DT
hot/JJ --> hot/JJ
hours/NNS --> hour/NNS
,/, --> ,/,
the/DT --> the/DT
Brahman/NNP --> Brahman/NNP
,/, --> ,/,
overcome/VBN --> overcome/VBN
by/IN --> by/IN
the/DT --> the/DT
heat/NN --> heat/NN
,/, --> ,/,
lay/VBD --> lay/VBD
down/RP --> down/RP
under/IN --> under/IN
the/DT --> the/DT
shadow/NN --> shadow/NN
of/IN --> of/IN
a/DT --> a/DT
tree/NN --> tree/NN
to/TO --> to/TO
have/VB --> have/VB
a/DT --> a/DT
doze/NN --> doze/NN
./. --> ./.
Suddenly/RB --> suddenly/RB
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
great/JJ --> great/JJ
hooded/JJ --> hooded/JJ
snake/NN --> snake/NN
creeping/VBG --> creep/VBG
out/IN --> out/IN
of/IN --> of/IN
an/DT --> a/DT
ant-hill/NN --> ant-hill/NN
near/IN --> near/IN
at/IN --> at/IN
hand/NN --> hand/NN
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
thought/VBD --> think/VBD
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
``/`` --> ``/``
Sure/RB --> sure/RB
this/DT --> this/DT
is/VBZ --> be/VBZ
the/DT --> the/DT
guardian/NN --> guardian/NN
deity/NN --> deity/NN
of/IN --> of/IN
the/DT --> the/DT
field/NN --> field/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
have/VBP --> have/VBP
not/RB --> not/RB
ever/RB --> ever/RB
worshipped/VBD --> worship/VBD
it/PRP --> it/PRP
./. --> ./.
That/DT --> that/DT
's/VBZ --> be/VBZ
why/WRB --> why/WRB
my/PRP$ --> my/PRP$
farming/NN --> farming/NN
is/VBZ --> be/VBZ
in/IN --> in/IN
vain/JJ --> vain/JJ
./. --> ./.
I/PRP --> I/PRP
will/MD --> will/MD
at/IN --> at/IN
once/RB --> once/RB
go/VB --> go/VB
and/CC --> and/CC
pay/VB --> pay/VB
my/PRP$ --> my/PRP$
respects/NNS --> respects/NNS
to/TO --> to/TO
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
When/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
made/VBN --> make/VBN
up/RP --> up/RP
his/PRP$ --> he/PRP$
mind/NN --> mind/NN
,/, --> ,/,
he/PRP --> he/PRP
got/VBD --> get/VBD
some/DT --> some/DT
milk/NN --> milk/NN
,/, --> ,/,
poured/VBD --> pour/VBD
it/PRP --> it/PRP
into/IN --> into/IN
a/DT --> a/DT
bowl/NN --> bowl/NN
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
to/TO --> to/TO
the/DT --> the/DT
ant-hill/NN --> ant-hill/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
aloud/RB --> aloud/RB
:/: --> :/:
``/`` --> ``/``
O/NNP --> O/NNP
Guardian/NNP --> Guardian/NNP
of/IN --> of/IN
this/DT --> this/DT
Field/NN --> field/NN
!/. --> !/.
all/DT --> all/DT
this/DT --> this/DT
while/IN --> while/IN
I/PRP --> I/PRP
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
that/IN --> that/IN
you/PRP --> you/PRP
dwelt/VBP --> dwell/VBP
here/RB --> here/RB
./. --> ./.
That/DT --> that/DT
is/VBZ --> be/VBZ
why/WRB --> why/WRB
I/PRP --> I/PRP
have/VBP --> have/VBP
not/RB --> not/RB
yet/RB --> yet/RB
paid/VBN --> pay/VBN
my/PRP$ --> my/PRP$
respects/NNS --> respects/NNS
to/TO --> to/TO
you/PRP --> you/PRP
;/: --> ;/:
pray/NN --> pray/NN
forgive/VBP --> forgive/VBP
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
he/PRP --> he/PRP
laid/VBD --> lay/VBD
the/DT --> the/DT
milk/NN --> milk/NN
down/RB --> down/RB
and/CC --> and/CC
went/VBD --> go/VBD
to/TO --> to/TO
his/PRP$ --> he/PRP$
house/NN --> house/NN
./. --> ./.
Next/JJ --> next/JJ
morning/NN --> morning/NN
he/PRP --> he/PRP
came/VBD --> come/VBD
and/CC --> and/CC
looked/VBD --> look/VBD
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
gold/NN --> gold/NN
denar/NN --> denar/NN
in/IN --> in/IN
