<title>/IN --> IN/IN
72/CD --> 72/CD
The/DT --> the/DT
Wolf/NNP --> Wolf/NNP
and/CC --> and/CC
the/DT --> the/DT
Man/NNP --> Man/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
the/DT --> the/DT
fox/NN --> fox/NN
was/VBD --> be/VBD
talking/VBG --> talk/VBG
to/TO --> to/TO
the/DT --> the/DT
wolf/NN --> wolf/NN
of/IN --> of/IN
the/DT --> the/DT
strength/NN --> strength/NN
of/IN --> of/IN
man/NN --> man/NN
;/: --> ;/:
how/WRB --> how/WRB
no/DT --> no/DT
animal/NN --> animal/NN
could/MD --> could/MD
withstand/VB --> withstand/VB
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
how/WRB --> how/WRB
all/DT --> all/DT
were/VBD --> be/VBD
obliged/VBN --> oblige/VBN
to/TO --> to/TO
employ/VB --> employ/VB
cunning/JJ --> cunning/JJ
in/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
preserve/VB --> preserve/VB
themselves/PRP --> themselves/PRP
from/IN --> from/IN
him/PRP --> he/PRP
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
wolf/NN --> wolf/NN
answered/VBN --> answer/VBN
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
I/PRP --> I/PRP
had/VBD --> have/VBD
but/CC --> but/CC
the/DT --> the/DT
chance/NN --> chance/NN
of/IN --> of/IN
seeing/VBG --> see/VBG
a/DT --> a/DT
man/NN --> man/NN
for/IN --> for/IN
once/RB --> once/RB
,/, --> ,/,
I/PRP --> I/PRP
would/MD --> would/MD
set/VB --> set/VB
on/IN --> on/IN
him/PRP --> he/PRP
notwithstanding/RB --> notwithstanding/RB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
can/MD --> can/MD
help/VB --> help/VB
thee/VB --> thee/VB
to/TO --> to/TO
do/VB --> do/VB
that/DT --> that/DT
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
fox/NN --> fox/NN
./. --> ./.
``/`` --> ``/``
Come/VBN --> come/VBN
to/TO --> to/TO
me/PRP --> I/PRP
early/RB --> early/RB
to-morrow/JJ --> to-morrow/JJ
morning/NN --> morning/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
show/VB --> show/VB
thee/VB --> thee/VB
one/CD --> one/CD
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
wolf/NN --> wolf/NN
presented/VBD --> present/VBD
himself/PRP --> himself/PRP
betimes/VBZ --> betime/VBZ
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
fox/NN --> fox/NN
took/VBD --> take/VBD
him/PRP --> he/PRP
out/RP --> out/RP
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
by/IN --> by/IN
which/WDT --> which/WDT
the/DT --> the/DT
huntsmen/NNS --> huntsman/NNS
went/VBD --> go/VBD
daily/RB --> daily/RB
./. --> ./.
First/NNP --> First/NNP
came/VBD --> come/VBD
an/DT --> a/DT
old/JJ --> old/JJ
discharged/VBN --> discharge/VBN
soldier/NN --> soldier/NN
./. --> ./.
``/`` --> ``/``
Is/VBZ --> be/VBZ
that/IN --> that/IN
a/DT --> a/DT
man/NN --> man/NN
?/. --> ?/.
''/'' --> ''/''
inquired/VBD --> inquire/VBD
the/DT --> the/DT
wolf/NN --> wolf/NN
./. --> ./.
``/`` --> ``/``
No/DT --> no/DT
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
fox/NN --> fox/NN
,/, --> ,/,
``/`` --> ``/``
that/DT --> that/DT
was/VBD --> be/VBD
one/CD --> one/CD
./. --> ./.
''/'' --> ''/''
Afterwards/RB --> afterwards/RB
came/VBD --> come/VBD
a/DT --> a/DT
little/JJ --> little/JJ
boy/NN --> boy/NN
who/WP --> who/WP
was/VBD --> be/VBD
going/VBG --> go/VBG
to/TO --> to/TO
