<title>/IN --> IN/IN
176/CD --> 176/CD
The/DT --> the/DT
Duration/NN --> duration/NN
of/IN --> of/IN
Life/NNP --> Life/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
When/WRB --> when/WRB
God/NNP --> God/NNP
had/VBD --> have/VBD
created/VBN --> create/VBN
the/DT --> the/DT
world/NN --> world/NN
and/CC --> and/CC
was/VBD --> be/VBD
about/RB --> about/RB
to/TO --> to/TO
fix/VB --> fix/VB
the/DT --> the/DT
length/NN --> length/NN
of/IN --> of/IN
each/DT --> each/DT
creature/NN --> creature/NN
's/POS --> 's/POS
life/NN --> life/NN
,/, --> ,/,
the/DT --> the/DT
ass/NN --> ass/NN
came/VBD --> come/VBD
and/CC --> and/CC
asked/VBD --> ask/VBD
,/, --> ,/,
``/`` --> ``/``
Lord/NNP --> Lord/NNP
,/, --> ,/,
how/WRB --> how/WRB
long/RB --> long/RB
shall/MD --> shall/MD
I/PRP --> I/PRP
live/VB --> live/VB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Thirty/CD --> thirty/CD
years/NNS --> year/NNS
,/, --> ,/,
''/'' --> ''/''
replied/VBD --> reply/VBD
God/NNP --> God/NNP
;/: --> ;/:
``/`` --> ``/``
does/VBZ --> do/VBZ
that/DT --> that/DT
content/JJ --> content/JJ
thee/NN --> thee/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Ah/UH --> ah/UH
,/, --> ,/,
Lord/NNP --> Lord/NNP
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
the/DT --> the/DT
ass/NN --> ass/NN
,/, --> ,/,
``/`` --> ``/``
that/DT --> that/DT
is/VBZ --> be/VBZ
a/DT --> a/DT
long/JJ --> long/JJ
time/NN --> time/NN
./. --> ./.
Think/VB --> think/VB
of/IN --> of/IN
my/PRP$ --> my/PRP$
painful/JJ --> painful/JJ
existence/NN --> existence/NN
!/. --> !/.
To/TO --> to/TO
carry/VB --> carry/VB
heavy/JJ --> heavy/JJ
burdens/NNS --> burden/NNS
from/IN --> from/IN
morning/NN --> morning/NN
to/TO --> to/TO
night/NN --> night/NN
,/, --> ,/,
to/TO --> to/TO
drag/VB --> drag/VB
sacks/NNS --> sack/NNS
of/IN --> of/IN
corn/NN --> corn/NN
to/TO --> to/TO
the/DT --> the/DT
mill/NN --> mill/NN
,/, --> ,/,
that/IN --> that/IN
others/NNS --> other/NNS
may/MD --> may/MD
eat/VB --> eat/VB
bread/NN --> bread/NN
,/, --> ,/,
to/TO --> to/TO
be/VB --> be/VB
cheered/VBN --> cheer/VBN
and/CC --> and/CC
refreshed/VBN --> refresh/VBN
with/IN --> with/IN
nothing/NN --> nothing/NN
but/CC --> but/CC
blows/NNS --> blow/NNS
and/CC --> and/CC
kicks/VBZ --> kick/VBZ
./. --> ./.
Relieve/VB --> relieve/VB
me/PRP --> I/PRP
of/IN --> of/IN
a/DT --> a/DT
portion/NN --> portion/NN
of/IN --> of/IN
this/DT --> this/DT
long/JJ --> long/JJ
time/NN --> time/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
God/NNP --> God/NNP
had/VBD --> have/VBD
pity/NN --> pity/NN
on/IN --> on/IN
him/PRP --> he/PRP
and/CC --> and/CC
relieved/VBD --> relieve/VBD
him/PRP --> he/PRP
of/IN --> of/IN
eighteen/CD --> eighteen/CD
years/NNS --> year/NNS
./. --> ./.
The/DT --> the/DT
ass/NN --> ass/NN
went/VBD --> go/VBD
away/RB --> away/RB
comforted/VBN --> comfort/VBN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
dog/NN --> dog/NN
appeared/VBD --> appear/VBD
./. --> ./.
``/`` --> ``/``
How/WRB --> how/WRB
long/JJ --> long/JJ
wouldst/NN --> wouldst/NN
thou/NN --> thou/NN
like/IN --> like/IN
to/TO --> to/TO
live/VB --> live/VB
?/. --> ?/.
