<title>/IN --> IN/IN
115/CD --> 115/CD
The/DT --> the/DT
Bright/NNP --> Bright/NNP
Sun/NNP --> Sun/NNP
Brings/NNPS --> Brings/NNPS
It/PRP --> it/PRP
to/TO --> to/TO
Light/NNP --> Light/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
tailor/NN --> tailor/NN
's/POS --> 's/POS
apprentice/NN --> apprentice/NN
was/VBD --> be/VBD
traveling/VBG --> travel/VBG
about/IN --> about/IN
the/DT --> the/DT
world/NN --> world/NN
in/IN --> in/IN
search/NN --> search/NN
of/IN --> of/IN
work/NN --> work/NN
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
one/CD --> one/CD
time/NN --> time/NN
he/PRP --> he/PRP
could/MD --> could/MD
find/VB --> find/VB
none/NN --> none/NN
,/, --> ,/,
and/CC --> and/CC
his/PRP$ --> he/PRP$
poverty/NN --> poverty/NN
was/VBD --> be/VBD
so/RB --> so/RB
great/JJ --> great/JJ
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
not/RB --> not/RB
a/DT --> a/DT
farthing/NN --> farthing/NN
to/TO --> to/TO
live/VB --> live/VB
on/IN --> on/IN
./. --> ./.
Presently/RB --> presently/RB
he/PRP --> he/PRP
met/VBD --> meet/VBD
a/DT --> a/DT
Jew/NNP --> Jew/NNP
on/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
he/PRP --> he/PRP
thought/VBD --> think/VBD
he/PRP --> he/PRP
would/MD --> would/MD
have/VB --> have/VB
a/DT --> a/DT
great/JJ --> great/JJ
deal/NN --> deal/NN
of/IN --> of/IN
money/NN --> money/NN
about/IN --> about/IN
him/PRP --> he/PRP
,/, --> ,/,
the/DT --> the/DT
tailor/NN --> tailor/NN
thrust/NN --> thrust/NN
God/NNP --> God/NNP
out/IN --> out/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
heart/NN --> heart/NN
,/, --> ,/,
fell/VBD --> fall/VBD
on/IN --> on/IN
the/DT --> the/DT
Jew/NNP --> Jew/NNP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Give/VB --> give/VB
me/PRP --> I/PRP
thy/VB --> thy/VB
money/NN --> money/NN
,/, --> ,/,
or/CC --> or/CC
I/PRP --> I/PRP
will/MD --> will/MD
strike/VB --> strike/VB
thee/RB --> thee/RB
dead/JJ --> dead/JJ
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
Jew/NNP --> Jew/NNP
,/, --> ,/,
``/`` --> ``/``
Grant/NNP --> Grant/NNP
me/PRP --> I/PRP
my/PRP$ --> my/PRP$
life/NN --> life/NN
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
no/DT --> no/DT
money/NN --> money/NN
but/CC --> but/CC
eight/CD --> eight/CD
farthings/NNS --> farthing/NNS
./. --> ./.
''/'' --> ''/''
But/CC --> but/CC
the/DT --> the/DT
tailor/NN --> tailor/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Money/NN --> money/NN
thou/NN --> thou/NN
hast/NN --> hast/NN
;/: --> ;/:
and/CC --> and/CC
it/PRP --> it/PRP
shall/MD --> shall/MD
be/VB --> be/VB
produced/VBN --> produce/VBN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
used/VBN --> use/VBN
violence/NN --> violence/NN
and/CC --> and/CC
beat/VBD --> beat/VBD
him/PRP --> he/PRP
until/IN --> until/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
near/IN --> near/IN
death/NN --> death/NN
./. --> ./.
And/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
Jew/NNP --> Jew/NNP
was/VBD --> be/VBD
dying/VBG --> die/VBG
,/, --> ,/,
the/DT --> the/DT
last/JJ --> last/JJ
words/NNS --> word/NNS
he/PRP --> he/PRP
said/VBD --> say/VBD
were/VBD --> be/VBD
,/, --> ,/,
``/`` --> ``/``
The/DT --> the/DT
bright/JJ --> bright/JJ
sun/NN --> sun/NN
will/MD --> will/MD
bring/VB --> bring/VB
it/PRP --> it/PRP
to/TO --> to/TO
light/JJ --> light/JJ
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
thereupon/RB --> thereupon/RB
he/PRP --> he/PRP
died/VBD --> die/VBD
./. --> ./.
The/DT --> the/DT
tailor/NN --> tailor/NN
's/POS --> 's/POS
apprentice/NN --> apprentice/NN
felt/VBD --> feel/VBD
in/IN --> in/IN
his/PRP$ --> he/PRP$
pockets/NNS --> pocket/NNS
and/CC --> and/CC
sought/VBD --> seek/VBD
for/IN --> for/IN
money/NN --> money/NN
,/, --> ,/,
but/CC --> but/CC
he/PRP --> he/PRP
found/VBD --> find/VBD
nothing/NN --> nothing/NN
but/CC --> but/CC
eight/CD --> eight/CD
farthings/NNS --> farthing/NNS
,/, --> ,/,
as/IN --> as/IN
the/DT --> the/DT
Jew/NNP --> Jew/NNP
had/VBD --> have/VBD
said/VBN --> say/VBN
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
took/VBD --> take/VBD
him/PRP --> he/PRP
up/RP --> up/RP
and/CC --> and/CC
carried/VBD --> carry/VBD
him/PRP --> he/PRP
behind/IN --> behind/IN
a/DT --> a/DT
clump/NN --> clump/NN
of/IN --> of/IN
trees/NNS --> tree/NNS
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
to/TO --> to/TO
seek/VB --> seek/VB
work/NN --> work/NN
./. --> ./.
After/IN --> after/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
traveled/VBN --> travel/VBN
about/IN --> about/IN
a/DT --> a/DT
long/JJ --> long/JJ
while/NN --> while/NN
,/, --> ,/,
he/PRP --> he/PRP
got/VBD --> get/VBD
work/NN --> work/NN
in/IN --> in/IN
a/DT --> a/DT
town/NN --> town/NN
with/IN --> with/IN
a/DT --> a/DT
master/NN --> master/NN
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
pretty/JJ --> pretty/JJ
daughter/NN --> daughter/NN
,/, --> ,/,
with/IN --> with/IN
whom/WP --> whom/WP
he/PRP --> he/PRP
fell/VBD --> fall/VBD
in/IN --> in/IN
love/NN --> love/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
married/VBD --> marry/VBD
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
lived/VBD --> live/VBD
in/IN --> in/IN
good/JJ --> good/JJ
and/CC --> and/CC
happy/JJ --> happy/JJ
wedlock/NN --> wedlock/NN
./. --> ./.
After/IN --> after/IN
a/DT --> a/DT
long/JJ --> long/JJ
time/NN --> time/NN
when/WRB --> when/WRB
he/PRP --> he/PRP
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
had/VBD --> have/VBD
two/CD --> two/CD
children/NNS --> child/NNS
,/, --> ,/,
the/DT --> the/DT
wife/NN --> wife/NN
's/POS --> 's/POS
father/NN --> father/NN
and/CC --> and/CC
mother/NN --> mother/NN
died/VBD --> die/VBD
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
young/JJ --> young/JJ
people/NNS --> people/NNS
kept/VBD --> keep/VBD
house/NN --> house/NN
alone/RB --> alone/RB
./. --> ./.
One/CD --> one/CD
morning/NN --> morning/NN
,/, --> ,/,
when/WRB --> when/WRB
the/DT --> the/DT
husband/NN --> husband/NN
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
on/IN --> on/IN
the/DT --> the/DT
table/NN --> table/NN
before/IN --> before/IN
the/DT --> the/DT
window/NN --> window/NN
,/, --> ,/,
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
brought/VBD --> bring/VBD
him/PRP --> he/PRP
his/PRP$ --> he/PRP$
coffee/NN --> coffee/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
poured/VBN --> pour/VBN
it/PRP --> it/PRP
out/RP --> out/RP
into/IN --> into/IN
the/DT --> the/DT
saucer/NN --> saucer/NN
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
just/RB --> just/RB
going/VBG --> go/VBG
to/TO --> to/TO
drink/VB --> drink/VB
,/, --> ,/,
the/DT --> the/DT
sun/NN --> sun/NN
shone/NN --> shone/NN
on/IN --> on/IN
it/PRP --> it/PRP
and/CC --> and/CC
the/DT --> the/DT
reflection/NN --> reflection/NN
gleamed/VBD --> gleam/VBD
hither/RB --> hither/RB
and/CC --> and/CC
thither/RB --> thither/RB
on/IN --> on/IN
the/DT --> the/DT
wall/NN --> wall/NN
above/IN --> above/IN
,/, --> ,/,
and/CC --> and/CC
made/VBD --> make/VBD
circles/NNS --> circle/NNS
on/IN --> on/IN
it/PRP --> it/PRP
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
tailor/NN --> tailor/NN
looked/VBD --> look/VBD
up/RP --> up/RP
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Yes/UH --> yes/UH
,/, --> ,/,
it/PRP --> it/PRP
would/MD --> would/MD
