<title>/IN --> IN/IN
71/CD --> 71/CD
How/WRB --> how/WRB
Six/CD --> six/CD
Men/NN --> man/NN
Got/VBD --> get/VBD
on/IN --> on/IN
in/IN --> in/IN
the/DT --> the/DT
World/NNP --> World/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
man/NN --> man/NN
who/WP --> who/WP
understood/VBD --> understand/VBD
all/DT --> all/DT
kinds/NNS --> kind/NNS
of/IN --> of/IN
arts/NNS --> art/NNS
;/: --> ;/:
he/PRP --> he/PRP
served/VBD --> serve/VBD
in/IN --> in/IN
war/NN --> war/NN
,/, --> ,/,
and/CC --> and/CC
behaved/VBD --> behave/VBD
well/RB --> well/RB
and/CC --> and/CC
bravely/RB --> bravely/RB
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
the/DT --> the/DT
war/NN --> war/NN
was/VBD --> be/VBD
over/IN --> over/IN
he/PRP --> he/PRP
received/VBD --> receive/VBD
his/PRP$ --> he/PRP$
dismissal/NN --> dismissal/NN
,/, --> ,/,
and/CC --> and/CC
three/CD --> three/CD
farthings/NNS --> farthing/NNS
for/IN --> for/IN
his/PRP$ --> he/PRP$
expenses/NNS --> expense/NNS
on/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
./. --> ./.
``/`` --> ``/``
Stop/NN --> stop/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
shall/MD --> shall/MD
not/RB --> not/RB
be/VB --> be/VB
content/JJ --> content/JJ
with/IN --> with/IN
this/DT --> this/DT
./. --> ./.
If/IN --> if/IN
I/PRP --> I/PRP
can/MD --> can/MD
only/RB --> only/RB
meet/VB --> meet/VB
with/IN --> with/IN
the/DT --> the/DT
right/JJ --> right/JJ
people/NNS --> people/NNS
,/, --> ,/,
the/DT --> the/DT
King/NNP --> King/NNP
will/MD --> will/MD
yet/RB --> yet/RB
have/VB --> have/VB
to/TO --> to/TO
give/VB --> give/VB
me/PRP --> I/PRP
all/PDT --> all/PDT
the/DT --> the/DT
treasure/NN --> treasure/NN
of/IN --> of/IN
the/DT --> the/DT
country/NN --> country/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
full/JJ --> full/JJ
of/IN --> of/IN
anger/NN --> anger/NN
he/PRP --> he/PRP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
saw/VBD --> see/VBD
a/DT --> a/DT
man/NN --> man/NN
standing/NN --> standing/NN
therein/RB --> therein/RB
who/WP --> who/WP
had/VBD --> have/VBD
plucked/VBN --> pluck/VBN
up/RP --> up/RP
six/CD --> six/CD
trees/NNS --> tree/NNS
as/IN --> as/IN
if/IN --> if/IN
they/PRP --> they/PRP
were/VBD --> be/VBD
blades/NNS --> blade/NNS
of/IN --> of/IN
