<title>/IN --> IN/IN
47/CD --> 47/CD
The/DT --> the/DT
Juniper-Tree/NNP --> Juniper-Tree/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
It/PRP --> it/PRP
is/VBZ --> be/VBZ
now/RB --> now/RB
long/JJ --> long/JJ
ago/RB --> ago/RB
,/, --> ,/,
quite/RB --> quite/RB
two/CD --> two/CD
thousand/CD --> thousand/CD
years/NNS --> year/NNS
,/, --> ,/,
since/IN --> since/IN
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
and/CC --> and/CC
pious/JJ --> pious/JJ
wife/NN --> wife/NN
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
loved/VBD --> love/VBD
each/DT --> each/DT
other/JJ --> other/JJ
dearly/RB --> dearly/RB
./. --> ./.
They/PRP --> they/PRP
had/VBD --> have/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
no/DT --> no/DT
children/NNS --> child/NNS
,/, --> ,/,
though/IN --> though/IN
they/PRP --> they/PRP
wished/VBD --> wish/VBD
for/IN --> for/IN
them/PRP --> they/PRP
very/RB --> very/RB
much/RB --> much/RB
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
woman/NN --> woman/NN
prayed/VBD --> pray/VBD
for/IN --> for/IN
them/PRP --> they/PRP
day/NN --> day/NN
and/CC --> and/CC
night/NN --> night/NN
,/, --> ,/,
but/CC --> but/CC
still/RB --> still/RB
they/PRP --> they/PRP
had/VBD --> have/VBD
none/NN --> none/NN
./. --> ./.
Now/RB --> now/RB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
court-yard/NN --> court-yard/NN
in/IN --> in/IN
front/NN --> front/NN
of/IN --> of/IN
their/PRP$ --> they/PRP$
house/NN --> house/NN
in/IN --> in/IN
which/WDT --> which/WDT
was/VBD --> be/VBD
a/DT --> a/DT
juniper-tree/NN --> juniper-tree/NN
,/, --> ,/,
and/CC --> and/CC
one/CD --> one/CD
day/NN --> day/NN
in/IN --> in/IN
winter/NN --> winter/NN
the/DT --> the/DT
woman/NN --> woman/NN
was/VBD --> be/VBD
standing/VBG --> stand/VBG
beneath/IN --> beneath/IN
it/PRP --> it/PRP
,/, --> ,/,
paring/VBG --> pare/VBG
herself/PRP --> herself/PRP
an/DT --> a/DT
apple/NN --> apple/NN
,/, --> ,/,
and/CC --> and/CC
while/IN --> while/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
paring/VBG --> pare/VBG
herself/PRP --> herself/PRP
the/DT --> the/DT
apple/NN --> apple/NN
she/PRP --> she/PRP
cut/VBD --> cut/VBD
her/PRP$ --> she/PRP$
finger/NN --> finger/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
blood/NN --> blood/NN
fell/VBD --> fall/VBD
on/IN --> on/IN
the/DT --> the/DT
snow/NN --> snow/NN
./. --> ./.
``/`` --> ``/``
Ah/UH --> ah/UH
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
woman/NN --> woman/NN
,/, --> ,/,
and/CC --> and/CC
sighed/VBD --> sigh/VBD
right/RB --> right/RB
heavily/RB --> heavily/RB
,/, --> ,/,
and/CC --> and/CC
looked/VBD --> look/VBD
at/IN --> at/IN
the/DT --> the/DT
blood/NN --> blood/NN
before/IN --> before/IN
her/PRP --> she/PRP
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
most/RBS --> most/RBS
unhappy/JJ --> unhappy/JJ
,/, --> ,/,
``/`` --> ``/``
ah/NN --> ah/NN
,/, --> ,/,
if/IN --> if/IN
I/PRP --> I/PRP
had/VBD --> have/VBD
but/CC --> but/CC
a/DT --> a/DT
child/NN --> child/NN
as/IN --> as/IN
red/JJ --> red/JJ
as/IN --> as/IN
blood/NN --> blood/NN
