<title>/IN --> IN/IN
34/CD --> 34/CD
Clever/NNP --> Clever/NNP
Elsie/NNP --> Elsie/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
man/NN --> man/NN
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
daughter/NN --> daughter/NN
who/WP --> who/WP
was/VBD --> be/VBD
called/VBN --> call/VBN
Clever/NNP --> Clever/NNP
Elsie/NNP --> Elsie/NNP
./. --> ./.
And/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
had/VBD --> have/VBD
grown/VBN --> grow/VBN
up/RP --> up/RP
her/PRP$ --> she/PRP$
father/NN --> father/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
We/PRP --> we/PRP
will/MD --> will/MD
get/VB --> get/VB
her/PRP$ --> she/PRP$
married/JJ --> married/JJ
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
mother/NN --> mother/NN
;/: --> ;/:
``/`` --> ``/``
if/IN --> if/IN
only/RB --> only/RB
any/DT --> any/DT
one/NN --> one/NN
would/MD --> would/MD
come/VB --> come/VB
who/WP --> who/WP
would/MD --> would/MD
have/VB --> have/VB
her/PRP --> she/PRP
./. --> ./.
''/'' --> ''/''
At/IN --> at/IN
length/NN --> length/NN
a/DT --> a/DT
man/NN --> man/NN
came/VBD --> come/VBD
from/IN --> from/IN
a/DT --> a/DT
distance/NN --> distance/NN
and/CC --> and/CC
wooed/VBD --> woo/VBD
her/PRP --> she/PRP
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
called/VBN --> call/VBN
Hans/NNP --> Hans/NNP
;/: --> ;/:
but/CC --> but/CC
he/PRP --> he/PRP
stipulated/VBD --> stipulate/VBD
that/IN --> that/IN
Clever/NNP --> Clever/NNP
Elsie/NNP --> Elsie/NNP
should/MD --> should/MD
be/VB --> be/VB
really/RB --> really/RB
wise/JJ --> wise/JJ
./. --> ./.
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
